Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,24.37,24.57,24.31,24.55,1181700,0,0.0
2015-11-17,24.56,24.68,24.41,24.43,841200,0,0.0
2015-11-18,24.53,24.66,24.19,24.63,1562100,0,0.0
2015-11-19,24.57,24.76,24.52,24.69,831900,0,0.0
2015-11-20,24.69,24.81,24.6,24.69,627600,0,0.0
2015-11-23,24.69,24.79,24.55,24.64,612000,0,0.0
2015-11-24,24.59,24.67,24.44,24.53,1005300,0,0.0
2015-11-25,24.5,24.54,24.16,24.22,1738500,0,0.0
2015-11-27,24.18,24.31,24.13,24.31,840900,0,0.0
2015-11-30,24.29,24.45,24.12,24.16,3369600,0,0.0
2015-12-01,24.25,24.51,24.24,24.4,2058600,0,0.0
2015-12-02,24.32,24.45,24.23,24.28,1194300,0,0.0
2015-12-03,24.36,24.37,23.96,24.11,1294500,0,0.0
2015-12-04,24.22,24.55,24.14,24.54,990600,0,0.0
2015-12-07,24.52,24.6,24.26,24.34,1381200,0,0.0
2015-12-08,24.22,24.36,24.18,24.23,1297500,0,0.0
2015-12-09,24.19,24.33,23.73,23.75,1080000,0,0.0
2015-12-10,23.71,23.75,23.5,23.51,1077300,0,0.0
2015-12-11,23.27,23.57,23.2,23.31,1208700,0,0.0
2015-12-14,23.31,23.41,23.08,23.28,1182300,0,0.0
2015-12-15,23.43,23.53,23.2,23.22,1171800,0,0.0
2015-12-16,23.34,23.42,23.09,23.38,866100,0,0.0
2015-12-17,23.43,23.55,23.24,23.31,1145700,0,0.0
2015-12-18,23.54,23.63,23.31,23.36,2957700,0,0.0
2015-12-21,23.42,23.62,23.1,23.23,897000,0,0.0
2015-12-22,23.36,23.44,22.66,23.39,915900,0,0.0
2015-12-23,23.45,23.55,23.34,23.46,644100,0,0.0
2015-12-24,23.42,23.64,23.41,23.52,279000,0,0.0
2015-12-28,23.43,23.66,22.89,23.65,566400,0,0.0
2015-12-29,23.73,23.81,23.57,23.75,616500,0,0.0
2015-12-30,23.72,23.82,23.52,23.55,613500,0,0.0
2015-12-31,23.53,23.64,23.23,23.25,1092000,0,0.0
2016-01-04,22.94,23.22,22.62,22.95,1220700,0,0.0
2016-01-05,22.89,23.12,22.76,23.03,1497600,0,0.0
2016-01-06,22.81,23.12,22.74,23.07,2013000,0,0.0
2016-01-07,22.68,23.22,22.68,23.05,1418100,0,0.0
2016-01-08,23.07,23.15,22.77,22.81,1323300,0,0.0
2016-01-11,22.89,22.98,22.62,22.76,1024500,0,0.0
2016-01-12,22.85,22.94,22.51,22.54,1643400,0,0.0
2016-01-13,22.65,22.65,22.24,22.3,1657800,0,0.0
2016-01-14,22.28,22.49,22.12,22.3,1500600,0,0.0
2016-01-15,22.01,22.27,21.94,22.16,1725600,0,0.0
2016-01-19,21.72,22.32,20.69,22.25,1774500,0,0.0
2016-01-20,22.14,22.23,21.46,21.63,2527800,0,0.0
2016-01-21,21.58,22.03,19.94,21.66,2516100,0,0.0
2016-01-22,21.84,21.89,21.6,21.77,1494600,0,0.0
2016-01-25,21.86,22.27,21.68,22.01,2694900,0,0.0
2016-01-26,22.09,22.66,21.76,22.08,1808400,0,0.0
2016-01-27,22.03,22.58,21.96,21.96,1934100,0,0.0
2016-01-28,21.99,22.34,21.95,22.2,1129200,0,0.0
2016-01-29,22.25,22.53,22.13,22.52,1808100,0,0.0
2016-02-01,22.38,22.71,22.22,22.67,1331700,0,0.0
2016-02-02,22.58,22.6,22.11,22.2,1505700,0,0.0
2016-02-03,22.24,22.6,21.09,22.2,1804800,0,0.0
2016-02-04,22.08,22.27,21.82,21.99,1623000,0,0.0
2016-02-05,22.06,22.21,21.94,21.98,1449600,0,0.0
2016-02-08,21.82,22.62,20.86,22.55,1749600,0,0.0
2016-02-09,22.46,22.67,22.44,22.62,1393800,0,0.0
2016-02-10,23.71,23.8,22.91,22.96,2032800,0,0.0
2016-02-11,22.58,22.84,21.67,22.24,1497000,0,0.0
2016-02-12,22.53,22.83,22.31,22.8,950400,0,0.0
2016-02-16,23.02,23.11,22.78,22.87,1276200,0,0.0
2016-02-17,22.87,22.99,22.61,22.73,1673100,0,0.0
2016-02-18,22.83,22.85,22.57,22.79,1266600,0,0.0
2016-02-19,22.6,23.0,22.6,22.88,1542000,0,0.0
2016-02-22,23.02,23.2,22.8,22.91,877500,0,0.0
2016-02-23,22.71,22.86,22.13,22.72,799200,0,0.0
2016-02-24,22.56,22.98,22.43,22.93,1024500,0,0.0
2016-02-25,23.07,23.16,22.9,23.03,1408200,0,0.0
2016-02-26,23.08,23.08,22.65,22.73,1170000,0,0.0
2016-02-29,22.66,22.76,22.43,22.65,1540800,0,0.0
2016-03-01,22.76,22.96,22.66,22.89,1018800,0,0.0
2016-03-02,22.88,23.05,22.73,23.05,915600,0,0.0
2016-03-03,23.03,23.21,21.72,23.15,1145100,0,0.0
2016-03-04,23.07,23.22,22.43,23.13,1137600,0,0.0
2016-03-07,23.0,23.13,22.81,22.92,891600,0,0.0
2016-03-08,22.85,23.06,22.65,22.96,936600,0,0.0
2016-03-09,23.03,23.12,22.84,22.93,587100,0,0.0
2016-03-10,23.0,23.04,22.66,22.96,692400,0,0.0
2016-03-11,23.12,23.38,23.03,23.38,654600,0,0.0
2016-03-14,23.19,23.47,22.99,23.31,783000,0,0.0
2016-03-15,23.21,23.46,22.88,23.3,1034400,0,0.0
2016-03-16,23.31,23.41,22.97,23.2,729300,0,0.0
2016-03-17,23.27,23.42,23.18,23.36,893700,0,0.0
2016-03-18,23.39,23.53,23.21,23.39,951900,0,0.0
2016-03-21,23.31,23.57,22.8,23.49,490500,0,0.0
2016-03-22,23.36,23.71,23.24,23.5,1145100,0,0.0
2016-03-23,23.48,23.67,23.32,23.5,536400,0,0.0
2016-03-24,23.46,23.63,23.02,23.11,813900,0,0.0
2016-03-28,23.2,23.45,23.18,23.4,548100,0,0.0
2016-03-29,23.4,23.65,23.31,23.53,900000,0,0.0
2016-03-30,23.65,23.89,23.54,23.82,667500,0,0.0
2016-03-31,23.83,23.85,23.61,23.7,1138500,0,0.0
2016-04-01,23.7,24.09,23.69,24.05,854100,0,0.0
2016-04-04,24.07,24.27,23.85,24.0,1094100,0,0.0
2016-04-05,23.93,23.97,23.5,23.54,993000,0,0.0
2016-04-06,23.58,23.7,23.17,23.29,1374000,0,0.0
2016-04-07,23.23,23.38,22.98,23.29,1347300,0,0.0
2016-04-08,23.45,23.55,23.22,23.25,658500,0,0.0
2016-04-11,23.26,23.3,22.98,23.17,1189800,0,0.0
2016-04-12,23.15,23.51,22.59,23.37,1775100,0,0.0
2016-04-13,23.43,23.48,23.19,23.47,1248300,0,0.0
2016-04-14,23.45,23.58,23.17,23.48,920400,0,0.0
2016-04-15,23.51,23.8,23.35,23.77,966300,0,0.0
2016-04-18,23.66,23.91,23.37,23.81,898200,0,0.0
2016-04-19,23.87,23.96,23.6,23.72,831000,0,0.0
2016-04-20,23.77,23.77,23.45,23.66,763500,0,0.0
2016-04-21,23.57,23.73,23.08,23.12,1088700,0,0.0
2016-04-22,23.06,23.63,22.97,23.6,1058100,0,0.0
2016-04-25,23.52,23.7,23.35,23.69,654600,0,0.0
2016-04-26,23.64,23.83,23.25,23.77,780900,0,0.0
2016-04-27,23.7,23.88,23.32,23.8,932400,0,0.0
2016-04-28,23.85,23.99,22.95,23.56,1270200,0,0.0
2016-04-29,23.6,23.68,23.27,23.5,1707000,0,0.0
2016-05-02,23.51,23.83,23.42,23.73,1364400,0,0.0
2016-05-03,23.6,23.73,23.39,23.6,918600,0,0.0
2016-05-04,23.46,23.65,23.25,23.52,912600,0,0.0
2016-05-05,23.61,23.65,23.4,23.57,803100,0,0.0
2016-05-06,23.41,23.54,23.23,23.44,868800,0,0.0
2016-05-09,23.53,23.59,23.38,23.47,962100,0,0.0
2016-05-10,23.47,23.88,23.34,23.85,861600,0,0.0
2016-05-11,23.82,24.27,23.69,23.97,1901400,0,0.0
2016-05-12,24.12,24.31,23.85,23.9,1503600,0,0.0
2016-05-13,23.89,24.06,23.75,23.9,1021800,0,0.0
2016-05-16,23.82,24.13,23.75,24.02,1145700,0,0.0
2016-05-17,23.96,24.19,23.45,23.64,1495500,0,0.0
2016-05-18,23.55,23.97,23.51,23.88,1019700,0,0.0
2016-05-19,23.82,23.99,23.59,23.73,593700,0,0.0
2016-05-20,23.72,23.9,23.65,23.75,891600,0,0.0
2016-05-23,23.67,23.75,23.55,23.58,500100,0,0.0
2016-05-24,23.65,23.99,23.65,23.94,686700,0,0.0
2016-05-25,24.0,24.09,23.87,23.9,603300,0,0.0
2016-05-26,23.9,24.02,23.67,23.96,1206300,0,0.0
2016-05-27,23.98,24.1,23.83,24.05,449400,0,0.0
2016-05-31,24.08,24.22,23.92,24.22,2689800,0,0.0
2016-06-01,24.07,24.26,24.02,24.17,914700,0,0.0
2016-06-02,24.23,24.37,24.05,24.22,723600,0,0.0
2016-06-03,24.07,24.08,23.84,24.05,854100,0,0.0
2016-06-06,24.04,24.14,23.86,23.9,697800,0,0.0
2016-06-07,23.82,23.93,23.76,23.84,538200,0,0.0
2016-06-08,23.78,24.04,23.7,24.04,564900,0,0.0
2016-06-09,23.95,24.01,23.89,23.95,597600,0,0.0
2016-06-10,23.82,23.93,23.72,23.83,677700,0,0.0
2016-06-13,23.72,23.79,23.37,23.42,1027800,0,0.0
2016-06-14,23.44,23.5,23.15,23.21,695400,0,0.0
2016-06-15,23.19,23.25,22.93,22.94,762000,0,0.0
2016-06-16,22.9,23.2,22.89,23.19,660000,0,0.0
2016-06-17,23.11,23.29,22.95,23.0,1675500,0,0.0
2016-06-20,23.21,23.35,23.16,23.19,672600,0,0.0
2016-06-21,23.31,23.38,23.16,23.28,641100,0,0.0
2016-06-22,23.28,23.44,23.16,23.33,424200,0,0.0
2016-06-23,23.47,23.62,23.34,23.62,515700,0,0.0
2016-06-24,23.04,23.29,22.73,23.0,1997100,0,0.0
2016-06-27,22.84,22.88,22.5,22.51,1350300,0,0.0
2016-06-28,22.8,22.97,22.64,22.92,1246200,0,0.0
2016-06-29,23.04,23.35,22.87,23.3,933900,0,0.0
2016-06-30,23.43,24.0,23.43,24.0,1848000,0,0.0
2016-07-01,24.0,24.0,23.65,23.84,717300,0,0.0
2016-07-05,23.42,23.72,23.42,23.63,938400,0,0.0
2016-07-06,23.58,23.62,23.44,23.58,809100,0,0.0
2016-07-07,23.64,23.67,23.42,23.53,609000,0,0.0
2016-07-08,23.57,23.65,23.33,23.59,1252800,0,0.0
2016-07-11,23.66,23.72,23.35,23.58,1187700,0,0.0
2016-07-12,23.69,23.75,23.47,23.49,597300,0,0.0
2016-07-13,23.48,23.57,23.42,23.48,821100,0,0.0
2016-07-14,23.47,23.56,23.4,23.42,1669800,0,0.0
2016-07-15,23.52,23.65,23.0,23.32,1503900,0,0.0
2016-07-18,23.26,23.32,23.12,23.14,718200,0,0.0
2016-07-19,23.08,23.23,22.96,23.06,865800,0,0.0
2016-07-20,23.17,23.18,22.95,23.05,604800,0,0.0
2016-07-21,22.95,23.13,22.95,23.12,531600,0,0.0
2016-07-22,23.11,23.47,23.11,23.47,678000,0,0.0
2016-07-25,23.41,23.55,23.3,23.41,702300,0,0.0
2016-07-26,23.41,23.57,23.21,23.22,690900,0,0.0
2016-07-27,23.18,23.31,23.1,23.15,1119300,0,0.0
2016-07-28,23.84,24.11,23.62,24.09,2418300,0,0.0
2016-07-29,24.08,24.28,23.99,24.21,1605600,0,0.0
2016-08-01,24.12,24.37,24.12,24.37,1435800,0,0.0
2016-08-02,24.26,24.61,24.04,24.6,1315200,0,0.0
2016-08-03,24.58,24.63,24.41,24.62,973800,0,0.0
2016-08-04,24.59,24.72,24.58,24.69,824400,0,0.0
2016-08-05,24.75,24.83,24.66,24.82,856500,0,0.0
2016-08-08,24.82,24.88,24.67,24.8,796800,0,0.0
