Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,3.6642,3.6642,3.6173,3.6441,48400,0.0,0
2015-11-17,3.6575,3.6776,3.624,3.6441,53800,0.0,0
2015-11-18,3.624,3.6374,3.5838,3.6039,136700,0.0,0
2015-11-19,3.5972,3.624,3.5838,3.6106,79100,0.0,0
2015-11-20,3.624,3.6508,3.5905,3.6106,113900,0.0,0
2015-11-23,3.624,3.624,3.557,3.5972,366200,0.0,0
2015-11-24,3.5905,3.624,3.557,3.624,191400,0.0,0
2015-11-25,3.6106,3.6374,3.5838,3.6173,101600,0.0,0
2015-11-27,3.6106,3.6642,3.6039,3.6307,60000,0.0,0
2015-11-30,3.6441,3.6575,3.6039,3.6374,85600,0.0,0
2015-12-01,3.6508,3.6508,3.6106,3.6374,97700,0.0,0
2015-12-02,3.6441,3.6441,3.557,3.5637,89400,0.0,0
2015-12-03,3.5637,3.6106,3.5503,3.557,126300,0.0,0
2015-12-04,3.5503,3.6173,3.5503,3.5704,145400,0.0,0
2015-12-07,3.5704,3.5905,3.5302,3.5436,178900,0.0,0
2015-12-08,3.5369,3.5905,3.4833,3.5369,220700,0.0,0
2015-12-09,3.5503,3.5905,3.5302,3.5503,139600,0.0,0
2015-12-10,3.5503,3.557,3.5101,3.5302,111600,0.0,0
2015-12-11,3.5369,3.5369,3.4632,3.49,219900,0.0,0
2015-12-14,3.4699,3.4967,3.423,3.4699,324900,0.0,0
2015-12-15,3.4297,3.4833,3.4163,3.4632,310100,0.0,0
2015-12-16,3.4766,3.4833,3.4297,3.4498,229600,0.0,0
2015-12-17,3.4498,3.4632,3.3359,3.4297,558400,0.0,0
2015-12-18,3.4163,3.4967,3.3962,3.4029,266300,0.0,0
2015-12-21,3.4029,3.4967,3.3962,3.4766,184300,0.0,0
2015-12-22,3.4766,3.5034,3.4632,3.49,61100,0.0,0
2015-12-23,3.5101,3.5302,3.4364,3.5101,173500,0.0,0
2015-12-24,3.5235,3.5436,3.49,3.5034,84800,0.0,0
2015-12-28,3.5235,3.5436,3.4967,3.5302,233000,0.0,0
2015-12-29,3.5679,3.5679,3.4787,3.513,292400,0.125,0
2015-12-30,3.4925,3.513,3.4444,3.4513,244200,0.0,0
2015-12-31,3.4513,3.4925,3.4376,3.4719,254100,0.0,0
2016-01-04,3.4444,3.4856,3.4307,3.4787,112800,0.0,0
2016-01-05,3.4582,3.5336,3.4513,3.5268,104800,0.0,0
2016-01-06,3.4787,3.513,3.4444,3.465,109800,0.0,0
2016-01-07,3.4444,3.4719,3.417,3.4307,160200,0.0,0
2016-01-08,3.4582,3.4787,3.4307,3.4376,83600,0.0,0
2016-01-11,3.4376,3.4582,3.3484,3.369,325900,0.0,0
2016-01-12,3.3758,3.4101,3.2111,3.3072,408200,0.0,0
2016-01-13,3.3141,3.3209,3.1357,3.1974,439400,0.0,0
2016-01-14,3.1494,3.2866,3.0671,3.2455,362300,0.0,0
2016-01-15,3.1974,3.2866,3.1219,3.2317,185200,0.0,0
2016-01-19,3.2523,3.2729,3.0259,3.0945,436600,0.0,0
2016-01-20,3.0808,3.1425,2.9298,3.1082,574100,0.0,0
2016-01-21,3.1082,3.1837,3.0533,3.1563,196400,0.0,0
2016-01-22,3.218,3.2592,3.1906,3.2386,103100,0.0,0
2016-01-25,3.2386,3.2523,3.1014,3.1288,117200,0.0,0
2016-01-26,3.1768,3.2729,3.1563,3.2592,145500,0.0,0
2016-01-27,3.2317,3.266,3.2111,3.2317,37200,0.0,0
2016-01-28,3.2386,3.3347,3.218,3.3347,90000,0.0,0
2016-01-29,3.3347,3.4993,3.3278,3.417,373800,0.0,0
2016-02-01,3.4513,3.4719,3.3964,3.4033,70700,0.0,0
2016-02-02,3.369,3.4239,3.3347,3.3964,113000,0.0,0
2016-02-03,3.4239,3.465,3.3964,3.4307,78900,0.0,0
2016-02-04,3.4307,3.4513,3.4033,3.4444,89400,0.0,0
2016-02-05,3.417,3.4582,3.4033,3.4307,76700,0.0,0
2016-02-08,3.417,3.417,3.3415,3.3964,68700,0.0,0
2016-02-09,3.3827,3.4239,3.3484,3.3758,59000,0.0,0
2016-02-10,3.369,3.3827,3.3003,3.3072,73900,0.0,0
2016-02-11,3.2935,3.3072,3.218,3.2798,52800,0.0,0
2016-02-12,3.2798,3.3278,3.2111,3.3209,21400,0.0,0
2016-02-16,3.3484,3.3621,3.2935,3.3347,30700,0.0,0
2016-02-17,3.3552,3.3964,3.3347,3.369,64800,0.0,0
2016-02-18,3.4033,3.4033,3.3347,3.3347,47600,0.0,0
2016-02-19,3.3484,3.3552,3.3003,3.3347,25700,0.0,0
