Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,26.73,26.89,26.25,26.68,359000,0,0.0
2015-11-17,26.76,26.98,25.87,25.98,329800,0,0.0
2015-11-18,25.98,26.28,25.75,26.18,283300,0,0.0
2015-11-19,26.3,26.72,25.84,26.34,236100,0,0.0
2015-11-20,26.48,26.93,25.98,26.8,302700,0,0.0
2015-11-23,26.67,27.14,26.02,26.89,260200,0,0.0
2015-11-24,26.67,27.82,25.96,27.58,275100,0,0.0
2015-11-25,27.51,28.29,27.29,28.06,187700,0,0.0
2015-11-27,28.17,28.31,27.72,27.79,56700,0,0.0
2015-11-30,27.82,28.58,27.75,28.46,193200,0,0.0
2015-12-01,28.4,28.79,28.21,28.4,148900,0,0.0
2015-12-02,28.34,28.68,27.79,27.89,160700,0,0.0
2015-12-03,28.02,28.23,26.95,26.97,249000,0,0.0
2015-12-04,26.96,27.4,26.85,27.32,121500,0,0.0
2015-12-07,27.27,27.3,26.05,26.37,185200,0,0.0
2015-12-08,26.21,26.79,25.96,26.51,174400,0,0.0
2015-12-09,26.37,26.9,25.51,25.98,291500,0,0.0
2015-12-10,25.93,26.68,25.76,26.37,153300,0,0.0
2015-12-11,25.83,26.46,25.69,26.43,356800,0,0.0
2015-12-14,26.4,27.59,26.06,27.45,474200,0,0.0
2015-12-15,27.6,29.22,27.37,29.01,623800,0,0.0
2015-12-16,29.2,29.24,27.94,28.84,417300,0,0.0
2015-12-17,29.0,29.97,28.96,29.29,478800,0,0.0
2015-12-18,29.07,29.55,28.28,29.19,811700,0,0.0
2015-12-21,29.43,29.63,29.03,29.54,292800,0,0.0
2015-12-22,29.62,30.43,29.14,30.42,257900,0,0.0
2015-12-23,30.56,30.64,29.78,29.85,215200,0,0.0
2015-12-24,29.94,30.12,28.9,29.6,99900,0,0.0
2015-12-28,29.52,29.52,28.17,28.54,214400,0,0.0
2015-12-29,28.75,29.79,28.63,29.74,162800,0,0.0
2015-12-30,29.65,30.18,29.52,30.04,210500,0,0.0
2015-12-31,29.88,30.65,29.57,29.95,230700,0,0.0
2016-01-04,29.37,29.46,28.32,28.54,299900,0,0.0
2016-01-05,28.54,29.48,28.44,29.23,294700,0,0.0
2016-01-06,28.8,29.01,28.37,28.85,272400,0,0.0
2016-01-07,28.2,28.45,27.37,27.39,372800,0,0.0
2016-01-08,27.4,27.67,26.45,26.75,324900,0,0.0
2016-01-11,26.97,27.05,26.0,26.14,237100,0,0.0
2016-01-12,26.43,26.73,25.22,26.08,297700,0,0.0
2016-01-13,26.17,26.98,25.15,25.48,316600,0,0.0
2016-01-14,25.74,26.89,25.23,26.48,206200,0,0.0
2016-01-15,25.67,25.67,24.09,24.85,198300,0,0.0
2016-01-19,25.18,25.18,23.32,23.71,155300,0,0.0
2016-01-20,23.24,24.72,22.47,24.41,204100,0,0.0
2016-01-21,24.41,25.37,24.24,24.7,124700,0,0.0
2016-01-22,25.15,25.72,24.56,25.22,200800,0,0.0
2016-01-25,25.06,25.7,24.92,24.99,128400,0,0.0
2016-01-26,25.2,25.23,24.71,24.86,217100,0,0.0
2016-01-27,24.57,24.85,23.75,24.03,268300,0,0.0
2016-01-28,24.25,24.45,23.31,23.5,212100,0,0.0
2016-01-29,23.5,23.97,23.32,23.72,277000,0,0.0
2016-02-01,23.64,23.73,22.65,22.84,286900,0,0.0
2016-02-02,22.62,22.62,20.55,21.19,454500,0,0.0
2016-02-03,21.67,21.67,20.24,21.52,434300,0,0.0
2016-02-04,21.55,22.61,21.54,22.5,312100,0,0.0
2016-02-05,22.39,23.34,21.58,21.62,197100,0,0.0
2016-02-08,21.42,21.88,20.63,21.81,208900,0,0.0
2016-02-09,21.44,21.71,21.15,21.39,174200,0,0.0
2016-02-10,21.51,21.97,21.21,21.71,331900,0,0.0
2016-02-11,21.26,21.26,20.0,20.94,229700,0,0.0
2016-02-12,21.22,21.92,20.92,21.28,154100,0,0.0
2016-02-16,21.44,22.17,20.93,22.08,268000,0,0.0
2016-02-17,21.59,22.12,18.21,18.41,1257800,0,0.0
2016-02-18,19.17,20.07,18.91,19.89,466200,0,0.0
2016-02-19,19.67,21.27,19.33,20.23,289500,0,0.0
2016-02-22,20.36,20.82,20.16,20.48,204200,0,0.0
2016-02-23,20.36,20.97,20.11,20.81,208200,0,0.0
2016-02-24,20.57,21.05,20.08,20.89,151400,0,0.0
2016-02-25,21.26,22.48,21.11,21.55,365800,0,0.0
2016-02-26,21.7,22.58,21.28,22.31,260700,0,0.0
2016-02-29,22.84,24.17,22.77,23.4,462200,0,0.0
2016-03-01,23.54,24.09,23.42,24.09,283600,0,0.0
2016-03-02,24.44,25.31,23.76,25.16,397500,0,0.0
2016-03-03,25.25,26.59,25.13,26.18,395200,0,0.0
2016-03-04,26.27,27.18,26.19,26.7,280600,0,0.0
2016-03-07,26.51,27.62,26.12,27.49,406600,0,0.0
2016-03-08,27.18,27.34,25.75,26.77,480800,0,0.0
2016-03-09,26.79,27.03,25.69,26.12,365500,0,0.0
