Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,22.73,22.85,22.53,22.83,141600,0.0,0
2015-11-17,22.89,23.2,22.77,22.81,122200,0.0,0
2015-11-18,22.93,22.93,22.54,22.88,120200,0.0,0
2015-11-19,22.86,23.08,22.79,22.87,95900,0.0,0
2015-11-20,22.94,23.07,22.81,22.87,133900,0.0,0
2015-11-23,22.88,23.12,22.86,23.07,72500,0.0,0
2015-11-24,22.97,23.28,22.86,23.19,70900,0.0,0
2015-11-25,23.18,23.3,23.06,23.17,52000,0.0,0
2015-11-27,23.22,23.41,23.0,23.35,63300,0.0,0
2015-11-30,23.39,23.51,23.19,23.29,105900,0.0,0
2015-12-01,23.44,23.59,23.09,23.29,64800,0.0,0
2015-12-02,23.24,23.42,23.08,23.24,131500,0.0,0
2015-12-03,23.32,23.64,23.16,23.23,172600,0.0,0
2015-12-04,23.27,23.6,23.19,23.53,90400,0.0,0
2015-12-07,23.52,23.55,22.99,23.12,217000,0.0,0
2015-12-08,22.99,23.32,22.77,23.08,147200,0.0,0
2015-12-09,22.88,23.21,22.54,22.66,244900,0.0,0
2015-12-10,22.69,22.84,22.52,22.6,51700,0.0,0
2015-12-11,22.18,22.5,21.86,21.94,109700,0.0,0
2015-12-14,21.97,22.4,21.81,22.11,109300,0.0,0
2015-12-15,22.23,22.73,22.22,22.66,96900,0.0,0
2015-12-16,22.79,22.79,22.31,22.68,127400,0.0,0
2015-12-17,22.51,22.71,22.14,22.24,152100,0.0,0
2015-12-18,22.11,22.58,21.52,21.57,351800,0.0,0
2015-12-21,21.65,22.08,21.4,21.81,102900,0.0,0
2015-12-22,21.9,21.94,21.42,21.94,84200,0.0,0
2015-12-23,22.08,22.1,20.62,21.94,72600,0.0,0
2015-12-24,21.94,22.39,21.94,22.16,41300,0.0,0
2015-12-28,22.05,22.4,21.75,22.17,87100,0.0,0
2015-12-29,22.28,22.56,22.2,22.47,50000,0.0,0
2015-12-30,22.43,22.49,22.26,22.32,69600,0.0,0
2015-12-31,22.24,22.48,21.83,21.89,118500,0.0,0
2016-01-04,21.68,21.86,21.49,21.65,259000,0.0,0
2016-01-05,21.71,21.97,21.54,21.86,116000,0.0,0
2016-01-06,21.52,22.1,21.52,21.85,133200,0.0,0
2016-01-07,21.55,21.88,21.55,21.59,116800,0.0,0
2016-01-08,21.98,22.02,21.2,21.22,149000,0.0,0
2016-01-11,21.28,21.65,21.19,21.54,94600,0.0,0
2016-01-12,21.7,21.7,21.1,21.45,116200,0.0,0
2016-01-13,21.42,21.52,20.6,20.76,128600,0.0,0
2016-01-14,20.78,21.32,20.6,21.04,118600,0.0,0
2016-01-15,20.45,20.88,20.26,20.66,134100,0.0,0
2016-01-19,20.8,21.09,20.5,20.72,98700,0.0,0
2016-01-20,20.3,20.63,19.74,19.79,213100,0.0,0
2016-01-21,19.7,19.74,18.93,19.02,192800,0.0,0
2016-01-22,19.26,19.6,19.02,19.39,137100,0.0,0
2016-01-25,19.35,21.46,18.56,18.62,194400,0.0,0
