Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,2.2744,2.2744,2.2383,2.2383,1800,0,0.0
2015-11-17,2.2383,2.2383,2.2383,2.2383,0,0,0.0
2015-11-18,2.2383,2.2383,2.2383,2.2383,0,0,0.0
2015-11-19,2.2383,2.2383,2.2383,2.2383,0,0,0.0
2015-11-20,2.2744,2.2744,2.2744,2.2744,0,0,0.0
2015-11-23,2.5271,2.5993,2.5271,2.5993,200,0,0.0
2015-11-24,2.7076,2.7076,2.4549,2.491,1600,0,0.0
2015-11-25,2.5271,2.5271,2.4549,2.4549,600,0,0.0
2015-11-27,2.4549,2.4549,2.4549,2.4549,100,0,0.0
2015-11-30,2.491,2.491,2.491,2.491,0,0,0.0
2015-12-01,2.491,2.7076,2.491,2.7076,600,0,0.0
2015-12-02,2.5632,2.5632,2.5632,2.5632,400,0,0.0
2015-12-03,2.4188,2.4188,2.4188,2.4188,0,0,0.0
2015-12-04,2.5993,2.5993,2.4188,2.4188,100,0,0.0
2015-12-07,2.4549,2.491,2.4549,2.491,2700,0,0.0
2015-12-08,2.4188,2.4188,2.4188,2.4188,0,0,0.0
2015-12-09,2.4188,2.4188,2.4188,2.4188,0,0,0.0
2015-12-10,2.4188,2.4188,2.4188,2.4188,0,0,0.0
2015-12-11,2.6354,2.6354,2.6354,2.6354,1300,0,0.0
2015-12-14,2.5993,2.5993,2.5993,2.5993,0,0,0.0
2015-12-15,2.5271,2.5271,2.5271,2.5271,100,0,0.0
2015-12-16,2.5993,2.6354,2.5993,2.6354,1100,0,0.0
2015-12-17,2.6715,2.6715,2.6715,2.6715,200,0,0.0
2015-12-18,2.4188,2.5993,2.4188,2.5993,2000,0,0.0
2015-12-21,2.4549,2.4549,2.4549,2.4549,300,0,0.0
2015-12-22,2.4549,2.4549,2.4549,2.4549,0,0,0.0
2015-12-23,2.4549,2.4549,2.4549,2.4549,0,0,0.0
2015-12-24,2.4549,2.4549,2.4549,2.4549,0,0,0.0
2015-12-28,2.491,2.491,2.491,2.491,300,0,0.0
2015-12-29,2.4549,2.4549,2.4188,2.4188,800,0,0.0
2015-12-30,2.5271,2.5271,2.5271,2.5271,1000,0,0.0
2015-12-31,2.5993,2.6715,2.5993,2.6715,500,0,0.0
2016-01-04,2.6715,2.6715,2.6715,2.6715,0,0,0.0
2016-01-05,2.6715,2.6715,2.6715,2.6715,3200,0,0.0
2016-01-06,2.6354,2.7437,2.5993,2.5993,12100,0,0.0
2016-01-07,2.491,2.7437,2.491,2.7437,2300,0,0.0
2016-01-08,2.7437,2.7437,2.7437,2.7437,0,0,0.0
2016-01-11,2.7798,2.7798,2.6715,2.6715,700,0,0.0
2016-01-12,2.7076,2.7076,2.6715,2.7076,3400,0,0.0
2016-01-13,2.6354,2.6354,2.6354,2.6354,300,0,0.0
2016-01-14,2.7076,2.7437,2.6715,2.7076,7100,0,0.0
2016-01-15,2.6715,2.6715,2.5632,2.5993,6100,0,0.0
2016-01-19,2.5993,2.5993,2.5271,2.5632,2000,0,0.0
2016-01-20,2.3466,2.5632,2.3466,2.491,2900,0,0.0
2016-01-21,2.5993,2.5993,2.5993,2.5993,0,0,0.0
2016-01-22,2.491,2.5632,2.491,2.5632,600,0,0.0
2016-01-25,2.5632,2.5632,2.5632,2.5632,100,0,0.0
2016-01-26,2.6715,2.7437,2.6715,2.7437,2700,0,0.0
2016-01-27,2.6715,2.6715,2.6715,2.6715,4000,0,0.0
2016-01-28,2.6354,2.6715,2.6354,2.6354,2400,0,0.0
2016-01-29,2.7437,2.7437,2.7437,2.7437,1300,0,0.0
2016-02-01,2.6715,2.7798,2.6715,2.7798,200,0,0.0
2016-02-02,2.7798,2.7798,2.7798,2.7798,0,0,0.0
2016-02-03,2.852,2.852,2.852,2.852,0,0,0.0
2016-02-04,3.0686,3.3935,3.0686,3.3213,1600,0,0.0
2016-02-05,3.3213,3.3213,3.2491,3.2491,3100,0,0.0
