Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,0.03,0.03,0.03,0.03,0,0,0
2015-11-17,0.03,0.03,0.03,0.03,0,0,0
2015-11-18,0.03,0.03,0.03,0.03,0,0,0
2015-11-19,0.03,0.03,0.03,0.03,0,0,0
2015-11-20,0.03,0.03,0.03,0.03,0,0,0
2015-11-23,0.03,0.03,0.03,0.03,0,0,0
2015-11-24,0.034,0.034,0.02,0.02,70000,0,0
2015-11-25,0.02,0.02,0.02,0.02,0,0,0
2015-11-27,0.02,0.02,0.02,0.02,0,0,0
2015-11-30,0.02,0.02,0.02,0.02,0,0,0
2015-12-01,0.02,0.02,0.02,0.02,0,0,0
2015-12-02,0.02,0.02,0.02,0.02,0,0,0
2015-12-03,0.02,0.02,0.02,0.02,0,0,0
2015-12-04,0.02,0.02,0.02,0.02,0,0,0
2015-12-07,0.02,0.02,0.02,0.02,0,0,0
2015-12-08,0.02,0.02,0.02,0.02,0,0,0
2015-12-09,0.02,0.02,0.02,0.02,0,0,0
2015-12-10,0.02,0.02,0.02,0.02,0,0,0
2015-12-11,0.02,0.02,0.02,0.02,0,0,0
2015-12-14,0.02,0.02,0.02,0.02,0,0,0
2015-12-15,0.02,0.02,0.02,0.02,0,0,0
2015-12-16,0.02,0.02,0.02,0.02,0,0,0
2015-12-17,0.02,0.02,0.02,0.02,0,0,0
2015-12-18,0.02,0.02,0.02,0.02,0,0,0
2015-12-21,0.02,0.02,0.02,0.02,0,0,0
2015-12-22,0.02,0.02,0.02,0.02,0,0,0
2015-12-23,0.02,0.02,0.02,0.02,0,0,0
2015-12-24,0.02,0.02,0.02,0.02,0,0,0
2015-12-28,0.02,0.02,0.02,0.02,0,0,0
2015-12-29,0.02,0.02,0.02,0.02,0,0,0
2015-12-30,0.02,0.02,0.02,0.02,0,0,0
2015-12-31,0.02,0.02,0.02,0.02,0,0,0
2016-01-04,0.02,0.02,0.02,0.02,0,0,0
2016-01-05,0.02,0.02,0.02,0.02,0,0,0
2016-01-06,0.02,0.02,0.02,0.02,0,0,0
2016-01-07,0.02,0.02,0.02,0.02,0,0,0
2016-01-08,0.02,0.02,0.02,0.02,0,0,0
2016-01-11,0.02,0.02,0.02,0.02,0,0,0
2016-01-12,0.02,0.02,0.02,0.02,0,0,0
2016-01-13,0.02,0.02,0.02,0.02,0,0,0
2016-01-14,0.02,0.02,0.02,0.02,0,0,0
2016-01-15,0.02,0.02,0.02,0.02,0,0,0
2016-01-19,0.018,0.018,0.01,0.01,43900,0,0
