Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-25,9.0,10.0,8.58,10.0,971500,0,0
2019-10-28,10.25,10.67,9.99,10.01,285700,0,0
2019-10-29,10.01,10.78,9.59,10.51,151800,0,0
2019-10-30,10.53,10.79,10.28,10.65,107500,0,0
2019-10-31,10.64,10.74,10.11,10.5,115000,0,0
2019-11-01,10.51,10.91,10.1,10.75,157500,0,0
2019-11-04,11.0,11.45,10.8,11.0,340300,0,0
2019-11-05,11.11,11.38,11.0,11.0,96900,0,0
2019-11-06,11.17,11.2,10.46,11.0,91200,0,0
2019-11-07,11.0,11.19,10.7,11.0,101400,0,0
2019-11-08,11.11,11.2,10.98,11.12,127400,0,0
2019-11-11,11.15,13.92,11.01,13.92,173400,0,0
2019-11-12,13.75,14.46,11.16,11.77,104800,0,0
2019-11-13,11.75,13.02,11.23,12.7,37200,0,0
2019-11-14,12.47,13.98,12.09,13.16,135300,0,0
2019-11-15,13.39,14.25,12.55,14.0,79900,0,0
2019-11-18,13.48,15.11,12.57,13.79,51600,0,0
2019-11-19,13.64,18.28,13.64,17.71,109800,0,0
2019-11-20,17.88,18.1,15.86,16.47,77400,0,0
2019-11-21,16.49,16.89,13.88,14.57,48900,0,0
2019-11-22,14.49,14.54,13.03,13.25,47600,0,0
2019-11-25,13.22,13.85,13.02,13.2,50100,0,0
2019-11-26,13.01,13.82,12.38,12.6,80900,0,0
2019-11-27,12.51,13.45,12.35,12.87,89900,0,0
2019-11-29,12.76,13.97,12.76,13.7,31100,0,0
2019-12-02,13.82,14.98,13.72,14.71,80100,0,0
2019-12-03,14.58,14.85,13.72,13.72,57300,0,0
2019-12-04,14.0,14.89,12.32,13.39,73700,0,0
2019-12-05,13.29,14.23,11.48,12.16,52500,0,0
2019-12-06,12.0,12.38,10.05,10.21,92300,0,0
2019-12-09,10.21,10.82,9.04,9.11,73300,0,0
2019-12-10,9.03,9.14,8.09,8.21,101200,0,0
2019-12-11,9.17,9.54,8.16,8.18,134000,0,0
2019-12-12,8.18,8.4,7.55,7.88,57500,0,0
2019-12-13,7.86,8.47,7.76,7.99,51700,0,0
2019-12-16,8.0,9.12,7.75,8.47,126800,0,0
2019-12-17,8.56,9.73,8.56,9.57,79000,0,0
2019-12-18,9.46,10.49,9.11,9.16,84900,0,0
2019-12-19,9.16,9.85,8.58,8.58,77800,0,0
2019-12-20,8.49,11.43,8.49,10.13,765000,0,0
2019-12-23,10.21,14.41,10.21,13.56,233200,0,0
2019-12-24,13.64,14.03,12.9,13.25,39200,0,0
2019-12-26,13.3,14.14,13.01,13.79,102300,0,0
2019-12-27,13.77,14.07,12.79,13.82,330300,0,0
2019-12-30,13.98,14.24,13.36,13.99,91000,0,0
2019-12-31,13.99,14.5,13.7,13.97,121300,0,0
2020-01-02,14.07,14.2,12.77,13.9,143300,0,0
2020-01-03,13.68,14.12,13.49,13.88,91600,0,0
2020-01-06,13.56,16.6,13.25,16.06,216500,0,0
2020-01-07,16.12,16.27,14.65,15.53,145200,0,0
2020-01-08,15.55,16.48,15.1,15.4,103700,0,0
2020-01-09,15.54,16.58,14.48,14.54,108100,0,0
2020-01-10,14.57,14.85,13.6,13.89,67800,0,0
2020-01-13,13.87,14.35,13.66,14.35,36400,0,0
2020-01-14,14.29,15.71,13.95,15.32,40400,0,0
2020-01-15,15.33,16.19,14.53,16.0,76800,0,0
2020-01-16,16.07,16.78,15.62,16.27,81400,0,0
2020-01-17,16.39,17.13,15.84,16.37,100600,0,0
2020-01-21,16.28,16.62,15.9,16.17,51000,0,0
2020-01-22,16.23,17.1,15.96,16.37,49500,0,0
2020-01-23,16.35,17.79,16.07,17.15,94700,0,0
2020-01-24,17.22,17.99,17.12,17.47,53900,0,0
2020-01-27,17.47,18.0,17.47,17.63,77300,0,0
2020-01-28,17.66,17.8,16.26,16.46,43400,0,0
2020-01-29,16.52,19.63,16.52,18.67,98000,0,0
2020-01-30,18.54,18.54,16.8,17.12,44100,0,0
2020-01-31,16.93,17.7,16.27,16.43,29000,0,0
2020-02-03,16.82,16.87,15.0,15.59,124200,0,0
2020-02-04,15.45,15.83,15.06,15.28,36100,0,0
2020-02-05,15.3,15.94,15.16,15.94,40700,0,0
2020-02-06,16.02,16.67,15.25,16.45,56200,0,0
2020-02-07,16.36,16.36,15.16,15.46,56300,0,0
2020-02-10,15.39,15.89,14.88,15.05,26800,0,0
2020-02-11,15.04,15.79,14.88,15.42,33400,0,0
2020-02-12,15.5,15.79,14.94,15.26,23600,0,0
2020-02-13,15.19,15.96,15.19,15.74,34100,0,0
2020-02-14,15.86,16.19,15.37,15.86,58200,0,0
2020-02-18,15.99,18.65,15.51,18.55,56100,0,0
2020-02-19,18.65,18.65,16.5,16.83,77100,0,0
2020-02-20,16.59,17.01,15.86,16.49,52400,0,0
2020-02-21,16.5,16.64,15.67,15.97,57500,0,0
2020-02-24,15.66,16.71,14.1,14.33,62600,0,0
2020-02-25,14.67,15.35,14.05,14.6,54900,0,0
2020-02-26,14.75,16.57,14.75,16.44,32200,0,0
2020-02-27,16.19,16.86,14.57,15.4,32000,0,0
2020-02-28,14.33,14.95,14.03,14.94,73900,0,0
2020-03-02,15.47,15.47,14.2,14.99,44300,0,0
2020-03-03,15.1,15.77,14.34,15.49,33200,0,0
2020-03-04,16.35,17.86,15.63,16.41,32100,0,0
2020-03-05,16.35,16.35,14.91,15.22,28600,0,0
2020-03-06,14.59,15.01,13.55,14.35,24500,0,0
2020-03-09,13.29,13.64,12.54,12.73,16000,0,0
2020-03-10,13.13,13.64,11.3,12.66,32500,0,0
2020-03-11,12.34,12.45,10.9,11.23,14900,0,0
2020-03-12,10.5,10.5,8.91,8.91,50500,0,0
2020-03-13,9.35,9.35,7.46,8.0,88800,0,0
2020-03-16,7.88,7.88,6.3,7.01,81200,0,0
2020-03-17,7.32,8.23,6.67,7.31,86100,0,0
2020-03-18,7.0,7.1,5.76,6.0,67000,0,0
2020-03-19,5.92,6.25,5.51,6.24,90100,0,0
2020-03-20,6.15,7.71,6.01,7.33,139800,0,0
2020-03-23,7.32,7.62,6.07,7.12,59400,0,0
2020-03-24,7.5,7.5,7.0,7.06,90000,0,0
2020-03-25,6.95,7.5,6.9,7.45,121900,0,0
2020-03-26,7.35,9.03,7.0,7.98,131700,0,0
2020-03-27,7.56,7.56,7.18,7.28,113800,0,0
2020-03-30,7.05,7.68,6.96,7.25,65500,0,0
2020-03-31,7.25,7.51,6.96,7.3,56800,0,0
2020-04-01,7.35,7.6,6.54,6.76,63900,0,0
2020-04-02,7.05,7.17,6.41,6.82,17400,0,0
2020-04-03,6.65,7.09,6.49,6.73,22500,0,0
2020-04-06,7.0,7.39,7.0,7.3,92000,0,0
2020-04-07,7.51,7.51,6.65,6.65,59200,0,0
2020-04-08,6.59,7.74,6.51,7.18,49200,0,0
2020-04-09,7.25,8.14,7.14,7.48,56100,0,0
2020-04-13,7.45,7.82,7.16,7.28,105400,0,0
2020-04-14,7.29,8.01,7.25,7.38,50600,0,0
2020-04-15,7.3,7.65,6.6,6.94,54700,0,0
2020-04-16,6.94,7.12,6.66,6.69,55800,0,0
2020-04-17,6.8,7.56,6.75,6.85,105600,0,0
2020-04-20,6.85,7.44,6.36,6.65,122400,0,0
2020-04-21,6.6,6.76,6.3,6.46,79100,0,0
2020-04-22,6.6,6.9,6.52,6.75,85200,0,0
2020-04-23,6.75,7.1,6.36,6.45,102400,0,0
2020-04-24,6.45,6.64,6.15,6.39,166400,0,0
2020-04-27,6.59,7.3,6.36,7.1,197200,0,0
2020-04-28,7.39,7.88,6.78,7.18,163700,0,0
2020-04-29,7.49,8.77,7.17,8.06,165600,0,0
2020-04-30,8.06,8.17,7.23,7.25,102700,0,0
2020-05-01,7.37,7.43,6.8,7.2,62900,0,0
2020-05-04,7.05,7.24,6.76,6.9,73000,0,0
2020-05-05,6.94,7.83,6.94,7.21,133200,0,0
2020-05-06,7.5,7.75,7.32,7.43,87600,0,0
2020-05-07,7.62,7.66,7.37,7.43,43900,0,0
2020-05-08,7.62,7.77,7.43,7.66,62200,0,0
2020-05-11,7.55,7.88,7.0,7.66,142000,0,0
2020-05-12,7.65,7.65,6.81,6.91,181900,0,0
2020-05-13,6.9,7.04,6.66,6.95,77600,0,0
2020-05-14,6.83,6.98,6.35,6.96,184900,0,0
2020-05-15,6.85,7.08,6.72,7.05,88600,0,0
2020-05-18,7.15,7.19,7.0,7.12,91700,0,0
2020-05-19,7.14,7.2,7.07,7.08,86600,0,0
2020-05-20,7.15,7.53,7.1,7.47,159600,0,0
2020-05-21,7.66,7.66,7.3,7.46,70700,0,0
2020-05-22,7.48,7.51,7.2,7.38,47500,0,0
2020-05-26,7.46,7.67,7.0,7.51,152400,0,0
2020-05-27,7.61,8.23,7.52,8.18,129200,0,0
2020-05-28,8.11,8.68,8.11,8.32,101100,0,0
2020-05-29,8.38,8.7,8.11,8.55,92600,0,0
2020-06-01,8.52,9.1,8.37,8.61,235500,0,0
2020-06-02,8.62,8.74,8.26,8.4,148800,0,0
2020-06-03,8.61,8.8,7.83,7.9,145000,0,0
2020-06-04,7.89,8.44,7.83,8.13,76300,0,0
2020-06-05,8.65,8.71,7.83,8.47,68000,0,0
2020-06-08,8.65,8.89,8.38,8.75,151900,0,0
2020-06-09,8.7,8.7,8.37,8.46,74300,0,0
2020-06-10,8.47,8.75,8.42,8.56,85800,0,0
2020-06-11,8.41,8.44,6.91,7.05,109800,0,0
2020-06-12,7.52,7.88,7.25,7.81,73900,0,0
