Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,34.95,35.02,33.62,34.58,39200,0.0,0.0
2015-11-17,34.19,34.77,34.04,34.76,24200,0.0,0.0
2015-11-18,34.95,35.37,34.58,35.37,20600,0.0,0.0
2015-11-19,33.53,35.53,33.53,35.2,37400,0.0,0.0
2015-11-20,35.43,36.53,35.43,36.03,27200,0.0,0.0
2015-11-23,35.33,36.29,35.33,35.91,26600,0.0,0.0
2015-11-24,35.1,36.03,35.1,36.03,18900,0.0,0.0
2015-11-25,35.94,36.58,35.79,36.5,17200,0.0,0.0
2015-11-27,36.45,37.19,36.45,36.87,8800,0.0,0.0
2015-11-30,36.79,37.4,36.47,37.24,42400,0.0,0.0
2015-12-01,37.53,37.82,36.47,36.61,49500,0.0,0.0
2015-12-02,36.59,36.6,35.06,36.34,21300,0.16667,0.0
2015-12-03,36.33,36.77,35.4,36.4,51700,0.0,0.0
2015-12-04,36.38,37.35,36.02,36.73,36400,0.0,0.0
2015-12-07,36.24,36.87,35.38,35.7,39200,0.0,0.0
2015-12-08,34.4,35.64,34.4,35.34,18000,0.0,0.0
2015-12-09,34.42,35.56,34.42,34.94,27300,0.0,0.0
2015-12-10,35.02,35.45,34.54,35.24,29700,0.0,0.0
2015-12-11,34.66,35.02,34.02,34.29,38200,0.0,0.0
2015-12-14,33.86,34.93,33.74,34.79,36100,0.0,0.0
2015-12-15,35.15,35.4,34.73,35.15,23700,0.0,0.0
2015-12-16,35.2,36.02,34.79,35.92,19300,0.0,0.0
2015-12-17,35.55,35.86,35.47,35.53,14100,0.0,0.0
2015-12-18,35.32,35.32,34.71,34.72,72100,0.0,0.0
2015-12-21,34.72,35.63,34.72,35.29,29100,0.0,0.0
2015-12-22,35.18,35.6,34.66,35.59,46600,0.0,0.0
2015-12-23,34.9,36.2,34.9,36.09,12000,0.0,0.0
2015-12-24,35.79,37.13,35.65,36.47,28800,0.0,0.0
2015-12-28,36.41,36.72,35.87,36.36,33200,0.0,0.0
2015-12-29,36.72,37.39,36.38,36.95,13200,0.0,0.0
2015-12-30,36.62,37.12,35.5,36.45,64600,0.0,0.0
2015-12-31,36.4,36.83,35.58,35.72,33900,0.0,0.0
