Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,6.68,6.83,6.68,6.77,140200,0,0
2015-11-17,6.8,7.19,6.8,7.04,187000,0,0
2015-11-18,6.97,7.41,6.97,7.36,284600,0,0
2015-11-19,7.25,7.41,7.05,7.23,182900,0,0
2015-11-20,7.29,7.46,7.1,7.32,103800,0,0
2015-11-23,7.26,7.33,7.17,7.24,129000,0,0
2015-11-24,7.24,7.36,7.15,7.23,76400,0,0
2015-11-25,7.14,7.7,7.13,7.63,291300,0,0
2015-11-27,7.61,7.7,7.44,7.54,71400,0,0
2015-11-30,7.46,7.64,7.36,7.6,177100,0,0
2015-12-01,7.65,7.77,7.5,7.71,220700,0,0
2015-12-02,7.71,7.79,7.51,7.54,163500,0,0
2015-12-03,7.48,7.64,7.3,7.41,144200,0,0
2015-12-04,7.44,7.54,7.29,7.42,73300,0,0
2015-12-07,7.27,7.37,7.11,7.13,124800,0,0
2015-12-08,6.86,7.11,6.84,7.04,148900,0,0
2015-12-09,6.9,6.94,6.72,6.79,166000,0,0
2015-12-10,6.73,6.95,6.73,6.8,144500,0,0
2015-12-11,7.3,7.4,6.9,6.93,357900,0,0
2015-12-14,6.85,6.93,6.42,6.61,289100,0,0
2015-12-15,6.56,6.7,6.42,6.58,200600,0,0
2015-12-16,6.54,6.65,6.53,6.6,138300,0,0
2015-12-17,6.5,6.77,6.47,6.5,201400,0,0
2015-12-18,6.41,6.79,6.41,6.53,271500,0,0
2015-12-21,6.56,6.68,6.49,6.61,136900,0,0
2015-12-22,6.54,6.72,6.5,6.66,156000,0,0
2015-12-23,6.65,6.82,6.59,6.78,106300,0,0
2015-12-24,6.73,6.79,6.66,6.71,45600,0,0
2015-12-28,6.64,6.67,6.43,6.47,114600,0,0
2015-12-29,6.49,6.52,6.27,6.32,200200,0,0
2015-12-30,6.27,6.43,6.2,6.35,148900,0,0
2015-12-31,6.4,6.44,6.26,6.39,86000,0,0
2016-01-04,6.32,6.5,6.3,6.43,100000,0,0
2016-01-05,6.42,6.92,6.4,6.9,228600,0,0
2016-01-06,6.87,6.91,6.4,6.53,354900,0,0
2016-01-07,6.35,6.35,6.01,6.1,285200,0,0
