Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,8.69,8.69,8.69,8.69,0,0.0,0
2015-11-17,8.69,8.69,8.69,8.69,0,0.0,0
2015-11-18,8.87,8.87,8.87,8.87,0,0.0,0
2015-11-19,8.91,8.91,8.91,8.91,0,0.0,0
2015-11-20,8.96,8.96,8.96,8.96,0,0.0,0
2015-11-23,8.94,8.94,8.94,8.94,0,0.0,0
2015-11-24,8.96,8.96,8.96,8.96,0,0.0,0
2015-11-25,8.99,8.99,8.99,8.99,0,0.0,0
2015-11-27,9.01,9.01,9.01,9.01,0,0.0,0
2015-11-30,8.96,8.96,8.96,8.96,0,0.0,0
2015-12-01,9.02,9.02,9.02,9.02,0,0.0,0
2015-12-02,8.94,8.94,8.94,8.94,0,0.0,0
2015-12-03,8.81,8.81,8.81,8.81,0,0.0,0
2015-12-04,8.97,8.97,8.97,8.97,0,0.0,0
2015-12-07,8.9,8.9,8.9,8.9,0,0.0,0
2015-12-08,8.88,8.88,8.88,8.88,0,0.0,0
2015-12-09,8.75,8.75,8.75,8.75,0,0.0,0
2015-12-10,8.79,8.79,8.79,8.79,0,0.0,0
2015-12-11,8.57,8.57,8.57,8.57,0,0.0,0
2015-12-14,8.52,8.52,8.52,8.52,0,0.0,0
2015-12-15,8.63,8.63,8.63,8.63,0,0.0,0
2015-12-16,8.73,8.73,8.73,8.73,0,0.0,0
2015-12-17,8.65,8.65,8.65,8.65,0,0.0,0
2015-12-18,8.45,8.45,8.45,8.45,0,1.604,0
2015-12-21,8.52,8.52,8.52,8.52,0,0.0,0
2015-12-22,8.58,8.58,8.58,8.58,0,0.0,0
2015-12-23,8.64,8.64,8.64,8.64,0,0.0,0
2015-12-24,8.63,8.63,8.63,8.63,0,0.0,0
2015-12-28,8.6,8.6,8.6,8.6,0,0.0,0
2015-12-29,8.66,8.66,8.66,8.66,0,0.0,0
2015-12-30,8.64,8.64,8.64,8.64,0,0.0,0
2015-12-31,8.55,8.55,8.55,8.55,0,0.0,0
2016-01-04,8.42,8.42,8.42,8.42,0,0.0,0
2016-01-05,8.39,8.39,8.39,8.39,0,0.0,0
2016-01-06,8.28,8.28,8.28,8.28,0,0.0,0
2016-01-07,8.01,8.01,8.01,8.01,0,0.0,0
2016-01-08,7.91,7.91,7.91,7.91,0,0.0,0
2016-01-11,7.86,7.86,7.86,7.86,0,0.0,0
2016-01-12,7.91,7.91,7.91,7.91,0,0.0,0
2016-01-13,7.67,7.67,7.67,7.67,0,0.0,0
2016-01-14,7.78,7.78,7.78,7.78,0,0.0,0
2016-01-15,7.65,7.65,7.65,7.65,0,0.0,0
2016-01-19,7.6,7.6,7.6,7.6,0,0.0,0
2016-01-20,7.55,7.55,7.55,7.55,0,0.0,0
2016-01-21,7.59,7.59,7.59,7.59,0,0.0,0
2016-01-22,7.76,7.76,7.76,7.76,0,0.0,0
2016-01-25,7.64,7.64,7.64,7.64,0,0.0,0
2016-01-26,7.77,7.77,7.77,7.77,0,0.0,0
2016-01-27,7.66,7.66,7.66,7.66,0,0.0,0
2016-01-28,7.61,7.61,7.61,7.61,0,0.0,0
2016-01-29,7.76,7.76,7.76,7.76,0,0.0,0
2016-02-01,7.79,7.79,7.79,7.79,0,0.0,0
2016-02-02,7.6,7.6,7.6,7.6,0,0.0,0
2016-02-03,7.64,7.64,7.64,7.64,0,0.0,0
2016-02-04,7.73,7.73,7.73,7.73,0,0.0,0
2016-02-05,7.59,7.59,7.59,7.59,0,0.0,0
2016-02-08,7.43,7.43,7.43,7.43,0,0.0,0
2016-02-09,7.47,7.47,7.47,7.47,0,0.0,0
2016-02-10,7.49,7.49,7.49,7.49,0,0.0,0
2016-02-11,7.42,7.42,7.42,7.42,0,0.0,0
2016-02-12,7.56,7.56,7.56,7.56,0,0.0,0
2016-02-16,7.7,7.7,7.7,7.7,0,0.0,0
2016-02-17,7.81,7.81,7.81,7.81,0,0.0,0
2016-02-18,7.77,7.77,7.77,7.77,0,0.0,0
2016-02-19,7.77,7.77,7.77,7.77,0,0.0,0
2016-02-22,7.88,7.88,7.88,7.88,0,0.0,0
2016-02-23,7.79,7.79,7.79,7.79,0,0.0,0
2016-02-24,7.83,7.83,7.83,7.83,0,0.0,0
2016-02-25,7.88,7.88,7.88,7.88,0,0.0,0
2016-02-26,7.89,7.89,7.89,7.89,0,0.0,0
2016-02-29,7.86,7.86,7.86,7.86,0,0.0,0
2016-03-01,8.04,8.04,8.04,8.04,0,0.0,0
2016-03-02,8.05,8.05,8.05,8.05,0,0.0,0
2016-03-03,8.12,8.12,8.12,8.12,0,0.0,0
2016-03-04,8.14,8.14,8.14,8.14,0,0.0,0
2016-03-07,8.15,8.15,8.15,8.15,0,0.0,0
2016-03-08,8.03,8.03,8.03,8.03,0,0.0,0
2016-03-09,8.06,8.06,8.06,8.06,0,0.0,0
2016-03-10,8.03,8.03,8.03,8.03,0,0.0,0
2016-03-11,8.19,8.19,8.19,8.19,0,0.0,0
2016-03-14,8.17,8.17,8.17,8.17,0,0.0,0
