Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,7.54,7.54,7.54,7.54,0,0.0,0
2015-11-17,7.55,7.55,7.55,7.55,0,0.0,0
2015-11-18,7.65,7.65,7.65,7.65,0,0.0,0
2015-11-19,7.65,7.65,7.65,7.65,0,0.0,0
2015-11-20,7.69,7.69,7.69,7.69,0,0.0,0
2015-11-23,7.67,7.67,7.67,7.67,0,0.0,0
2015-11-24,7.67,7.67,7.67,7.67,0,0.0,0
2015-11-25,7.68,7.68,7.68,7.68,0,0.0,0
2015-11-27,7.69,7.69,7.69,7.69,0,0.0,0
2015-11-30,7.65,7.65,7.65,7.65,0,0.0,0
2015-12-01,7.72,7.72,7.72,7.72,0,0.0,0
2015-12-02,7.64,7.64,7.64,7.64,0,0.0,0
2015-12-03,7.55,7.55,7.55,7.55,0,0.0,0
2015-12-04,7.71,7.71,7.71,7.71,0,0.0,0
2015-12-07,7.67,7.67,7.67,7.67,0,0.0,0
2015-12-08,7.62,7.62,7.62,7.62,0,0.0,0
2015-12-09,7.55,7.55,7.55,7.55,0,0.0,0
2015-12-10,7.57,7.57,7.57,7.57,0,0.0,0
2015-12-11,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-14,7.47,7.47,7.47,7.47,0,0.098,0
2015-12-15,7.55,7.55,7.55,7.55,0,0.0,0
2015-12-16,7.66,7.66,7.66,7.66,0,0.0,0
2015-12-17,7.54,7.54,7.54,7.54,0,0.0,0
2015-12-18,7.41,7.41,7.41,7.41,0,0.0,0
2015-12-21,7.47,7.47,7.47,7.47,0,0.0,0
2015-12-22,7.54,7.54,7.54,7.54,0,0.0,0
2015-12-23,7.63,7.63,7.63,7.63,0,0.0,0
2015-12-24,7.62,7.62,7.62,7.62,0,0.0,0
2015-12-28,7.59,7.59,7.59,7.59,0,0.0,0
2015-12-29,7.68,7.68,7.68,7.68,0,0.0,0
2015-12-30,7.62,7.62,7.62,7.62,0,0.0,0
2015-12-31,7.55,7.55,7.55,7.55,0,0.0,0
2016-01-04,7.44,7.44,7.44,7.44,0,0.0,0
2016-01-05,7.45,7.45,7.45,7.45,0,0.0,0
2016-01-06,7.35,7.35,7.35,7.35,0,0.0,0
2016-01-07,7.18,7.18,7.18,7.18,0,0.0,0
2016-01-08,7.07,7.07,7.07,7.07,0,0.0,0
2016-01-11,7.07,7.07,7.07,7.07,0,0.0,0
2016-01-12,7.13,7.13,7.13,7.13,0,0.0,0
2016-01-13,6.92,6.92,6.92,6.92,0,0.0,0
