Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,2.42,2.51,2.11,2.12,33600,0,0
2015-11-17,2.21,2.42,2.15,2.21,51200,0,0
2015-11-18,2.08,2.3,2.08,2.2,8100,0,0
2015-11-19,2.2,2.34,2.18,2.33,20500,0,0
2015-11-20,2.31,2.35,2.28,2.34,17800,0,0
2015-11-23,2.28,2.35,2.21,2.32,25200,0,0
2015-11-24,2.28,2.5,2.28,2.45,37300,0,0
2015-11-25,2.47,2.71,2.47,2.54,16700,0,0
2015-11-27,2.55,2.75,2.55,2.75,19600,0,0
2015-11-30,2.71,2.71,2.6,2.63,38100,0,0
2015-12-01,2.72,2.72,2.48,2.48,22100,0,0
2015-12-02,2.5,2.69,2.46,2.47,19800,0,0
2015-12-03,2.47,2.59,2.37,2.37,5800,0,0
2015-12-04,2.46,2.47,2.42,2.46,2400,0,0
2015-12-07,2.5,2.5,2.48,2.5,1100,0,0
2015-12-08,2.47,2.56,2.32,2.32,6200,0,0
2015-12-09,2.49,2.69,2.4,2.4,65800,0,0
2015-12-10,2.4,2.56,2.3,2.3,33000,0,0
2015-12-11,2.35,2.35,2.25,2.26,10900,0,0
2015-12-14,2.31,2.31,2.2,2.23,12400,0,0
2015-12-15,2.27,2.3,2.2,2.24,17500,0,0
2015-12-16,2.25,2.38,2.25,2.25,13800,0,0
2015-12-17,2.21,2.34,2.2,2.3,6500,0,0
2015-12-18,2.25,2.29,2.2,2.22,16900,0,0
2015-12-21,2.19,2.23,2.12,2.22,15000,0,0
2015-12-22,2.23,2.23,2.1,2.13,6500,0,0
2015-12-23,2.16,2.23,2.16,2.19,5800,0,0
2015-12-24,2.16,2.22,2.16,2.19,2700,0,0
2015-12-28,2.25,2.25,2.15,2.16,8100,0,0
2015-12-29,2.2,2.2,2.0,2.0,70100,0,0
2015-12-30,2.05,2.19,2.03,2.08,18100,0,0
2015-12-31,2.08,2.08,2.0,2.02,30600,0,0
2016-01-04,2.03,2.12,2.03,2.08,10700,0,0
2016-01-05,2.09,2.13,2.09,2.1,6600,0,0
2016-01-06,2.09,2.11,2.09,2.09,4800,0,0
2016-01-07,2.06,2.08,2.03,2.06,17400,0,0
2016-01-08,2.08,2.15,2.08,2.1,26400,0,0
2016-01-11,2.18,2.18,2.08,2.13,16700,0,0
2016-01-12,2.17,2.18,2.16,2.16,700,0,0
2016-01-13,2.07,2.14,2.07,2.13,2400,0,0
2016-01-14,2.16,2.17,2.08,2.16,2600,0,0
2016-01-15,2.1,2.15,2.03,2.06,13500,0,0
2016-01-19,2.05,2.11,2.05,2.11,18700,0,0
2016-01-20,2.1,2.1,1.86,1.97,2500,0,0
2016-01-21,2.13,2.13,2.1,2.1,200,0,0
2016-01-22,2.08,2.08,1.99,1.99,5700,0,0
2016-01-25,2.15,2.15,1.99,1.99,8300,0,0
2016-01-26,2.05,2.05,1.8,1.8,4000,0,0
2016-01-27,2.12,2.12,1.92,1.93,13200,0,0
2016-01-28,1.98,1.98,1.82,1.83,7100,0,0
2016-01-29,1.85,1.85,1.7,1.7,17300,0,0
2016-02-01,1.7,1.76,1.53,1.75,18900,0,0
2016-02-02,1.68,1.68,1.47,1.53,42600,0,0
2016-02-03,1.53,1.53,1.2,1.36,67800,0,0
2016-02-04,1.63,1.63,1.36,1.41,20300,0,0
2016-02-05,1.5,1.5,1.42,1.43,9600,0,0
2016-02-08,1.23,1.23,1.04,1.08,88800,0,0
2016-02-09,1.08,1.08,1.03,1.07,10300,0,0
2016-02-10,1.08,1.13,1.08,1.1,22200,0,0
2016-02-11,1.15,1.24,1.13,1.15,28300,0,0
2016-02-12,1.15,1.77,1.15,1.57,29900,0,0
2016-02-16,1.64,1.72,1.56,1.56,35900,0,0
2016-02-17,1.66,1.66,1.35,1.41,34600,0,0
2016-02-18,1.54,1.65,1.34,1.49,15000,0,0
2016-02-19,1.47,1.66,1.4,1.65,23000,0,0
2016-02-22,1.66,1.74,1.53,1.6,54500,0,0
2016-02-23,1.66,1.66,1.59,1.65,8600,0,0
2016-02-24,1.72,1.72,1.61,1.72,6200,0,0
2016-02-25,1.76,1.77,1.69,1.7,7000,0,0
2016-02-26,1.7,1.7,1.65,1.65,7400,0,0
2016-02-29,1.67,1.69,1.62,1.62,1800,0,0
2016-03-01,1.63,1.76,1.63,1.74,18800,0,0
2016-03-02,1.76,1.99,1.76,1.96,28700,0,0
2016-03-03,2.0,2.2,1.97,2.15,51100,0,0
2016-03-04,2.23,2.36,2.14,2.15,43200,0,0
2016-03-07,2.22,2.24,1.63,1.83,44000,0,0
2016-03-08,1.83,1.83,1.67,1.79,14100,0,0
2016-03-09,1.79,1.79,1.76,1.76,300,0,0
2016-03-10,1.78,1.83,1.71,1.71,11200,0,0
2016-03-11,1.77,1.79,1.67,1.76,12000,0,0
2016-03-14,1.66,1.77,1.6,1.67,24000,0,0
2016-03-15,1.7,1.74,1.53,1.59,24800,0,0
2016-03-16,1.57,1.58,1.46,1.46,35400,0,0
2016-03-17,1.48,1.6,1.38,1.42,21200,0,0
2016-03-18,1.42,1.55,1.35,1.5,35800,0,0
2016-03-21,1.48,1.7,1.48,1.7,22000,0,0
2016-03-22,1.7,1.7,1.6,1.69,8500,0,0
2016-03-23,1.67,1.79,1.61,1.72,9900,0,0
2016-03-24,1.74,1.75,1.65,1.73,6300,0,0
2016-03-28,1.75,1.78,1.7,1.77,11900,0,0
2016-03-29,1.78,2.44,1.78,1.9,11100,0,0
2016-03-30,1.91,2.25,1.91,2.1,32100,0,0
2016-03-31,2.12,2.15,2.0,2.03,11600,0,0
2016-04-01,2.1,2.1,2.0,2.0,2700,0,0
2016-04-04,1.97,2.14,1.97,2.08,6700,0,0
2016-04-05,2.15,2.15,2.0,2.0,14800,0,0
2016-04-06,2.1,2.24,2.1,2.24,10100,0,0
2016-04-07,2.17,2.25,2.15,2.2,3600,0,0
2016-04-08,2.2,2.24,1.86,2.11,20000,0,0
2016-04-11,2.15,2.25,2.0,2.17,6400,0,0
2016-04-12,2.16,2.25,2.1,2.2,20900,0,0
2016-04-13,2.24,2.69,2.24,2.52,41400,0,0
2016-04-14,2.49,2.53,2.49,2.53,8700,0,0
2016-04-15,2.54,2.54,2.44,2.44,3200,0,0
2016-04-18,2.51,2.64,2.47,2.47,17600,0,0
2016-04-19,2.65,2.65,2.53,2.61,16200,0,0
2016-04-20,2.62,2.85,2.61,2.7,43600,0,0
2016-04-21,2.8,3.0,2.65,2.92,38000,0,0
2016-04-22,2.88,2.93,2.65,2.66,18500,0,0
2016-04-25,2.66,2.69,2.43,2.65,24900,0,0
2016-04-26,2.65,2.65,2.41,2.49,14700,0,0
2016-04-27,2.5,2.85,2.48,2.52,229800,0,0
2016-04-28,2.4,2.66,2.33,2.42,36700,0,0
2016-04-29,2.37,2.54,2.25,2.26,9800,0,0
2016-05-02,2.3,2.4,2.03,2.03,31000,0,0
2016-05-03,2.3,2.31,1.95,1.95,28400,0,0
2016-05-04,1.97,1.98,1.63,1.85,35600,0,0
2016-05-05,1.72,1.98,1.72,1.98,34500,0,0
2016-05-06,1.75,1.98,1.75,1.87,16000,0,0
2016-05-09,1.9,1.94,1.75,1.94,8700,0,0
2016-05-10,1.9,1.95,1.84,1.94,24400,0,0
2016-05-11,1.88,2.22,1.82,2.12,37100,0,0
2016-05-12,2.2,2.2,2.0,2.13,9900,0,0
2016-05-13,2.13,2.13,1.97,2.04,1000,0,0
2016-05-16,2.06,2.12,2.0,2.01,12500,0,0
2016-05-17,1.95,1.95,1.65,1.75,37300,0,0
2016-05-18,1.82,1.82,1.73,1.74,2800,0,0
2016-05-19,1.74,2.06,1.71,2.0,16800,0,0
2016-05-20,2.04,2.24,2.0,2.09,29700,0,0
2016-05-23,2.2,2.2,1.91,1.98,21900,0,0
2016-05-24,1.95,1.96,1.93,1.93,4600,0,0
2016-05-25,1.99,1.99,1.8,1.89,25900,0,0
2016-05-26,1.83,1.9,1.76,1.83,51400,0,0
2016-05-27,1.85,1.93,1.75,1.79,17900,0,0
2016-05-31,1.78,1.85,1.6,1.84,34600,0,0
2016-06-01,1.83,1.84,1.79,1.79,12900,0,0
2016-06-02,1.84,1.85,1.8,1.8,4100,0,0
2016-06-03,1.79,1.8,1.61,1.66,15500,0,0
2016-06-06,1.66,1.79,1.63,1.79,9700,0,0
2016-06-07,1.71,1.85,1.7,1.7,7500,0,0
2016-06-08,1.7,1.72,1.63,1.63,23000,0,0
2016-06-09,1.61,1.61,1.57,1.59,10800,0,0
2016-06-10,1.65,1.65,1.52,1.59,11600,0,0
2016-06-13,1.54,1.66,1.5,1.53,26500,0,0
2016-06-14,1.52,1.55,1.5,1.55,6000,0,0
2016-06-15,1.55,1.6,1.55,1.56,5000,0,0
2016-06-16,1.57,1.58,1.5,1.51,24300,0,0
2016-06-17,1.51,1.61,1.51,1.61,15900,0,0
2016-06-20,1.61,1.61,1.55,1.56,10200,0,0
2016-06-21,1.6,1.77,1.5,1.59,26200,0,0
2016-06-22,1.56,1.61,1.56,1.58,6600,0,0
2016-06-23,1.63,1.68,1.56,1.56,10300,0,0
2016-06-24,1.55,1.6,1.55,1.56,10700,0,0
2016-06-27,1.55,1.74,1.55,1.72,13300,0,0
2016-06-28,1.75,2.0,1.68,1.93,34800,0,0
2016-06-29,1.96,2.69,1.85,2.36,332200,0,0
2016-06-30,2.15,2.55,2.07,2.08,93400,0,0
2016-07-01,2.09,2.2,1.7,1.7,107400,0,0
2016-07-05,1.84,1.84,1.66,1.67,32900,0,0
2016-07-06,1.72,1.74,1.67,1.68,11500,0,0
2016-07-07,1.7,1.97,1.7,1.78,23600,0,0
2016-07-08,1.89,1.92,1.75,1.82,21600,0,0
2016-07-11,1.93,1.93,1.71,1.71,12800,0,0
2016-07-12,1.78,1.82,1.73,1.74,24700,0,0
2016-07-13,1.78,1.92,1.71,1.77,64600,0,0
2016-07-14,1.82,1.96,1.82,1.88,34100,0,0
2016-07-15,1.87,1.91,1.73,1.78,35800,0,0
2016-07-18,1.79,1.79,1.7,1.77,28900,0,0
2016-07-19,1.8,1.85,1.78,1.78,12600,0,0
2016-07-20,1.83,1.88,1.77,1.79,50700,0,0
2016-07-21,1.8,1.84,1.78,1.8,8300,0,0
2016-07-22,1.76,1.84,1.74,1.75,8600,0,0
2016-07-25,1.75,1.81,1.63,1.8,118200,0,0
2016-07-26,1.8,1.9,1.67,1.9,39200,0,0
2016-07-27,1.9,2.03,1.9,1.93,20700,0,0
2016-07-28,2.0,2.05,1.8,2.03,12400,0,0
2016-07-29,2.0,2.04,1.86,2.02,17500,0,0
2016-08-01,2.1,2.5,1.91,2.12,169700,0,0
2016-08-02,2.12,2.33,2.1,2.16,139300,0,0
2016-08-03,2.2,2.28,2.04,2.22,23000,0,0
2016-08-04,2.25,2.5,2.2,2.25,117600,0,0
