Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,12.03,12.78,12.03,12.62,405700,0,0
2015-11-17,12.61,12.71,12.5,12.57,124500,0,0
2015-11-18,12.68,12.75,12.46,12.65,139100,0,0
2015-11-19,12.65,12.67,12.51,12.63,80100,0,0
2015-11-20,12.72,12.72,12.46,12.6,236200,0,0
2015-11-23,12.5,12.57,12.35,12.5,251200,0,0
2015-11-24,12.55,12.55,12.22,12.45,102300,0,0
2015-11-25,12.3,12.52,12.01,12.35,196900,0,0
2015-11-27,12.37,12.56,12.29,12.54,90800,0,0
2015-11-30,12.52,12.84,12.31,12.51,367600,0,0
2015-12-01,12.58,12.84,12.53,12.64,156700,0,0
2015-12-02,12.7,12.77,12.59,12.73,145600,0,0
2015-12-03,12.84,12.85,12.5,12.51,143200,0,0
2015-12-04,12.57,12.71,12.37,12.61,159600,0,0
2015-12-07,12.68,12.68,12.55,12.64,132000,0,0
2015-12-08,12.59,12.7,12.25,12.54,79700,0,0
2015-12-09,12.53,12.7,12.4,12.49,101500,0,0
2015-12-10,12.46,12.51,12.22,12.27,79300,0,0
2015-12-11,12.08,12.25,11.75,12.02,95900,0,0
2015-12-14,11.91,11.91,11.67,11.8,163300,0,0
2015-12-15,11.9,12.15,11.59,12.08,156100,0,0
2015-12-16,12.12,12.25,11.5,12.09,109600,0,0
2015-12-17,12.07,12.48,11.9,11.93,217500,0,0
2015-12-18,11.86,11.97,11.66,11.74,598300,0,0
2015-12-21,11.83,12.02,11.41,11.64,225500,0,0
2015-12-22,11.57,11.9,11.37,11.88,153000,0,0
2015-12-23,12.0,12.0,11.74,11.76,83400,0,0
2015-12-24,11.72,12.0,11.72,11.94,59400,0,0
2015-12-28,11.82,11.85,11.34,11.4,116000,0,0
2015-12-29,11.39,11.71,11.14,11.67,143900,0,0
2015-12-30,11.69,11.79,11.64,11.67,116300,0,0
2015-12-31,11.71,11.96,11.34,11.38,142200,0,0
2016-01-04,11.23,11.25,10.77,10.83,195200,0,0
2016-01-05,10.88,11.12,10.69,11.03,130900,0,0
2016-01-06,10.84,11.16,10.84,11.04,149700,0,0
2016-01-07,10.92,11.05,10.72,10.85,124000,0,0
2016-01-08,10.97,11.16,10.68,10.74,312000,0,0
2016-01-11,10.84,10.97,10.75,10.88,109500,0,0
2016-01-12,11.0,11.0,10.61,10.8,103800,0,0
2016-01-13,10.81,10.84,10.42,10.45,97300,0,0
2016-01-14,10.55,12.23,10.48,10.62,155900,0,0
2016-01-15,10.31,10.47,9.99,10.47,178100,0,0
2016-01-19,10.49,10.63,10.24,10.41,152300,0,0
2016-01-20,10.21,10.51,9.84,10.4,125000,0,0
2016-01-21,10.51,10.58,9.76,10.45,177300,0,0
2016-01-22,9.5,9.56,8.56,8.78,941600,0,0
2016-01-25,9.11,9.63,8.48,8.62,853100,0,0
2016-01-26,8.66,9.07,8.43,9.03,302300,0,0
2016-01-27,9.0,9.0,8.67,8.83,257500,0,0
2016-01-28,8.87,8.94,8.74,8.91,233900,0,0
2016-01-29,8.9,9.21,8.83,9.12,266300,0,0
2016-02-01,9.11,9.26,8.9,9.19,152300,0,0
2016-02-02,9.07,9.19,8.66,8.74,111100,0,0
2016-02-03,8.78,8.93,8.61,8.89,121800,0,0
2016-02-04,8.94,8.99,8.72,8.83,110000,0,0
2016-02-05,8.83,8.84,8.4,8.56,108400,0,0
2016-02-08,8.46,8.62,8.26,8.48,132400,0,0
2016-02-09,8.39,8.56,8.21,8.29,80300,0,0
2016-02-10,8.35,8.58,8.28,8.29,55500,0,0
2016-02-11,8.17,8.18,7.87,7.88,135400,0,0
2016-02-12,8.11,8.28,7.7,8.27,117700,0,0
2016-02-16,8.32,8.6,8.27,8.47,115400,0,0
2016-02-17,8.51,8.7,8.43,8.56,84600,0,0
2016-02-18,8.61,8.73,8.53,8.59,80400,0,0
2016-02-19,8.57,8.69,8.5,8.59,68700,0,0
2016-02-22,8.61,8.77,8.48,8.5,178300,0,0
2016-02-23,8.5,8.57,8.37,8.47,161700,0,0
2016-02-24,8.38,8.49,8.24,8.41,135000,0,0
2016-02-25,8.4,8.6,8.39,8.49,83800,0,0
2016-02-26,8.56,8.69,8.48,8.58,80700,0,0
2016-02-29,8.54,8.73,8.47,8.49,97100,0,0
2016-03-01,8.58,8.69,8.49,8.69,113500,0,0
2016-03-02,8.66,8.85,8.63,8.75,93100,0,0
2016-03-03,8.72,8.81,8.59,8.67,59500,0,0
2016-03-04,8.66,8.76,8.63,8.65,51000,0,0
2016-03-07,8.59,8.82,8.59,8.82,86000,0,0
2016-03-08,8.75,8.91,8.64,8.82,105400,0,0
2016-03-09,8.85,8.96,8.69,8.75,155000,0,0
2016-03-10,8.78,8.81,8.48,8.55,120100,0,0
2016-03-11,8.6,8.73,8.52,8.66,65100,0,0
2016-03-14,8.63,8.74,8.48,8.64,40000,0,0
2016-03-15,8.61,8.61,8.34,8.36,67600,0,0
2016-03-16,8.37,8.5,8.33,8.49,59300,0,0
2016-03-17,8.49,9.05,8.39,8.94,130900,0,0
2016-03-18,9.0,9.17,8.7,8.73,318400,0,0
2016-03-21,8.76,9.35,8.76,9.3,114400,0,0
2016-03-22,9.25,9.25,8.78,8.85,120000,0,0
2016-03-23,8.83,9.05,8.7,8.8,108800,0,0
2016-03-24,8.73,8.98,8.7,8.85,78800,0,0
2016-03-28,8.9,8.9,8.52,8.66,43700,0,0
2016-03-29,8.57,8.99,8.55,8.95,97200,0,0
2016-03-30,9.0,9.0,8.79,8.85,62500,0,0
2016-03-31,8.85,9.45,8.82,9.43,258100,0,0
2016-04-01,9.38,9.38,8.82,8.89,110800,0,0
2016-04-04,8.86,8.96,8.78,8.81,73100,0,0
2016-04-05,8.77,8.95,8.66,8.77,95000,0,0
2016-04-06,8.69,8.83,8.62,8.67,52700,0,0
2016-04-07,8.59,8.69,8.37,8.46,378800,0,0
2016-04-08,8.56,8.75,8.54,8.69,47600,0,0
2016-04-11,8.76,8.92,8.54,8.87,110300,0,0
2016-04-12,8.94,9.05,8.79,9.0,167900,0,0
2016-04-13,9.03,9.23,9.0,9.17,79700,0,0
2016-04-14,9.21,9.24,8.95,9.04,51600,0,0
2016-04-15,8.98,9.02,8.9,8.92,31600,0,0
2016-04-18,8.9,9.13,8.83,9.1,85600,0,0
2016-04-19,9.11,9.19,8.99,9.09,46300,0,0
2016-04-20,9.1,9.18,8.97,9.17,108100,0,0
2016-04-21,9.12,9.25,9.02,9.21,92900,0,0
2016-04-22,9.19,9.42,9.18,9.4,95100,0,0
2016-04-25,9.34,9.38,9.15,9.21,66900,0,0
2016-04-26,9.21,9.38,9.15,9.24,49700,0,0
2016-04-27,9.26,9.42,9.2,9.31,95400,0,0
2016-04-28,9.3,9.49,9.19,9.26,73400,0,0
2016-04-29,9.51,11.01,9.51,10.57,223000,0,0
2016-05-02,10.57,10.84,10.32,10.78,139600,0,0
2016-05-03,10.65,10.71,10.22,10.52,80700,0,0
2016-05-04,10.5,10.73,10.42,10.55,89200,0,0
2016-05-05,10.62,10.71,10.24,10.28,103500,0,0
2016-05-06,10.28,11.0,10.21,10.81,169900,0,0
2016-05-09,10.88,11.04,10.6,11.01,83900,0,0
2016-05-10,11.0,11.4,10.99,11.29,125800,0,0
2016-05-11,11.28,11.28,11.19,11.2,55100,0,0
2016-05-12,11.22,11.4,11.15,11.19,61100,0,0
2016-05-13,11.17,11.27,11.01,11.09,82200,0,0
2016-05-16,11.08,11.16,10.53,11.12,46300,0,0
2016-05-17,11.1,11.1,10.54,10.6,74700,0,0
2016-05-18,10.58,10.97,10.54,10.83,56600,0,0
2016-05-19,10.79,10.81,10.5,10.59,32800,0,0
2016-05-20,10.61,11.04,10.31,11.01,88600,0,0
2016-05-23,10.99,11.12,10.76,10.8,45000,0,0
2016-05-24,10.84,11.25,10.84,11.17,61600,0,0
2016-05-25,11.21,11.62,11.09,11.21,76400,0,0
2016-05-26,11.3,11.45,11.08,11.15,29900,0,0
2016-05-27,11.14,11.23,10.93,11.09,67300,0,0
2016-05-31,11.09,11.15,10.85,11.04,111300,0,0
2016-06-01,10.95,11.27,10.93,11.19,60800,0,0
2016-06-02,11.27,11.69,11.12,11.58,79700,0,0
2016-06-03,11.41,11.46,11.14,11.3,59000,0,0
2016-06-06,11.24,11.49,10.95,11.42,55300,0,0
2016-06-07,11.39,11.59,11.18,11.25,36100,0,0
2016-06-08,11.28,11.36,10.59,11.27,26100,0,0
2016-06-09,11.26,11.26,10.51,11.08,39900,0,0
2016-06-10,11.02,11.22,10.86,11.04,52400,0,0
2016-06-13,11.03,11.31,10.83,11.02,45300,0,0
2016-06-14,11.02,11.22,10.35,11.12,37700,0,0
2016-06-15,11.19,11.19,10.93,10.95,32100,0,0
2016-06-16,11.12,11.14,10.75,11.1,35600,0,0
2016-06-17,11.1,11.14,10.78,10.81,140800,0,0
2016-06-20,10.95,11.35,10.95,11.15,79200,0,0
2016-06-21,11.19,11.28,10.92,11.07,52700,0,0
2016-06-22,11.09,11.22,10.85,10.97,52400,0,0
2016-06-23,11.11,11.26,10.96,11.12,55900,0,0
2016-06-24,10.6,10.76,10.32,10.4,296400,0,0
2016-06-27,10.29,10.32,9.69,9.71,158000,0,0
2016-06-28,9.8,10.2,9.75,10.05,99600,0,0
2016-06-29,10.13,10.34,9.46,10.34,71400,0,0
2016-06-30,10.3,10.74,10.08,10.73,83500,0,0
2016-07-01,10.67,10.69,10.17,10.37,59000,0,0
2016-07-05,10.36,10.58,10.1,10.22,63700,0,0
2016-07-06,10.14,10.3,10.02,10.22,44700,0,0
2016-07-07,10.22,11.0,10.02,10.23,47400,0,0
2016-07-08,10.39,10.39,9.79,10.3,80700,0,0
