Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,0.05,0.05,0.05,0.05,0,0,0
2015-11-17,0.05,0.05,0.04,0.05,3700,0,0
2015-11-18,0.05,0.05,0.05,0.05,7800,0,0
2015-11-19,0.05,0.05,0.04,0.04,4200,0,0
2015-11-20,0.04,0.04,0.04,0.04,0,0,0
2015-11-23,0.04,0.04,0.04,0.04,1300,0,0
2015-11-24,0.04,0.04,0.04,0.04,6500,0,0
2015-11-25,0.04,0.05,0.04,0.05,25400,0,0
2015-11-27,0.05,0.05,0.05,0.05,1500,0,0
2015-11-30,0.04,0.05,0.04,0.04,8000,0,0
2015-12-01,0.05,0.05,0.04,0.04,1200,0,0
2015-12-02,0.04,0.04,0.04,0.04,500,0,0
2015-12-03,0.05,0.05,0.05,0.05,5000,0,0
2015-12-04,0.05,0.05,0.04,0.04,1700,0,0
2015-12-07,0.04,0.04,0.04,0.04,1000,0,0
2015-12-08,0.05,0.05,0.05,0.05,2600,0,0
2015-12-09,0.04,0.04,0.04,0.04,1300,0,0
2015-12-10,0.04,0.04,0.04,0.04,0,0,0
2015-12-11,0.04,0.04,0.04,0.04,100,0,0
2015-12-14,0.04,0.04,0.04,0.04,3000,0,0
2015-12-15,0.04,0.04,0.04,0.04,0,0,0
2015-12-16,0.04,0.04,0.04,0.04,4700,0,0
2015-12-17,0.04,0.04,0.04,0.04,24500,0,0
2015-12-18,0.04,0.04,0.03,0.03,6800,0,0
2015-12-21,0.03,0.03,0.03,0.03,0,0,0
2015-12-22,0.03,0.03,0.03,0.03,2400,0,0
2015-12-23,0.03,0.04,0.03,0.04,40600,0,0
2015-12-24,0.04,0.04,0.04,0.04,0,0,0
2015-12-28,0.04,0.04,0.04,0.04,0,0,0
2015-12-29,0.04,0.04,0.04,0.04,2500,0,0
2015-12-30,0.04,0.04,0.04,0.04,0,0,0
2015-12-31,0.04,0.04,0.04,0.04,0,0,0
2016-01-04,0.03,0.03,0.03,0.03,22800,0,0
2016-01-05,0.03,0.03,0.03,0.03,0,0,0
2016-01-06,0.03,0.03,0.03,0.03,0,0,0
2016-01-07,0.04,0.05,0.04,0.04,131200,0,0
2016-01-08,0.04,0.04,0.04,0.04,32000,0,0
2016-01-11,0.04,0.04,0.04,0.04,0,0,0
2016-01-12,0.03,0.03,0.03,0.03,7500,0,0
2016-01-13,0.03,0.03,0.03,0.03,7200,0,0
2016-01-14,0.05,0.05,0.03,0.03,13700,0,0
2016-01-15,0.03,0.03,0.03,0.03,0,0,0
2016-01-19,0.03,0.03,0.03,0.03,0,0,0
2016-01-20,0.03,0.03,0.03,0.03,25200,0,0
2016-01-21,0.03,0.03,0.03,0.03,3500,0,0
2016-01-22,0.03,0.03,0.03,0.03,0,0,0
2016-01-25,0.03,0.03,0.03,0.03,5000,0,0
2016-01-26,0.03,0.03,0.03,0.03,0,0,0
2016-01-27,0.03,0.03,0.03,0.03,4800,0,0
2016-01-28,0.03,0.04,0.03,0.03,3200,0,0
2016-01-29,0.03,0.03,0.03,0.03,0,0,0
2016-02-01,0.03,0.03,0.03,0.03,0,0,0
2016-02-02,0.03,0.03,0.03,0.03,0,0,0
2016-02-03,0.03,0.03,0.03,0.03,0,0,0
2016-02-04,0.03,0.03,0.03,0.03,9000,0,0
2016-02-05,0.03,0.03,0.03,0.03,0,0,0
2016-02-08,0.03,0.03,0.03,0.03,10000,0,0
2016-02-09,0.03,0.03,0.03,0.03,0,0,0
2016-02-10,0.03,0.03,0.03,0.03,0,0,0
2016-02-11,0.03,0.03,0.03,0.03,0,0,0
2016-02-12,0.03,0.03,0.03,0.03,0,0,0
2016-02-16,0.05,0.05,0.05,0.05,400,0,0
2016-02-17,0.03,0.03,0.03,0.03,600,0,0
2016-02-18,0.03,0.04,0.03,0.04,5700,0,0
2016-02-19,0.04,0.04,0.04,0.04,2100,0,0
2016-02-22,0.04,0.04,0.04,0.04,0,0,0
2016-02-23,0.03,0.03,0.03,0.03,1000,0,0
2016-02-24,0.03,0.04,0.03,0.04,19300,0,0
2016-02-25,0.04,0.04,0.04,0.04,14100,0,0
2016-02-26,0.04,0.04,0.04,0.04,9400,0,0
2016-02-29,0.04,0.04,0.04,0.04,0,0,0
2016-03-01,0.04,0.04,0.04,0.04,0,0,0
2016-03-02,0.03,0.03,0.03,0.03,2600,0,0
2016-03-03,0.03,0.03,0.03,0.03,3200,0,0
2016-03-04,0.03,0.03,0.03,0.03,0,0,0
2016-03-07,0.03,0.03,0.03,0.03,0,0,0
2016-03-08,0.03,0.04,0.03,0.04,3100,0,0
2016-03-09,0.04,0.04,0.03,0.03,12600,0,0
2016-03-10,0.02,0.02,0.02,0.02,8000,0,0
2016-03-11,0.02,0.02,0.02,0.02,0,0,0
2016-03-14,0.02,0.04,0.02,0.02,6400,0,0
2016-03-15,0.02,0.02,0.02,0.02,0,0,0
2016-03-16,0.02,0.02,0.02,0.02,0,0,0
2016-03-17,0.02,0.02,0.02,0.02,1000,0,0
2016-03-18,0.02,0.02,0.02,0.02,0,0,0
2016-03-21,0.02,0.02,0.02,0.02,0,0,0
2016-03-22,0.02,0.02,0.02,0.02,0,0,0
2016-03-23,0.02,0.02,0.02,0.02,0,0,0
2016-03-24,0.02,0.02,0.02,0.02,0,0,0
2016-03-28,0.02,0.02,0.02,0.02,1500,0,0
2016-03-29,0.02,0.02,0.02,0.02,0,0,0
2016-03-30,0.02,0.02,0.02,0.02,0,0,0
2016-03-31,0.02,0.03,0.02,0.02,7200,0,0
2016-04-01,0.02,0.02,0.02,0.02,0,0,0
2016-04-04,0.02,0.02,0.02,0.02,3000,0,0
2016-04-05,0.02,0.02,0.02,0.02,10000,0,0
2016-04-06,0.02,0.02,0.02,0.02,0,0,0
2016-04-07,0.02,0.02,0.02,0.02,0,0,0
2016-04-08,0.02,0.02,0.02,0.02,0,0,0
2016-04-11,0.02,0.02,0.02,0.02,500,0,0
2016-04-12,0.02,0.04,0.02,0.04,11100,0,0
2016-04-13,0.04,0.04,0.04,0.04,2500,0,0
2016-04-14,0.04,0.04,0.04,0.04,0,0,0
2016-04-15,0.04,0.04,0.04,0.04,0,0,0
2016-04-18,0.04,0.04,0.04,0.04,0,0,0
2016-04-19,0.04,0.04,0.04,0.04,0,0,0
2016-04-20,0.04,0.04,0.04,0.04,0,0,0
2016-04-21,0.04,0.04,0.04,0.04,0,0,0
