Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,13.84,13.84,13.84,13.84,0,0.0,0
2015-11-17,13.81,13.81,13.81,13.81,0,0.0,0
2015-11-18,13.99,13.99,13.99,13.99,0,0.0,0
2015-11-19,13.96,13.96,13.96,13.96,0,0.0,0
2015-11-20,13.97,13.97,13.97,13.97,0,0.0,0
2015-11-23,13.94,13.94,13.94,13.94,0,0.0,0
2015-11-24,13.98,13.98,13.98,13.98,0,0.0,0
2015-11-25,13.98,13.98,13.98,13.98,0,0.0,0
2015-11-27,14.0,14.0,14.0,14.0,0,0.0,0
2015-11-30,13.96,13.96,13.96,13.96,0,0.0,0
2015-12-01,14.1,14.1,14.1,14.1,0,0.0,0
2015-12-02,13.92,13.92,13.92,13.92,0,0.0,0
2015-12-03,13.76,13.76,13.76,13.76,0,0.0,0
2015-12-04,13.99,13.99,13.99,13.99,0,0.0,0
2015-12-07,13.84,13.84,13.84,13.84,0,0.0,0
2015-12-08,13.71,13.71,13.71,13.71,0,0.0,0
2015-12-09,13.65,13.65,13.65,13.65,0,0.0,0
2015-12-10,13.65,13.65,13.65,13.65,0,0.0,0
2015-12-11,13.41,13.41,13.41,13.41,0,0.0,0
2015-12-14,13.42,13.42,13.42,13.42,0,0.0,0
2015-12-15,13.61,13.61,13.61,13.61,0,0.0,0
2015-12-16,13.8,13.8,13.8,13.8,0,0.0,0
2015-12-17,13.59,13.59,13.59,13.59,0,1.374,0
2015-12-18,13.38,13.38,13.38,13.38,0,0.0,0
2015-12-21,13.47,13.47,13.47,13.47,0,0.0,0
2015-12-22,13.6,13.6,13.6,13.6,0,0.0,0
2015-12-23,13.85,13.85,13.85,13.85,0,0.0,0
2015-12-24,13.82,13.82,13.82,13.82,0,0.0,0
2015-12-28,13.78,13.78,13.78,13.78,0,0.0,0
2015-12-29,13.9,13.9,13.9,13.9,0,0.0,0
2015-12-30,13.79,13.79,13.79,13.79,0,0.0,0
2015-12-31,13.69,13.69,13.69,13.69,0,0.0,0
2016-01-04,13.52,13.52,13.52,13.52,0,0.0,0
2016-01-05,13.58,13.58,13.58,13.58,0,0.0,0
2016-01-06,13.35,13.35,13.35,13.35,0,0.0,0
2016-01-07,13.03,13.03,13.03,13.03,0,0.0,0
2016-01-08,12.88,12.88,12.88,12.88,0,0.0,0
2016-01-11,12.85,12.85,12.85,12.85,0,0.0,0
2016-01-12,12.91,12.91,12.91,12.91,0,0.0,0
2016-01-13,12.66,12.66,12.66,12.66,0,0.0,0
2016-01-14,12.84,12.84,12.84,12.84,0,0.0,0
2016-01-15,12.58,12.58,12.58,12.58,0,0.0,0
2016-01-19,12.57,12.57,12.57,12.57,0,0.0,0
2016-01-20,12.37,12.37,12.37,12.37,0,0.0,0
