Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-26,10.0,10.0,10.0,10.0,0,0,0
2020-02-27,10.0,10.0,10.0,10.0,0,0,0
2020-02-28,9.77,9.77,9.77,9.77,0,0,0
2020-03-02,9.97,9.97,9.97,9.97,0,0,0
2020-03-03,9.85,9.85,9.85,9.85,0,0,0
2020-03-04,10.02,10.02,10.02,10.02,0,0,0
2020-03-05,9.86,9.86,9.86,9.86,0,0,0
2020-03-06,9.65,9.65,9.65,9.65,0,0,0
2020-03-09,8.95,8.95,8.95,8.95,0,0,0
2020-03-10,9.4,9.4,9.4,9.4,0,0,0
2020-03-11,8.97,8.97,8.97,8.97,0,0,0
2020-03-12,8.1,8.1,8.1,8.1,0,0,0
2020-03-13,8.71,8.71,8.71,8.71,0,0,0
2020-03-16,7.61,7.61,7.61,7.61,0,0,0
2020-03-17,7.93,7.93,7.93,7.93,0,0,0
2020-03-18,7.32,7.32,7.32,7.32,0,0,0
2020-03-19,7.18,7.18,7.18,7.18,0,0,0
2020-03-20,7.31,7.31,7.31,7.31,0,0,0
2020-03-23,7.15,7.15,7.15,7.15,0,0,0
2020-03-24,7.71,7.71,7.71,7.71,0,0,0
2020-03-25,7.98,7.98,7.98,7.98,0,0,0
2020-03-26,8.32,8.32,8.32,8.32,0,0,0
2020-03-27,7.84,7.84,7.84,7.84,0,0,0
2020-03-30,7.96,7.96,7.96,7.96,0,0,0
2020-03-31,7.98,7.98,7.98,7.98,0,0,0
2020-04-01,7.68,7.68,7.68,7.68,0,0,0
2020-04-02,7.89,7.89,7.89,7.89,0,0,0
2020-04-03,7.7,7.7,7.7,7.7,0,0,0
2020-04-06,8.14,8.14,8.14,8.14,0,0,0
2020-04-07,8.23,8.23,8.23,8.23,0,0,0
2020-04-08,8.31,8.31,8.31,8.31,0,0,0
2020-04-09,8.35,8.35,8.35,8.35,0,0,0
2020-04-13,8.3,8.3,8.3,8.3,0,0,0
2020-04-14,8.49,8.49,8.49,8.49,0,0,0
2020-04-15,8.32,8.32,8.32,8.32,0,0,0
2020-04-16,8.4,8.4,8.4,8.4,0,0,0
2020-04-17,8.59,8.59,8.59,8.59,0,0,0
2020-04-20,8.58,8.58,8.58,8.58,0,0,0
2020-04-21,8.35,8.35,8.35,8.35,0,0,0
2020-04-22,8.59,8.59,8.59,8.59,0,0,0
2020-04-23,8.55,8.55,8.55,8.55,0,0,0
2020-04-24,8.49,8.49,8.49,8.49,0,0,0
2020-04-27,8.62,8.62,8.62,8.62,0,0,0
2020-04-28,8.7,8.7,8.7,8.7,0,0,0
2020-04-29,8.96,8.96,8.96,8.96,0,0,0
2020-04-30,8.83,8.83,8.83,8.83,0,0,0
2020-05-01,8.58,8.58,8.58,8.58,0,0,0
2020-05-04,8.59,8.59,8.59,8.59,0,0,0
2020-05-05,8.63,8.63,8.63,8.63,0,0,0
2020-05-06,8.63,8.63,8.63,8.63,0,0,0
2020-05-07,8.7,8.7,8.7,8.7,0,0,0
2020-05-08,8.91,8.91,8.91,8.91,0,0,0
2020-05-11,8.85,8.85,8.85,8.85,0,0,0
2020-05-12,8.8,8.8,8.8,8.8,0,0,0
2020-05-13,8.76,8.76,8.76,8.76,0,0,0
2020-05-14,8.8,8.8,8.8,8.8,0,0,0
2020-05-15,8.78,8.78,8.78,8.78,0,0,0
2020-05-18,9.01,9.01,9.01,9.01,0,0,0
2020-05-19,9.0,9.0,9.0,9.0,0,0,0
2020-05-20,9.14,9.14,9.14,9.14,0,0,0
2020-05-21,9.07,9.07,9.07,9.07,0,0,0
2020-05-22,8.86,8.86,8.86,8.86,0,0,0
2020-05-26,9.12,9.12,9.12,9.12,0,0,0
2020-05-27,9.14,9.14,9.14,9.14,0,0,0
2020-05-28,9.06,9.06,9.06,9.06,0,0,0
2020-05-29,9.12,9.12,9.12,9.12,0,0,0
2020-06-01,9.34,9.34,9.34,9.34,0,0,0
2020-06-02,9.57,9.57,9.57,9.57,0,0,0
2020-06-03,9.78,9.78,9.78,9.78,0,0,0
2020-06-04,9.69,9.69,9.69,9.69,0,0,0
2020-06-05,9.9,9.9,9.9,9.9,0,0,0
2020-06-08,9.94,9.94,9.94,9.94,0,0,0
2020-06-09,9.85,9.85,9.85,9.85,0,0,0
2020-06-10,9.97,9.97,9.97,9.97,0,0,0
2020-06-11,9.57,9.57,9.57,9.57,0,0,0
2020-06-12,9.82,9.82,9.82,9.82,0,0,0
2020-06-15,9.68,9.68,9.68,9.68,0,0,0
2020-06-16,9.81,9.81,9.81,9.81,0,0,0
2020-06-17,9.9,9.9,9.9,9.9,0,0,0
2020-06-18,9.97,9.97,9.97,9.97,0,0,0
2020-06-19,9.97,9.97,9.97,9.97,0,0,0
2020-06-22,10.18,10.18,10.18,10.18,0,0,0
2020-06-23,10.18,10.18,10.18,10.18,0,0,0
2020-06-24,10.29,10.29,10.29,10.29,0,0,0
2020-06-25,10.33,10.33,10.33,10.33,0,0,0
2020-06-26,10.18,10.18,10.18,10.18,0,0,0
2020-06-29,10.25,10.25,10.25,10.25,0,0,0
2020-06-30,10.23,10.23,10.23,10.23,0,0,0
2020-07-01,10.34,10.34,10.34,10.34,0,0,0
2020-07-02,10.5,10.5,10.5,10.5,0,0,0
2020-07-06,10.86,10.86,10.86,10.86,0,0,0
2020-07-07,10.72,10.72,10.72,10.72,0,0,0
2020-07-08,11.0,11.0,11.0,11.0,0,0,0
2020-07-09,11.11,11.11,11.11,11.11,0,0,0
2020-07-10,11.07,11.07,11.07,11.07,0,0,0
2020-07-13,10.97,10.97,10.97,10.97,0,0,0
2020-07-14,10.96,10.96,10.96,10.96,0,0,0
2020-07-15,11.0,11.0,11.0,11.0,0,0,0
2020-07-16,10.81,10.81,10.81,10.81,0,0,0
2020-07-17,10.88,10.88,10.88,10.88,0,0,0
2020-07-20,11.05,11.05,11.05,11.05,0,0,0
2020-07-21,11.3,11.3,11.3,11.3,0,0,0
2020-07-22,11.26,11.26,11.26,11.26,0,0,0
2020-07-23,11.2,11.2,11.2,11.2,0,0,0
2020-07-24,11.07,11.07,11.07,11.07,0,0,0
2020-07-27,11.26,11.26,11.26,11.26,0,0,0
2020-07-28,11.22,11.22,11.22,11.22,0,0,0
2020-07-29,11.38,11.38,11.38,11.38,0,0,0
2020-07-30,11.31,11.31,11.31,11.31,0,0,0
2020-07-31,11.3,11.3,11.3,11.3,0,0,0
2020-08-03,11.34,11.34,11.34,11.34,0,0,0
2020-08-04,11.34,11.34,11.34,11.34,0,0,0
2020-08-05,11.62,11.62,11.62,11.62,0,0,0
2020-08-06,11.64,11.64,11.64,11.64,0,0,0
2020-08-07,11.44,11.44,11.44,11.44,0,0,0
2020-08-10,11.31,11.31,11.31,11.31,0,0,0
2020-08-11,11.31,11.31,11.31,11.31,0,0,0
2020-08-12,11.38,11.38,11.38,11.38,0,0,0
2020-08-13,11.37,11.37,11.37,11.37,0,0,0
2020-08-14,11.31,11.31,11.31,11.31,0,0,0
2020-08-17,11.39,11.39,11.39,11.39,0,0,0
2020-08-18,11.4,11.4,11.4,11.4,0,0,0
2020-08-19,11.32,11.32,11.32,11.32,0,0,0
2020-08-20,11.2,11.2,11.2,11.2,0,0,0
2020-08-21,11.33,11.33,11.33,11.33,0,0,0
2020-08-24,11.57,11.57,11.57,11.57,0,0,0
2020-08-25,11.66,11.66,11.66,11.66,0,0,0
2020-08-26,11.71,11.71,11.71,11.71,0,0,0
2020-08-27,11.7,11.7,11.7,11.7,0,0,0
2020-08-28,11.82,11.82,11.82,11.82,0,0,0
2020-08-31,11.63,11.63,11.63,11.63,0,0,0
2020-09-01,11.85,11.85,11.85,11.85,0,0,0
2020-09-02,11.94,11.94,11.94,11.94,0,0,0
2020-09-03,11.63,11.63,11.63,11.63,0,0,0
2020-09-04,11.56,11.56,11.56,11.56,0,0,0
2020-09-08,11.3,11.3,11.3,11.3,0,0,0
2020-09-09,11.47,11.47,11.47,11.47,0,0,0
2020-09-10,11.32,11.32,11.32,11.32,0,0,0
2020-09-11,11.43,11.43,11.43,11.43,0,0,0
2020-09-14,11.6,11.6,11.6,11.6,0,0,0
2020-09-15,11.78,11.78,11.78,11.78,0,0,0
2020-09-16,11.76,11.76,11.76,11.76,0,0,0
2020-09-17,11.7,11.7,11.7,11.7,0,0,0
2020-09-18,11.62,11.62,11.62,11.62,0,0,0
2020-09-21,11.47,11.47,11.47,11.47,0,0,0
2020-09-22,11.48,11.48,11.48,11.48,0,0,0
2020-09-23,11.39,11.39,11.39,11.39,0,0,0
2020-09-24,11.3,11.3,11.3,11.3,0,0,0
2020-09-25,11.31,11.31,11.31,11.31,0,0,0
2020-09-28,11.38,11.38,11.38,11.38,0,0,0
2020-09-29,11.39,11.39,11.39,11.39,0,0,0
2020-09-30,11.58,11.58,11.58,11.58,0,0,0
2020-10-01,11.68,11.68,11.68,11.68,0,0,0
2020-10-02,11.59,11.59,11.59,11.59,0,0,0
2020-10-05,11.79,11.79,11.79,11.79,0,0,0
2020-10-06,11.82,11.82,11.82,11.82,0,0,0
2020-10-07,11.98,11.98,11.98,11.98,0,0,0
2020-10-08,12.1,12.1,12.1,12.1,0,0,0
2020-10-09,12.18,12.18,12.18,12.18,0,0,0
2020-10-12,12.33,12.33,12.33,12.33,0,0,0
2020-10-13,12.29,12.29,12.29,12.29,0,0,0
2020-10-14,12.21,12.21,12.21,12.21,0,0,0
2020-10-15,12.11,12.11,12.11,12.11,0,0,0
2020-10-16,12.12,12.12,12.12,12.12,0,0,0
2020-10-19,12.07,12.07,12.07,12.07,0,0,0
2020-10-20,12.26,12.26,12.26,12.26,0,0,0
2020-10-21,12.31,12.31,12.31,12.31,0,0,0
2020-10-22,12.4,12.4,12.4,12.4,0,0,0
2020-10-23,12.34,12.34,12.34,12.34,0,0,0
2020-10-26,12.16,12.16,12.16,12.16,0,0,0
2020-10-27,12.27,12.27,12.27,12.27,0,0,0
2020-10-28,12.06,12.06,12.06,12.06,0,0,0
2020-10-29,12.24,12.24,12.24,12.24,0,0,0
2020-10-30,12.05,12.05,12.05,12.05,0,0,0
2020-11-02,12.18,12.18,12.18,12.18,0,0,0
2020-11-03,12.26,12.26,12.26,12.26,0,0,0
2020-11-04,12.61,12.61,12.61,12.61,0,0,0
2020-11-05,12.92,12.92,12.92,12.92,0,0,0
2020-11-06,13.02,13.02,13.02,13.02,0,0,0
2020-11-09,13.18,13.18,13.18,13.18,0,0,0
2020-11-10,12.88,12.88,12.88,12.88,0,0,0
2020-11-11,12.82,12.82,12.82,12.82,0,0,0
2020-11-12,12.8,12.8,12.8,12.8,0,0,0
2020-11-13,12.8,12.8,12.8,12.8,0,0,0
