Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-26,10.0,10.0,10.0,10.0,0,0,0
2020-02-27,10.0,10.0,10.0,10.0,0,0,0
2020-02-28,9.77,9.77,9.77,9.77,0,0,0
2020-03-02,9.97,9.97,9.97,9.97,0,0,0
2020-03-03,9.85,9.85,9.85,9.85,0,0,0
2020-03-04,10.02,10.02,10.02,10.02,0,0,0
2020-03-05,9.86,9.86,9.86,9.86,0,0,0
2020-03-06,9.65,9.65,9.65,9.65,0,0,0
2020-03-09,8.94,8.94,8.94,8.94,0,0,0
2020-03-10,9.39,9.39,9.39,9.39,0,0,0
2020-03-11,8.96,8.96,8.96,8.96,0,0,0
2020-03-12,8.1,8.1,8.1,8.1,0,0,0
2020-03-13,8.71,8.71,8.71,8.71,0,0,0
2020-03-16,7.61,7.61,7.61,7.61,0,0,0
2020-03-17,7.93,7.93,7.93,7.93,0,0,0
2020-03-18,7.32,7.32,7.32,7.32,0,0,0
2020-03-19,7.18,7.18,7.18,7.18,0,0,0
2020-03-20,7.31,7.31,7.31,7.31,0,0,0
2020-03-23,7.15,7.15,7.15,7.15,0,0,0
2020-03-24,7.71,7.71,7.71,7.71,0,0,0
2020-03-25,7.98,7.98,7.98,7.98,0,0,0
2020-03-26,8.31,8.31,8.31,8.31,0,0,0
2020-03-27,7.84,7.84,7.84,7.84,0,0,0
2020-03-30,7.95,7.95,7.95,7.95,0,0,0
2020-03-31,7.98,7.98,7.98,7.98,0,0,0
2020-04-01,7.67,7.67,7.67,7.67,0,0,0
2020-04-02,7.88,7.88,7.88,7.88,0,0,0
2020-04-03,7.69,7.69,7.69,7.69,0,0,0
2020-04-06,8.13,8.13,8.13,8.13,0,0,0
2020-04-07,8.22,8.22,8.22,8.22,0,0,0
2020-04-08,8.3,8.3,8.3,8.3,0,0,0
2020-04-09,8.34,8.34,8.34,8.34,0,0,0
2020-04-13,8.29,8.29,8.29,8.29,0,0,0
2020-04-14,8.48,8.48,8.48,8.48,0,0,0
2020-04-15,8.31,8.31,8.31,8.31,0,0,0
2020-04-16,8.39,8.39,8.39,8.39,0,0,0
2020-04-17,8.59,8.59,8.59,8.59,0,0,0
2020-04-20,8.57,8.57,8.57,8.57,0,0,0
2020-04-21,8.34,8.34,8.34,8.34,0,0,0
2020-04-22,8.58,8.58,8.58,8.58,0,0,0
2020-04-23,8.54,8.54,8.54,8.54,0,0,0
2020-04-24,8.48,8.48,8.48,8.48,0,0,0
2020-04-27,8.61,8.61,8.61,8.61,0,0,0
2020-04-28,8.69,8.69,8.69,8.69,0,0,0
2020-04-29,8.95,8.95,8.95,8.95,0,0,0
2020-04-30,8.82,8.82,8.82,8.82,0,0,0
2020-05-01,8.57,8.57,8.57,8.57,0,0,0
2020-05-04,8.57,8.57,8.57,8.57,0,0,0
2020-05-05,8.62,8.62,8.62,8.62,0,0,0
2020-05-06,8.62,8.62,8.62,8.62,0,0,0
2020-05-07,8.69,8.69,8.69,8.69,0,0,0
2020-05-08,8.89,8.89,8.89,8.89,0,0,0
2020-05-11,8.84,8.84,8.84,8.84,0,0,0
2020-05-12,8.79,8.79,8.79,8.79,0,0,0
2020-05-13,8.74,8.74,8.74,8.74,0,0,0
2020-05-14,8.78,8.78,8.78,8.78,0,0,0
2020-05-15,8.76,8.76,8.76,8.76,0,0,0
2020-05-18,8.99,8.99,8.99,8.99,0,0,0
2020-05-19,8.98,8.98,8.98,8.98,0,0,0
2020-05-20,9.12,9.12,9.12,9.12,0,0,0
2020-05-21,9.05,9.05,9.05,9.05,0,0,0
2020-05-22,8.84,8.84,8.84,8.84,0,0,0
2020-05-26,9.1,9.1,9.1,9.1,0,0,0
2020-05-27,9.12,9.12,9.12,9.12,0,0,0
2020-05-28,9.04,9.04,9.04,9.04,0,0,0
2020-05-29,9.1,9.1,9.1,9.1,0,0,0
2020-06-01,9.32,9.32,9.32,9.32,0,0,0
2020-06-02,9.55,9.55,9.55,9.55,0,0,0
2020-06-03,9.76,9.76,9.76,9.76,0,0,0
2020-06-04,9.67,9.67,9.67,9.67,0,0,0
2020-06-05,9.88,9.88,9.88,9.88,0,0,0
2020-06-08,9.92,9.92,9.92,9.92,0,0,0
2020-06-09,9.83,9.83,9.83,9.83,0,0,0
2020-06-10,9.94,9.94,9.94,9.94,0,0,0
2020-06-11,9.54,9.54,9.54,9.54,0,0,0
2020-06-12,9.8,9.8,9.8,9.8,0,0,0
2020-06-15,9.65,9.65,9.65,9.65,0,0,0
2020-06-16,9.79,9.79,9.79,9.79,0,0,0
2020-06-17,9.87,9.87,9.87,9.87,0,0,0
2020-06-18,9.94,9.94,9.94,9.94,0,0,0
2020-06-19,9.94,9.94,9.94,9.94,0,0,0
2020-06-22,10.16,10.16,10.16,10.16,0,0,0
2020-06-23,10.16,10.16,10.16,10.16,0,0,0
2020-06-24,10.26,10.26,10.26,10.26,0,0,0
2020-06-25,10.3,10.3,10.3,10.3,0,0,0
2020-06-26,10.15,10.15,10.15,10.15,0,0,0
2020-06-29,10.22,10.22,10.22,10.22,0,0,0
2020-06-30,10.2,10.2,10.2,10.2,0,0,0
2020-07-01,10.31,10.31,10.31,10.31,0,0,0
2020-07-02,10.47,10.47,10.47,10.47,0,0,0
2020-07-06,10.83,10.83,10.83,10.83,0,0,0
2020-07-07,10.69,10.69,10.69,10.69,0,0,0
2020-07-08,10.97,10.97,10.97,10.97,0,0,0
2020-07-09,11.08,11.08,11.08,11.08,0,0,0
2020-07-10,11.04,11.04,11.04,11.04,0,0,0
2020-07-13,10.94,10.94,10.94,10.94,0,0,0
2020-07-14,10.93,10.93,10.93,10.93,0,0,0
2020-07-15,10.97,10.97,10.97,10.97,0,0,0
2020-07-16,10.77,10.77,10.77,10.77,0,0,0
2020-07-17,10.85,10.85,10.85,10.85,0,0,0
2020-07-20,11.01,11.01,11.01,11.01,0,0,0
2020-07-21,11.27,11.27,11.27,11.27,0,0,0
2020-07-22,11.22,11.22,11.22,11.22,0,0,0
2020-07-23,11.17,11.17,11.17,11.17,0,0,0
2020-07-24,11.03,11.03,11.03,11.03,0,0,0
2020-07-27,11.22,11.22,11.22,11.22,0,0,0
2020-07-28,11.19,11.19,11.19,11.19,0,0,0
2020-07-29,11.35,11.35,11.35,11.35,0,0,0
2020-07-30,11.28,11.28,11.28,11.28,0,0,0
2020-07-31,11.27,11.27,11.27,11.27,0,0,0
2020-08-03,11.3,11.3,11.3,11.3,0,0,0
2020-08-04,11.3,11.3,11.3,11.3,0,0,0
2020-08-05,11.58,11.58,11.58,11.58,0,0,0
2020-08-06,11.61,11.61,11.61,11.61,0,0,0
2020-08-07,11.4,11.4,11.4,11.4,0,0,0
2020-08-10,11.27,11.27,11.27,11.27,0,0,0
2020-08-11,11.28,11.28,11.28,11.28,0,0,0
2020-08-12,11.34,11.34,11.34,11.34,0,0,0
2020-08-13,11.33,11.33,11.33,11.33,0,0,0
2020-08-14,11.27,11.27,11.27,11.27,0,0,0
2020-08-17,11.36,11.36,11.36,11.36,0,0,0
2020-08-18,11.36,11.36,11.36,11.36,0,0,0
2020-08-19,11.28,11.28,11.28,11.28,0,0,0
2020-08-20,11.16,11.16,11.16,11.16,0,0,0
2020-08-21,11.3,11.3,11.3,11.3,0,0,0
2020-08-24,11.53,11.53,11.53,11.53,0,0,0
2020-08-25,11.62,11.62,11.62,11.62,0,0,0
2020-08-26,11.67,11.67,11.67,11.67,0,0,0
2020-08-27,11.66,11.66,11.66,11.66,0,0,0
2020-08-28,11.78,11.78,11.78,11.78,0,0,0
2020-08-31,11.59,11.59,11.59,11.59,0,0,0
2020-09-01,11.81,11.81,11.81,11.81,0,0,0
2020-09-02,11.9,11.9,11.9,11.9,0,0,0
2020-09-03,11.59,11.59,11.59,11.59,0,0,0
2020-09-04,11.52,11.52,11.52,11.52,0,0,0
2020-09-08,11.26,11.26,11.26,11.26,0,0,0
2020-09-09,11.43,11.43,11.43,11.43,0,0,0
2020-09-10,11.27,11.27,11.27,11.27,0,0,0
2020-09-11,11.39,11.39,11.39,11.39,0,0,0
2020-09-14,11.55,11.55,11.55,11.55,0,0,0
2020-09-15,11.73,11.73,11.73,11.73,0,0,0
2020-09-16,11.71,11.71,11.71,11.71,0,0,0
2020-09-17,11.65,11.65,11.65,11.65,0,0,0
2020-09-18,11.57,11.57,11.57,11.57,0,0,0
2020-09-21,11.43,11.43,11.43,11.43,0,0,0
2020-09-22,11.43,11.43,11.43,11.43,0,0,0
2020-09-23,11.34,11.34,11.34,11.34,0,0,0
2020-09-24,11.26,11.26,11.26,11.26,0,0,0
2020-09-25,11.27,11.27,11.27,11.27,0,0,0
2020-09-28,11.33,11.33,11.33,11.33,0,0,0
2020-09-29,11.34,11.34,11.34,11.34,0,0,0
2020-09-30,11.53,11.53,11.53,11.53,0,0,0
2020-10-01,11.63,11.63,11.63,11.63,0,0,0
2020-10-02,11.54,11.54,11.54,11.54,0,0,0
2020-10-05,11.74,11.74,11.74,11.74,0,0,0
2020-10-06,11.77,11.77,11.77,11.77,0,0,0
2020-10-07,11.93,11.93,11.93,11.93,0,0,0
2020-10-08,12.05,12.05,12.05,12.05,0,0,0
2020-10-09,12.12,12.12,12.12,12.12,0,0,0
2020-10-12,12.27,12.27,12.27,12.27,0,0,0
2020-10-13,12.23,12.23,12.23,12.23,0,0,0
2020-10-14,12.15,12.15,12.15,12.15,0,0,0
2020-10-15,12.06,12.06,12.06,12.06,0,0,0
2020-10-16,12.06,12.06,12.06,12.06,0,0,0
2020-10-19,12.01,12.01,12.01,12.01,0,0,0
2020-10-20,12.2,12.2,12.2,12.2,0,0,0
2020-10-21,12.25,12.25,12.25,12.25,0,0,0
2020-10-22,12.34,12.34,12.34,12.34,0,0,0
2020-10-23,12.28,12.28,12.28,12.28,0,0,0
2020-10-26,12.1,12.1,12.1,12.1,0,0,0
2020-10-27,12.22,12.22,12.22,12.22,0,0,0
2020-10-28,12.01,12.01,12.01,12.01,0,0,0
2020-10-29,12.19,12.19,12.19,12.19,0,0,0
2020-10-30,12.0,12.0,12.0,12.0,0,0,0
2020-11-02,12.13,12.13,12.13,12.13,0,0,0
2020-11-03,12.21,12.21,12.21,12.21,0,0,0
2020-11-04,12.56,12.56,12.56,12.56,0,0,0
2020-11-05,12.87,12.87,12.87,12.87,0,0,0
2020-11-06,12.97,12.97,12.97,12.97,0,0,0
2020-11-09,13.13,13.13,13.13,13.13,0,0,0
2020-11-10,12.83,12.83,12.83,12.83,0,0,0
2020-11-11,12.77,12.77,12.77,12.77,0,0,0
2020-11-12,12.75,12.75,12.75,12.75,0,0,0
2020-11-13,12.75,12.75,12.75,12.75,0,0,0
