Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,15.17,15.17,15.17,15.17,0,0.0,0
2015-11-17,15.22,15.22,15.22,15.22,0,0.0,0
2015-11-18,15.43,15.43,15.43,15.43,0,0.0,0
2015-11-19,15.45,15.45,15.45,15.45,0,0.0,0
2015-11-20,15.57,15.57,15.57,15.57,0,0.0,0
2015-11-23,15.59,15.59,15.59,15.59,0,0.0,0
2015-11-24,15.61,15.61,15.61,15.61,0,0.0,0
2015-11-25,15.61,15.61,15.61,15.61,0,0.0,0
2015-11-27,15.64,15.64,15.64,15.64,0,0.0,0
2015-11-30,15.6,15.6,15.6,15.6,0,0.0,0
2015-12-01,15.69,15.69,15.69,15.69,0,0.0,0
2015-12-02,15.57,15.57,15.57,15.57,0,0.0,0
2015-12-03,15.37,15.37,15.37,15.37,0,0.0,0
2015-12-04,15.66,15.66,15.66,15.66,0,0.0,0
2015-12-07,15.56,15.56,15.56,15.56,0,0.0,0
2015-12-08,15.46,15.46,15.46,15.46,0,0.0,0
2015-12-09,15.31,15.31,15.31,15.31,0,0.0,0
2015-12-10,15.33,15.33,15.33,15.33,0,0.546,0
2015-12-11,15.07,15.07,15.07,15.07,0,0.0,0
2015-12-14,15.1,15.1,15.1,15.1,0,0.0,0
2015-12-15,15.22,15.22,15.22,15.22,0,0.0,0
2015-12-16,15.41,15.41,15.41,15.41,0,0.0,0
2015-12-17,15.17,15.17,15.17,15.17,0,0.0,0
2015-12-18,14.9,14.9,14.9,14.9,0,0.0,0
2015-12-21,15.01,15.01,15.01,15.01,0,0.0,0
2015-12-22,15.12,15.12,15.12,15.12,0,0.0,0
2015-12-23,15.28,15.28,15.28,15.28,0,0.0,0
2015-12-24,15.28,15.28,15.28,15.28,0,0.0,0
2015-12-28,15.28,15.28,15.28,15.28,0,0.0,0
2015-12-29,15.41,15.41,15.41,15.41,0,0.0,0
2015-12-30,15.3,15.3,15.3,15.3,0,0.0,0
2015-12-31,15.16,15.16,15.16,15.16,0,0.0,0
2016-01-04,14.94,14.94,14.94,14.94,0,0.0,0
2016-01-05,15.01,15.01,15.01,15.01,0,0.0,0
2016-01-06,14.81,14.81,14.81,14.81,0,0.0,0
2016-01-07,14.54,14.54,14.54,14.54,0,0.0,0
2016-01-08,14.34,14.34,14.34,14.34,0,0.0,0
2016-01-11,14.37,14.37,14.37,14.37,0,0.0,0
2016-01-12,14.55,14.55,14.55,14.55,0,0.0,0
2016-01-13,14.22,14.22,14.22,14.22,0,0.0,0
2016-01-14,14.35,14.35,14.35,14.35,0,0.0,0
2016-01-15,14.18,14.18,14.18,14.18,0,0.0,0
2016-01-19,14.25,14.25,14.25,14.25,0,0.0,0
2016-01-20,14.14,14.14,14.14,14.14,0,0.0,0
2016-01-21,14.1,14.1,14.1,14.1,0,0.0,0
2016-01-22,14.41,14.41,14.41,14.41,0,0.0,0
2016-01-25,14.22,14.22,14.22,14.22,0,0.0,0
2016-01-26,14.43,14.43,14.43,14.43,0,0.0,0
2016-01-27,14.29,14.29,14.29,14.29,0,0.0,0
2016-01-28,14.19,14.19,14.19,14.19,0,0.0,0
2016-01-29,14.55,14.55,14.55,14.55,0,0.0,0
2016-02-01,14.61,14.61,14.61,14.61,0,0.0,0
2016-02-02,14.35,14.35,14.35,14.35,0,0.0,0
2016-02-03,14.39,14.39,14.39,14.39,0,0.0,0
2016-02-04,14.47,14.47,14.47,14.47,0,0.0,0
2016-02-05,14.19,14.19,14.19,14.19,0,0.0,0
2016-02-08,13.96,13.96,13.96,13.96,0,0.0,0
2016-02-09,14.02,14.02,14.02,14.02,0,0.0,0
2016-02-10,14.12,14.12,14.12,14.12,0,0.0,0
2016-02-11,13.9,13.9,13.9,13.9,0,0.0,0
2016-02-12,14.14,14.14,14.14,14.14,0,0.0,0
2016-02-16,14.31,14.31,14.31,14.31,0,0.0,0
2016-02-17,14.49,14.49,14.49,14.49,0,0.0,0
2016-02-18,14.42,14.42,14.42,14.42,0,0.0,0
2016-02-19,14.49,14.49,14.49,14.49,0,0.0,0
2016-02-22,14.66,14.66,14.66,14.66,0,0.0,0
2016-02-23,14.5,14.5,14.5,14.5,0,0.0,0
2016-02-24,14.61,14.61,14.61,14.61,0,0.0,0
2016-02-25,14.79,14.79,14.79,14.79,0,0.0,0
2016-02-26,14.81,14.81,14.81,14.81,0,0.0,0
2016-02-29,14.66,14.66,14.66,14.66,0,0.0,0
2016-03-01,15.01,15.01,15.01,15.01,0,0.0,0
2016-03-02,15.02,15.02,15.02,15.02,0,0.0,0
2016-03-03,15.1,15.1,15.1,15.1,0,0.0,0
2016-03-04,15.13,15.13,15.13,15.13,0,0.0,0
2016-03-07,15.1,15.1,15.1,15.1,0,0.0,0
2016-03-08,15.0,15.0,15.0,15.0,0,0.0,0
2016-03-09,15.02,15.02,15.02,15.02,0,0.0,0
2016-03-10,15.01,15.01,15.01,15.01,0,0.0,0
2016-03-11,15.28,15.28,15.28,15.28,0,0.0,0
2016-03-14,15.21,15.21,15.21,15.21,0,0.0,0
2016-03-15,15.18,15.18,15.18,15.18,0,0.0,0
2016-03-16,15.26,15.26,15.26,15.26,0,0.0,0
2016-03-17,15.36,15.36,15.36,15.36,0,0.0,0
2016-03-18,15.42,15.42,15.42,15.42,0,0.0,0
2016-03-21,15.4,15.4,15.4,15.4,0,0.0,0
2016-03-22,15.4,15.4,15.4,15.4,0,0.0,0
2016-03-23,15.39,15.39,15.39,15.39,0,0.0,0
2016-03-24,15.33,15.33,15.33,15.33,0,0.0,0
2016-03-28,15.37,15.37,15.37,15.37,0,0.0,0
2016-03-29,15.52,15.52,15.52,15.52,0,0.0,0
2016-03-30,15.6,15.6,15.6,15.6,0,0.0,0
2016-03-31,15.59,15.59,15.59,15.59,0,0.0,0
2016-04-01,15.7,15.7,15.7,15.7,0,0.0,0
2016-04-04,15.58,15.58,15.58,15.58,0,0.0,0
2016-04-05,15.43,15.43,15.43,15.43,0,0.0,0
2016-04-06,15.56,15.56,15.56,15.56,0,0.0,0
2016-04-07,15.35,15.35,15.35,15.35,0,0.0,0
2016-04-08,15.39,15.39,15.39,15.39,0,0.0,0
2016-04-11,15.34,15.34,15.34,15.34,0,0.0,0
2016-04-12,15.47,15.47,15.47,15.47,0,0.0,0
2016-04-13,15.66,15.66,15.66,15.66,0,0.0,0
2016-04-14,15.66,15.66,15.66,15.66,0,0.0,0
2016-04-15,15.68,15.68,15.68,15.68,0,0.0,0
2016-04-18,15.78,15.78,15.78,15.78,0,0.0,0
2016-04-19,15.81,15.81,15.81,15.81,0,0.0,0
2016-04-20,15.85,15.85,15.85,15.85,0,0.0,0
2016-04-21,15.75,15.75,15.75,15.75,0,0.0,0
2016-04-22,15.76,15.76,15.76,15.76,0,0.0,0
2016-04-25,15.73,15.73,15.73,15.73,0,0.0,0
2016-04-26,15.78,15.78,15.78,15.78,0,0.0,0
2016-04-27,15.82,15.82,15.82,15.82,0,0.0,0
2016-04-28,15.62,15.62,15.62,15.62,0,0.0,0
2016-04-29,15.54,15.54,15.54,15.54,0,0.0,0
2016-05-02,15.54,15.54,15.54,15.54,0,0.0,0
2016-05-03,15.56,15.56,15.56,15.56,0,0.0,0
2016-05-04,15.49,15.49,15.49,15.49,0,0.0,0
2016-05-05,15.43,15.43,15.43,15.43,0,0.0,0
2016-05-06,15.51,15.51,15.51,15.51,0,0.0,0
2016-05-09,15.56,15.56,15.56,15.56,0,0.0,0
2016-05-10,15.7,15.7,15.7,15.7,0,0.0,0
2016-05-11,15.53,15.53,15.53,15.53,0,0.0,0
2016-05-12,15.61,15.61,15.61,15.61,0,0.0,0
2016-05-13,15.45,15.45,15.45,15.45,0,0.0,0
2016-05-16,15.61,15.61,15.61,15.61,0,0.0,0
2016-05-17,15.46,15.46,15.46,15.46,0,0.0,0
2016-05-18,15.53,15.53,15.53,15.53,0,0.0,0
2016-05-19,15.46,15.46,15.46,15.46,0,0.0,0
2016-05-20,15.51,15.51,15.51,15.51,0,0.0,0
2016-05-23,15.43,15.43,15.43,15.43,0,0.0,0
2016-05-24,15.66,15.66,15.66,15.66,0,0.0,0
2016-05-25,15.69,15.69,15.69,15.69,0,0.0,0
2016-05-26,15.66,15.66,15.66,15.66,0,0.0,0
2016-05-27,15.74,15.74,15.74,15.74,0,0.0,0
2016-05-31,15.71,15.71,15.71,15.71,0,0.0,0
2016-06-01,15.74,15.74,15.74,15.74,0,0.0,0
2016-06-02,15.81,15.81,15.81,15.81,0,0.0,0
2016-06-03,15.73,15.73,15.73,15.73,0,0.0,0
2016-06-06,15.77,15.77,15.77,15.77,0,0.0,0
2016-06-07,15.76,15.76,15.76,15.76,0,0.0,0
2016-06-08,15.84,15.84,15.84,15.84,0,0.0,0
2016-06-09,15.81,15.81,15.81,15.81,0,0.0,0
2016-06-10,15.62,15.62,15.62,15.62,0,0.0,0
2016-06-13,15.49,15.49,15.49,15.49,0,0.0,0
2016-06-14,15.43,15.43,15.43,15.43,0,0.0,0
2016-06-15,15.42,15.42,15.42,15.42,0,0.0,0
2016-06-16,15.42,15.42,15.42,15.42,0,0.0,0
2016-06-17,15.39,15.39,15.39,15.39,0,0.0,0
2016-06-20,15.48,15.48,15.48,15.48,0,0.0,0
2016-06-21,15.52,15.52,15.52,15.52,0,0.0,0
2016-06-22,15.54,15.54,15.54,15.54,0,0.0,0
2016-06-23,15.74,15.74,15.74,15.74,0,0.0,0
2016-06-24,15.14,15.14,15.14,15.14,0,0.0,0
