Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,15.67,15.67,15.67,15.67,0,0.0,0
2015-11-17,15.73,15.73,15.73,15.73,0,0.0,0
2015-11-18,15.95,15.95,15.95,15.95,0,0.0,0
2015-11-19,15.96,15.96,15.96,15.96,0,0.0,0
2015-11-20,16.08,16.08,16.08,16.08,0,0.0,0
2015-11-23,16.11,16.11,16.11,16.11,0,0.0,0
2015-11-24,16.14,16.14,16.14,16.14,0,0.0,0
2015-11-25,16.14,16.14,16.14,16.14,0,0.0,0
2015-11-27,16.16,16.16,16.16,16.16,0,0.0,0
2015-11-30,16.13,16.13,16.13,16.13,0,0.0,0
2015-12-01,16.21,16.21,16.21,16.21,0,0.0,0
2015-12-02,16.09,16.09,16.09,16.09,0,0.0,0
2015-12-03,15.89,15.89,15.89,15.89,0,0.0,0
2015-12-04,16.18,16.18,16.18,16.18,0,0.0,0
2015-12-07,16.09,16.09,16.09,16.09,0,0.0,0
2015-12-08,15.98,15.98,15.98,15.98,0,0.0,0
2015-12-09,15.83,15.83,15.83,15.83,0,0.0,0
2015-12-10,15.85,15.85,15.85,15.85,0,0.546,0
2015-12-11,15.58,15.58,15.58,15.58,0,0.0,0
2015-12-14,15.62,15.62,15.62,15.62,0,0.0,0
2015-12-15,15.74,15.74,15.74,15.74,0,0.0,0
2015-12-16,15.93,15.93,15.93,15.93,0,0.0,0
2015-12-17,15.68,15.68,15.68,15.68,0,0.0,0
2015-12-18,15.41,15.41,15.41,15.41,0,0.0,0
2015-12-21,15.53,15.53,15.53,15.53,0,0.0,0
2015-12-22,15.63,15.63,15.63,15.63,0,0.0,0
2015-12-23,15.81,15.81,15.81,15.81,0,0.0,0
2015-12-24,15.8,15.8,15.8,15.8,0,0.0,0
2015-12-28,15.81,15.81,15.81,15.81,0,0.0,0
2015-12-29,15.95,15.95,15.95,15.95,0,0.0,0
2015-12-30,15.83,15.83,15.83,15.83,0,0.0,0
2015-12-31,15.69,15.69,15.69,15.69,0,0.0,0
2016-01-04,15.45,15.45,15.45,15.45,0,0.0,0
2016-01-05,15.53,15.53,15.53,15.53,0,0.0,0
2016-01-06,15.32,15.32,15.32,15.32,0,0.0,0
2016-01-07,15.04,15.04,15.04,15.04,0,0.0,0
2016-01-08,14.84,14.84,14.84,14.84,0,0.0,0
2016-01-11,14.87,14.87,14.87,14.87,0,0.0,0
2016-01-12,15.06,15.06,15.06,15.06,0,0.0,0
2016-01-13,14.72,14.72,14.72,14.72,0,0.0,0
2016-01-14,14.85,14.85,14.85,14.85,0,0.0,0
2016-01-15,14.68,14.68,14.68,14.68,0,0.0,0
2016-01-19,14.75,14.75,14.75,14.75,0,0.0,0
2016-01-20,14.64,14.64,14.64,14.64,0,0.0,0
2016-01-21,14.6,14.6,14.6,14.6,0,0.0,0
2016-01-22,14.92,14.92,14.92,14.92,0,0.0,0
2016-01-25,14.73,14.73,14.73,14.73,0,0.0,0
2016-01-26,14.94,14.94,14.94,14.94,0,0.0,0
2016-01-27,14.79,14.79,14.79,14.79,0,0.0,0
2016-01-28,14.69,14.69,14.69,14.69,0,0.0,0
2016-01-29,15.07,15.07,15.07,15.07,0,0.0,0
2016-02-01,15.14,15.14,15.14,15.14,0,0.0,0
2016-02-02,14.86,14.86,14.86,14.86,0,0.0,0
2016-02-03,14.9,14.9,14.9,14.9,0,0.0,0
2016-02-04,14.99,14.99,14.99,14.99,0,0.0,0
2016-02-05,14.7,14.7,14.7,14.7,0,0.0,0
2016-02-08,14.46,14.46,14.46,14.46,0,0.0,0
2016-02-09,14.52,14.52,14.52,14.52,0,0.0,0
2016-02-10,14.63,14.63,14.63,14.63,0,0.0,0
2016-02-11,14.4,14.4,14.4,14.4,0,0.0,0
2016-02-12,14.64,14.64,14.64,14.64,0,0.0,0
2016-02-16,14.82,14.82,14.82,14.82,0,0.0,0
2016-02-17,15.01,15.01,15.01,15.01,0,0.0,0
2016-02-18,14.94,14.94,14.94,14.94,0,0.0,0
2016-02-19,15.01,15.01,15.01,15.01,0,0.0,0
2016-02-22,15.19,15.19,15.19,15.19,0,0.0,0
2016-02-23,15.03,15.03,15.03,15.03,0,0.0,0
2016-02-24,15.14,15.14,15.14,15.14,0,0.0,0
2016-02-25,15.32,15.32,15.32,15.32,0,0.0,0
2016-02-26,15.35,15.35,15.35,15.35,0,0.0,0
2016-02-29,15.19,15.19,15.19,15.19,0,0.0,0
2016-03-01,15.56,15.56,15.56,15.56,0,0.0,0
2016-03-02,15.57,15.57,15.57,15.57,0,0.0,0
2016-03-03,15.65,15.65,15.65,15.65,0,0.0,0
2016-03-04,15.68,15.68,15.68,15.68,0,0.0,0
2016-03-07,15.65,15.65,15.65,15.65,0,0.0,0
2016-03-08,15.54,15.54,15.54,15.54,0,0.0,0
2016-03-09,15.57,15.57,15.57,15.57,0,0.0,0
2016-03-10,15.56,15.56,15.56,15.56,0,0.0,0
2016-03-11,15.83,15.83,15.83,15.83,0,0.0,0
2016-03-14,15.77,15.77,15.77,15.77,0,0.0,0
2016-03-15,15.74,15.74,15.74,15.74,0,0.0,0
2016-03-16,15.82,15.82,15.82,15.82,0,0.0,0
2016-03-17,15.93,15.93,15.93,15.93,0,0.0,0
2016-03-18,15.99,15.99,15.99,15.99,0,0.0,0
2016-03-21,15.97,15.97,15.97,15.97,0,0.0,0
2016-03-22,15.97,15.97,15.97,15.97,0,0.0,0
2016-03-23,15.95,15.95,15.95,15.95,0,0.0,0
2016-03-24,15.9,15.9,15.9,15.9,0,0.0,0
2016-03-28,15.94,15.94,15.94,15.94,0,0.0,0
2016-03-29,16.1,16.1,16.1,16.1,0,0.0,0
2016-03-30,16.18,16.18,16.18,16.18,0,0.0,0
2016-03-31,16.17,16.17,16.17,16.17,0,0.0,0
2016-04-01,16.28,16.28,16.28,16.28,0,0.0,0
2016-04-04,16.17,16.17,16.17,16.17,0,0.0,0
2016-04-05,16.01,16.01,16.01,16.01,0,0.0,0
2016-04-06,16.14,16.14,16.14,16.14,0,0.0,0
2016-04-07,15.92,15.92,15.92,15.92,0,0.0,0
2016-04-08,15.97,15.97,15.97,15.97,0,0.0,0
2016-04-11,15.92,15.92,15.92,15.92,0,0.0,0
2016-04-12,16.05,16.05,16.05,16.05,0,0.0,0
2016-04-13,16.25,16.25,16.25,16.25,0,0.0,0
2016-04-14,16.25,16.25,16.25,16.25,0,0.0,0
2016-04-15,16.26,16.26,16.26,16.26,0,0.0,0
2016-04-18,16.38,16.38,16.38,16.38,0,0.0,0
2016-04-19,16.41,16.41,16.41,16.41,0,0.0,0
2016-04-20,16.45,16.45,16.45,16.45,0,0.0,0
2016-04-21,16.35,16.35,16.35,16.35,0,0.0,0
2016-04-22,16.35,16.35,16.35,16.35,0,0.0,0
2016-04-25,16.32,16.32,16.32,16.32,0,0.0,0
2016-04-26,16.38,16.38,16.38,16.38,0,0.0,0
2016-04-27,16.41,16.41,16.41,16.41,0,0.0,0
2016-04-28,16.22,16.22,16.22,16.22,0,0.0,0
2016-04-29,16.12,16.12,16.12,16.12,0,0.0,0
2016-05-02,16.12,16.12,16.12,16.12,0,0.0,0
2016-05-03,16.15,16.15,16.15,16.15,0,0.0,0
2016-05-04,16.08,16.08,16.08,16.08,0,0.0,0
2016-05-05,16.02,16.02,16.02,16.02,0,0.0,0
2016-05-06,16.1,16.1,16.1,16.1,0,0.0,0
2016-05-09,16.16,16.16,16.16,16.16,0,0.0,0
2016-05-10,16.29,16.29,16.29,16.29,0,0.0,0
2016-05-11,16.12,16.12,16.12,16.12,0,0.0,0
2016-05-12,16.21,16.21,16.21,16.21,0,0.0,0
2016-05-13,16.05,16.05,16.05,16.05,0,0.0,0
2016-05-16,16.21,16.21,16.21,16.21,0,0.0,0
2016-05-17,16.05,16.05,16.05,16.05,0,0.0,0
2016-05-18,16.12,16.12,16.12,16.12,0,0.0,0
2016-05-19,16.06,16.06,16.06,16.06,0,0.0,0
2016-05-20,16.11,16.11,16.11,16.11,0,0.0,0
2016-05-23,16.03,16.03,16.03,16.03,0,0.0,0
2016-05-24,16.26,16.26,16.26,16.26,0,0.0,0
2016-05-25,16.29,16.29,16.29,16.29,0,0.0,0
2016-05-26,16.26,16.26,16.26,16.26,0,0.0,0
2016-05-27,16.35,16.35,16.35,16.35,0,0.0,0
2016-05-31,16.32,16.32,16.32,16.32,0,0.0,0
2016-06-01,16.36,16.36,16.36,16.36,0,0.0,0
2016-06-02,16.42,16.42,16.42,16.42,0,0.0,0
2016-06-03,16.35,16.35,16.35,16.35,0,0.0,0
2016-06-06,16.39,16.39,16.39,16.39,0,0.0,0
