Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,6.34,6.34,6.34,6.34,0,0.0,0
2015-11-17,6.35,6.35,6.35,6.35,0,0.0,0
2015-11-18,6.37,6.37,6.37,6.37,0,0.0,0
2015-11-19,6.39,6.39,6.39,6.39,0,0.0,0
2015-11-20,6.4,6.4,6.4,6.4,0,0.0,0
2015-11-23,6.41,6.41,6.41,6.41,0,0.0,0
2015-11-24,6.46,6.46,6.46,6.46,0,0.057,0
2015-11-25,6.46,6.46,6.46,6.46,0,0.0,0
2015-11-27,6.46,6.46,6.46,6.46,0,0.0,0
2015-11-30,6.44,6.44,6.44,6.44,0,0.0,0
2015-12-01,6.43,6.43,6.43,6.43,0,0.0,0
2015-12-02,6.42,6.42,6.42,6.42,0,0.0,0
2015-12-03,6.41,6.41,6.41,6.41,0,0.0,0
2015-12-04,6.4,6.4,6.4,6.4,0,0.0,0
2015-12-07,6.41,6.41,6.41,6.41,0,0.0,0
2015-12-08,6.37,6.37,6.37,6.37,0,0.0,0
2015-12-09,6.37,6.37,6.37,6.37,0,0.0,0
2015-12-10,6.37,6.37,6.37,6.37,0,0.0,0
2015-12-11,6.27,6.27,6.27,6.27,0,0.0,0
2015-12-14,6.24,6.24,6.24,6.24,0,0.0,0
2015-12-15,6.25,6.25,6.25,6.25,0,0.0,0
2015-12-16,6.25,6.25,6.25,6.25,0,0.0,0
2015-12-17,6.25,6.25,6.25,6.25,0,0.0,0
2015-12-18,6.23,6.23,6.23,6.23,0,0.0,0
2015-12-21,6.21,6.21,6.21,6.21,0,0.0,0
2015-12-22,6.21,6.21,6.21,6.21,0,0.0,0
2015-12-23,6.28,6.28,6.28,6.28,0,0.07,0
2015-12-24,6.28,6.28,6.28,6.28,0,0.0,0
2015-12-28,6.28,6.28,6.28,6.28,0,0.0,0
2015-12-29,6.29,6.29,6.29,6.29,0,0.0,0
2015-12-30,6.29,6.29,6.29,6.29,0,0.0,0
2015-12-31,6.29,6.29,6.29,6.29,0,0.0,0
2016-01-04,6.28,6.28,6.28,6.28,0,0.0,0
2016-01-05,6.28,6.28,6.28,6.28,0,0.0,0
2016-01-06,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-07,6.23,6.23,6.23,6.23,0,0.0,0
2016-01-08,6.23,6.23,6.23,6.23,0,0.0,0
2016-01-11,6.21,6.21,6.21,6.21,0,0.0,0
2016-01-12,6.14,6.14,6.14,6.14,0,0.0,0
2016-01-13,6.1,6.1,6.1,6.1,0,0.0,0
2016-01-14,6.05,6.05,6.05,6.05,0,0.0,0
2016-01-15,6.05,6.05,6.05,6.05,0,0.0,0
2016-01-19,6.03,6.03,6.03,6.03,0,0.0,0
