Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-17,8.23,8.23,8.23,8.23,0,0.0,0
2017-08-18,8.22,8.22,8.22,8.22,0,0.0,0
2017-08-21,8.24,8.24,8.24,8.24,0,0.0,0
2017-08-22,8.24,8.24,8.24,8.24,0,0.0,0
2017-08-23,8.23,8.23,8.23,8.23,0,0.0,0
2017-08-24,8.28,8.28,8.28,8.28,0,0.0,0
2017-08-25,8.28,8.28,8.28,8.28,0,0.0,0
2017-08-28,8.25,8.25,8.25,8.25,0,0.0,0
2017-08-29,8.25,8.25,8.25,8.25,0,0.0,0
2017-08-30,8.25,8.25,8.25,8.25,0,0.0,0
2017-08-31,8.28,8.28,8.28,8.28,0,0.0,0
2017-09-01,8.28,8.28,8.28,8.28,0,0.0,0
2017-09-05,8.28,8.28,8.28,8.28,0,0.0,0
2017-09-06,8.29,8.29,8.29,8.29,0,0.0,0
2017-09-07,8.3,8.3,8.3,8.3,0,0.0,0
2017-09-08,8.31,8.31,8.31,8.31,0,0.0,0
2017-09-11,8.32,8.32,8.32,8.32,0,0.0,0
2017-09-12,8.32,8.32,8.32,8.32,0,0.0,0
2017-09-13,8.33,8.33,8.33,8.33,0,0.0,0
2017-09-14,8.33,8.33,8.33,8.33,0,0.0,0
2017-09-15,8.35,8.35,8.35,8.35,0,0.0,0
2017-09-18,8.37,8.37,8.37,8.37,0,0.0,0
2017-09-19,8.37,8.37,8.37,8.37,0,0.0,0
2017-09-20,8.36,8.36,8.36,8.36,0,0.0,0
2017-09-21,8.36,8.36,8.36,8.36,0,0.0,0
2017-09-22,8.37,8.37,8.37,8.37,0,0.0,0
2017-09-25,8.36,8.36,8.36,8.36,0,0.0,0
2017-09-26,8.36,8.36,8.36,8.36,0,0.0,0
2017-09-27,8.34,8.34,8.34,8.34,0,0.0,0
2017-09-28,8.37,8.37,8.37,8.37,0,0.0,0
2017-09-29,8.37,8.37,8.37,8.37,0,0.0,0
2017-10-02,8.37,8.37,8.37,8.37,0,0.0,0
2017-10-03,8.39,8.39,8.39,8.39,0,0.0,0
2017-10-04,8.39,8.39,8.39,8.39,0,0.0,0
2017-10-05,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-06,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-09,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-10,8.41,8.41,8.41,8.41,0,0.0,0
2017-10-11,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-12,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-13,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-16,8.38,8.38,8.38,8.38,0,0.0,0
2017-10-17,8.39,8.39,8.39,8.39,0,0.0,0
2017-10-18,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-19,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-20,8.39,8.39,8.39,8.39,0,0.0,0
2017-10-23,8.37,8.37,8.37,8.37,0,0.0,0
2017-10-24,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-25,8.4,8.4,8.4,8.4,0,0.0,0
2017-10-26,8.36,8.36,8.36,8.36,0,0.0,0
2017-10-27,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-30,8.42,8.42,8.42,8.42,0,0.0,0
2017-10-31,8.42,8.42,8.42,8.42,0,0.0,0
2017-11-01,8.42,8.42,8.42,8.42,0,0.0,0
2017-11-02,8.44,8.44,8.44,8.44,0,0.0,0
2017-11-03,8.37,8.37,8.37,8.37,0,0.0,0
2017-11-06,8.37,8.37,8.37,8.37,0,0.0,0
2017-11-07,8.33,8.33,8.33,8.33,0,0.0,0
2017-11-08,8.33,8.33,8.33,8.33,0,0.0,0
2017-11-09,8.33,8.33,8.33,8.33,0,0.0,0
2017-11-10,8.36,8.36,8.36,8.36,0,0.0,0
2017-11-13,8.36,8.36,8.36,8.36,0,0.0,0
2017-11-14,8.35,8.35,8.35,8.35,0,0.0,0
2017-11-15,8.35,8.35,8.35,8.35,0,0.0,0
2017-11-16,8.38,8.38,8.38,8.38,0,0.0,0
2017-11-17,8.38,8.38,8.38,8.38,0,0.0,0
2017-11-20,8.38,8.38,8.38,8.38,0,0.0,0
2017-11-21,8.37,8.37,8.37,8.37,0,0.0,0
2017-11-22,8.37,8.37,8.37,8.37,0,0.0,0
2017-11-24,8.37,8.37,8.37,8.37,0,0.0,0
2017-11-27,8.44,8.44,8.44,8.44,0,0.058,0
2017-11-28,8.45,8.45,8.45,8.45,0,0.0,0
2017-11-29,8.43,8.43,8.43,8.43,0,0.0,0
2017-11-30,8.41,8.41,8.41,8.41,0,0.0,0
2017-12-01,8.41,8.41,8.41,8.41,0,0.0,0
2017-12-04,8.41,8.41,8.41,8.41,0,0.0,0
2017-12-05,8.41,8.41,8.41,8.41,0,0.0,0
2017-12-06,8.42,8.42,8.42,8.42,0,0.0,0
2017-12-07,8.44,8.44,8.44,8.44,0,0.0,0
2017-12-08,8.44,8.44,8.44,8.44,0,0.0,0
2017-12-11,8.45,8.45,8.45,8.45,0,0.0,0
2017-12-12,8.45,8.45,8.45,8.45,0,0.0,0
2017-12-13,8.45,8.45,8.45,8.45,0,0.0,0
2017-12-14,8.45,8.45,8.45,8.45,0,0.0,0
2017-12-15,8.46,8.46,8.46,8.46,0,0.0,0
2017-12-18,8.46,8.46,8.46,8.46,0,0.0,0
2017-12-19,8.46,8.46,8.46,8.46,0,0.0,0
2017-12-20,8.45,8.45,8.45,8.45,0,0.0,0
2017-12-21,8.48,8.48,8.48,8.48,0,0.253,0
2017-12-22,8.48,8.48,8.48,8.48,0,0.0,0
2017-12-26,8.48,8.48,8.48,8.48,0,0.0,0
2017-12-27,8.47,8.47,8.47,8.47,0,0.0,0
2017-12-28,8.48,8.48,8.48,8.48,0,0.0,0
2017-12-29,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-02,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-03,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-04,8.49,8.49,8.49,8.49,0,0.0,0
2018-01-05,8.5,8.5,8.5,8.5,0,0.0,0
2018-01-08,8.5,8.5,8.5,8.5,0,0.0,0
2018-01-09,8.5,8.5,8.5,8.5,0,0.0,0
2018-01-10,8.49,8.49,8.49,8.49,0,0.0,0
2018-01-11,8.5,8.5,8.5,8.5,0,0.0,0
2018-01-12,8.49,8.49,8.49,8.49,0,0.0,0
2018-01-16,8.49,8.49,8.49,8.49,0,0.0,0
2018-01-17,8.49,8.49,8.49,8.49,0,0.0,0
2018-01-18,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-19,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-22,8.47,8.47,8.47,8.47,0,0.0,0
2018-01-23,8.48,8.48,8.48,8.48,0,0.0,0
2018-01-24,8.53,8.53,8.53,8.53,0,0.05,0
2018-01-25,8.53,8.53,8.53,8.53,0,0.0,0
2018-01-26,8.56,8.56,8.56,8.56,0,0.04,0
2018-01-29,8.55,8.55,8.55,8.55,0,0.0,0
2018-01-30,8.54,8.54,8.54,8.54,0,0.0,0
2018-01-31,8.54,8.54,8.54,8.54,0,0.0,0
2018-02-01,8.55,8.55,8.55,8.55,0,0.0,0
2018-02-02,8.54,8.54,8.54,8.54,0,0.0,0
2018-02-05,8.52,8.52,8.52,8.52,0,0.0,0
2018-02-06,8.49,8.49,8.49,8.49,0,0.0,0
2018-02-07,8.5,8.5,8.5,8.5,0,0.0,0
2018-02-08,8.48,8.48,8.48,8.48,0,0.0,0
2018-02-09,8.44,8.44,8.44,8.44,0,0.0,0
2018-02-12,8.44,8.44,8.44,8.44,0,0.0,0
2018-02-13,8.43,8.43,8.43,8.43,0,0.0,0
2018-02-14,8.42,8.42,8.42,8.42,0,0.0,0
2018-02-15,8.44,8.44,8.44,8.44,0,0.0,0
2018-02-16,8.44,8.44,8.44,8.44,0,0.0,0
2018-02-20,8.46,8.46,8.46,8.46,0,0.0,0
2018-02-21,8.46,8.46,8.46,8.46,0,0.0,0
2018-02-22,8.44,8.44,8.44,8.44,0,0.0,0
2018-02-23,8.45,8.45,8.45,8.45,0,0.0,0
2018-02-26,8.48,8.48,8.48,8.48,0,0.03,0
2018-02-27,8.47,8.47,8.47,8.47,0,0.0,0
2018-02-28,8.48,8.48,8.48,8.48,0,0.0,0
2018-03-01,8.47,8.47,8.47,8.47,0,0.0,0
2018-03-02,8.47,8.47,8.47,8.47,0,0.0,0
2018-03-05,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-06,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-07,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-08,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-09,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-12,8.47,8.47,8.47,8.47,0,0.0,0
2018-03-13,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-14,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-15,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-16,8.46,8.46,8.46,8.46,0,0.0,0
2018-03-19,8.45,8.45,8.45,8.45,0,0.0,0
2018-03-20,8.44,8.44,8.44,8.44,0,0.0,0
2018-03-21,8.44,8.44,8.44,8.44,0,0.0,0
2018-03-22,8.43,8.43,8.43,8.43,0,0.0,0
2018-03-23,8.42,8.42,8.42,8.42,0,0.0,0
2018-03-26,8.42,8.42,8.42,8.42,0,0.0,0
2018-03-27,8.45,8.45,8.45,8.45,0,0.032,0
2018-03-28,8.44,8.44,8.44,8.44,0,0.0,0
2018-03-29,8.46,8.46,8.46,8.46,0,0.0,0
2018-04-02,8.47,8.47,8.47,8.47,0,0.0,0
2018-04-03,8.48,8.48,8.48,8.48,0,0.0,0
2018-04-04,8.49,8.49,8.49,8.49,0,0.0,0
2018-04-05,8.5,8.5,8.5,8.5,0,0.0,0
2018-04-06,8.5,8.5,8.5,8.5,0,0.0,0
2018-04-09,8.48,8.48,8.48,8.48,0,0.0,0
2018-04-10,8.46,8.46,8.46,8.46,0,0.0,0
2018-04-11,8.44,8.44,8.44,8.44,0,0.0,0
2018-04-12,8.45,8.45,8.45,8.45,0,0.0,0
2018-04-13,8.45,8.45,8.45,8.45,0,0.0,0
2018-04-16,8.43,8.43,8.43,8.43,0,0.0,0
2018-04-17,8.43,8.43,8.43,8.43,0,0.0,0
2018-04-18,8.43,8.43,8.43,8.43,0,0.0,0
2018-04-19,8.43,8.43,8.43,8.43,0,0.0,0
2018-04-20,8.41,8.41,8.41,8.41,0,0.0,0
2018-04-23,8.4,8.4,8.4,8.4,0,0.0,0
2018-04-24,8.43,8.43,8.43,8.43,0,0.03,0
2018-04-25,8.41,8.41,8.41,8.41,0,0.0,0
2018-04-26,8.41,8.41,8.41,8.41,0,0.0,0
2018-04-27,8.4,8.4,8.4,8.4,0,0.0,0
2018-04-30,8.39,8.39,8.39,8.39,0,0.0,0
2018-05-01,8.37,8.37,8.37,8.37,0,0.0,0
2018-05-02,8.36,8.36,8.36,8.36,0,0.0,0
2018-05-03,8.33,8.33,8.33,8.33,0,0.0,0
2018-05-04,8.32,8.32,8.32,8.32,0,0.0,0
2018-05-07,8.32,8.32,8.32,8.32,0,0.0,0
2018-05-08,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-09,8.26,8.26,8.26,8.26,0,0.0,0
2018-05-10,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-11,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-14,8.31,8.31,8.31,8.31,0,0.0,0
2018-05-15,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-16,8.31,8.31,8.31,8.31,0,0.0,0
2018-05-17,8.32,8.32,8.32,8.32,0,0.0,0
2018-05-18,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-21,8.3,8.3,8.3,8.3,0,0.0,0
2018-05-22,8.31,8.31,8.31,8.31,0,0.0,0
2018-05-23,8.31,8.31,8.31,8.31,0,0.0,0
2018-05-24,8.37,8.37,8.37,8.37,0,0.062,0
2018-05-25,8.36,8.36,8.36,8.36,0,0.0,0
2018-05-29,8.35,8.35,8.35,8.35,0,0.0,0
2018-05-30,8.34,8.34,8.34,8.34,0,0.0,0
2018-05-31,8.31,8.31,8.31,8.31,0,0.0,0
2018-06-01,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-04,8.29,8.29,8.29,8.29,0,0.0,0
2018-06-05,8.29,8.29,8.29,8.29,0,0.0,0
2018-06-06,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-07,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-08,8.28,8.28,8.28,8.28,0,0.0,0
2018-06-11,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-12,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-13,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-14,8.27,8.27,8.27,8.27,0,0.0,0
2018-06-15,8.26,8.26,8.26,8.26,0,0.0,0
2018-06-18,8.23,8.23,8.23,8.23,0,0.0,0
2018-06-19,8.17,8.17,8.17,8.17,0,0.0,0
2018-06-20,8.2,8.2,8.2,8.2,0,0.0,0
2018-06-21,8.2,8.2,8.2,8.2,0,0.0,0
2018-06-22,8.22,8.22,8.22,8.22,0,0.0,0
2018-06-25,8.22,8.22,8.22,8.22,0,0.0,0
2018-06-26,8.25,8.25,8.25,8.25,0,0.038,0
2018-06-27,8.24,8.24,8.24,8.24,0,0.0,0
2018-06-28,8.23,8.23,8.23,8.23,0,0.0,0
2018-06-29,8.24,8.24,8.24,8.24,0,0.0,0
2018-07-02,8.23,8.23,8.23,8.23,0,0.0,0
2018-07-03,8.22,8.22,8.22,8.22,0,0.0,0
2018-07-05,8.24,8.24,8.24,8.24,0,0.0,0
2018-07-06,8.24,8.24,8.24,8.24,0,0.0,0
2018-07-09,8.25,8.25,8.25,8.25,0,0.0,0
2018-07-10,8.24,8.24,8.24,8.24,0,0.0,0
2018-07-11,8.22,8.22,8.22,8.22,0,0.0,0
2018-07-12,8.24,8.24,8.24,8.24,0,0.0,0
2018-07-13,8.27,8.27,8.27,8.27,0,0.0,0
2018-07-16,8.27,8.27,8.27,8.27,0,0.0,0
2018-07-17,8.27,8.27,8.27,8.27,0,0.0,0
2018-07-18,8.3,8.3,8.3,8.3,0,0.0,0
2018-07-19,8.3,8.3,8.3,8.3,0,0.0,0
2018-07-20,8.32,8.32,8.32,8.32,0,0.0,0
2018-07-23,8.32,8.32,8.32,8.32,0,0.0,0
2018-07-24,8.35,8.35,8.35,8.35,0,0.03,0
2018-07-25,8.37,8.37,8.37,8.37,0,0.0,0
2018-07-26,8.38,8.38,8.38,8.38,0,0.0,0
2018-07-27,8.4,8.4,8.4,8.4,0,0.0,0
2018-07-30,8.39,8.39,8.39,8.39,0,0.0,0
2018-07-31,8.39,8.39,8.39,8.39,0,0.0,0
2018-08-01,8.37,8.37,8.37,8.37,0,0.0,0
2018-08-02,8.36,8.36,8.36,8.36,0,0.0,0
2018-08-03,8.37,8.37,8.37,8.37,0,0.0,0
2018-08-06,8.37,8.37,8.37,8.37,0,0.0,0
2018-08-07,8.36,8.36,8.36,8.36,0,0.0,0
2018-08-08,8.35,8.35,8.35,8.35,0,0.0,0
2018-08-09,8.32,8.32,8.32,8.32,0,0.0,0
2018-08-10,8.29,8.29,8.29,8.29,0,0.0,0
2018-08-13,8.24,8.24,8.24,8.24,0,0.0,0
2018-08-14,8.25,8.25,8.25,8.25,0,0.0,0
2018-08-15,8.24,8.24,8.24,8.24,0,0.0,0
2018-08-16,8.27,8.27,8.27,8.27,0,0.0,0
2018-08-17,8.26,8.26,8.26,8.26,0,0.0,0
2018-08-20,8.26,8.26,8.26,8.26,0,0.0,0
2018-08-21,8.26,8.26,8.26,8.26,0,0.0,0
2018-08-22,8.27,8.27,8.27,8.27,0,0.0,0
2018-08-23,8.27,8.27,8.27,8.27,0,0.0,0
2018-08-24,8.3,8.3,8.3,8.3,0,0.035,0
2018-08-27,8.3,8.3,8.3,8.3,0,0.0,0
2018-08-28,8.29,8.29,8.29,8.29,0,0.0,0
2018-08-29,8.27,8.27,8.27,8.27,0,0.0,0
2018-08-30,8.27,8.27,8.27,8.27,0,0.0,0
2018-08-31,8.27,8.27,8.27,8.27,0,0.0,0
2018-09-04,8.21,8.21,8.21,8.21,0,0.0,0
2018-09-05,8.2,8.2,8.2,8.2,0,0.0,0
2018-09-06,8.22,8.22,8.22,8.22,0,0.0,0
2018-09-07,8.22,8.22,8.22,8.22,0,0.0,0
2018-09-10,8.21,8.21,8.21,8.21,0,0.0,0
2018-09-11,8.2,8.2,8.2,8.2,0,0.0,0
2018-09-12,8.21,8.21,8.21,8.21,0,0.0,0
2018-09-13,8.24,8.24,8.24,8.24,0,0.0,0
2018-09-14,8.25,8.25,8.25,8.25,0,0.0,0
2018-09-17,8.24,8.24,8.24,8.24,0,0.0,0
2018-09-18,8.24,8.24,8.24,8.24,0,0.0,0
2018-09-19,8.24,8.24,8.24,8.24,0,0.0,0
2018-09-20,8.27,8.27,8.27,8.27,0,0.0,0
2018-09-21,8.29,8.29,8.29,8.29,0,0.0,0
2018-09-24,8.31,8.31,8.31,8.31,0,0.0,0
2018-09-25,8.34,8.34,8.34,8.34,0,0.039,0
2018-09-26,8.36,8.36,8.36,8.36,0,0.0,0
2018-09-27,8.38,8.38,8.38,8.38,0,0.0,0
2018-09-28,8.36,8.36,8.36,8.36,0,0.0,0
2018-10-01,8.35,8.35,8.35,8.35,0,0.0,0
2018-10-02,8.35,8.35,8.35,8.35,0,0.0,0
2018-10-03,8.35,8.35,8.35,8.35,0,0.0,0
2018-10-04,8.34,8.34,8.34,8.34,0,0.0,0
2018-10-05,8.34,8.34,8.34,8.34,0,0.0,0
2018-10-08,8.34,8.34,8.34,8.34,0,0.0,0
2018-10-09,8.34,8.34,8.34,8.34,0,0.0,0
2018-10-10,8.35,8.35,8.35,8.35,0,0.0,0
2018-10-11,8.34,8.34,8.34,8.34,0,0.0,0
2018-10-12,8.35,8.35,8.35,8.35,0,0.0,0
2018-10-15,8.36,8.36,8.36,8.36,0,0.0,0
2018-10-16,8.39,8.39,8.39,8.39,0,0.0,0
2018-10-17,8.39,8.39,8.39,8.39,0,0.0,0
2018-10-18,8.39,8.39,8.39,8.39,0,0.0,0
2018-10-19,8.38,8.38,8.38,8.38,0,0.0,0
2018-10-22,8.38,8.38,8.38,8.38,0,0.0,0
2018-10-23,8.37,8.37,8.37,8.37,0,0.0,0
2018-10-24,8.38,8.38,8.38,8.38,0,0.035,0
2018-10-25,8.37,8.37,8.37,8.37,0,0.0,0
2018-10-26,8.37,8.37,8.37,8.37,0,0.0,0
2018-10-29,8.4,8.4,8.4,8.4,0,0.0,0
2018-10-30,8.37,8.37,8.37,8.37,0,0.0,0
2018-10-31,8.35,8.35,8.35,8.35,0,0.0,0
2018-11-01,8.36,8.36,8.36,8.36,0,0.0,0
2018-11-02,8.38,8.38,8.38,8.38,0,0.0,0
2018-11-05,8.38,8.38,8.38,8.38,0,0.0,0
2018-11-06,8.38,8.38,8.38,8.38,0,0.0,0
2018-11-07,8.38,8.38,8.38,8.38,0,0.0,0
2018-11-08,8.38,8.38,8.38,8.38,0,0.0,0
2018-11-09,8.37,8.37,8.37,8.37,0,0.0,0
2018-11-12,8.37,8.37,8.37,8.37,0,0.0,0
2018-11-13,8.35,8.35,8.35,8.35,0,0.0,0
2018-11-14,8.34,8.34,8.34,8.34,0,0.0,0
2018-11-15,8.32,8.32,8.32,8.32,0,0.0,0
2018-11-16,8.33,8.33,8.33,8.33,0,0.0,0
2018-11-19,8.31,8.31,8.31,8.31,0,0.0,0
2018-11-20,8.27,8.27,8.27,8.27,0,0.0,0
2018-11-21,8.27,8.27,8.27,8.27,0,0.0,0
2018-11-23,8.27,8.27,8.27,8.27,0,0.0,0
2018-11-26,8.34,8.34,8.34,8.34,0,0.07,0
