Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,10.52,10.52,10.52,10.52,0,0.0,0
2015-11-17,10.5,10.5,10.5,10.5,0,0.0,0
2015-11-18,10.64,10.64,10.64,10.64,0,0.0,0
2015-11-19,10.64,10.64,10.64,10.64,0,0.0,0
2015-11-20,10.65,10.65,10.65,10.65,0,0.0,0
2015-11-23,10.65,10.65,10.65,10.65,0,0.0,0
2015-11-24,10.64,10.64,10.64,10.64,0,0.295,0
2015-11-25,10.69,10.69,10.69,10.69,0,0.0,0
2015-11-27,10.7,10.7,10.7,10.7,0,0.0,0
2015-11-30,10.64,10.64,10.64,10.64,0,0.0,0
2015-12-01,10.7,10.7,10.7,10.7,0,0.0,0
2015-12-02,10.61,10.61,10.61,10.61,0,0.0,0
2015-12-03,10.45,10.45,10.45,10.45,0,0.0,0
2015-12-04,10.59,10.59,10.59,10.59,0,0.0,0
2015-12-07,10.52,10.52,10.52,10.52,0,0.0,0
2015-12-08,10.43,10.43,10.43,10.43,0,0.0,0
2015-12-09,10.37,10.37,10.37,10.37,0,0.0,0
2015-12-10,10.4,10.4,10.4,10.4,0,0.0,0
2015-12-11,10.21,10.21,10.21,10.21,0,0.0,0
2015-12-14,10.18,10.18,10.18,10.18,0,0.0,0
2015-12-15,10.26,10.26,10.26,10.26,0,0.0,0
2015-12-16,10.43,10.43,10.43,10.43,0,0.0,0
2015-12-17,10.27,10.27,10.27,10.27,0,0.0,0
2015-12-18,10.13,10.13,10.13,10.13,0,0.0,0
2015-12-21,10.21,10.21,10.21,10.21,0,0.0,0
2015-12-22,10.31,10.31,10.31,10.31,0,0.0,0
2015-12-23,10.44,10.44,10.44,10.44,0,0.0,0
2015-12-24,10.43,10.43,10.43,10.43,0,0.0,0
2015-12-28,10.4,10.4,10.4,10.4,0,0.0,0
2015-12-29,10.49,10.49,10.49,10.49,0,0.0,0
2015-12-30,10.42,10.42,10.42,10.42,0,0.0,0
2015-12-31,10.35,10.35,10.35,10.35,0,0.0,0
2016-01-04,10.19,10.19,10.19,10.19,0,0.0,0
2016-01-05,10.18,10.18,10.18,10.18,0,0.0,0
2016-01-06,10.07,10.07,10.07,10.07,0,0.0,0
2016-01-07,9.85,9.85,9.85,9.85,0,0.0,0
2016-01-08,9.76,9.76,9.76,9.76,0,0.0,0
2016-01-11,9.75,9.75,9.75,9.75,0,0.0,0
2016-01-12,9.82,9.82,9.82,9.82,0,0.0,0
2016-01-13,9.58,9.58,9.58,9.58,0,0.0,0
2016-01-14,9.67,9.67,9.67,9.67,0,0.0,0
2016-01-15,9.48,9.48,9.48,9.48,0,0.0,0
2016-01-19,9.5,9.5,9.5,9.5,0,0.0,0
2016-01-20,9.39,9.39,9.39,9.39,0,0.0,0
2016-01-21,9.44,9.44,9.44,9.44,0,0.0,0
2016-01-22,9.61,9.61,9.61,9.61,0,0.0,0
2016-01-25,9.5,9.5,9.5,9.5,0,0.0,0
2016-01-26,9.66,9.66,9.66,9.66,0,0.0,0
2016-01-27,9.59,9.59,9.59,9.59,0,0.0,0
2016-01-28,9.61,9.61,9.61,9.61,0,0.0,0
2016-01-29,9.89,9.89,9.89,9.89,0,0.0,0
2016-02-01,9.89,9.89,9.89,9.89,0,0.0,0
2016-02-02,9.68,9.68,9.68,9.68,0,0.0,0
2016-02-03,9.8,9.8,9.8,9.8,0,0.0,0
2016-02-04,9.82,9.82,9.82,9.82,0,0.0,0
2016-02-05,9.65,9.65,9.65,9.65,0,0.0,0
2016-02-08,9.46,9.46,9.46,9.46,0,0.0,0
2016-02-09,9.45,9.45,9.45,9.45,0,0.0,0
2016-02-10,9.47,9.47,9.47,9.47,0,0.0,0
2016-02-11,9.4,9.4,9.4,9.4,0,0.0,0
2016-02-12,9.58,9.58,9.58,9.58,0,0.0,0
2016-02-16,9.81,9.81,9.81,9.81,0,0.0,0
2016-02-17,9.96,9.96,9.96,9.96,0,0.0,0
2016-02-18,9.93,9.93,9.93,9.93,0,0.0,0
2016-02-19,9.91,9.91,9.91,9.91,0,0.0,0
2016-02-22,10.01,10.01,10.01,10.01,0,0.0,0
2016-02-23,9.94,9.94,9.94,9.94,0,0.0,0
2016-02-24,9.99,9.99,9.99,9.99,0,0.0,0
2016-02-25,10.09,10.09,10.09,10.09,0,0.0,0
2016-02-26,10.07,10.07,10.07,10.07,0,0.0,0
2016-02-29,9.99,9.99,9.99,9.99,0,0.0,0
2016-03-01,10.2,10.2,10.2,10.2,0,0.0,0
2016-03-02,10.23,10.23,10.23,10.23,0,0.0,0
2016-03-03,10.31,10.31,10.31,10.31,0,0.0,0
2016-03-04,10.37,10.37,10.37,10.37,0,0.0,0
2016-03-07,10.38,10.38,10.38,10.38,0,0.0,0
2016-03-08,10.26,10.26,10.26,10.26,0,0.0,0
2016-03-09,10.32,10.32,10.32,10.32,0,0.0,0
2016-03-10,10.28,10.28,10.28,10.28,0,0.0,0
2016-03-11,10.45,10.45,10.45,10.45,0,0.0,0
2016-03-14,10.41,10.41,10.41,10.41,0,0.0,0
2016-03-15,10.38,10.38,10.38,10.38,0,0.0,0
2016-03-16,10.47,10.47,10.47,10.47,0,0.0,0
