Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-17,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-18,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-19,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-20,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-23,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-24,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-25,5.78,5.78,5.78,5.78,0,0.0,0
2015-11-27,5.78,5.78,5.78,5.78,0,0.027,0
2015-11-30,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-01,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-02,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-03,5.78,5.78,5.78,5.78,0,0.0,0
2015-12-04,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-07,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-08,5.76,5.76,5.76,5.76,0,0.0,0
2015-12-09,5.77,5.77,5.77,5.77,0,0.0,0
2015-12-10,5.76,5.76,5.76,5.76,0,0.0,0
2015-12-11,5.73,5.73,5.73,5.73,0,0.0,0
2015-12-14,5.71,5.71,5.71,5.71,0,0.0,0
2015-12-15,5.72,5.72,5.72,5.72,0,0.0,0
2015-12-16,5.73,5.73,5.73,5.73,0,0.0,0
2015-12-17,5.74,5.74,5.74,5.74,0,0.0,0
2015-12-18,5.72,5.72,5.72,5.72,0,0.0,0
2015-12-21,5.72,5.72,5.72,5.72,0,0.0,0
2015-12-22,5.73,5.73,5.73,5.73,0,0.0,0
2015-12-23,5.74,5.74,5.74,5.74,0,0.0,0
2015-12-24,5.74,5.74,5.74,5.74,0,0.0,0
2015-12-28,5.73,5.73,5.73,5.73,0,0.0,0
2015-12-29,5.75,5.75,5.75,5.75,0,0.0,0
2015-12-30,5.75,5.75,5.75,5.75,0,0.027,0
2015-12-31,5.75,5.75,5.75,5.75,0,0.0,0
2016-01-04,5.75,5.75,5.75,5.75,0,0.0,0
2016-01-05,5.76,5.76,5.76,5.76,0,0.0,0
2016-01-06,5.75,5.75,5.75,5.75,0,0.0,0
2016-01-07,5.73,5.73,5.73,5.73,0,0.0,0
2016-01-08,5.73,5.73,5.73,5.73,0,0.0,0
2016-01-11,5.72,5.72,5.72,5.72,0,0.0,0
2016-01-12,5.7,5.7,5.7,5.7,0,0.0,0
2016-01-13,5.69,5.69,5.69,5.69,0,0.0,0
2016-01-14,5.68,5.68,5.68,5.68,0,0.0,0
2016-01-15,5.63,5.63,5.63,5.63,0,0.0,0
2016-01-19,5.63,5.63,5.63,5.63,0,0.0,0
2016-01-20,5.59,5.59,5.59,5.59,0,0.0,0
2016-01-21,5.6,5.6,5.6,5.6,0,0.0,0
2016-01-22,5.63,5.63,5.63,5.63,0,0.0,0
2016-01-25,5.62,5.62,5.62,5.62,0,0.0,0
2016-01-26,5.63,5.63,5.63,5.63,0,0.0,0
2016-01-27,5.63,5.63,5.63,5.63,0,0.0,0
2016-01-28,5.63,5.63,5.63,5.63,0,0.026,0
2016-01-29,5.63,5.63,5.63,5.63,0,0.0,0
2016-02-01,5.64,5.64,5.64,5.64,0,0.0,0
2016-02-02,5.62,5.62,5.62,5.62,0,0.0,0
2016-02-03,5.6,5.6,5.6,5.6,0,0.0,0
2016-02-04,5.59,5.59,5.59,5.59,0,0.0,0
2016-02-05,5.59,5.59,5.59,5.59,0,0.0,0
2016-02-08,5.55,5.55,5.55,5.55,0,0.0,0
2016-02-09,5.54,5.54,5.54,5.54,0,0.0,0
2016-02-10,5.52,5.52,5.52,5.52,0,0.0,0
2016-02-11,5.49,5.49,5.49,5.49,0,0.0,0
2016-02-12,5.51,5.51,5.51,5.51,0,0.0,0
2016-02-16,5.53,5.53,5.53,5.53,0,0.0,0
2016-02-17,5.55,5.55,5.55,5.55,0,0.0,0
2016-02-18,5.55,5.55,5.55,5.55,0,0.0,0
2016-02-19,5.55,5.55,5.55,5.55,0,0.0,0
2016-02-22,5.58,5.58,5.58,5.58,0,0.0,0
2016-02-23,5.57,5.57,5.57,5.57,0,0.0,0
2016-02-24,5.56,5.56,5.56,5.56,0,0.0,0
2016-02-25,5.55,5.55,5.55,5.55,0,0.0,0
2016-02-26,5.6,5.6,5.6,5.6,0,0.026,0
2016-02-29,5.58,5.58,5.58,5.58,0,0.0,0
2016-03-01,5.62,5.62,5.62,5.62,0,0.0,0
2016-03-02,5.63,5.63,5.63,5.63,0,0.0,0
2016-03-03,5.62,5.62,5.62,5.62,0,0.0,0
2016-03-04,5.64,5.64,5.64,5.64,0,0.0,0
2016-03-07,5.63,5.63,5.63,5.63,0,0.0,0
2016-03-08,5.63,5.63,5.63,5.63,0,0.0,0
2016-03-09,5.64,5.64,5.64,5.64,0,0.0,0
2016-03-10,5.65,5.65,5.65,5.65,0,0.0,0
2016-03-11,5.67,5.67,5.67,5.67,0,0.0,0
2016-03-14,5.68,5.68,5.68,5.68,0,0.0,0
2016-03-15,5.68,5.68,5.68,5.68,0,0.0,0
2016-03-16,5.66,5.66,5.66,5.66,0,0.0,0
2016-03-17,5.66,5.66,5.66,5.66,0,0.0,0
2016-03-18,5.69,5.69,5.69,5.69,0,0.0,0
2016-03-21,5.7,5.7,5.7,5.7,0,0.0,0
2016-03-22,5.7,5.7,5.7,5.7,0,0.0,0
2016-03-23,5.7,5.7,5.7,5.7,0,0.0,0
2016-03-24,5.7,5.7,5.7,5.7,0,0.0,0
2016-03-28,5.7,5.7,5.7,5.7,0,0.0,0
2016-03-29,5.69,5.69,5.69,5.69,0,0.0,0
2016-03-30,5.69,5.69,5.69,5.69,0,0.026,0
2016-03-31,5.7,5.7,5.7,5.7,0,0.0,0
2016-04-01,5.71,5.71,5.71,5.71,0,0.0,0
2016-04-04,5.71,5.71,5.71,5.71,0,0.0,0
2016-04-05,5.69,5.69,5.69,5.69,0,0.0,0
2016-04-06,5.71,5.71,5.71,5.71,0,0.0,0
2016-04-07,5.7,5.7,5.7,5.7,0,0.0,0
2016-04-08,5.7,5.7,5.7,5.7,0,0.0,0
2016-04-11,5.7,5.7,5.7,5.7,0,0.0,0
2016-04-12,5.72,5.72,5.72,5.72,0,0.0,0
2016-04-13,5.72,5.72,5.72,5.72,0,0.0,0
2016-04-14,5.73,5.73,5.73,5.73,0,0.0,0
2016-04-15,5.72,5.72,5.72,5.72,0,0.0,0
2016-04-18,5.73,5.73,5.73,5.73,0,0.0,0
2016-04-19,5.73,5.73,5.73,5.73,0,0.0,0
2016-04-20,5.75,5.75,5.75,5.75,0,0.0,0
2016-04-21,5.76,5.76,5.76,5.76,0,0.0,0
2016-04-22,5.77,5.77,5.77,5.77,0,0.0,0
2016-04-25,5.76,5.76,5.76,5.76,0,0.0,0
2016-04-26,5.76,5.76,5.76,5.76,0,0.0,0
2016-04-27,5.77,5.77,5.77,5.77,0,0.0,0
2016-04-28,5.77,5.77,5.77,5.77,0,0.027,0
2016-04-29,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-02,5.78,5.78,5.78,5.78,0,0.0,0
2016-05-03,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-04,5.75,5.75,5.75,5.75,0,0.0,0
2016-05-05,5.75,5.75,5.75,5.75,0,0.0,0
2016-05-06,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-09,5.75,5.75,5.75,5.75,0,0.0,0
2016-05-10,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-11,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-12,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-13,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-16,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-17,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-18,5.78,5.78,5.78,5.78,0,0.0,0
2016-05-19,5.75,5.75,5.75,5.75,0,0.0,0
2016-05-20,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-23,5.76,5.76,5.76,5.76,0,0.0,0
2016-05-24,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-25,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-26,5.77,5.77,5.77,5.77,0,0.0,0
2016-05-27,5.77,5.77,5.77,5.77,0,0.026,0
2016-05-31,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-01,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-02,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-03,5.76,5.76,5.76,5.76,0,0.0,0
2016-06-06,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-07,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-08,5.78,5.78,5.78,5.78,0,0.0,0
2016-06-09,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-10,5.77,5.77,5.77,5.77,0,0.0,0
2016-06-13,5.76,5.76,5.76,5.76,0,0.0,0
2016-06-14,5.75,5.75,5.75,5.75,0,0.0,0
