Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,9.1,9.1,9.1,9.1,0,0.0,0
2015-11-17,9.08,9.08,9.08,9.08,0,0.0,0
2015-11-18,9.1,9.1,9.1,9.1,0,0.0,0
2015-11-19,9.17,9.17,9.17,9.17,0,0.0,0
2015-11-20,9.14,9.14,9.14,9.14,0,0.0,0
2015-11-23,9.12,9.12,9.12,9.12,0,0.0,0
2015-11-24,9.15,9.15,9.15,9.15,0,0.0,0
2015-11-25,9.14,9.14,9.14,9.14,0,0.0,0
2015-11-27,9.12,9.12,9.12,9.12,0,0.0,0
2015-11-30,9.08,9.08,9.08,9.08,0,0.0,0
2015-12-01,9.13,9.13,9.13,9.13,0,0.0,0
2015-12-02,9.13,9.13,9.13,9.13,0,0.0,0
2015-12-03,9.22,9.22,9.22,9.22,0,0.0,0
2015-12-04,9.16,9.16,9.16,9.16,0,0.0,0
2015-12-07,9.14,9.14,9.14,9.14,0,0.0,0
2015-12-08,9.15,9.15,9.15,9.15,0,0.0,0
2015-12-09,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-10,9.17,9.17,9.17,9.17,0,0.0,0
2015-12-11,9.17,9.17,9.17,9.17,0,0.057,0
2015-12-14,9.16,9.16,9.16,9.16,0,0.0,0
2015-12-15,9.11,9.11,9.11,9.11,0,0.0,0
2015-12-16,9.09,9.09,9.09,9.09,0,0.0,0
2015-12-17,9.07,9.07,9.07,9.07,0,0.0,0
2015-12-18,9.13,9.13,9.13,9.13,0,0.0,0
2015-12-21,9.14,9.14,9.14,9.14,0,0.0,0
2015-12-22,9.15,9.15,9.15,9.15,0,0.0,0
2015-12-23,9.13,9.13,9.13,9.13,0,0.0,0
2015-12-24,9.16,9.16,9.16,9.16,0,0.0,0
2015-12-28,9.17,9.17,9.17,9.17,0,0.0,0
2015-12-29,9.16,9.16,9.16,9.16,0,0.0,0
2015-12-30,9.13,9.13,9.13,9.13,0,0.0,0
2015-12-31,9.12,9.12,9.12,9.12,0,0.0,0
2016-01-04,9.12,9.12,9.12,9.12,0,0.0,0
2016-01-05,9.11,9.11,9.11,9.11,0,0.0,0
2016-01-06,9.14,9.14,9.14,9.14,0,0.0,0
2016-01-07,9.18,9.18,9.18,9.18,0,0.0,0
2016-01-08,9.18,9.18,9.18,9.18,0,0.0,0
2016-01-11,9.14,9.14,9.14,9.14,0,0.0,0
2016-01-12,9.15,9.15,9.15,9.15,0,0.0,0
2016-01-13,9.17,9.17,9.17,9.17,0,0.0,0
2016-01-14,9.16,9.16,9.16,9.16,0,0.0,0
2016-01-15,9.18,9.18,9.18,9.18,0,0.0,0
2016-01-19,9.16,9.16,9.16,9.16,0,0.0,0
2016-01-20,9.17,9.17,9.17,9.17,0,0.0,0
2016-01-21,9.14,9.14,9.14,9.14,0,0.0,0
2016-01-22,9.09,9.09,9.09,9.09,0,0.0,0
2016-01-25,9.12,9.12,9.12,9.12,0,0.0,0
2016-01-26,9.15,9.15,9.15,9.15,0,0.0,0
2016-01-27,9.15,9.15,9.15,9.15,0,0.0,0
2016-01-28,9.18,9.18,9.18,9.18,0,0.0,0
2016-01-29,9.15,9.15,9.15,9.15,0,0.0,0
2016-02-01,9.16,9.16,9.16,9.16,0,0.0,0
2016-02-02,9.18,9.18,9.18,9.18,0,0.0,0
2016-02-03,9.35,9.35,9.35,9.35,0,0.0,0
2016-02-04,9.41,9.41,9.41,9.41,0,0.0,0
2016-02-05,9.37,9.37,9.37,9.37,0,0.0,0
2016-02-08,9.42,9.42,9.42,9.42,0,0.0,0
2016-02-09,9.48,9.48,9.48,9.48,0,0.0,0
2016-02-10,9.55,9.55,9.55,9.55,0,0.0,0
2016-02-11,9.59,9.59,9.59,9.59,0,0.0,0
2016-02-12,9.52,9.52,9.52,9.52,0,0.0,0
2016-02-16,9.43,9.43,9.43,9.43,0,0.0,0
2016-02-17,9.45,9.45,9.45,9.45,0,0.0,0
2016-02-18,9.47,9.47,9.47,9.47,0,0.0,0
2016-02-19,9.52,9.52,9.52,9.52,0,0.0,0
2016-02-22,9.5,9.5,9.5,9.5,0,0.0,0
2016-02-23,9.51,9.51,9.51,9.51,0,0.0,0
2016-02-24,9.51,9.51,9.51,9.51,0,0.0,0
2016-02-25,9.49,9.49,9.49,9.49,0,0.0,0
2016-02-26,9.4,9.4,9.4,9.4,0,0.0,0
2016-02-29,9.43,9.43,9.43,9.43,0,0.0,0
2016-03-01,9.42,9.42,9.42,9.42,0,0.0,0
2016-03-02,9.42,9.42,9.42,9.42,0,0.0,0
2016-03-03,9.47,9.47,9.47,9.47,0,0.0,0
2016-03-04,9.51,9.51,9.51,9.51,0,0.0,0
2016-03-07,9.52,9.52,9.52,9.52,0,0.0,0
