Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-31,13.43,13.43,13.43,13.43,0,0.0,0
2016-01-04,13.32,13.32,13.32,13.32,0,0.0,0
2016-01-05,13.33,13.33,13.33,13.33,0,0.0,0
2016-01-06,13.29,13.29,13.29,13.29,0,0.0,0
2016-01-07,13.17,13.17,13.17,13.17,0,0.0,0
2016-01-08,13.11,13.11,13.11,13.11,0,0.0,0
2016-01-11,13.09,13.09,13.09,13.09,0,0.0,0
2016-01-12,13.13,13.13,13.13,13.13,0,0.0,0
2016-01-13,13.01,13.01,13.01,13.01,0,0.0,0
2016-01-14,13.06,13.06,13.06,13.06,0,0.0,0
2016-01-15,13.01,13.01,13.01,13.01,0,0.0,0
2016-01-19,12.97,12.97,12.97,12.97,0,0.0,0
2016-01-20,12.94,12.94,12.94,12.94,0,0.0,0
2016-01-21,12.95,12.95,12.95,12.95,0,0.0,0
2016-01-22,13.09,13.09,13.09,13.09,0,0.0,0
2016-01-25,12.99,12.99,12.99,12.99,0,0.0,0
2016-01-26,13.09,13.09,13.09,13.09,0,0.0,0
2016-01-27,13.05,13.05,13.05,13.05,0,0.0,0
2016-01-28,13.07,13.07,13.07,13.07,0,0.0,0
2016-01-29,13.24,13.24,13.24,13.24,0,0.0,0
2016-02-01,13.21,13.21,13.21,13.21,0,0.0,0
2016-02-02,13.13,13.13,13.13,13.13,0,0.0,0
2016-02-03,13.13,13.13,13.13,13.13,0,0.0,0
2016-02-04,13.14,13.14,13.14,13.14,0,0.0,0
2016-02-05,13.05,13.05,13.05,13.05,0,0.0,0
2016-02-08,12.99,12.99,12.99,12.99,0,0.0,0
2016-02-09,12.96,12.96,12.96,12.96,0,0.0,0
2016-02-10,12.95,12.95,12.95,12.95,0,0.0,0
2016-02-11,12.89,12.89,12.89,12.89,0,0.0,0
2016-02-12,12.94,12.94,12.94,12.94,0,0.0,0
2016-02-16,13.03,13.03,13.03,13.03,0,0.0,0
2016-02-17,13.09,13.09,13.09,13.09,0,0.0,0
2016-02-18,13.12,13.12,13.12,13.12,0,0.0,0
2016-02-19,13.11,13.11,13.11,13.11,0,0.0,0
2016-02-22,13.15,13.15,13.15,13.15,0,0.0,0
2016-02-23,13.12,13.12,13.12,13.12,0,0.0,0
2016-02-24,13.14,13.14,13.14,13.14,0,0.0,0
2016-02-25,13.2,13.2,13.2,13.2,0,0.0,0
2016-02-26,13.19,13.19,13.19,13.19,0,0.0,0
2016-02-29,13.18,13.18,13.18,13.18,0,0.0,0
2016-03-01,13.24,13.24,13.24,13.24,0,0.0,0
2016-03-02,13.27,13.27,13.27,13.27,0,0.0,0
2016-03-03,13.31,13.31,13.31,13.31,0,0.0,0
2016-03-04,13.32,13.32,13.32,13.32,0,0.0,0
2016-03-07,13.32,13.32,13.32,13.32,0,0.0,0
2016-03-08,13.28,13.28,13.28,13.28,0,0.0,0
2016-03-09,13.28,13.28,13.28,13.28,0,0.0,0
2016-03-10,13.28,13.28,13.28,13.28,0,0.0,0
2016-03-11,13.33,13.33,13.33,13.33,0,0.0,0
2016-03-14,13.32,13.32,13.32,13.32,0,0.0,0
2016-03-15,13.3,13.3,13.3,13.3,0,0.0,0
2016-03-16,13.36,13.36,13.36,13.36,0,0.0,0
2016-03-17,13.4,13.4,13.4,13.4,0,0.0,0
2016-03-18,13.42,13.42,13.42,13.42,0,0.0,0
2016-03-21,13.4,13.4,13.4,13.4,0,0.0,0
2016-03-22,13.4,13.4,13.4,13.4,0,0.0,0
2016-03-23,13.36,13.36,13.36,13.36,0,0.0,0
2016-03-24,13.36,13.36,13.36,13.36,0,0.0,0
2016-03-28,13.37,13.37,13.37,13.37,0,0.0,0
2016-03-29,13.46,13.46,13.46,13.46,0,0.0,0
2016-03-30,13.46,13.46,13.46,13.46,0,0.0,0
2016-03-31,13.48,13.48,13.48,13.48,0,0.0,0
2016-04-01,13.49,13.49,13.49,13.49,0,0.0,0
2016-04-04,13.47,13.47,13.47,13.47,0,0.0,0
2016-04-05,13.44,13.44,13.44,13.44,0,0.0,0
2016-04-06,13.48,13.48,13.48,13.48,0,0.0,0
2016-04-07,13.45,13.45,13.45,13.45,0,0.0,0
2016-04-08,13.46,13.46,13.46,13.46,0,0.0,0
2016-04-11,13.46,13.46,13.46,13.46,0,0.0,0
2016-04-12,13.49,13.49,13.49,13.49,0,0.0,0
2016-04-13,13.53,13.53,13.53,13.53,0,0.0,0
2016-04-14,13.51,13.51,13.51,13.51,0,0.0,0
2016-04-15,13.53,13.53,13.53,13.53,0,0.0,0
2016-04-18,13.55,13.55,13.55,13.55,0,0.0,0
2016-04-19,13.57,13.57,13.57,13.57,0,0.0,0
2016-04-20,13.55,13.55,13.55,13.55,0,0.0,0
2016-04-21,13.52,13.52,13.52,13.52,0,0.0,0
2016-04-22,13.52,13.52,13.52,13.52,0,0.0,0
2016-04-25,13.51,13.51,13.51,13.51,0,0.0,0
2016-04-26,13.52,13.52,13.52,13.52,0,0.0,0
2016-04-27,13.55,13.55,13.55,13.55,0,0.0,0
2016-04-28,13.53,13.53,13.53,13.53,0,0.0,0
2016-04-29,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-02,13.55,13.55,13.55,13.55,0,0.0,0
2016-05-03,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-04,13.5,13.5,13.5,13.5,0,0.0,0
2016-05-05,13.51,13.51,13.51,13.51,0,0.0,0
2016-05-06,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-09,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-10,13.56,13.56,13.56,13.56,0,0.0,0
2016-05-11,13.53,13.53,13.53,13.53,0,0.0,0
2016-05-12,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-13,13.5,13.5,13.5,13.5,0,0.0,0
2016-05-16,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-17,13.48,13.48,13.48,13.48,0,0.0,0
2016-05-18,13.43,13.43,13.43,13.43,0,0.0,0
2016-05-19,13.42,13.42,13.42,13.42,0,0.0,0
2016-05-20,13.46,13.46,13.46,13.46,0,0.0,0
2016-05-23,13.45,13.45,13.45,13.45,0,0.0,0
2016-05-24,13.49,13.49,13.49,13.49,0,0.0,0
2016-05-25,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-26,13.52,13.52,13.52,13.52,0,0.0,0
2016-05-27,13.54,13.54,13.54,13.54,0,0.0,0
2016-05-31,13.54,13.54,13.54,13.54,0,0.0,0
2016-06-01,13.55,13.55,13.55,13.55,0,0.0,0
2016-06-02,13.58,13.58,13.58,13.58,0,0.0,0
2016-06-03,13.62,13.62,13.62,13.62,0,0.0,0
2016-06-06,13.64,13.64,13.64,13.64,0,0.0,0
2016-06-07,13.66,13.66,13.66,13.66,0,0.0,0
2016-06-08,13.68,13.68,13.68,13.68,0,0.0,0
2016-06-09,13.68,13.68,13.68,13.68,0,0.0,0
2016-06-10,13.65,13.65,13.65,13.65,0,0.0,0
2016-06-13,13.61,13.61,13.61,13.61,0,0.0,0
2016-06-14,13.6,13.6,13.6,13.6,0,0.0,0
2016-06-15,13.62,13.62,13.62,13.62,0,0.0,0
2016-06-16,13.62,13.62,13.62,13.62,0,0.0,0
2016-06-17,13.61,13.61,13.61,13.61,0,0.0,0
2016-06-20,13.61,13.61,13.61,13.61,0,0.0,0
2016-06-21,13.6,13.6,13.6,13.6,0,0.0,0
2016-06-22,13.59,13.59,13.59,13.59,0,0.0,0
2016-06-23,13.64,13.64,13.64,13.64,0,0.0,0
2016-06-24,13.55,13.55,13.55,13.55,0,0.0,0
2016-06-27,13.5,13.5,13.5,13.5,0,0.0,0
2016-06-28,13.56,13.56,13.56,13.56,0,0.0,0
2016-06-29,13.63,13.63,13.63,13.63,0,0.0,0
