Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,4.12,4.28,4.01,4.14,72200,0,0
2015-11-17,4.22,4.62,4.05,4.36,330100,0,0
2015-11-18,4.5,4.76,4.36,4.39,168700,0,0
2015-11-19,4.41,4.41,4.1,4.19,214300,0,0
2015-11-20,4.22,4.3,3.78,3.78,183700,0,0
2015-11-23,3.99,4.23,3.8,4.12,120200,0,0
2015-11-24,4.18,4.18,3.9,4.13,154300,0,0
2015-11-25,4.08,4.15,3.97,4.12,130400,0,0
2015-11-27,4.08,4.37,4.02,4.22,40900,0,0
2015-11-30,4.24,4.35,4.1,4.19,92300,0,0
2015-12-01,4.21,4.24,4.1,4.18,80700,0,0
2015-12-02,4.15,4.22,4.06,4.1,51500,0,0
2015-12-03,4.11,4.2,3.96,4.09,96700,0,0
2015-12-04,4.54,4.67,4.05,4.07,108400,0,0
2015-12-07,3.95,4.05,3.34,3.49,618300,0,0
2015-12-08,3.5,3.57,3.37,3.4,206100,0,0
2015-12-09,3.36,3.49,3.15,3.34,241000,0,0
2015-12-10,3.32,3.44,3.24,3.38,131700,0,0
2015-12-11,3.34,3.88,3.33,3.79,243200,0,0
2015-12-14,3.82,3.82,3.4,3.55,103500,0,0
2015-12-15,3.59,3.61,3.41,3.48,177900,0,0
2015-12-16,3.48,3.65,3.3,3.5,196300,0,0
2015-12-17,3.55,3.57,3.42,3.55,35500,0,0
2015-12-18,3.61,3.7,3.54,3.55,63400,0,0
2015-12-21,3.56,3.6,3.44,3.47,93300,0,0
2015-12-22,3.45,3.61,3.35,3.53,188700,0,0
2015-12-23,3.56,3.69,3.47,3.61,129700,0,0
2015-12-24,3.6,3.63,3.54,3.57,15400,0,0
2015-12-28,3.51,3.65,3.49,3.49,22900,0,0
2015-12-29,3.49,3.53,3.28,3.37,123000,0,0
2015-12-30,3.3,3.41,3.3,3.35,47200,0,0
2015-12-31,3.36,3.38,3.3,3.37,55600,0,0
2016-01-04,3.35,3.54,3.15,3.29,91300,0,0
2016-01-05,3.29,3.35,3.15,3.31,75200,0,0
2016-01-06,3.23,3.33,3.19,3.23,81900,0,0
2016-01-07,3.16,3.23,2.82,2.85,135200,0,0
2016-01-08,2.86,2.97,2.82,2.9,135600,0,0
2016-01-11,2.96,2.96,2.68,2.79,124200,0,0
2016-01-12,2.89,2.92,2.65,2.7,67700,0,0
2016-01-13,2.72,2.75,2.59,2.63,95300,0,0
2016-01-14,2.67,2.73,2.49,2.67,131400,0,0
2016-01-15,2.57,2.77,2.34,2.55,136700,0,0
2016-01-19,2.65,2.66,2.35,2.44,58100,0,0
2016-01-20,2.38,2.73,2.19,2.57,92800,0,0
2016-01-21,2.58,2.58,2.28,2.37,102300,0,0
2016-01-22,2.46,2.6,2.4,2.55,79300,0,0
2016-01-25,2.55,2.78,2.41,2.46,50400,0,0
2016-01-26,2.45,2.51,2.29,2.48,157100,0,0
2016-01-27,2.92,3.08,2.14,2.19,2931400,0,0
2016-01-28,2.25,2.32,2.05,2.2,375100,0,0
2016-01-29,2.11,2.28,2.09,2.15,816500,0,0
2016-02-01,2.15,2.25,2.0,2.22,135400,0,0
2016-02-02,2.18,2.21,2.01,2.05,127400,0,0
2016-02-03,2.06,2.09,1.7,1.75,720400,0,0
2016-02-04,1.73,2.01,1.73,1.9,255200,0,0
2016-02-05,1.87,1.97,1.81,1.9,88000,0,0
2016-02-08,1.86,1.88,1.67,1.69,125300,0,0
2016-02-09,1.71,1.85,1.65,1.8,111800,0,0
2016-02-10,1.79,1.92,1.75,1.77,94100,0,0
2016-02-11,1.71,1.9,1.66,1.68,155200,0,0
2016-02-12,1.75,1.8,1.67,1.69,122100,0,0
2016-02-16,1.77,1.79,1.55,1.57,957000,0,0
2016-02-17,1.59,1.65,1.46,1.57,1718700,0,0
2016-02-18,1.6,1.87,1.54,1.56,971700,0,0
2016-02-19,1.57,1.64,1.46,1.55,319800,0,0
2016-02-22,1.6,1.7,1.53,1.67,307900,0,0
2016-02-23,1.67,1.67,1.57,1.62,122800,0,0
2016-02-24,1.6,1.6,1.48,1.51,269700,0,0
2016-02-25,1.54,1.71,1.5,1.69,947800,0,0
2016-02-26,1.73,1.84,1.62,1.83,576800,0,0
2016-02-29,1.86,1.86,1.6,1.76,469800,0,0
2016-03-01,1.84,1.84,1.55,1.69,288100,0,0
2016-03-02,1.71,1.75,1.62,1.7,185900,0,0
2016-03-03,1.73,1.85,1.7,1.83,308700,0,0
2016-03-04,1.88,2.23,1.88,1.97,1319000,0,0
2016-03-07,1.99,2.18,1.95,2.14,363300,0,0
2016-03-08,2.04,2.11,1.9,1.95,235100,0,0
2016-03-09,1.99,2.01,1.86,1.92,98000,0,0
2016-03-10,1.91,1.93,1.77,1.84,142400,0,0
2016-03-11,1.88,1.88,1.75,1.82,139100,0,0
2016-03-14,1.83,1.88,1.76,1.81,89200,0,0
2016-03-15,1.81,1.81,1.7,1.73,174600,0,0
2016-03-16,1.75,1.78,1.7,1.72,114700,0,0
2016-03-17,1.74,1.8,1.65,1.74,99700,0,0
2016-03-18,1.76,1.84,1.71,1.83,108800,0,0
2016-03-21,1.87,1.92,1.8,1.88,185300,0,0
2016-03-22,1.87,2.15,1.87,1.99,253700,0,0
2016-03-23,1.96,2.09,1.77,1.8,195100,0,0
2016-03-24,1.8,1.96,1.75,1.88,108500,0,0
2016-03-28,1.87,1.93,1.81,1.85,123300,0,0
2016-03-29,1.85,1.89,1.76,1.82,100500,0,0
2016-03-30,1.84,1.9,1.72,1.79,78700,0,0
2016-03-31,1.78,1.9,1.74,1.8,150700,0,0
2016-04-01,1.8,2.0,1.8,1.95,281700,0,0
2016-04-04,1.98,2.15,1.9,1.94,217000,0,0
2016-04-05,1.92,1.99,1.87,1.96,71800,0,0
2016-04-06,1.97,2.1,1.95,2.04,170800,0,0
2016-04-07,2.05,2.09,2.0,2.01,79800,0,0
2016-04-08,2.02,2.29,1.96,2.14,869500,0,0
2016-04-11,2.2,2.37,2.08,2.24,420900,0,0
2016-04-12,2.3,2.32,2.1,2.12,279100,0,0
2016-04-13,2.18,2.27,2.12,2.23,255900,0,0
2016-04-14,2.25,2.29,2.12,2.22,133400,0,0
2016-04-15,2.2,2.22,2.1,2.18,215300,0,0
2016-04-18,2.18,2.21,2.08,2.16,177000,0,0
2016-04-19,2.2,2.2,2.03,2.08,137900,0,0
2016-04-20,2.1,2.23,2.1,2.23,175000,0,0
2016-04-21,2.23,2.23,2.15,2.2,71500,0,0
2016-04-22,2.21,2.24,1.99,2.06,573000,0,0
2016-04-25,2.04,2.04,1.93,1.98,187300,0,0
2016-04-26,1.97,2.02,1.84,1.94,294600,0,0
2016-04-27,1.9,1.97,1.88,1.93,90300,0,0
2016-04-28,1.94,2.02,1.86,1.96,165200,0,0
2016-04-29,1.95,2.0,1.82,1.9,140600,0,0
2016-05-02,1.92,1.92,1.81,1.86,166700,0,0
2016-05-03,1.81,1.86,1.76,1.81,252300,0,0
2016-05-04,1.81,1.87,1.68,1.74,209600,0,0
2016-05-05,1.74,1.77,1.63,1.69,103400,0,0
2016-05-06,1.67,1.76,1.63,1.71,102200,0,0
2016-05-09,1.74,1.75,1.66,1.73,68500,0,0
2016-05-10,1.6,1.73,1.6,1.72,46400,0,0
2016-05-11,1.72,1.75,1.65,1.69,38800,0,0
2016-05-12,1.7,1.73,1.57,1.59,211100,0,0
2016-05-13,1.58,1.62,1.55,1.59,105700,0,0
2016-05-16,1.59,1.59,1.52,1.54,109000,0,0
2016-05-17,1.54,1.55,1.5,1.52,103900,0,0
2016-05-18,1.52,1.61,1.5,1.52,138300,0,0
2016-05-19,1.52,1.64,1.49,1.49,96300,0,0
2016-05-20,1.53,1.57,1.48,1.51,130800,0,0
2016-05-23,1.51,1.67,1.51,1.57,169000,0,0
2016-05-24,1.6,1.64,1.58,1.61,74700,0,0
2016-05-25,1.62,1.67,1.57,1.59,115400,0,0
2016-05-26,1.59,1.69,1.56,1.57,96300,0,0
2016-05-27,1.57,1.63,1.52,1.56,116700,0,0
2016-05-31,1.59,1.59,1.51,1.53,131000,0,0
2016-06-01,1.54,1.56,1.47,1.52,309000,0,0
2016-06-02,1.52,1.65,1.52,1.57,255800,0,0
2016-06-03,1.57,1.64,1.54,1.62,260300,0,0
2016-06-06,1.64,1.68,1.55,1.65,252100,0,0
2016-06-07,1.65,1.87,1.61,1.86,248600,0,0
2016-06-08,1.86,1.86,1.78,1.81,94500,0,0
2016-06-09,1.79,1.81,1.69,1.7,102600,0,0
2016-06-10,1.66,1.73,1.59,1.65,80700,0,0
2016-06-13,1.75,1.83,1.68,1.78,163100,0,0
2016-06-14,1.78,1.79,1.68,1.74,194800,0,0
2016-06-15,1.75,1.83,1.74,1.79,96000,0,0
2016-06-16,1.77,1.82,1.67,1.76,177000,0,0
2016-06-17,1.78,1.8,1.68,1.68,71400,0,0
2016-06-20,1.9,2.34,1.83,2.0,4596300,0,0
2016-06-21,2.1,2.1,1.78,1.89,1038500,0,0
2016-06-22,1.89,1.9,1.8,1.83,233700,0,0
2016-06-23,1.86,1.89,1.77,1.83,264200,0,0
2016-06-24,1.75,1.89,1.75,1.89,332900,0,0
2016-06-27,1.9,1.91,1.66,1.73,249100,0,0
2016-06-28,1.75,1.78,1.65,1.73,147600,0,0
2016-06-29,1.76,1.76,1.65,1.69,174400,0,0
2016-06-30,1.71,1.75,1.68,1.7,252600,0,0
2016-07-01,1.71,1.92,1.7,1.83,520000,0,0
2016-07-05,1.81,1.88,1.7,1.79,257100,0,0
2016-07-06,1.77,1.8,1.72,1.78,170100,0,0
2016-07-07,1.79,1.81,1.72,1.78,45000,0,0
2016-07-08,1.8,1.8,1.71,1.77,127500,0,0
2016-07-11,1.77,1.8,1.73,1.75,102100,0,0
2016-07-12,1.77,1.8,1.73,1.74,94800,0,0
2016-07-13,1.74,1.76,1.7,1.73,102300,0,0
2016-07-14,1.75,1.77,1.7,1.76,115600,0,0
2016-07-15,1.74,1.92,1.7,1.79,180500,0,0
2016-07-18,1.65,1.77,1.64,1.72,200300,0,0
2016-07-19,1.71,1.76,1.66,1.67,122900,0,0
2016-07-20,1.69,1.72,1.55,1.69,287500,0,0
2016-07-21,1.67,1.74,1.65,1.67,105300,0,0
2016-07-22,1.75,1.75,1.62,1.7,109800,0,0
2016-07-25,1.72,1.75,1.65,1.68,103400,0,0
2016-07-26,1.7,1.75,1.67,1.73,89700,0,0
2016-07-27,1.75,1.92,1.73,1.87,244100,0,0
2016-07-28,2.0,2.49,1.9,1.98,3194100,0,0
2016-07-29,1.99,2.12,1.92,2.07,525300,0,0
2016-08-01,2.1,2.16,1.96,1.99,206300,0,0
2016-08-02,1.99,2.06,1.9,2.05,140300,0,0
2016-08-03,2.05,2.14,2.0,2.06,209700,0,0
2016-08-04,2.08,2.09,2.04,2.08,137400,0,0
2016-08-05,2.08,2.14,2.06,2.11,150100,0,0
2016-08-08,2.13,2.64,2.06,2.59,1859300,0,0
2016-08-09,2.65,2.65,2.31,2.51,626000,0,0
2016-08-10,2.49,2.55,2.2,2.32,308600,0,0
2016-08-11,2.33,2.38,2.22,2.38,179500,0,0
2016-08-12,2.38,2.69,2.36,2.56,357800,0,0
2016-08-15,2.57,2.76,2.4,2.73,241600,0,0
2016-08-16,2.75,2.75,2.58,2.67,152700,0,0
2016-08-17,2.65,2.85,2.53,2.82,396800,0,0
2016-08-18,2.92,2.99,2.8,2.92,471500,0,0
2016-08-19,2.93,3.0,2.67,2.92,271500,0,0
2016-08-22,2.91,3.02,2.79,2.89,208900,0,0
2016-08-23,2.87,2.96,2.8,2.84,67100,0,0
2016-08-24,2.82,2.89,2.73,2.77,104800,0,0
2016-08-25,2.75,2.77,2.5,2.6,300900,0,0
2016-08-26,2.6,2.67,2.55,2.62,70500,0,0
2016-08-29,2.65,2.77,2.59,2.7,57200,0,0
2016-08-30,2.68,2.72,2.63,2.66,26600,0,0
2016-08-31,2.65,2.66,2.51,2.6,80100,0,0
2016-09-01,2.58,2.6,2.32,2.45,221000,0,0
2016-09-02,2.45,2.52,2.35,2.38,116100,0,0
2016-09-06,2.21,2.51,2.21,2.43,64700,0,0
2016-09-07,2.61,2.73,2.4,2.55,200800,0,0
2016-09-08,2.55,2.84,2.55,2.8,137700,0,0
2016-09-09,2.77,2.83,2.59,2.75,168200,0,0
2016-09-12,2.76,2.8,2.63,2.7,69100,0,0
2016-09-13,2.65,2.75,2.61,2.7,187600,0,0
2016-09-14,2.7,2.75,2.68,2.71,90100,0,0
2016-09-15,2.72,2.8,2.61,2.79,113700,0,0
2016-09-16,2.8,3.14,2.8,2.92,419500,0,0
2016-09-19,3.05,3.23,2.82,3.0,302500,0,0
2016-09-20,3.03,3.23,2.9,3.19,278000,0,0
2016-09-21,3.24,3.32,3.1,3.18,266900,0,0
2016-09-22,3.32,3.82,3.3,3.54,786700,0,0
2016-09-23,3.58,3.63,3.3,3.44,358400,0,0
2016-09-26,3.58,3.67,3.36,3.41,339700,0,0
2016-09-27,3.43,3.47,3.05,3.26,455100,0,0
2016-09-28,3.29,3.29,3.04,3.07,184900,0,0
2016-09-29,3.09,3.13,2.98,3.02,130300,0,0
2016-09-30,3.0,3.15,2.98,3.12,127500,0,0
2016-10-03,3.1,3.12,2.89,3.04,84200,0,0
2016-10-04,3.02,3.12,2.96,3.01,71100,0,0
2016-10-05,3.05,3.13,2.91,3.07,111200,0,0
2016-10-06,3.03,3.03,2.85,2.97,115600,0,0
2016-10-07,2.97,3.06,2.85,2.86,61400,0,0
2016-10-10,2.88,2.97,2.82,2.94,81100,0,0
2016-10-11,2.93,2.99,2.87,2.95,53400,0,0
2016-10-12,2.96,2.97,2.66,2.69,118800,0,0
2016-10-13,2.65,2.67,2.5,2.53,195500,0,0
2016-10-14,2.56,2.71,2.49,2.55,63000,0,0
