Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,4.89,4.89,4.89,4.89,0,0.0,0
2015-11-17,4.91,4.91,4.91,4.91,0,0.0,0
2015-11-18,4.92,4.92,4.92,4.92,0,0.0,0
2015-11-19,4.9,4.9,4.9,4.9,0,0.0,0
2015-11-20,4.89,4.89,4.89,4.89,0,0.0,0
2015-11-23,4.88,4.88,4.88,4.88,0,0.0,0
2015-11-24,4.88,4.88,4.88,4.88,0,0.0,0
2015-11-25,4.89,4.89,4.89,4.89,0,0.0,0
2015-11-27,4.89,4.89,4.89,4.89,0,0.0,0
2015-11-30,4.92,4.92,4.92,4.92,0,0.027,0
2015-12-01,4.93,4.93,4.93,4.93,0,0.0,0
2015-12-02,4.93,4.93,4.93,4.93,0,0.0,0
2015-12-03,4.91,4.91,4.91,4.91,0,0.0,0
2015-12-04,4.9,4.9,4.9,4.9,0,0.0,0
2015-12-07,4.87,4.87,4.87,4.87,0,0.0,0
2015-12-08,4.84,4.84,4.84,4.84,0,0.0,0
2015-12-09,4.83,4.83,4.83,4.83,0,0.0,0
2015-12-10,4.83,4.83,4.83,4.83,0,0.0,0
2015-12-11,4.76,4.76,4.76,4.76,0,0.0,0
2015-12-14,4.69,4.69,4.69,4.69,0,0.0,0
2015-12-15,4.74,4.74,4.74,4.74,0,0.0,0
2015-12-16,4.77,4.77,4.77,4.77,0,0.0,0
2015-12-17,4.75,4.75,4.75,4.75,0,0.0,0
2015-12-18,4.71,4.71,4.71,4.71,0,0.0,0
2015-12-21,4.72,4.72,4.72,4.72,0,0.0,0
2015-12-22,4.74,4.74,4.74,4.74,0,0.0,0
2015-12-23,4.76,4.76,4.76,4.76,0,0.0,0
2015-12-24,4.77,4.77,4.77,4.77,0,0.0,0
2015-12-28,4.75,4.75,4.75,4.75,0,0.0,0
2015-12-29,4.77,4.77,4.77,4.77,0,0.0,0
2015-12-30,4.77,4.77,4.77,4.77,0,0.0,0
2015-12-31,4.79,4.79,4.79,4.79,0,0.029,0
2016-01-04,4.77,4.77,4.77,4.77,0,0.0,0
2016-01-05,4.78,4.78,4.78,4.78,0,0.0,0
2016-01-06,4.77,4.77,4.77,4.77,0,0.0,0
2016-01-07,4.73,4.73,4.73,4.73,0,0.0,0
2016-01-08,4.73,4.73,4.73,4.73,0,0.0,0
2016-01-11,4.71,4.71,4.71,4.71,0,0.0,0
2016-01-12,4.7,4.7,4.7,4.7,0,0.0,0
2016-01-13,4.66,4.66,4.66,4.66,0,0.0,0
2016-01-14,4.65,4.65,4.65,4.65,0,0.0,0
2016-01-15,4.59,4.59,4.59,4.59,0,0.0,0
2016-01-19,4.58,4.58,4.58,4.58,0,0.0,0
2016-01-20,4.52,4.52,4.52,4.52,0,0.0,0
2016-01-21,4.54,4.54,4.54,4.54,0,0.0,0
2016-01-22,4.6,4.6,4.6,4.6,0,0.0,0
2016-01-25,4.59,4.59,4.59,4.59,0,0.0,0
2016-01-26,4.62,4.62,4.62,4.62,0,0.0,0
2016-01-27,4.62,4.62,4.62,4.62,0,0.0,0
2016-01-28,4.62,4.62,4.62,4.62,0,0.0,0
2016-01-29,4.67,4.67,4.67,4.67,0,0.025,0
2016-02-01,4.66,4.66,4.66,4.66,0,0.0,0
2016-02-02,4.62,4.62,4.62,4.62,0,0.0,0
2016-02-03,4.62,4.62,4.62,4.62,0,0.0,0
2016-02-04,4.63,4.63,4.63,4.63,0,0.0,0
2016-02-05,4.61,4.61,4.61,4.61,0,0.0,0
2016-02-08,4.54,4.54,4.54,4.54,0,0.0,0
2016-02-09,4.51,4.51,4.51,4.51,0,0.0,0
2016-02-10,4.54,4.54,4.54,4.54,0,0.0,0
2016-02-11,4.49,4.49,4.49,4.49,0,0.0,0
2016-02-12,4.52,4.52,4.52,4.52,0,0.0,0
2016-02-16,4.55,4.55,4.55,4.55,0,0.0,0
2016-02-17,4.61,4.61,4.61,4.61,0,0.0,0
2016-02-18,4.62,4.62,4.62,4.62,0,0.0,0
2016-02-19,4.61,4.61,4.61,4.61,0,0.0,0
2016-02-22,4.64,4.64,4.64,4.64,0,0.0,0
2016-02-23,4.62,4.62,4.62,4.62,0,0.0,0
2016-02-24,4.61,4.61,4.61,4.61,0,0.0,0
2016-02-25,4.64,4.64,4.64,4.64,0,0.0,0
2016-02-26,4.68,4.68,4.68,4.68,0,0.0,0
2016-02-29,4.72,4.72,4.72,4.72,0,0.025,0
2016-03-01,4.76,4.76,4.76,4.76,0,0.0,0
2016-03-02,4.79,4.79,4.79,4.79,0,0.0,0
2016-03-03,4.81,4.81,4.81,4.81,0,0.0,0
