Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,24.15,24.57,23.87,24.41,65800,0.0,0
2015-11-17,24.49,25.19,24.34,24.57,73000,0.0,0
2015-11-18,24.71,25.25,24.44,24.93,92500,0.0,0
2015-11-19,24.95,25.13,24.7,24.9,91900,0.0,0
2015-11-20,24.97,25.29,24.92,25.16,139500,0.0,0
2015-11-23,25.16,25.34,24.53,25.21,217500,0.0,0
2015-11-24,25.05,25.48,24.76,25.39,72300,0.0,0
2015-11-25,25.41,25.64,25.25,25.46,51700,0.0,0
2015-11-27,25.46,25.67,25.25,25.58,31400,0.0,0
2015-11-30,25.6,25.79,25.39,25.6,72700,0.0,0
2015-12-01,25.86,25.88,25.02,25.69,59300,0.0,0
2015-12-02,25.74,25.83,25.11,25.72,287500,0.0,0
2015-12-03,25.8,26.31,25.64,25.78,328300,0.0,0
2015-12-04,25.92,26.09,25.17,25.79,163800,0.0,0
2015-12-07,25.97,26.09,25.2,25.46,158400,0.0,0
2015-12-08,25.23,25.41,25.0,25.08,126000,0.0,0
2015-12-09,25.01,25.03,23.62,24.56,155100,0.0,0
2015-12-10,24.54,24.88,24.31,24.67,162700,0.0,0
2015-12-11,24.28,24.47,24.0,24.24,226400,0.0,0
2015-12-14,24.16,24.35,23.65,23.96,372600,0.0,0
2015-12-15,24.12,24.66,23.7,24.51,293100,0.0,0
2015-12-16,24.69,25.25,24.22,25.05,293100,0.0,0
2015-12-17,25.17,25.2,24.48,24.61,164800,0.0,0
2015-12-18,24.47,24.66,23.71,23.86,1148900,0.0,0
2015-12-21,24.05,24.72,23.86,24.41,155100,0.0,0
2015-12-22,24.41,24.49,23.88,24.45,118400,0.0,0
2015-12-23,24.62,24.7,24.45,24.59,79100,0.0,0
2015-12-24,24.66,24.91,24.58,24.74,68100,0.0,0
2015-12-28,24.72,24.88,24.27,24.61,68300,0.0,0
2015-12-29,24.77,24.97,24.64,24.86,49400,0.0,0
2015-12-30,24.89,24.99,24.54,24.92,87500,0.0,0
2015-12-31,24.92,24.93,24.47,24.47,121200,0.0,0
2016-01-04,24.06,24.34,23.52,23.62,90700,0.0,0
2016-01-05,23.71,23.79,23.42,23.59,75800,0.0,0
2016-01-06,23.27,23.72,23.18,23.5,94200,0.0,0
2016-01-07,23.15,23.35,23.05,23.15,135700,0.0,0
2016-01-08,23.42,23.54,22.97,23.0,180800,0.0,0
2016-01-11,23.12,23.3,22.89,22.97,137600,0.0,0
2016-01-12,23.06,23.06,22.56,22.94,152700,0.0,0
2016-01-13,23.06,23.19,22.27,22.47,214700,0.0,0
2016-01-14,22.56,22.9,22.32,22.6,92300,0.0,0
2016-01-15,22.01,22.45,21.89,22.06,334300,0.0,0
2016-01-19,22.21,22.29,21.94,22.08,155300,0.0,0
2016-01-20,21.78,22.01,20.98,21.7,262700,0.0,0
2016-01-21,21.72,21.84,21.25,21.29,161300,0.0,0
2016-01-22,21.52,21.68,21.34,21.63,278100,0.0,0
2016-01-25,21.58,21.72,21.03,21.08,153500,0.0,0
2016-01-26,21.08,21.74,20.99,21.47,193700,0.0,0
2016-01-27,21.46,22.07,21.29,21.62,257700,0.0,0
2016-01-28,21.87,22.7,21.87,22.29,223100,0.22,0
2016-01-29,22.31,22.97,22.3,22.88,314400,0.0,0
2016-02-01,22.72,23.02,21.53,22.63,182200,0.0,0
2016-02-02,22.44,22.58,22.18,22.45,135200,0.0,0
2016-02-03,22.69,22.95,21.95,22.58,173500,0.0,0
2016-02-04,22.5,23.04,22.24,22.52,119900,0.0,0
2016-02-05,22.5,22.81,22.16,22.27,180600,0.0,0
2016-02-08,22.04,22.53,21.95,22.38,179900,0.0,0
2016-02-09,22.58,22.91,22.36,22.51,148700,0.0,0
2016-02-10,22.58,22.76,22.19,22.21,166000,0.0,0
2016-02-11,21.77,22.16,21.55,21.82,218900,0.0,0
2016-02-12,22.12,22.51,21.89,22.24,197800,0.0,0
2016-02-16,22.5,22.75,21.89,22.56,143900,0.0,0
