Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,16.94,17.34,16.33,16.54,71300,0,0
2015-11-17,16.66,17.29,16.38,16.98,110800,0,0
2015-11-18,17.02,17.9,16.82,17.65,143300,0,0
2015-11-19,17.55,17.79,16.43,16.95,95800,0,0
2015-11-20,17.07,17.18,16.61,16.97,86900,0,0
2015-11-23,16.92,18.12,16.49,17.33,263100,0,0
2015-11-24,17.2,17.89,17.0,17.51,99000,0,0
2015-11-25,18.51,18.7,17.5,18.6,90400,0,0
2015-11-27,18.63,19.56,18.61,19.45,72500,0,0
2015-11-30,19.47,19.83,18.84,19.44,143500,0,0
2015-12-01,19.56,19.56,18.65,19.01,114600,0,0
2015-12-02,18.95,20.03,18.74,19.55,135100,0,0
2015-12-03,19.65,19.98,18.94,19.06,186300,0,0
2015-12-04,18.98,19.34,18.58,19.24,114200,0,0
2015-12-07,19.15,19.15,18.2,18.9,105700,0,0
2015-12-08,18.63,19.67,18.4,19.0,126000,0,0
2015-12-09,18.97,19.12,18.4,18.42,116400,0,0
2015-12-10,18.62,20.0,18.42,19.53,222100,0,0
2015-12-11,19.12,19.99,19.12,19.77,132800,0,0
2015-12-14,19.71,20.7,19.4,19.69,259200,0,0
2015-12-15,19.98,20.76,19.41,19.86,189800,0,0
2015-12-16,20.09,20.82,19.62,20.75,164800,0,0
2015-12-17,20.77,21.71,19.26,19.31,408800,0,0
2015-12-18,19.21,19.86,18.99,19.03,916800,0,0
2015-12-21,19.14,20.29,18.74,19.62,174500,0,0
2015-12-22,19.74,19.74,18.71,19.48,228000,0,0
2015-12-23,19.56,19.96,19.15,19.2,112200,0,0
2015-12-24,19.2,19.54,19.05,19.43,40700,0,0
2015-12-28,19.28,20.14,18.91,19.04,141800,0,0
2015-12-29,19.03,19.49,18.73,19.32,154200,0,0
2015-12-30,19.27,19.75,18.95,19.02,111000,0,0
2015-12-31,19.0,19.5,18.64,19.27,102500,0,0
2016-01-04,18.96,19.16,17.51,18.2,128400,0,0
2016-01-05,18.41,19.42,18.18,18.78,133800,0,0
2016-01-06,18.43,18.5,16.83,16.97,105500,0,0
2016-01-07,16.52,16.56,15.57,15.69,138800,0,0
2016-01-08,15.85,16.26,14.95,15.41,126500,0,0
2016-01-11,15.54,16.66,15.03,15.56,235000,0,0
2016-01-12,15.67,16.36,15.04,15.67,98000,0,0
2016-01-13,15.92,16.16,15.19,15.32,121600,0,0
2016-01-14,15.38,16.01,14.53,15.81,135000,0,0
2016-01-15,15.29,15.66,15.0,15.61,102300,0,0
2016-01-19,15.88,15.88,14.7,14.98,211200,0,0
2016-01-20,14.67,16.22,14.38,15.86,118300,0,0
2016-01-21,15.85,16.55,15.0,15.76,79000,0,0
2016-01-22,16.1,16.1,14.82,15.7,83100,0,0
2016-01-25,15.61,17.44,15.33,15.57,64000,0,0
2016-01-26,15.61,15.87,14.61,15.56,72000,0,0
2016-01-27,15.56,15.56,14.96,15.11,172900,0,0
2016-01-28,15.25,15.44,14.4,14.96,94700,0,0
2016-01-29,14.96,15.58,14.75,15.48,58800,0,0
2016-02-01,15.36,16.43,15.18,15.98,139600,0,0
2016-02-02,15.77,15.89,14.75,14.87,70500,0,0
2016-02-03,15.0,15.0,13.99,14.03,228700,0,0
2016-02-04,14.03,14.88,13.97,14.13,97500,0,0
2016-02-05,14.08,14.3,13.15,13.2,93100,0,0
2016-02-08,13.03,13.03,11.22,11.31,333800,0,0
2016-02-09,11.06,11.7,10.87,11.24,212900,0,0
2016-02-10,11.25,12.24,11.14,11.41,257100,0,0
2016-02-11,11.13,11.75,11.01,11.25,326900,0,0
2016-02-12,11.53,11.53,10.46,10.6,331700,0,0
2016-02-16,10.78,11.19,10.54,10.9,716200,0,0
2016-02-17,13.0,13.48,11.7,13.0,4612900,0,0
2016-02-18,12.77,13.07,11.88,11.91,708500,0,0
2016-02-19,11.8,11.8,10.52,10.91,756800,0,0
2016-02-22,10.93,11.05,10.65,10.9,349400,0,0
2016-02-23,10.9,11.24,10.19,10.42,668200,0,0
2016-02-24,10.15,10.55,9.57,9.86,632000,0,0
2016-02-25,9.88,10.1,9.55,9.81,207100,0,0
2016-02-26,9.96,10.02,9.54,9.75,186200,0,0
2016-02-29,9.84,9.94,9.39,9.46,272700,0,0
2016-03-01,9.49,9.66,9.25,9.46,308000,0,0
2016-03-02,9.47,10.11,9.28,10.02,343500,0,0
2016-03-03,10.0,10.45,9.97,10.08,345000,0,0
2016-03-04,10.13,10.2,9.71,9.74,206000,0,0
2016-03-07,9.72,11.0,9.65,10.81,398700,0,0
2016-03-08,10.8,11.04,9.97,10.04,239100,0,0
2016-03-09,10.15,10.3,9.66,10.08,194700,0,0
2016-03-10,10.15,10.35,9.66,9.71,268000,0,0
2016-03-11,9.67,9.76,8.23,8.97,581300,0,0
2016-03-14,8.92,9.82,8.92,9.72,166500,0,0
2016-03-15,9.56,9.6,8.4,8.44,228700,0,0
2016-03-16,8.44,8.49,8.19,8.28,190300,0,0
2016-03-17,8.3,8.71,7.56,8.12,274800,0,0
2016-03-18,8.18,8.65,7.68,8.47,409900,0,0
2016-03-21,8.44,8.9,8.28,8.59,128000,0,0
2016-03-22,8.58,9.39,8.48,9.03,223900,0,0
2016-03-23,8.96,9.23,8.42,8.65,334000,0,0
2016-03-24,8.54,9.05,8.31,8.81,248900,0,0
2016-03-28,8.87,8.92,8.17,8.55,271100,0,0
2016-03-29,8.49,9.1,8.15,9.01,153100,0,0
2016-03-30,9.09,9.56,8.66,9.0,143400,0,0
2016-03-31,9.0,9.47,8.91,9.2,115300,0,0
2016-04-01,9.12,9.49,8.93,9.42,69000,0,0
2016-04-04,9.65,11.21,9.58,10.95,582200,0,0
2016-04-05,10.98,11.55,10.51,11.0,384800,0,0
2016-04-06,11.01,12.9,11.01,12.3,398300,0,0
2016-04-07,12.19,12.78,11.73,12.24,375600,0,0
2016-04-08,12.45,12.45,11.51,11.76,146800,0,0
2016-04-11,11.87,12.2,11.63,11.79,276400,0,0
2016-04-12,11.78,12.03,11.49,11.86,201900,0,0
2016-04-13,11.99,12.4,11.87,12.31,210500,0,0
2016-04-14,12.35,12.75,12.12,12.65,93500,0,0
2016-04-15,12.56,12.97,12.49,12.85,127700,0,0
2016-04-18,12.8,13.48,12.64,13.39,191800,0,0
2016-04-19,13.36,13.36,12.5,12.56,144900,0,0
2016-04-20,12.6,12.86,12.37,12.41,106800,0,0
2016-04-21,12.4,13.64,12.3,13.12,161100,0,0
2016-04-22,13.14,13.24,12.68,12.76,110000,0,0
2016-04-25,12.82,12.82,12.48,12.58,126100,0,0
2016-04-26,12.6,12.67,11.83,12.15,120900,0,0
2016-04-27,12.11,12.19,10.54,10.61,316300,0,0
2016-04-28,10.6,11.19,10.27,10.76,88600,0,0
2016-04-29,10.82,10.92,10.18,10.4,113000,0,0
2016-05-02,10.42,10.76,10.01,10.63,136200,0,0
2016-05-03,10.83,11.39,10.4,11.28,234700,0,0
2016-05-04,11.27,11.35,10.03,10.19,170300,0,0
2016-05-05,10.05,10.74,9.73,10.11,142500,0,0
2016-05-06,9.99,10.3,9.64,9.75,128900,0,0
2016-05-09,9.82,10.35,9.73,10.18,72500,0,0
2016-05-10,10.29,10.29,9.67,10.04,74600,0,0
2016-05-11,10.08,10.12,9.38,9.42,120400,0,0
2016-05-12,9.47,9.66,8.52,8.59,277900,0,0
2016-05-13,9.27,9.27,8.16,8.75,226300,0,0
2016-05-16,8.83,9.78,8.77,9.67,247600,0,0
2016-05-17,9.65,10.03,9.47,9.6,158900,0,0
2016-05-18,9.93,10.91,9.91,10.24,177300,0,0
2016-05-19,10.23,10.64,9.45,9.68,147100,0,0
2016-05-20,9.79,10.7,9.6,10.49,128600,0,0
2016-05-23,10.49,10.98,10.24,10.6,105400,0,0
2016-05-24,10.75,11.68,10.6,11.54,166200,0,0
2016-05-25,11.61,12.3,11.41,11.45,358300,0,0
2016-05-26,12.66,17.35,12.66,17.23,2336300,0,0
2016-05-27,16.86,16.88,14.67,15.53,1046600,0,0
2016-05-31,15.66,17.87,15.39,17.44,828000,0,0
2016-06-01,17.01,17.31,16.04,16.83,576800,0,0
2016-06-02,16.93,17.24,16.48,17.05,412900,0,0
2016-06-03,16.99,16.99,15.8,16.12,376600,0,0
2016-06-06,16.07,17.15,15.85,16.73,341600,0,0
2016-06-07,16.61,16.77,16.08,16.09,211300,0,0
2016-06-08,14.51,14.92,13.89,14.1,3588300,0,0
2016-06-09,14.08,14.39,14.02,14.03,539200,0,0
2016-06-10,14.01,14.2,13.8,13.83,490700,0,0
2016-06-13,14.1,14.35,13.75,13.89,358900,0,0
2016-06-14,13.86,14.13,13.13,13.75,682900,0,0
2016-06-15,13.84,14.0,13.64,13.72,189000,0,0
2016-06-16,13.53,13.99,13.1,13.91,287300,0,0
2016-06-17,14.0,14.05,13.25,13.28,300400,0,0
2016-06-20,13.65,14.35,13.28,14.02,349800,0,0
2016-06-21,14.1,14.18,13.4,13.77,294600,0,0
2016-06-22,13.57,14.35,13.49,13.82,318300,0,0
2016-06-23,14.08,15.0,13.99,14.84,479600,0,0
2016-06-24,14.3,14.84,13.84,13.93,1049300,0,0
2016-06-27,13.82,13.96,13.2,13.48,463000,0,0
2016-06-28,13.86,15.57,13.75,15.08,455300,0,0
2016-06-29,15.53,15.81,14.52,14.88,519900,0,0
2016-06-30,14.92,15.19,14.5,14.97,400100,0,0
2016-07-01,14.99,15.47,14.78,15.4,519200,0,0
2016-07-05,15.24,15.75,15.05,15.55,452900,0,0
2016-07-06,15.55,17.03,15.5,16.24,471000,0,0
2016-07-07,16.21,16.43,15.3,15.79,370500,0,0
2016-07-08,15.77,16.31,15.47,16.25,233800,0,0
2016-07-11,16.36,16.6,15.85,15.86,124500,0,0
2016-07-12,15.91,16.65,15.8,16.41,221900,0,0
2016-07-13,16.72,16.72,15.56,15.63,292100,0,0
2016-07-14,15.8,15.81,15.0,15.12,159400,0,0
2016-07-15,15.2,15.75,15.09,15.61,137900,0,0
2016-07-18,15.59,15.95,15.36,15.9,165800,0,0
2016-07-19,15.89,16.1,15.1,15.34,136800,0,0
2016-07-20,15.4,16.02,15.22,15.9,187700,0,0
2016-07-21,16.43,17.24,16.24,16.58,436300,0,0
2016-07-22,16.58,17.08,16.49,16.85,400700,0,0
2016-07-25,16.93,17.14,16.15,16.61,304900,0,0
2016-07-26,16.51,16.84,16.25,16.57,183700,0,0
2016-07-27,16.71,17.09,16.51,17.09,279700,0,0
2016-07-28,17.06,17.18,15.69,16.62,451500,0,0
2016-07-29,16.5,16.63,16.18,16.56,776900,0,0
