Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-12,36.92,36.92,36.92,36.92,10000,0.0,0
2019-03-13,37.9,38.77,37.6,38.62,20477400,0.0,0
2019-03-14,38.62,40.23,38.62,39.5,6248600,0.0,0
2019-03-15,40.21,40.68,40.07,40.52,7107300,0.0,0
2019-03-18,40.76,40.76,39.89,40.52,4020900,0.0,0
2019-03-19,40.37,40.52,38.71,39.2,10118500,0.0,0
2019-03-20,39.34,39.65,37.16,37.53,15683200,0.0,0
2019-03-21,37.9,38.94,37.65,38.89,12751700,0.0,0
2019-03-22,38.8,38.86,36.62,37.62,10898000,0.0,0
2019-03-25,37.79,37.86,36.33,36.38,9338900,0.0,0
2019-03-26,36.58,37.2,36.45,36.48,6287100,0.0,0
2019-03-27,36.46,36.84,35.72,35.87,5578100,0.0,0
2019-03-28,35.81,36.1,35.31,35.37,5326200,0.0,0
2019-03-29,35.52,35.87,35.13,35.67,5895300,0.0,0
2019-04-01,35.87,36.1,35.67,35.81,5311200,0.0,0
2019-04-02,35.91,36.13,34.88,35.25,6704600,0.0,0
2019-04-03,35.34,35.53,34.88,35.06,8393500,0.0,0
2019-04-04,35.18,35.76,34.99,35.72,4908400,0.0,0
2019-04-05,35.75,36.78,35.65,36.61,7344900,0.0,0
2019-04-08,36.54,36.61,36.21,36.41,3393300,0.0,0
2019-04-09,36.36,36.58,36.12,36.25,5725900,0.0,0
2019-04-10,36.27,36.47,35.33,35.45,4828400,0.0,0
2019-04-11,35.53,36.11,34.97,36.04,4791400,0.0,0
2019-04-12,36.1,36.56,35.44,36.47,6368500,0.0,0
2019-04-15,36.4,36.51,35.94,36.47,3927100,0.0,0
2019-04-16,36.6,36.78,36.41,36.68,5722000,0.0,0
2019-04-17,36.8,37.75,36.69,37.74,7603800,0.0,0
2019-04-18,37.81,37.9,37.34,37.35,4737400,0.0,0
2019-04-22,37.27,37.35,36.56,36.63,7675300,0.0,0
2019-04-23,36.72,37.3,36.56,37.0,6328800,0.0,0
2019-04-24,36.88,37.23,36.73,36.89,5323500,0.0,0
2019-04-25,36.9,37.12,36.48,37.07,5309700,0.0,0
2019-04-26,37.0,37.44,36.83,37.39,5297400,0.0,0
2019-04-29,37.45,38.41,37.23,38.09,6885200,0.0,0
2019-04-30,38.08,38.22,37.38,37.89,5044400,0.0,0
2019-05-01,38.01,38.37,37.57,38.28,5149800,0.0,0
2019-05-02,38.12,38.35,36.03,36.22,11495900,0.0,0
2019-05-03,36.35,36.68,36.07,36.41,4809800,0.0,0
2019-05-06,36.12,36.91,35.91,36.85,4801300,0.0,0
2019-05-07,36.52,36.74,36.07,36.21,6053300,0.0,0
2019-05-08,36.28,36.63,35.81,36.36,8635300,0.0,0
2019-05-09,37.41,38.14,36.45,37.41,15210200,0.0,0
2019-05-10,37.55,37.65,36.38,37.44,6742500,0.0,0
