Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,51.62,52.59,51.5,52.21,365900,0,0
2015-11-17,53.16,53.49,51.81,51.88,191900,0,0
2015-11-18,52.0,52.24,51.05,51.19,138600,0,0
2015-11-19,51.96,51.97,49.73,50.06,57800,0,0
2015-11-20,49.59,49.71,48.96,49.0,57100,0,0
2015-11-23,49.0,49.33,48.78,48.83,133000,0,0
2015-11-24,47.59,48.03,47.32,47.49,47800,0,0
2015-11-25,47.74,48.51,47.74,48.27,47500,0,0
2015-11-27,49.19,49.86,48.2,49.65,86100,0,0
2015-11-30,49.69,49.91,49.35,49.72,50800,0,0
2015-12-01,50.05,50.05,48.16,48.45,128000,0,0
2015-12-02,49.51,49.68,48.6,48.78,24700,0,0
2015-12-03,50.02,50.1,46.79,47.06,196700,0,0
2015-12-04,48.13,49.24,47.99,49.06,72800,0,0
2015-12-07,48.52,48.69,47.43,47.96,87900,0,0
2015-12-08,55.37,56.79,54.1,54.93,325800,0,0
2015-12-09,57.03,57.81,56.87,57.0,187100,0,0
2015-12-10,58.11,58.91,57.78,58.6,79700,0,0
2015-12-11,58.83,58.92,56.83,57.53,74700,0,0
2015-12-14,57.3,57.4,55.55,56.45,96100,0,0
2015-12-15,57.14,57.5,56.77,57.41,97400,0,0
2015-12-16,57.02,59.43,57.02,58.9,63500,0,0
2015-12-17,62.26,63.22,56.0,56.17,658400,0,0
2015-12-18,56.65,57.5,56.44,57.11,217400,0,0
2015-12-21,58.18,59.88,57.99,59.44,97800,0,0
2015-12-22,59.99,60.59,59.15,60.2,60100,0,0
2015-12-23,60.65,62.53,60.51,61.97,112100,0,0
2015-12-24,60.97,61.95,60.88,61.08,23300,0,0
2015-12-28,61.4,62.35,61.1,61.5,81300,0,0
2015-12-29,63.0,63.05,61.85,62.21,92900,0,0
2015-12-30,63.42,63.49,62.16,62.61,75200,0,0
2015-12-31,62.68,63.63,62.26,62.88,106300,0,0
2016-01-04,61.52,61.69,59.71,60.96,60700,0,0
2016-01-05,60.55,60.77,60.0,60.45,45500,0,0
2016-01-06,58.76,59.2,57.63,58.07,68100,0,0
2016-01-07,56.88,56.98,55.52,55.71,69400,0,0
2016-01-08,58.34,58.34,56.9,57.23,100900,0,0
2016-01-11,56.35,56.45,52.42,53.54,206500,0,0
2016-01-12,55.64,56.0,53.59,54.64,151900,0,0
2016-01-13,54.91,55.19,52.98,53.57,102100,0,0
2016-01-14,53.65,53.65,51.65,53.08,151400,0,0
2016-01-15,51.34,51.61,50.32,51.22,41400,0,0
2016-01-19,53.27,53.53,50.66,51.41,50600,0,0
2016-01-20,51.81,53.74,50.71,53.17,87400,0,0
2016-01-21,52.29,52.88,51.29,51.74,145200,0,0
2016-01-22,53.36,55.33,53.1,54.89,224100,0,0
2016-01-25,52.35,53.58,51.85,52.05,183400,0,0
2016-01-26,50.79,52.99,50.79,52.47,270000,0,0
2016-01-27,52.44,53.23,50.89,51.59,154000,0,0
2016-01-28,53.0,53.15,50.63,50.83,434800,0,0
2016-01-29,49.69,50.13,48.72,48.92,220400,0,0
2016-02-01,50.8,51.0,49.84,50.52,111900,0,0
2016-02-02,49.92,50.03,46.97,47.42,175700,0,0
2016-02-03,47.14,47.22,44.78,46.13,185900,0,0
2016-02-04,45.87,48.34,45.47,48.03,131000,0,0
2016-02-05,46.69,46.69,43.17,43.5,134700,0,0
2016-02-08,41.45,41.45,39.69,40.25,128200,0,0
2016-02-09,38.23,39.59,37.41,38.0,198200,0,0
2016-02-10,39.43,39.55,38.52,38.95,107700,0,0
2016-02-11,37.6,40.02,37.03,39.58,217100,0,0
2016-02-12,38.38,39.34,38.15,39.28,63300,0,0
2016-02-16,41.41,41.49,40.28,41.37,82000,0,0
2016-02-17,44.14,45.2,43.49,44.55,341500,0,0
2016-02-18,45.2,45.78,44.66,44.77,127100,0,0
2016-02-19,43.79,44.52,43.39,44.18,56500,0,0
2016-02-22,44.09,44.8,41.03,43.3,552800,0,0
2016-02-23,43.21,43.21,40.78,40.96,170000,0,0
2016-02-24,39.83,41.47,39.63,41.26,67600,0,0
2016-02-25,41.33,41.82,40.84,41.54,44400,0,0
2016-02-26,42.22,42.33,41.91,42.18,48600,0,0
2016-02-29,41.84,42.04,41.02,41.03,46800,0,0
2016-03-01,42.86,44.08,42.52,43.95,67000,0,0
2016-03-02,43.37,43.77,43.01,43.56,87100,0,0
2016-03-03,43.55,44.22,43.12,43.6,78700,0,0
2016-03-04,44.31,44.77,43.88,44.56,48600,0,0
2016-03-07,43.91,44.91,43.84,44.73,45900,0,0
2016-03-08,44.06,44.06,43.59,43.71,41600,0,0
2016-03-09,43.99,44.29,43.72,44.17,34700,0,0
2016-03-10,44.08,45.06,44.08,44.84,51400,0,0
2016-03-11,44.78,45.04,44.48,44.84,36200,0,0
2016-03-14,44.89,45.04,44.58,44.58,87800,0,0
2016-03-15,44.12,44.19,42.34,42.71,39900,0,0
2016-03-16,42.79,42.99,42.17,42.95,43300,0,0
2016-03-17,41.99,42.26,41.06,41.98,49000,0,0
2016-03-18,42.11,42.11,41.45,41.94,51100,0,0
2016-03-21,42.01,42.43,41.68,42.35,30600,0,0
2016-03-22,42.19,42.88,42.19,42.64,78300,0,0
2016-03-23,42.54,42.64,41.97,42.26,33300,0,0
2016-03-24,41.19,41.84,41.06,41.12,56200,0,0
2016-03-28,41.46,41.65,40.86,41.13,41700,0,0
2016-03-29,41.24,42.52,41.14,42.3,75600,0,0
2016-03-30,42.49,42.83,42.11,42.33,51200,0,0
2016-03-31,42.14,42.9,41.76,41.82,114200,0,0
2016-04-01,41.6,42.34,41.21,42.18,48100,0,0
2016-04-04,42.83,43.35,42.57,42.75,81600,0,0
2016-04-05,42.23,42.46,41.98,42.08,43100,0,0
2016-04-06,43.17,45.23,43.17,44.75,158300,0,0
2016-04-07,44.71,44.79,43.74,43.95,58800,0,0
2016-04-08,44.74,44.77,44.2,44.7,47000,0,0
2016-04-11,44.56,44.56,43.52,43.65,36200,0,0
2016-04-12,43.54,44.07,43.1,43.65,59700,0,0
2016-04-13,43.1,43.71,42.82,43.4,53400,0,0
2016-04-14,43.51,44.21,43.44,43.64,22800,0,0
2016-04-15,43.76,44.12,43.71,44.1,19500,0,0
2016-04-18,44.28,45.0,44.22,44.74,43400,0,0
2016-04-19,44.75,44.78,43.64,44.2,53200,0,0
2016-04-20,43.93,43.99,43.3,43.7,28800,0,0
2016-04-21,43.21,44.3,43.17,44.01,33000,0,0
2016-04-22,44.51,46.2,44.42,45.55,52800,0,0
2016-04-25,45.47,45.78,45.23,45.77,41600,0,0
2016-04-26,45.87,45.92,44.35,45.21,107100,0,0
2016-04-27,45.06,45.34,44.8,45.07,63900,0,0
2016-04-28,44.75,45.1,44.49,44.73,41800,0,0
2016-04-29,45.46,45.64,44.81,45.31,50600,0,0
2016-05-02,48.65,50.48,48.61,50.35,128300,0,0
2016-05-03,49.68,49.68,48.57,48.81,49700,0,0
2016-05-04,48.16,48.16,46.94,47.15,42000,0,0
2016-05-05,46.02,46.2,45.57,45.84,35100,0,0
2016-05-06,45.81,46.06,45.24,45.84,28500,0,0
2016-05-09,46.89,47.87,46.85,47.74,24600,0,0
2016-05-10,48.59,48.93,48.24,48.83,34000,0,0
2016-05-11,48.98,49.73,48.98,49.28,35300,0,0
2016-05-12,50.11,50.11,49.15,49.23,56000,0,0
2016-05-13,50.19,50.73,49.74,49.87,43800,0,0
2016-05-16,50.15,51.48,50.05,51.33,56000,0,0
2016-05-17,51.09,51.74,51.09,51.68,78300,0,0
2016-05-18,51.16,51.94,50.93,51.22,69100,0,0
2016-05-19,51.05,51.73,50.64,51.66,58700,0,0
2016-05-20,53.46,54.42,53.01,54.03,142200,0,0
2016-05-23,57.65,58.0,56.48,56.94,78400,0,0
2016-05-24,56.23,57.41,56.05,56.88,74400,0,0
2016-05-25,58.94,61.02,57.55,57.76,150400,0,0
2016-05-26,58.18,58.35,57.6,57.6,61400,0,0
2016-05-27,57.75,58.53,57.48,58.52,71700,0,0
2016-05-31,57.55,58.12,57.29,58.07,56700,0,0
2016-06-01,57.1,57.56,57.0,57.36,80700,0,0
2016-06-02,56.61,57.61,56.39,57.5,139500,0,0
2016-06-03,59.27,60.35,58.87,60.01,155700,0,0
2016-06-06,58.5,59.32,58.17,59.0,70800,0,0
2016-06-07,57.87,58.04,57.4,57.4,43900,0,0
2016-06-08,57.39,60.72,57.18,59.38,119900,0,0
2016-06-09,57.24,57.39,56.32,56.88,193700,0,0
2016-06-10,55.66,55.8,55.02,55.29,40000,0,0
2016-06-13,53.1,54.84,52.99,54.53,68800,0,0
2016-06-14,52.84,53.4,52.3,52.76,64400,0,0
2016-06-15,54.19,54.19,53.31,53.61,74200,0,0
2016-06-16,51.03,52.51,50.2,52.26,127400,0,0
2016-06-17,51.45,52.01,50.75,51.37,159600,0,0
2016-06-20,52.68,54.04,52.68,53.06,95700,0,0
2016-06-21,53.17,53.17,51.94,52.31,46800,0,0
2016-06-22,51.72,52.74,51.62,52.53,61000,0,0
2016-06-23,53.31,54.55,52.87,54.05,67000,0,0
2016-06-24,50.31,52.12,50.2,51.12,492400,0,0
2016-06-27,49.86,50.54,49.43,50.24,129000,0,0
2016-06-28,50.91,52.99,50.81,52.59,98100,0,0
2016-06-29,54.18,54.5,53.77,54.18,52000,0,0
2016-06-30,54.64,55.56,54.4,55.47,63200,0,0
2016-07-01,54.38,55.11,54.2,54.86,26700,0,0
2016-07-05,55.47,55.59,54.03,54.62,29900,0,0
2016-07-06,53.32,54.8,52.92,54.18,63000,0,0
2016-07-07,55.16,55.29,54.4,54.95,69900,0,0
2016-07-08,55.53,55.57,54.86,55.23,23400,0,0
2016-07-11,55.79,55.89,55.02,55.18,30200,0,0
2016-07-12,55.24,55.27,54.57,54.84,44500,0,0
2016-07-13,54.86,55.01,54.21,54.36,31800,0,0
2016-07-14,54.01,54.01,53.39,53.81,22300,0,0
2016-07-15,52.57,53.15,52.48,53.15,35000,0,0
2016-07-18,53.5,53.78,53.21,53.57,26500,0,0
2016-07-19,52.98,53.04,52.64,52.89,38300,0,0
2016-07-20,52.84,53.66,52.84,53.49,48000,0,0
2016-07-21,52.23,52.87,52.21,52.73,41200,0,0
2016-07-22,52.36,53.04,52.34,52.9,32400,0,0
2016-07-25,52.43,53.01,52.18,53.01,37300,0,0
2016-07-26,53.51,54.06,53.41,53.91,38100,0,0
2016-07-27,53.4,54.65,53.4,54.49,71600,0,0
2016-07-28,55.48,55.72,55.21,55.29,59400,0,0
2016-07-29,54.48,55.34,54.33,55.17,59400,0,0
2016-08-01,53.46,53.79,53.07,53.14,62000,0,0
2016-08-02,52.83,52.92,52.09,52.82,36000,0,0
2016-08-03,51.91,52.65,51.91,52.47,30400,0,0
2016-08-04,53.22,54.65,53.22,53.86,55800,0,0
2016-08-05,54.95,55.47,54.77,55.01,30700,0,0
2016-08-08,54.29,54.41,53.82,53.9,14000,0,0
