Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,25.04,25.29,24.88,25.09,54500,0.0,0
2015-11-17,24.98,25.13,24.78,24.78,71700,0.0,0
2015-11-18,24.81,25.26,24.75,24.93,54900,0.0,0
2015-11-19,24.99,25.13,23.57,24.89,66500,0.0,0
2015-11-20,25.05,25.32,24.91,24.95,77300,0.0,0
2015-11-23,24.83,25.86,24.82,25.05,82000,0.0,0
2015-11-24,24.94,25.26,24.94,25.18,71400,0.0,0
2015-11-25,25.27,25.3,24.57,24.98,70300,0.0,0
2015-11-27,24.87,25.18,24.87,24.98,43500,0.0,0
2015-11-30,25.43,26.55,25.26,25.84,258600,0.0,0
2015-12-01,25.6,26.76,25.6,26.56,280200,0.0,0
2015-12-02,26.56,27.41,26.37,26.42,204800,0.0,0
2015-12-03,26.56,26.93,26.26,26.49,135600,0.0,0
2015-12-04,26.4,26.81,26.3,26.48,59500,0.0,0
2015-12-07,26.49,26.75,26.13,26.63,101900,0.0,0
2015-12-08,26.37,26.95,26.11,26.65,54900,0.0,0
2015-12-09,26.49,26.9,26.09,26.12,52800,0.0,0
2015-12-10,26.0,26.03,25.08,25.22,77700,0.0,0
2015-12-11,24.74,25.27,24.69,24.75,81900,0.0,0
2015-12-14,24.75,25.43,24.14,24.43,147800,0.0,0
2015-12-15,24.49,24.61,24.12,24.26,95200,0.0,0
2015-12-16,24.43,25.06,24.08,24.7,116100,0.0,0
2015-12-17,24.74,25.07,24.16,24.18,72300,0.0,0
2015-12-18,24.18,24.52,23.92,24.41,596900,0.0,0
2015-12-21,24.46,25.43,24.39,25.18,156200,0.0,0
2015-12-22,25.34,25.38,24.28,25.09,98000,0.0,0
2015-12-23,25.13,25.44,24.99,25.22,45400,0.0,0
2015-12-24,25.18,25.33,25.07,25.19,23400,0.0,0
2015-12-28,25.04,25.47,24.92,25.05,50800,0.0,0
2015-12-29,25.17,25.87,25.04,25.4,67300,0.0,0
2015-12-30,25.3,25.65,25.0,25.08,69100,0.0,0
2015-12-31,25.04,25.04,24.36,24.37,81800,0.0,0
