Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,18.64,18.86,18.58,18.86,39600,0.0,0
2015-11-17,18.78,19.17,18.64,18.8,60000,0.0,0
2015-11-18,18.87,19.23,18.64,18.97,45200,0.0,0
2015-11-19,18.97,19.06,18.64,18.89,21300,0.0,0
2015-11-20,18.93,19.35,18.92,19.3,51100,0.0,0
2015-11-23,19.34,19.52,19.33,19.5,55000,0.0,0
2015-11-24,19.48,19.52,19.28,19.49,27000,0.0,0
2015-11-25,19.46,19.51,19.29,19.48,19600,0.0,0
2015-11-27,19.45,19.52,19.39,19.5,9900,0.0,0
2015-11-30,19.52,19.52,19.35,19.51,61400,0.0,0
2015-12-01,19.51,19.68,19.35,19.51,119800,0.0,0
2015-12-02,19.46,19.56,19.14,19.19,20900,0.0,0
2015-12-03,19.21,19.49,19.03,19.03,57600,0.0,0
2015-12-04,19.03,19.52,19.03,19.45,24000,0.0,0
2015-12-07,19.43,19.43,18.83,19.06,37500,0.0,0
2015-12-08,18.94,19.06,18.84,18.84,20300,0.0,0
2015-12-09,18.84,18.94,18.79,18.91,44400,0.0,0
2015-12-10,18.93,18.99,18.79,18.8,34900,0.0,0
2015-12-11,18.62,19.07,18.35,18.8,53100,0.0,0
2015-12-14,18.8,18.99,18.79,18.86,35200,0.0,0
2015-12-15,18.92,19.17,18.84,19.16,21300,0.0,0
2015-12-16,19.33,19.61,19.1,19.5,66400,0.0,0
2015-12-17,19.62,19.65,19.23,19.48,30900,0.0,0
2015-12-18,19.37,20.07,19.32,19.75,168500,0.0,0
2015-12-21,19.75,19.79,19.42,19.63,48500,0.0,0
2015-12-22,19.67,19.69,19.32,19.69,27400,0.0,0
2015-12-23,19.73,19.73,19.52,19.66,21900,0.0,0
2015-12-24,19.73,19.82,19.44,19.69,12500,0.0,0
2015-12-28,19.44,19.75,19.2,19.75,23600,0.0,0
2015-12-29,19.8,20.1,19.43,20.06,22800,0.0,0
2015-12-30,20.09,20.48,19.8,19.82,23800,0.0,0
2015-12-31,19.72,19.83,19.44,19.76,53600,0.0,0
2016-01-04,19.51,19.51,18.79,18.95,56500,0.0,0
2016-01-05,18.84,19.23,18.84,18.93,25600,0.0,0
2016-01-06,18.79,19.09,18.74,18.89,33700,0.0,0
2016-01-07,18.84,19.0,18.67,18.84,62700,0.0,0
2016-01-08,18.86,19.04,18.84,18.88,43900,0.0,0
2016-01-11,18.99,19.13,18.91,19.12,29800,0.0,0
2016-01-12,19.03,19.19,18.86,19.02,46700,0.0,0
2016-01-13,19.06,19.06,18.64,18.85,89300,0.0,0
2016-01-14,18.97,19.03,18.67,18.83,76500,0.0,0
2016-01-15,18.38,19.03,18.38,18.98,233500,0.0,0
2016-01-19,19.0,19.07,18.72,18.86,62800,0.0,0
2016-01-20,18.69,18.92,18.62,18.76,87600,0.0,0
2016-01-21,18.76,18.76,18.26,18.47,74900,0.0,0
2016-01-22,18.54,18.54,18.29,18.38,55800,0.0,0
2016-01-25,18.37,18.37,18.14,18.19,47300,0.0,0
2016-01-26,18.39,18.39,17.87,18.01,89000,0.0,0
2016-01-27,18.01,18.1,17.71,17.71,37000,0.0,0
2016-01-28,17.79,17.99,17.57,17.8,55300,0.0,0
2016-01-29,17.83,18.11,17.83,18.06,67500,0.0,0
2016-02-01,17.77,17.79,17.57,17.66,60200,0.0,0
2016-02-02,17.54,17.54,16.96,17.25,85700,0.0,0
2016-02-03,17.27,17.59,17.1,17.14,115200,0.0,0
2016-02-04,17.18,17.25,16.82,17.21,47800,0.0,0
2016-02-05,17.14,17.25,16.74,16.82,69600,0.0,0
2016-02-08,16.74,17.2,16.56,17.09,66500,0.0,0
2016-02-09,16.95,17.12,16.72,17.03,45100,0.0,0
2016-02-10,17.14,17.51,17.04,17.07,49600,0.0,0
2016-02-11,17.01,17.03,16.79,16.93,40800,0.0,0
2016-02-12,17.12,17.2,16.93,17.1,55200,0.0,0
2016-02-16,17.3,17.48,16.98,17.11,25500,0.0,0
2016-02-17,17.18,17.18,16.98,17.09,95800,0.0,0
2016-02-18,17.08,17.17,16.87,17.07,47200,0.0,0
2016-02-19,17.08,17.37,17.07,17.11,38700,0.0,0
2016-02-22,17.27,17.45,17.13,17.18,38100,0.0,0
2016-02-23,17.14,17.14,16.85,16.98,41200,0.0,0
2016-02-24,16.6,17.02,16.6,16.96,36800,0.0,0
2016-02-25,17.02,17.24,16.96,17.16,18200,0.0,0
2016-02-26,17.18,17.25,16.88,17.24,45500,0.0,0
2016-02-29,17.18,17.26,17.12,17.19,63700,0.0,0
2016-03-01,17.26,17.43,17.21,17.39,40600,0.0,0
2016-03-02,17.34,17.41,17.19,17.35,41500,0.0,0
2016-03-03,17.4,17.71,17.36,17.71,83300,0.0,0
2016-03-04,17.66,17.78,17.61,17.68,21500,0.0,0
2016-03-07,17.66,17.8,17.57,17.73,18300,0.0,0
2016-03-08,17.68,18.06,17.68,17.87,37900,0.0,0
2016-03-09,17.91,18.06,17.55,17.62,27900,0.0,0
2016-03-10,17.63,17.97,17.4,17.89,34600,0.0,0
2016-03-11,17.95,18.62,17.83,18.02,27500,0.0,0
2016-03-14,17.93,18.04,17.68,17.74,21900,0.0,0
2016-03-15,17.69,18.05,17.69,17.79,29700,0.0,0
2016-03-16,17.95,17.95,17.66,17.75,26100,0.0,0
2016-03-17,17.64,18.14,17.64,18.03,33100,0.0,0
2016-03-18,18.16,18.31,18.07,18.3,96400,0.0,0
2016-03-21,18.21,18.27,17.98,18.05,32100,0.0,0
2016-03-22,18.02,18.22,17.76,17.95,33900,0.0,0
2016-03-23,17.91,18.07,17.8,17.96,36400,0.0,0
2016-03-24,17.9,17.98,17.65,17.92,23000,0.0,0
2016-03-28,17.91,18.0,17.76,17.8,48600,0.0,0
2016-03-29,17.85,18.4,17.81,18.39,43800,0.0,0
2016-03-30,18.43,18.45,18.1,18.14,25500,0.0,0
2016-03-31,18.25,18.25,17.85,17.89,35400,0.0,0
2016-04-01,17.86,18.08,17.82,17.96,37400,0.0,0
2016-04-04,17.91,18.01,17.8,17.88,29600,0.0,0
2016-04-05,17.81,17.84,17.59,17.73,150600,0.0,0
2016-04-06,17.7,17.89,17.55,17.73,35700,0.0,0
2016-04-07,17.61,17.8,17.6,17.69,36400,0.0,0
2016-04-08,17.75,17.77,17.55,17.58,24000,0.0,0
2016-04-11,17.67,18.08,17.59,18.04,35500,0.0,0
2016-04-12,18.01,18.13,17.76,17.9,22000,0.0,0
2016-04-13,17.96,18.49,17.96,18.47,37600,0.0,0
2016-04-14,18.41,18.51,18.26,18.45,22600,0.0,0
2016-04-15,18.37,18.54,18.37,18.47,24800,0.0,0
2016-04-18,18.42,18.47,18.21,18.34,19500,0.0,0
2016-04-19,18.34,18.57,18.28,18.57,16600,0.0,0
2016-04-20,18.48,18.72,18.48,18.57,62400,0.0,0
2016-04-21,18.71,18.71,18.29,18.4,27900,0.0,0
2016-04-22,18.4,18.52,18.31,18.48,26300,0.0,0
2016-04-25,18.19,18.48,18.08,18.27,20200,0.0,0
2016-04-26,18.35,18.53,18.23,18.52,34300,0.0,0
2016-04-27,18.52,18.54,18.08,18.36,28400,0.0,0
2016-04-28,18.3,18.53,18.1,18.14,29100,0.0,0
2016-04-29,18.06,18.4,17.96,18.1,31500,0.0,0
2016-05-02,18.35,18.66,18.32,18.57,33500,0.0,0
2016-05-03,18.46,18.57,17.92,17.97,28700,0.0,0
2016-05-04,17.96,18.17,17.85,18.1,48100,0.0,0
2016-05-05,18.11,18.11,17.65,17.66,37800,0.0,0
2016-05-06,17.62,17.93,17.62,17.82,45500,0.0,0
2016-05-09,17.81,18.01,17.76,17.82,46500,0.0,0
2016-05-10,17.87,18.19,17.84,17.89,64400,0.0,0
2016-05-11,17.89,18.05,17.85,17.9,27400,0.0,0
2016-05-12,17.98,17.98,17.47,17.74,43100,0.0,0
2016-05-13,17.71,17.76,17.55,17.62,42200,0.0,0
2016-05-16,17.7,17.85,17.69,17.74,29700,0.0,0
2016-05-17,17.68,17.76,17.27,17.58,60100,0.0,0
2016-05-18,17.42,17.93,17.42,17.92,80900,0.0,0
2016-05-19,17.85,17.92,17.52,17.75,33200,0.0,0
2016-05-20,17.85,17.94,17.72,17.91,26200,0.0,0
2016-05-23,17.93,17.93,17.75,17.75,34100,0.0,0
2016-05-24,17.87,18.2,17.2,18.15,38100,0.0,0
2016-05-25,18.27,18.27,18.01,18.06,25900,0.0,0
2016-05-26,18.06,18.19,18.06,18.17,17900,0.0,0
2016-05-27,18.2,18.32,18.01,18.32,36700,0.0,0
2016-05-31,18.43,18.6,18.21,18.6,152100,0.0,0
2016-06-01,18.48,18.89,18.48,18.77,46400,0.0,0
2016-06-02,18.7,18.77,18.38,18.62,72800,0.0,0
2016-06-03,18.58,18.68,18.31,18.58,32400,0.0,0
2016-06-06,18.54,19.03,18.54,18.92,27000,0.0,0
2016-06-07,18.89,19.03,18.54,18.83,53400,0.0,0
2016-06-08,18.83,19.26,18.53,19.2,79200,0.0,0
2016-06-09,18.89,19.09,18.56,18.94,27200,0.0,0
2016-06-10,18.81,18.87,18.47,18.73,21900,0.0,0
2016-06-13,18.74,18.76,18.34,18.58,40400,0.0,0
2016-06-14,18.55,18.66,18.23,18.59,25400,0.0,0
2016-06-15,18.0,18.85,18.0,18.39,19500,0.0,0
2016-06-16,18.35,18.48,18.31,18.45,27500,0.0,0
2016-06-17,18.48,18.65,18.11,18.26,89400,0.0,0
2016-06-20,18.4,18.66,18.3,18.6,40400,0.0,0
2016-06-21,18.18,18.68,18.18,18.6,27100,0.0,0
2016-06-22,18.67,18.77,18.3,18.35,20100,0.0,0
2016-06-23,18.54,18.79,18.28,18.69,27100,0.0,0
2016-06-24,18.07,18.47,17.91,18.02,209800,0.0,0
2016-06-27,17.82,17.83,17.33,17.57,54200,0.0,0
2016-06-28,17.69,17.83,17.36,17.79,48400,0.0,0
2016-06-29,17.87,17.87,17.61,17.75,33100,0.0,0
2016-06-30,17.84,18.07,17.56,18.06,34000,0.0,0
2016-07-01,17.78,18.31,17.78,18.17,31400,0.0,0
2016-07-05,18.04,18.39,17.88,17.88,37700,0.0,0
2016-07-06,17.92,18.0,17.82,17.89,17600,0.0,0
2016-07-07,17.98,17.98,17.76,17.8,11700,0.0,0
2016-07-08,17.88,17.91,17.74,17.8,32200,0.0,0
2016-07-11,17.82,18.11,17.82,18.07,35700,0.0,0
2016-07-12,18.14,18.68,18.02,18.52,48700,0.0,0
2016-07-13,18.58,18.71,18.39,18.49,35700,0.0,0
2016-07-14,18.55,18.69,18.39,18.52,57800,0.0,0
2016-07-15,18.62,18.82,18.53,18.65,21500,0.0,0
2016-07-18,18.64,18.78,18.46,18.5,22100,0.0,0
2016-07-19,18.52,18.59,18.42,18.5,11000,0.0,0
2016-07-20,18.5,18.5,18.16,18.32,38600,0.0,0
2016-07-21,18.26,18.39,18.12,18.25,21300,0.0,0
2016-07-22,18.46,18.46,18.27,18.42,18000,0.0,0
2016-07-25,18.45,18.45,18.1,18.17,21500,0.0,0
2016-07-26,18.19,18.26,18.01,18.08,20900,0.0,0
2016-07-27,18.2,18.2,17.73,18.0,56800,0.0,0
2016-07-28,17.82,18.19,17.79,18.07,29500,0.0,0
2016-07-29,18.1,18.23,17.93,17.94,17700,0.0,0
2016-08-01,17.81,18.02,17.81,17.91,41400,0.0,0
2016-08-02,17.96,18.03,17.91,17.91,18000,0.0,0
2016-08-03,17.84,18.13,17.84,18.03,22600,0.0,0
2016-08-04,18.08,18.21,17.91,18.05,9900,0.0,0
2016-08-05,18.19,18.42,18.19,18.37,15700,0.0,0
2016-08-08,18.35,18.72,18.35,18.63,33500,0.0,0
2016-08-09,18.53,18.69,18.52,18.56,16900,0.0,0
2016-08-10,18.57,18.66,18.45,18.57,18200,0.0,0
2016-08-11,18.61,18.66,18.48,18.51,17800,0.0,0
2016-08-12,18.33,18.55,18.3,18.34,23500,0.0,0
2016-08-15,18.33,18.63,18.32,18.47,16000,0.0,0
2016-08-16,18.45,18.64,18.32,18.54,15600,0.0,0
2016-08-17,18.55,18.72,18.22,18.6,20700,0.0,0
2016-08-18,18.57,18.64,18.42,18.58,19700,0.0,0
2016-08-19,18.59,18.74,18.3,18.62,33500,0.0,0
2016-08-22,18.46,18.65,18.46,18.56,6800,0.0,0
2016-08-23,18.71,18.74,18.54,18.7,27200,0.0,0
2016-08-24,18.71,18.9,18.61,18.81,20000,0.0,0
2016-08-25,18.73,18.84,18.65,18.75,10100,0.0,0
2016-08-26,18.78,18.89,18.75,18.86,47300,0.0,0
2016-08-29,18.77,18.93,18.77,18.8,10300,0.0,0
2016-08-30,18.83,18.85,18.75,18.8,12700,0.0,0
2016-08-31,18.91,18.93,18.57,18.66,55600,0.0,0
2016-09-01,18.75,18.75,18.47,18.72,13100,0.0,0
2016-09-02,18.71,18.94,18.71,18.94,10400,0.0,0
2016-09-06,18.93,18.93,18.65,18.82,12400,0.0,0
2016-09-07,18.59,18.93,18.47,18.87,17300,0.0,0
2016-09-08,18.79,18.87,18.62,18.71,21900,0.0,0
2016-09-09,18.71,18.78,18.55,18.58,28000,0.0,0
