Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,21.28,21.41,20.89,21.2,5154500,0,0.0
2015-11-17,21.24,21.33,20.26,20.47,5290700,0,0.0
2015-11-18,20.59,20.69,19.84,20.37,8647400,0,0.0
2015-11-19,20.44,20.62,19.84,20.39,13566100,0,0.0
2015-11-20,20.46,21.2,20.38,20.94,7703100,0,0.0
2015-11-23,20.91,21.26,20.59,20.62,3804000,0,0.0
2015-11-24,20.61,20.76,20.49,20.7,2876500,0,0.0
2015-11-25,20.8,20.92,20.68,20.69,1964300,0,0.0
2015-11-27,20.68,20.86,20.47,20.61,820300,0,0.0
2015-11-30,20.65,20.82,20.41,20.56,2645000,0,0.0
2015-12-01,20.57,20.76,20.38,20.45,1731300,0,0.0
2015-12-02,20.48,20.78,20.45,20.52,2458400,0,0.0
2015-12-03,20.61,20.7,19.72,19.92,3542900,0,0.0
2015-12-04,19.93,20.28,19.93,20.08,2114800,0,0.0
2015-12-07,20.21,20.46,19.74,19.87,3443300,0,0.0
2015-12-08,19.73,20.05,19.62,19.79,2358900,0,0.0
2015-12-09,19.74,19.95,19.41,19.45,3027100,0,0.0
2015-12-10,19.42,19.71,19.41,19.45,2084000,0,0.0
2015-12-11,19.27,19.75,19.09,19.54,4515600,0,0.0
2015-12-14,19.61,19.84,19.53,19.65,3174900,0,0.0
2015-12-15,19.73,20.24,19.68,20.0,2815700,0,0.0
2015-12-16,20.07,20.53,19.83,20.45,3463200,0,0.0
2015-12-17,20.43,20.65,20.1,20.14,2186900,0,0.0
2015-12-18,20.12,20.18,19.64,19.7,3819900,0,0.0
2015-12-21,19.76,20.13,19.63,19.81,1442700,0,0.0
2015-12-22,19.88,20.08,19.65,20.06,1976200,0,0.0
2015-12-23,20.06,20.12,19.95,20.08,1460700,0,0.0
2015-12-24,20.08,20.24,19.97,20.18,493500,0,0.0
2015-12-28,20.0,20.06,19.72,19.82,1090200,0,0.0
2015-12-29,19.89,20.05,19.62,19.97,1757200,0,0.0
2015-12-30,19.96,20.08,19.76,19.86,1733700,0,0.0
2015-12-31,19.74,19.83,19.59,19.66,1796000,0,0.0
2016-01-04,19.37,19.43,19.12,19.22,2301700,0,0.0
2016-01-05,19.46,19.56,19.24,19.37,2569300,0,0.0
2016-01-06,19.13,19.55,19.09,19.26,2582100,0,0.0
2016-01-07,18.99,19.1,18.04,18.3,5521300,0,0.0
2016-01-08,18.43,18.71,18.18,18.27,2536300,0,0.0
2016-01-11,18.38,18.66,18.27,18.55,4037900,0,0.0
2016-01-12,18.62,18.83,18.58,18.74,4986800,0,0.0
2016-01-13,18.8,18.9,17.82,17.9,1918500,0,0.0
2016-01-14,18.01,18.22,17.52,18.13,2712800,0,0.0
2016-01-15,17.85,17.85,17.34,17.83,2949200,0,0.0
2016-01-19,17.99,18.09,16.81,17.08,5511800,0,0.0
2016-01-20,16.8,16.83,15.96,16.59,5484300,0,0.0
2016-01-21,16.53,17.29,15.73,16.67,1855900,0,0.0
2016-01-22,16.98,17.51,16.82,17.5,4341800,0,0.0
