Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,13.0,13.29,12.83,13.07,102300,0.0,0
2015-11-17,13.0,13.34,12.97,13.01,84000,0.0,0
2015-11-18,13.08,13.09,12.85,13.06,174900,0.0,0
2015-11-19,13.06,13.06,12.82,12.94,54200,0.0,0
2015-11-20,12.99,13.33,12.92,13.24,119400,0.0,0
2015-11-23,13.22,13.41,13.22,13.34,64000,0.0,0
2015-11-24,13.46,13.55,13.25,13.47,48500,0.0,0
2015-11-25,13.47,13.5,12.99,13.47,43000,0.0,0
2015-11-27,13.48,13.57,13.05,13.5,30600,0.0,0
2015-11-30,13.53,13.6,13.34,13.35,82700,0.0,0
2015-12-01,13.44,13.65,13.31,13.52,75600,0.0,0
2015-12-02,13.62,13.67,13.36,13.38,39300,0.0,0
2015-12-03,13.46,13.57,13.1,13.16,65800,0.0,0
2015-12-04,13.22,13.38,13.14,13.27,185100,0.0,0
2015-12-07,13.24,13.27,12.96,13.03,56000,0.0,0
2015-12-08,12.92,13.09,12.73,12.76,404300,0.0,0
2015-12-09,12.77,12.96,12.68,12.85,118200,0.0,0
2015-12-10,12.85,13.12,12.69,12.91,107600,0.0,0
2015-12-11,12.67,13.0,11.92,12.87,217900,0.0,0
2015-12-14,12.9,13.03,12.74,13.01,92100,0.0,0
2015-12-15,13.09,13.41,12.95,13.03,127800,0.0,0
2015-12-16,13.12,13.28,12.67,13.1,61700,0.0,0
2015-12-17,13.16,13.27,12.89,12.93,37600,0.0,0
2015-12-18,12.88,13.02,12.53,12.92,365700,0.0,0
2015-12-21,12.98,13.14,12.84,12.96,94100,0.0,0
2015-12-22,13.04,13.11,12.83,13.08,56000,0.0,0
2015-12-23,13.13,13.16,12.94,13.09,48700,0.0,0
2015-12-24,13.16,13.36,13.15,13.19,54600,0.0,0
2015-12-28,13.13,13.24,12.94,13.08,155200,0.0,0
2015-12-29,13.14,13.22,12.91,13.18,58700,0.0,0
2015-12-30,13.19,13.43,13.08,13.36,69200,0.0,0
2015-12-31,13.36,13.54,13.06,13.11,115700,0.0,0
2016-01-04,12.97,12.97,12.53,12.61,113600,0.0,0
2016-01-05,12.65,12.76,12.57,12.7,34700,0.0,0
2016-01-06,12.57,12.76,12.57,12.69,35500,0.0,0
2016-01-07,12.53,12.62,12.49,12.57,123000,0.0,0
2016-01-08,12.62,12.82,12.35,12.39,124000,0.0,0
2016-01-11,12.44,12.59,12.34,12.41,47400,0.0,0
2016-01-12,12.5,12.51,12.26,12.4,75700,0.0,0
2016-01-13,12.42,12.45,12.28,12.35,105000,0.0,0
2016-01-14,12.47,12.76,12.29,12.33,69900,0.0,0
2016-01-15,12.04,12.72,12.04,12.19,128600,0.0,0
2016-01-19,12.32,12.48,12.16,12.29,114700,0.0,0
2016-01-20,12.15,12.35,11.97,12.22,83800,0.0,0
2016-01-21,12.14,12.23,11.96,12.04,85500,0.0,0
2016-01-22,12.15,12.33,11.98,12.3,58500,0.0,0
2016-01-25,13.62,13.9,12.35,12.41,135200,0.0,0
2016-01-26,12.54,12.69,12.28,12.57,103800,0.0,0
2016-01-27,12.55,13.22,12.45,12.98,573400,0.0,0
2016-01-28,13.05,13.25,12.98,13.04,122900,0.0,0
2016-01-29,13.04,13.05,12.92,13.03,274900,0.0,0
2016-02-01,13.0,13.09,12.85,13.03,113200,0.0,0
2016-02-02,12.93,13.01,12.78,12.88,50400,0.0,0
2016-02-03,12.98,13.02,12.73,12.89,101200,0.08,0
2016-02-04,12.9,13.07,12.64,12.88,84300,0.0,0
2016-02-05,12.83,12.99,12.61,12.61,237600,0.0,0
2016-02-08,12.51,13.24,12.41,12.53,75400,0.0,0
2016-02-09,12.45,12.8,12.36,12.47,263300,0.0,0
2016-02-10,12.51,12.68,12.32,12.33,76100,0.0,0
2016-02-11,12.18,12.27,12.02,12.14,48200,0.0,0
2016-02-12,12.27,12.54,12.23,12.46,56100,0.0,0
2016-02-16,12.59,12.65,12.4,12.56,89900,0.0,0
2016-02-17,12.61,12.61,12.4,12.51,113400,0.0,0
2016-02-18,12.5,12.63,12.42,12.61,111200,0.0,0
2016-02-19,12.6,12.85,12.58,12.7,137500,0.0,0
2016-02-22,12.85,12.85,12.59,12.66,122200,0.0,0
2016-02-23,12.6,12.76,12.54,12.55,72600,0.0,0
2016-02-24,12.45,12.63,12.33,12.59,77600,0.0,0
2016-02-25,12.6,12.9,12.6,12.84,167700,0.0,0
2016-02-26,12.92,12.97,12.78,12.86,76300,0.0,0
2016-02-29,12.91,12.95,12.42,12.75,106100,0.0,0
2016-03-01,12.77,13.01,12.74,12.76,98900,0.0,0
2016-03-02,12.77,13.01,12.65,12.77,83500,0.0,0
2016-03-03,12.78,12.98,12.74,12.96,63500,0.0,0
2016-03-04,12.98,13.02,12.65,12.77,98600,0.0,0
2016-03-07,12.74,12.98,12.74,12.81,81700,0.0,0
2016-03-08,12.78,12.89,12.69,12.69,88200,0.0,0
2016-03-09,12.77,12.8,12.64,12.7,42800,0.0,0
2016-03-10,12.7,12.8,12.5,12.55,56800,0.0,0
2016-03-11,12.58,12.72,12.56,12.72,109600,0.0,0
2016-03-14,12.68,12.73,12.66,12.69,56600,0.0,0
2016-03-15,12.64,12.77,12.63,12.65,60100,0.0,0
2016-03-16,12.66,12.73,12.51,12.6,61100,0.0,0
2016-03-17,12.56,12.75,12.55,12.69,98900,0.0,0
2016-03-18,12.73,12.92,12.67,12.72,101400,0.0,0
2016-03-21,12.72,12.72,12.63,12.67,62000,0.0,0
2016-03-22,12.6,12.69,12.46,12.5,60000,0.0,0
2016-03-23,12.5,12.55,12.42,12.45,66100,0.0,0
2016-03-24,12.4,12.41,12.25,12.36,70700,0.0,0
2016-03-28,12.41,12.48,12.29,12.39,48200,0.0,0
2016-03-29,12.36,12.61,12.27,12.53,67900,0.0,0
2016-03-30,12.55,12.7,12.53,12.61,50100,0.0,0
2016-03-31,12.59,12.64,12.46,12.59,213500,0.0,0
2016-04-01,12.5,12.99,12.49,12.98,99400,0.0,0
2016-04-04,12.94,12.94,12.63,12.65,55300,0.0,0
2016-04-05,12.57,12.75,12.43,12.65,57100,0.0,0
2016-04-06,12.62,12.68,12.49,12.64,66300,0.0,0
2016-04-07,12.57,12.58,12.39,12.44,69800,0.0,0
2016-04-08,12.47,12.59,12.25,12.33,38200,0.0,0
2016-04-11,12.35,12.46,12.26,12.28,45600,0.0,0
2016-04-12,12.25,12.38,12.17,12.35,33900,0.0,0
2016-04-13,12.39,12.7,12.39,12.68,56400,0.0,0
2016-04-14,12.65,12.91,12.65,12.75,35000,0.0,0
2016-04-15,12.72,12.89,12.72,12.8,25200,0.0,0
2016-04-18,12.82,12.91,12.71,12.84,36700,0.0,0
2016-04-19,12.86,12.94,12.81,12.88,25900,0.0,0
2016-04-20,12.86,12.98,12.81,12.92,25600,0.0,0
2016-04-21,12.9,12.98,12.78,12.84,33800,0.0,0
2016-04-22,12.86,12.89,12.71,12.86,42900,0.0,0
2016-04-25,12.43,12.76,12.43,12.6,69600,0.0,0
2016-04-26,12.69,13.03,12.57,12.96,78500,0.0,0
2016-04-27,12.98,13.1,12.77,13.07,60500,0.0,0
2016-04-28,13.05,13.2,12.99,13.12,87300,0.0,0
2016-04-29,13.1,13.16,12.96,13.11,74700,0.0,0
2016-05-02,13.18,13.25,12.99,13.17,45800,0.0,0
2016-05-03,13.08,13.26,12.87,12.9,33200,0.0,0
2016-05-04,12.83,12.99,12.78,12.85,40600,0.08,0
2016-05-05,12.89,12.98,12.78,12.79,40100,0.0,0
2016-05-06,12.83,12.99,12.64,12.74,34000,0.0,0
2016-05-09,12.79,12.99,12.78,12.8,31400,0.0,0
2016-05-10,12.84,13.1,12.8,12.84,27800,0.0,0
2016-05-11,12.83,12.85,12.78,12.8,29100,0.0,0
2016-05-12,12.82,12.9,12.71,12.79,37600,0.0,0
2016-05-13,12.77,12.91,12.77,12.8,21700,0.0,0
2016-05-16,12.87,13.05,12.79,12.81,29600,0.0,0
2016-05-17,12.78,12.83,12.67,12.71,76700,0.0,0
2016-05-18,12.68,13.06,12.68,12.98,43000,0.0,0
2016-05-19,12.9,12.9,12.69,12.82,26200,0.0,0
2016-05-20,12.87,13.05,12.81,12.88,35100,0.0,0
2016-05-23,12.85,12.95,12.79,12.84,23100,0.0,0
2016-05-24,12.98,13.14,12.98,13.08,28000,0.0,0
2016-05-25,13.1,13.18,13.0,13.12,35600,0.0,0
2016-05-26,13.0,13.15,12.98,12.99,23900,0.0,0
2016-05-27,13.05,13.08,12.98,13.05,16500,0.0,0
2016-05-31,13.12,13.12,12.78,12.91,70100,0.0,0
2016-06-01,12.91,13.14,12.88,13.1,46600,0.0,0
2016-06-02,13.04,13.15,12.94,13.15,24400,0.0,0
2016-06-03,13.1,13.1,12.91,13.07,30000,0.0,0
2016-06-06,13.05,13.19,13.05,13.14,39400,0.0,0
2016-06-07,13.06,13.17,13.05,13.05,16100,0.0,0
2016-06-08,13.04,13.21,13.04,13.18,64500,0.0,0
2016-06-09,12.99,13.17,12.99,13.06,30500,0.0,0
2016-06-10,12.99,13.12,12.99,13.05,20800,0.0,0
