Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,15.92,16.32,14.89,15.44,629999,0,0
2015-11-17,15.89,16.58,15.04,15.25,804920,0,0
2015-11-18,15.55,15.78,15.2,15.51,661973,0,0
2015-11-19,15.55,15.56,14.9,15.11,576537,0,0
2015-11-20,15.37,15.9,15.17,15.8,605533,0,0
2015-11-23,15.94,16.0,15.62,15.88,365290,0,0
2015-11-24,15.76,16.28,15.67,16.0,385196,0,0
2015-11-25,15.95,16.06,15.64,15.71,486681,0,0
2015-11-27,15.72,15.85,15.54,15.61,242788,0,0
2015-11-30,15.64,16.03,15.39,15.62,453415,0,0
2015-12-01,15.8,15.8,15.38,15.52,450791,0,0
2015-12-02,15.54,15.97,15.27,15.54,530268,0,0
2015-12-03,15.53,15.67,14.88,14.88,688180,0,0
2015-12-04,15.07,15.55,14.48,14.68,457040,0,0
2015-12-07,14.7,14.7,13.98,14.5,802637,0,0
2015-12-08,14.41,14.92,14.2,14.38,519054,0,0
2015-12-09,14.65,15.08,14.49,14.89,460074,0,0
2015-12-10,15.01,15.92,14.89,15.76,843847,0,0
2015-12-11,15.39,16.11,15.39,15.73,899817,0,0
2015-12-14,15.65,15.77,15.39,15.51,583823,0,0
2015-12-15,15.65,15.81,15.45,15.55,300704,0,0
2015-12-16,15.65,16.18,15.59,16.07,468330,0,0
2015-12-17,16.06,16.11,15.62,15.8,366916,0,0
2015-12-18,15.85,16.05,15.68,15.81,1260256,0,0
2015-12-21,15.93,16.13,15.76,15.92,388250,0,0
2015-12-22,15.94,16.0,15.36,15.63,432883,0,0
2015-12-23,15.65,16.33,15.65,16.28,325611,0,0
2015-12-24,16.33,16.45,16.04,16.11,167807,0,0
2015-12-28,15.99,16.27,15.7,15.91,223238,0,0
2015-12-29,15.93,16.32,15.93,16.23,294465,0,0
2015-12-30,16.19,16.19,15.78,16.03,228626,0,0
2015-12-31,16.0,16.23,15.6,15.61,359352,0,0
2016-01-04,15.42,15.44,15.09,15.27,470127,0,0
2016-01-05,15.31,15.58,14.89,15.18,362912,0,0
2016-01-06,14.96,15.17,14.69,14.85,584866,0,0
2016-01-07,14.62,14.9,13.93,13.98,507950,0,0
2016-01-08,14.02,14.24,13.64,13.79,597571,0,0
2016-01-11,13.82,14.21,13.7,14.06,440869,0,0
2016-01-12,14.13,14.23,13.38,13.95,652315,0,0
2016-01-13,14.0,14.14,13.57,13.67,539072,0,0
2016-01-14,13.71,13.71,12.78,13.35,810700,0,0
2016-01-15,12.99,13.32,12.34,12.75,710812,0,0
2016-01-19,12.83,13.1,12.07,13.06,782033,0,0
2016-01-20,12.89,12.89,12.04,12.5,686315,0,0
2016-01-21,12.59,13.15,12.49,12.62,603048,0,0
2016-01-22,12.73,13.32,12.4,12.59,649888,0,0
2016-01-25,12.58,12.6,11.95,12.16,525971,0,0
2016-01-26,12.16,12.35,12.05,12.15,631554,0,0
2016-01-27,12.1,12.31,11.86,12.0,1042666,0,0
2016-01-28,12.13,12.88,11.65,11.74,1186184,0,0
2016-01-29,11.82,11.94,11.4,11.78,723756,0,0
2016-02-01,11.44,12.29,11.41,12.13,908979,0,0
2016-02-02,12.09,12.18,11.68,11.75,511485,0,0
2016-02-03,11.81,11.95,11.49,11.74,398659,0,0
2016-02-04,11.78,12.14,11.73,11.95,446185,0,0
2016-02-05,11.94,11.97,11.43,11.46,363688,0,0
2016-02-08,11.33,11.38,10.85,11.32,928840,0,0
2016-02-09,11.23,11.31,10.61,11.02,750383,0,0
2016-02-10,11.12,11.38,11.01,11.05,425105,0,0
2016-02-11,10.92,11.22,10.76,11.05,529178,0,0
2016-02-12,11.15,11.34,10.9,11.1,443204,0,0
2016-02-16,11.27,11.51,11.11,11.31,542680,0,0
2016-02-17,11.33,11.73,11.33,11.66,673762,0,0
2016-02-18,11.66,11.96,11.44,11.87,759689,0,0
2016-02-19,11.86,11.98,11.49,11.91,573298,0,0
2016-02-22,12.0,12.16,11.7,12.06,886743,0,0
2016-02-23,12.11,12.2,11.81,11.85,550383,0,0
2016-02-24,11.79,11.98,11.61,11.77,523586,0,0
2016-02-25,11.94,12.83,11.73,12.6,1120674,0,0
2016-02-26,12.37,13.21,12.1,13.05,1252006,0,0
2016-02-29,13.1,13.46,12.94,12.95,605133,0,0
2016-03-01,13.0,13.52,13.0,13.39,1161177,0,0
2016-03-02,13.44,13.58,13.14,13.38,1536090,0,0
2016-03-03,13.25,13.61,13.21,13.54,710794,0,0
2016-03-04,13.5,13.86,13.42,13.76,779485,0,0
2016-03-07,13.68,13.96,13.62,13.71,825408,0,0
2016-03-08,13.63,13.7,12.13,13.54,1462895,0,0
2016-03-09,13.63,13.96,13.46,13.7,781099,0,0
2016-03-10,13.96,14.15,13.75,13.87,756335,0,0
2016-03-11,13.91,14.11,13.85,14.1,493405,0,0
2016-03-14,14.13,14.16,13.12,13.73,3623431,0,0
2016-03-15,13.61,14.09,13.47,13.85,967232,0,0
2016-03-16,13.76,14.12,13.35,13.61,1192964,0,0
2016-03-17,13.66,14.04,13.53,13.9,1294496,0,0
2016-03-18,14.02,14.15,13.59,13.74,3415605,0,0
2016-03-21,13.84,13.89,13.22,13.68,4742589,0,0
2016-03-22,13.6,13.79,13.31,13.69,1318425,0,0
2016-03-23,13.72,13.99,13.63,13.77,2395007,0,0
2016-03-24,13.81,14.04,13.61,13.93,1474735,0,0
2016-03-28,13.9,14.11,13.63,13.87,2100781,0,0
2016-03-29,13.8,14.14,13.77,14.09,1796407,0,0
2016-03-30,14.18,14.21,13.92,14.07,903655,0,0
2016-03-31,14.04,14.44,14.03,14.44,1292580,0,0
2016-04-01,14.23,14.36,13.49,13.78,3533312,0,0
2016-04-04,13.8,13.98,13.5,13.56,1004360,0,0
2016-04-05,13.48,13.98,13.23,13.41,1280691,0,0
2016-04-06,13.37,13.53,13.2,13.35,739364,0,0
2016-04-07,13.22,13.41,13.01,13.12,1362926,0,0
2016-04-08,13.17,13.38,13.06,13.29,2323611,0,0
2016-04-11,13.34,13.57,13.16,13.5,1519148,0,0
2016-04-12,13.49,13.68,13.04,13.46,1243732,0,0
2016-04-13,13.53,13.88,13.47,13.87,1537665,0,0
2016-04-14,13.86,14.29,13.81,14.19,1728040,0,0
2016-04-15,14.1,14.12,13.68,13.71,1348434,0,0
2016-04-18,13.69,13.99,13.49,13.55,1095847,0,0
2016-04-19,13.52,14.15,13.41,13.97,2376313,0,0
2016-04-20,13.96,14.12,13.57,13.58,1727617,0,0
2016-04-21,13.55,13.86,13.51,13.58,1600707,0,0
2016-04-22,13.55,14.44,13.34,13.48,1695634,0,0
2016-04-25,13.41,14.05,13.41,13.79,1374664,0,0
2016-04-26,13.78,13.78,13.27,13.45,1643883,0,0
2016-04-27,13.42,13.78,13.31,13.76,1077457,0,0
2016-04-28,13.61,13.8,13.36,13.66,2070299,0,0
2016-04-29,13.7,14.18,13.41,14.12,9723718,0,0
2016-05-02,14.05,14.7,13.9,14.68,3797767,0,0
2016-05-03,14.5,14.72,14.39,14.68,2498320,0,0
2016-05-04,14.51,14.9,14.47,14.71,2069999,0,0
2016-05-05,14.72,14.85,14.33,14.42,1763206,0,0
2016-05-06,14.46,14.73,14.32,14.47,1306069,0,0
2016-05-09,14.51,14.65,14.16,14.23,1217997,0,0
2016-05-10,14.41,14.74,14.02,14.37,2339400,0,0
2016-05-11,14.39,14.58,14.18,14.24,885217,0,0
2016-05-12,14.09,14.23,13.96,13.97,1874981,0,0
2016-05-13,13.94,15.14,13.54,14.47,18745704,0,0
2016-05-16,14.39,14.93,14.06,14.93,9764684,0,0
2016-05-17,14.75,14.88,14.42,14.58,6516812,0,0
2016-05-18,14.4,14.52,14.14,14.23,3644059,0,0
2016-05-19,13.99,14.15,13.28,13.53,5671461,0,0
2016-05-20,13.18,13.54,11.79,13.16,4856368,0,0
2016-05-23,12.97,13.21,12.83,13.05,5347820,0,0
2016-05-24,12.92,13.53,12.83,13.44,4781497,0,0
2016-05-25,13.5,14.06,13.45,13.99,4593663,0,0
2016-05-26,14.07,14.1,13.71,13.9,3194252,0,0
