Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,92.43,93.08,91.56,92.44,1599200,0.0,0
2015-11-17,92.16,92.98,91.63,91.99,1848500,0.0,0
2015-11-18,92.09,92.43,91.22,92.17,3705300,0.0,0
2015-11-19,92.47,93.19,91.38,92.94,3985900,0.0,0
2015-11-20,101.39,103.03,96.52,98.45,6622300,0.0,0
2015-11-23,97.8,99.05,96.27,96.38,2915900,0.0,0
2015-11-24,95.44,96.11,93.22,95.17,3368000,0.0,0
2015-11-25,95.38,96.23,94.86,95.26,1928500,0.0,0
2015-11-27,95.49,96.12,95.07,95.57,1109400,0.0,0
2015-11-30,95.76,96.12,94.45,95.59,4655000,0.0,0
2015-12-01,96.3,97.86,95.98,97.11,2322400,0.0,0
2015-12-02,96.67,97.12,94.69,94.92,1721800,0.0,0
2015-12-03,94.88,95.31,91.53,91.95,2878800,0.0,0
2015-12-04,93.43,94.31,92.28,94.09,2232400,0.0,0
2015-12-07,94.18,94.46,93.72,94.28,1721700,0.0,0
2015-12-08,93.32,94.45,93.01,93.8,1453200,0.0,0
2015-12-09,93.6,95.1,92.86,93.22,1571200,0.0,0
2015-12-10,93.51,94.02,92.5,92.53,1760300,0.0,0
2015-12-11,91.45,92.45,91.44,91.7,2269800,0.0,0
2015-12-14,91.93,92.47,90.56,91.87,2340300,0.0,0
2015-12-15,92.99,94.79,92.43,93.47,1747100,0.0,0
2015-12-16,93.93,94.58,92.54,94.49,1326300,0.0,0
2015-12-17,94.74,95.39,93.37,93.37,1596600,0.0,0
2015-12-18,92.73,93.15,90.5,91.17,4537700,0.0,0
2015-12-21,91.6,92.24,90.32,91.28,1322400,0.0,0
2015-12-22,92.03,92.79,91.15,92.74,1060200,0.0,0
2015-12-23,93.26,93.69,92.79,93.49,761800,0.0,0
2015-12-24,93.4,93.55,92.82,93.1,327200,0.0,0
2015-12-28,92.63,93.73,92.46,93.7,693000,0.0,0
2015-12-29,94.09,95.39,94.09,94.77,864000,0.0,0
2015-12-30,94.55,94.84,93.7,93.76,660900,0.0,0
2015-12-31,93.33,93.81,92.04,92.06,1189500,0.0,0
2016-01-04,89.86,90.52,88.85,90.04,2809000,0.0,0
2016-01-05,90.95,91.7,90.23,91.54,1859400,0.0,0
2016-01-06,90.09,92.04,89.83,91.86,2433200,0.0,0
2016-01-07,90.43,92.28,89.23,90.38,2477700,0.3,0
2016-01-08,90.86,91.87,89.02,89.13,2004700,0.0,0
2016-01-11,89.78,90.2,89.13,89.96,1889900,0.0,0
2016-01-12,90.62,91.07,89.53,90.77,1300800,0.0,0
