Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,22.1,22.1,21.97,21.97,1500,0.0,0
2015-11-17,21.95,21.95,21.95,21.95,2000,0.0,0
2015-11-18,22.02,22.04,21.96,21.96,4300,0.0,0
2015-11-19,21.95,22.01,21.95,21.98,900,0.0,0
2015-11-20,22.04,22.06,22.0,22.01,4800,0.0,0
2015-11-23,22.06,22.07,21.99,22.0,7600,0.0,0
2015-11-24,22.02,22.04,22.02,22.04,900,0.0,0
2015-11-25,22.04,22.13,22.02,22.13,1500,0.0,0
2015-11-27,22.02,22.02,22.01,22.01,2100,0.0,0
2015-11-30,22.04,22.09,21.98,21.99,125500,0.0,0
2015-12-01,22.12,22.12,21.99,22.02,7000,0.0,0
2015-12-02,21.95,21.95,21.95,21.95,400,0.0,0
2015-12-03,21.83,21.96,21.83,21.95,4800,0.0,0
2015-12-04,22.14,22.14,21.89,21.89,800,0.0,0
2015-12-07,21.92,22.05,21.91,21.92,1800,0.0,0
2015-12-08,22.1,22.1,21.83,21.83,63700,0.0,0
2015-12-09,21.85,21.85,21.85,21.85,900,0.0,0
2015-12-10,22.01,22.01,21.84,21.84,1800,0.0,0
2015-12-11,22.06,22.06,21.84,21.84,2700,0.0,0
2015-12-14,22.02,22.02,21.71,21.71,12600,0.0,0
2015-12-15,21.79,21.89,21.46,21.78,23500,0.0,0
2015-12-16,21.88,21.88,21.68,21.68,2700,0.0,0
2015-12-17,21.7,21.71,21.66,21.66,2000,0.0,0
2015-12-18,21.76,21.76,21.66,21.66,1400,0.0,0
2015-12-21,21.88,21.91,21.76,21.88,3900,0.0,0
2015-12-22,21.79,21.9,21.79,21.9,1400,0.0,0
2015-12-23,21.87,21.87,21.77,21.8,3700,0.0,0
2015-12-24,21.8,21.8,21.8,21.8,0,0.0,0
2015-12-28,21.75,21.75,21.74,21.75,4300,0.0,0
2015-12-29,21.83,21.88,21.83,21.88,600,0.0,0
2015-12-30,21.73,21.76,21.73,21.74,4000,0.0,0
2015-12-31,21.76,21.77,21.74,21.77,3600,0.0,0
2016-01-04,21.85,21.93,21.78,21.78,2000,0.0,0
2016-01-05,21.83,21.83,21.7,21.76,1400,0.0,0
2016-01-06,21.91,21.91,21.63,21.63,1900,0.0,0
2016-01-07,21.7,21.7,21.7,21.7,1400,0.0,0
2016-01-08,21.77,21.77,21.7,21.7,700,0.0,0
2016-01-11,21.8,21.8,21.66,21.66,800,0.0,0
2016-01-12,21.69,21.7,21.55,21.55,1500,0.0,0
2016-01-13,21.61,21.62,21.56,21.62,2200,0.0,0
2016-01-14,21.69,21.69,21.51,21.54,1000,0.0,0
2016-01-15,21.52,21.66,21.52,21.57,3700,0.0,0
2016-01-19,21.54,21.54,21.54,21.54,1800,0.0,0
2016-01-20,21.48,21.49,21.47,21.47,2300,0.0,0
2016-01-21,21.56,21.62,21.46,21.5,2100,0.0,0
2016-01-22,21.47,21.5,21.47,21.47,3600,0.0,0
2016-01-25,21.46,21.52,21.4,21.43,3600,0.0,0
2016-01-26,21.58,21.58,21.51,21.51,900,0.0,0
2016-01-27,21.54,21.62,21.54,21.59,2100,0.0,0
2016-01-28,21.59,21.59,21.49,21.49,18000,0.0,0
2016-01-29,21.53,21.53,21.46,21.51,2400,0.0,0
2016-02-01,22.02,22.02,21.49,21.57,2900,0.0,0
2016-02-02,21.5,21.51,21.43,21.43,3600,0.0,0
2016-02-03,21.39,21.49,21.39,21.45,2800,0.0,0
2016-02-04,21.42,21.6,21.42,21.51,6200,0.0,0
2016-02-05,21.52,21.55,21.2,21.51,2600,0.0,0
2016-02-08,21.51,21.51,21.37,21.38,9400,0.0,0
2016-02-09,21.34,21.39,21.3,21.3,3900,0.0,0
2016-02-10,21.27,21.43,21.27,21.34,8900,0.0,0
2016-02-11,21.43,21.54,21.35,21.42,4800,0.0,0
2016-02-12,21.57,21.57,21.57,21.57,600,0.0,0
2016-02-16,21.3,21.6,21.3,21.59,8700,0.0,0
2016-02-17,21.44,21.66,21.44,21.66,700,0.0,0
2016-02-18,21.72,21.72,21.58,21.65,3000,0.0,0
2016-02-19,21.79,21.79,21.56,21.56,600,0.0,0
2016-02-22,21.68,21.68,21.67,21.68,5800,0.0,0
2016-02-23,21.72,21.72,21.57,21.57,1600,0.0,0
2016-02-24,21.49,21.67,21.49,21.67,300,0.0,0
2016-02-25,21.96,21.96,21.96,21.96,200,0.0,0
2016-02-26,21.96,21.96,21.96,21.96,100,0.0,0
