Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-26,10.0,10.01,9.95,10.0,4620537,0,0
2016-05-27,10.01,10.01,10.0,10.0,42132,0,0
2016-05-31,10.05,10.05,10.0,10.0,23739,0,0
2016-06-01,10.0,10.01,10.0,10.01,71653,0,0
2016-06-02,10.0,10.04,10.0,10.01,4550,0,0
2016-06-03,10.03,10.1,10.01,10.07,1100,0,0
2016-06-06,10.04,10.19,10.02,10.04,3700,0,0
2016-06-07,10.29,10.29,10.0,10.01,8425,0,0
2016-06-08,10.02,10.07,10.01,10.01,2069,0,0
2016-06-09,10.14,10.14,10.02,10.04,3313,0,0
2016-06-10,10.04,10.07,10.01,10.07,1100,0,0
2016-06-13,10.03,10.04,10.0,10.04,500,0,0
2016-06-14,10.0,10.06,10.0,10.06,2800,0,0
2016-06-15,10.06,10.06,10.06,10.06,100,0,0
2016-06-16,10.0,10.05,10.0,10.05,1420,0,0
2016-06-17,10.06,10.06,10.06,10.06,200,0,0
2016-06-20,10.05,10.05,10.0,10.0,14400,0,0
2016-06-21,10.01,10.01,10.0,10.01,25200,0,0
2016-06-22,10.0,10.05,10.0,10.05,11650,0,0
2016-06-23,10.04,10.04,10.04,10.04,120,0,0
2016-06-24,10.0,10.04,9.99,10.0,152079,0,0
2016-06-27,10.0,10.0,10.0,10.0,0,0,0
2016-06-28,10.0,10.0,10.0,10.0,0,0,0
2016-06-29,10.05,10.05,10.04,10.04,200,0,0
2016-06-30,10.04,10.04,10.04,10.04,0,0,0
2016-07-01,10.04,10.04,10.04,10.04,0,0,0
2016-07-05,9.98,10.05,9.98,10.05,300,0,0
2016-07-06,10.05,10.05,10.03,10.03,205,0,0
2016-07-07,10.05,10.05,10.0,10.01,10901,0,0
2016-07-08,10.01,10.05,10.0,10.01,11251,0,0
2016-07-11,10.04,10.05,10.02,10.05,1520,0,0
2016-07-12,10.05,10.05,10.05,10.05,0,0,0
2016-07-13,10.05,10.05,10.05,10.05,0,0,0
2016-07-14,10.0,10.08,10.0,10.08,361,0,0
2016-07-15,10.09,10.09,10.06,10.06,200,0,0
2016-07-18,10.0,10.12,10.0,10.1,566,0,0
2016-07-19,10.03,10.03,9.99,9.99,700,0,0
2016-07-20,10.06,10.06,10.0,10.04,12879,0,0
2016-07-21,10.04,10.04,10.04,10.04,0,0,0
2016-07-22,10.04,10.07,10.04,10.07,1200,0,0
2016-07-25,10.05,10.05,10.05,10.05,200,0,0
2016-07-26,10.05,10.05,10.05,10.05,0,0,0
2016-07-27,10.13,10.13,10.13,10.13,400,0,0
2016-07-28,10.13,10.15,10.13,10.15,200,0,0
2016-07-29,10.15,10.15,10.15,10.15,0,0,0
2016-08-01,10.16,10.16,10.16,10.16,200,0,0
2016-08-02,10.16,10.16,10.16,10.16,0,0,0
2016-08-03,10.16,10.16,10.16,10.16,0,0,0
2016-08-04,10.16,10.16,10.16,10.16,0,0,0
2016-08-05,10.1,10.1,9.96,10.04,3400,0,0
2016-08-08,10.04,10.04,10.04,10.04,0,0,0
2016-08-09,10.14,10.14,10.03,10.03,3000,0,0
2016-08-10,10.01,10.02,9.97,10.02,87900,0,0
2016-08-11,10.06,10.06,10.05,10.05,10900,0,0
2016-08-12,10.0,10.0,10.0,10.0,2299,0,0
2016-08-15,10.0,10.0,10.0,10.0,0,0,0
2016-08-16,10.15,10.15,10.15,10.15,500,0,0
2016-08-17,10.15,10.15,10.15,10.15,0,0,0
2016-08-18,10.15,10.15,10.15,10.15,0,0,0
2016-08-19,10.2,10.41,10.2,10.35,1500,0,0
2016-08-22,10.35,10.35,10.35,10.35,0,0,0
2016-08-23,10.35,10.35,10.35,10.35,0,0,0
2016-08-24,10.35,10.35,10.35,10.35,0,0,0
2016-08-25,10.35,10.35,10.35,10.35,0,0,0
2016-08-26,10.35,10.35,10.35,10.35,0,0,0
2016-08-29,10.35,10.35,10.35,10.35,0,0,0
2016-08-30,10.35,10.35,10.35,10.35,0,0,0
2016-08-31,10.09,10.09,10.09,10.09,500,0,0
2016-09-01,10.09,10.09,10.09,10.09,0,0,0
2016-09-02,10.07,10.07,10.01,10.01,2716,0,0
2016-09-06,11.01,11.01,10.03,10.09,2851,0,0
2016-09-07,10.15,10.25,10.15,10.25,1582,0,0
2016-09-08,9.96,10.15,9.96,10.09,3378,0,0
2016-09-09,10.09,10.09,10.09,10.09,0,0,0
2016-09-12,10.09,10.09,10.09,10.09,0,0,0
2016-09-13,10.19,10.19,10.19,10.19,100,0,0
2016-09-14,10.21,10.21,10.09,10.19,5922,0,0
2016-09-15,10.22,10.22,10.03,10.19,203800,0,0
2016-09-16,10.21,10.21,10.21,10.21,500,0,0
2016-09-19,10.26,10.26,10.1,10.23,4500,0,0
2016-09-20,12.28,12.28,10.24,10.28,1960,0,0
2016-09-21,10.28,10.28,10.28,10.28,0,0,0
2016-09-22,10.28,10.28,10.28,10.28,0,0,0
2016-09-23,10.04,10.27,10.04,10.27,1300,0,0
2016-09-26,10.27,10.27,10.27,10.27,0,0,0
2016-09-27,10.27,10.27,10.27,10.27,0,0,0
2016-09-28,10.3,10.31,10.2,10.25,121874,0,0
2016-09-29,10.25,10.25,10.25,10.25,0,0,0
2016-09-30,10.25,10.25,10.25,10.25,0,0,0
2016-10-03,10.25,10.25,10.21,10.24,400,0,0
2016-10-04,10.26,10.26,10.17,10.25,400,0,0
2016-10-05,10.21,10.21,10.21,10.21,900,0,0
2016-10-06,10.21,10.21,10.21,10.21,0,0,0
2016-10-07,10.21,10.21,10.21,10.21,0,0,0
2016-10-10,10.24,10.29,10.24,10.29,1300,0,0
2016-10-11,10.29,10.29,10.29,10.29,0,0,0
2016-10-12,10.29,10.29,10.29,10.29,0,0,0
