Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,13.71,14.23,13.5,14.05,93700,0.0,0
2015-11-17,13.98,14.17,13.77,13.9,55100,0.0,0
2015-11-18,13.99,14.3,13.88,14.02,47200,0.0,0
2015-11-19,14.07,14.41,13.85,14.17,23500,0.0,0
2015-11-20,14.26,15.17,14.24,14.6,108700,0.0,0
2015-11-23,14.63,15.05,14.23,14.41,97300,0.0,0
2015-11-24,14.52,14.82,14.29,14.52,31900,0.0,0
2015-11-25,14.77,14.97,14.61,14.79,52300,0.0,0
2015-11-27,14.61,15.15,14.61,14.86,14300,0.0,0
2015-11-30,14.87,15.54,14.68,15.38,97600,0.0,0
2015-12-01,15.42,16.09,14.63,14.81,17200,0.0,0
2015-12-02,14.79,14.85,13.85,13.99,35200,0.0,0
2015-12-03,14.13,14.33,13.88,14.0,43500,0.0,0
2015-12-04,13.96,14.79,13.95,14.23,50500,0.0,0
2015-12-07,14.22,14.22,13.64,13.73,285300,0.0,0
2015-12-08,13.84,13.84,12.76,12.84,331800,0.0,0
2015-12-09,12.91,13.46,12.45,13.08,181900,0.0,0
2015-12-10,13.24,13.24,12.66,12.72,70800,0.0,0
2015-12-11,12.66,12.84,12.18,12.67,220100,0.0,0
2015-12-14,12.81,12.86,12.32,12.54,111700,0.0,0
2015-12-15,12.9,13.49,12.52,12.89,63800,0.0,0
2015-12-16,13.1,13.77,12.59,13.68,89800,0.0,0
2015-12-17,13.76,14.48,12.98,13.64,113100,0.0,0
2015-12-18,13.5,13.91,13.0,13.5,268300,0.0,0
2015-12-21,13.57,13.81,13.1,13.24,73300,0.0,0
2015-12-22,13.35,14.01,13.0,13.63,40900,0.0,0
2015-12-23,13.82,14.09,13.52,14.06,41400,0.0,0
2015-12-24,14.12,14.46,13.98,14.24,26700,0.0,0
2015-12-28,14.22,14.26,13.67,14.08,47100,0.01,0
2015-12-29,14.03,14.13,13.81,13.99,34600,0.0,0
2015-12-30,13.99,13.99,13.45,13.74,28900,0.0,0
2015-12-31,13.64,13.91,13.59,13.84,45700,0.0,0
2016-01-04,13.55,13.55,12.75,13.06,70400,0.0,0
2016-01-05,13.06,13.08,12.5,12.9,74000,0.0,0
2016-01-06,12.79,13.06,12.52,12.76,71400,0.0,0
2016-01-07,12.98,12.98,12.42,12.64,52700,0.0,0
2016-01-08,12.74,13.12,11.82,11.83,33300,0.0,0
2016-01-11,12.34,12.34,11.78,12.17,41200,0.0,0
2016-01-12,12.31,13.07,11.87,12.49,71200,0.0,0
2016-01-13,12.98,12.98,11.97,12.29,142400,0.0,0
2016-01-14,12.42,12.58,12.16,12.42,51000,0.0,0
2016-01-15,12.08,12.43,12.0,12.33,67900,0.0,0
2016-01-19,12.37,12.5,12.07,12.28,62000,0.0,0
2016-01-20,12.12,12.8,11.98,12.64,47500,0.0,0
2016-01-21,12.61,13.17,12.58,12.88,46500,0.0,0
2016-01-22,13.06,13.11,12.73,12.86,45300,0.0,0
2016-01-25,12.77,12.77,12.33,12.36,36600,0.0,0
2016-01-26,12.48,13.03,12.48,12.75,14600,0.0,0
2016-01-27,12.72,12.98,12.59,12.75,51500,0.0,0
2016-01-28,13.62,14.04,13.41,13.48,66800,0.0,0
2016-01-29,13.77,13.88,13.51,13.87,49800,0.0,0
2016-02-01,13.74,14.12,13.74,14.0,30500,0.0,0
2016-02-02,13.84,13.84,13.1,13.32,22600,0.0,0
2016-02-03,13.45,13.51,13.04,13.45,34900,0.0,0
2016-02-04,13.53,13.98,13.22,13.77,20000,0.0,0
2016-02-05,13.76,13.79,13.42,13.42,70200,0.0,0
2016-02-08,13.24,13.57,12.95,13.44,25600,0.0,0
2016-02-09,13.12,13.29,12.98,13.2,25500,0.0,0
2016-02-10,13.34,13.59,13.24,13.24,28700,0.0,0
2016-02-11,13.11,13.4,13.11,13.29,39200,0.0,0
2016-02-12,13.51,13.51,12.46,12.64,84900,0.0,0
2016-02-16,13.0,13.43,13.0,13.24,16300,0.0,0
2016-02-17,13.3,13.35,12.78,13.25,18700,0.0,0
2016-02-18,13.23,13.69,12.85,13.33,41200,0.0,0
2016-02-19,13.22,13.55,12.78,13.1,43500,0.0,0
2016-02-22,13.45,13.5,13.06,13.36,25900,0.0,0
2016-02-23,13.3,13.35,12.62,12.67,35600,0.0,0
2016-02-24,12.5,13.02,12.23,12.92,16600,0.0,0
2016-02-25,12.93,13.25,12.72,12.8,27700,0.0,0
2016-02-26,12.79,13.12,12.51,12.76,30300,0.02,0
2016-02-29,12.98,13.47,12.76,12.92,73600,0.0,0
2016-03-01,12.71,13.27,12.56,12.73,28600,0.0,0
2016-03-02,12.78,12.78,12.47,12.64,26500,0.0,0
2016-03-03,12.68,12.85,12.52,12.64,36300,0.0,0
2016-03-04,12.69,12.73,12.47,12.53,23500,0.0,0
2016-03-07,12.49,12.69,12.49,12.69,17400,0.0,0
2016-03-08,12.53,12.73,12.28,12.42,40400,0.0,0
2016-03-09,12.41,12.77,12.41,12.7,26700,0.0,0
2016-03-10,12.68,13.03,12.65,12.9,35800,0.0,0
2016-03-11,13.05,13.23,12.63,12.89,25200,0.0,0
2016-03-14,12.8,13.53,12.8,13.48,44100,0.0,0
2016-03-15,13.22,13.35,13.12,13.16,20500,0.0,0
2016-03-16,13.09,14.1,13.09,13.84,66500,0.0,0
2016-03-17,13.86,14.29,13.81,13.92,40300,0.0,0
2016-03-18,14.11,14.71,14.11,14.53,120400,0.0,0
2016-03-21,14.6,15.01,14.53,14.92,74100,0.0,0
2016-03-22,14.73,14.79,14.71,14.74,26000,0.0,0
2016-03-23,14.74,15.0,14.74,14.84,41900,0.0,0
2016-03-24,14.74,14.74,14.47,14.5,9700,0.0,0
2016-03-28,14.52,14.52,13.85,13.85,12000,0.0,0
2016-03-29,13.86,14.05,13.76,13.97,14800,0.0,0
2016-03-30,13.88,14.55,13.88,14.5,14600,0.0,0
2016-03-31,14.23,14.74,14.23,14.64,19100,0.0,0
2016-04-01,14.46,14.74,14.23,14.64,39300,0.0,0
2016-04-04,14.64,14.97,14.64,14.8,35100,0.0,0
2016-04-05,14.62,14.81,14.46,14.61,40600,0.0,0
2016-04-06,14.61,14.81,14.48,14.54,31800,0.0,0
2016-04-07,14.42,14.54,14.13,14.27,31800,0.0,0
2016-04-08,14.29,14.45,14.15,14.17,15300,0.0,0
2016-04-11,14.27,14.57,14.27,14.42,35600,0.0,0
2016-04-12,14.37,14.49,14.21,14.35,78800,0.0,0
2016-04-13,14.4,14.73,14.32,14.47,24800,0.0,0
2016-04-14,14.41,14.74,14.26,14.4,22400,0.0,0
2016-04-15,14.39,14.39,14.29,14.33,16800,0.0,0
2016-04-18,14.32,14.81,14.21,14.73,21800,0.0,0
2016-04-19,14.92,14.94,14.7,14.8,22100,0.0,0
2016-04-20,14.91,14.91,14.65,14.7,18000,0.0,0
2016-04-21,14.77,14.94,14.66,14.73,19400,0.0,0
2016-04-22,14.64,15.16,14.62,14.97,22700,0.0,0
2016-04-25,14.97,14.97,14.73,14.94,11700,0.0,0
2016-04-26,14.98,15.22,14.97,15.16,34500,0.0,0
2016-04-27,14.83,15.32,14.57,15.3,24400,0.0,0
2016-04-28,15.01,15.32,15.01,15.21,46000,0.0,0
2016-04-29,15.17,15.49,14.72,15.36,30800,0.0,0
2016-05-02,14.3,16.74,14.2,15.86,60600,0.0,0
2016-05-03,15.77,15.78,15.24,15.54,44200,0.0,0
2016-05-04,15.41,15.6,15.26,15.39,41000,0.0,0
2016-05-05,15.54,15.94,15.32,15.5,85800,0.0,0
2016-05-06,15.46,15.58,15.39,15.53,21200,0.0,0
2016-05-09,15.53,15.6,15.45,15.6,24200,0.0,0
2016-05-10,15.61,16.14,15.57,15.82,54100,0.0,0
2016-05-11,15.85,15.96,15.56,15.61,23800,0.0,0
2016-05-12,15.69,15.86,15.14,15.2,55800,0.0,0
2016-05-13,15.24,15.48,14.69,15.22,95000,0.0,0
2016-05-16,15.22,15.3,15.1,15.21,33000,0.0,0
2016-05-17,15.13,15.27,14.68,14.74,33900,0.0,0
2016-05-18,14.67,15.13,14.67,14.83,99700,0.0,0
2016-05-19,14.73,15.47,14.44,15.25,169300,0.0,0
2016-05-20,15.25,15.98,14.99,15.59,126300,0.0,0
2016-05-23,15.5,15.98,15.3,15.57,115100,0.0,0
2016-05-24,15.6,15.9,15.32,15.48,130700,0.0,0
2016-05-25,15.44,16.1,15.44,15.91,59500,0.0,0
2016-05-26,15.94,15.98,15.26,15.53,50900,0.0,0
2016-05-27,15.58,15.88,15.58,15.79,36300,0.0,0
2016-05-31,15.87,15.92,15.59,15.75,135400,0.0,0
2016-06-01,15.86,16.38,15.61,16.1,66600,0.0,0
2016-06-02,15.73,15.79,15.51,15.64,81300,0.0,0
2016-06-03,15.62,15.84,15.38,15.62,65500,0.01,0
2016-06-06,15.53,15.71,15.52,15.61,45700,0.0,0
2016-06-07,15.61,15.62,15.22,15.54,46500,0.0,0
2016-06-08,15.6,15.62,15.24,15.54,61100,0.0,0
2016-06-09,15.53,15.62,15.25,15.31,61500,0.0,0
2016-06-10,15.34,15.45,15.18,15.34,144800,0.0,0
2016-06-13,15.13,15.37,14.75,14.94,122700,0.0,0
