Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-21,33.43,33.43,33.43,33.43,300,0,0.0
2016-04-22,32.45,32.64,32.45,32.64,500,0,0.0
2016-04-25,32.64,32.64,32.64,32.64,0,0,0.0
2016-04-26,32.8,32.84,32.8,32.84,200,0,0.0
2016-04-27,32.84,32.84,32.84,32.84,0,0,0.0
2016-04-28,32.84,32.84,32.84,32.84,0,0,0.0
2016-04-29,32.84,32.84,32.84,32.84,0,0,0.0
2016-05-02,32.35,32.35,32.35,32.35,100,0,0.0
2016-05-03,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-04,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-05,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-06,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-09,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-10,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-11,32.35,32.35,32.35,32.35,0,0,0.0
2016-05-12,32.45,32.45,32.45,32.45,200,0,0.0
2016-05-13,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-16,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-17,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-18,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-19,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-20,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-23,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-24,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-25,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-26,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-27,32.45,32.45,32.45,32.45,0,0,0.0
2016-05-31,32.45,32.45,32.45,32.45,0,0,0.0
2016-06-01,31.82,31.82,31.82,31.82,200,0,0.0
2016-06-02,32.45,32.45,32.06,32.06,200,0,0.0
2016-06-03,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-06,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-07,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-08,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-09,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-10,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-13,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-14,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-15,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-16,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-17,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-20,32.06,32.06,32.06,32.06,0,0,0.0
2016-06-21,31.36,31.36,30.48,30.88,11800,0,0.0
2016-06-22,30.84,31.03,29.92,30.31,20100,0,0.0
2016-06-23,30.17,31.27,30.17,31.2,17600,0,0.0
2016-06-24,30.48,31.36,30.18,30.18,19100,0,0.0
2016-06-27,28.12,28.12,28.12,28.12,100,0,0.0
2016-06-28,29.59,30.09,29.59,29.99,600,0,0.0
2016-06-29,30.56,31.47,30.43,31.18,13100,0,0.0
2016-06-30,31.98,31.98,31.98,31.98,100,0,0.0
2016-07-01,32.04,32.09,31.47,32.09,500,0,0.0
2016-07-05,32.09,32.09,32.09,32.09,0,0,0.0
2016-07-06,31.47,32.65,31.27,31.27,3000,0,0.0
2016-07-07,31.81,31.96,31.67,31.92,1000,0,0.0
2016-07-08,32.06,32.25,32.06,32.25,200,0,0.0
2016-07-11,32.55,32.55,32.4,32.4,200,0,0.0
2016-07-12,31.81,32.75,31.81,32.27,4000,0,0.0
2016-07-13,32.27,32.27,32.27,32.27,0,0,0.0
2016-07-14,33.16,33.8,32.5,33.53,8500,0,0.0
2016-07-15,33.1,33.53,32.96,33.14,4900,0,0.0
2016-07-18,33.43,33.95,33.19,33.37,4600,0,0.0
2016-07-19,33.33,33.71,33.33,33.55,4900,0,0.0
2016-07-20,33.82,34.07,33.77,33.97,2300,0,0.0
2016-07-21,33.85,34.17,33.7,34.15,9200,0,0.0
2016-07-22,33.74,34.76,33.74,34.76,6700,0,0.0
2016-07-25,33.89,34.69,33.88,34.46,15800,0,0.0
2016-07-26,34.39,35.89,34.09,35.48,23800,0,0.0
2016-07-27,35.4,36.2,35.06,35.99,21300,0,0.0
2016-07-28,35.55,35.71,35.01,35.01,1300,0,0.0
2016-07-29,35.2,35.89,34.91,35.74,1200,0,0.0
2016-08-01,35.27,35.69,35.11,35.24,1800,0,0.0
2016-08-02,35.24,35.24,35.24,35.24,0,0,0.0
2016-08-03,35.24,35.24,35.24,35.24,0,0,0.0
2016-08-04,35.24,35.24,35.24,35.24,0,0,0.0
2016-08-05,35.24,35.24,35.24,35.24,0,0,0.0
2016-08-08,35.24,35.24,35.24,35.24,0,0,0.0
2016-08-09,33.12,33.12,32.76,32.76,300,0,0.0
2016-08-10,32.76,32.76,32.76,32.76,0,0,0.0
2016-08-11,33.19,33.19,33.19,33.19,400,0,0.0
2016-08-12,33.28,33.28,33.28,33.28,500,0,0.0
2016-08-15,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-16,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-17,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-18,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-19,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-22,33.28,33.28,33.28,33.28,0,0,0.0
2016-08-23,32.86,32.86,32.86,32.86,100,0,0.0
2016-08-24,32.86,32.86,32.86,32.86,0,0,0.0
2016-08-25,32.86,32.86,32.86,32.86,0,0,0.0
2016-08-26,32.86,32.86,32.86,32.86,0,0,0.0
2016-08-29,32.76,32.96,32.76,32.96,200,0,0.0
2016-08-30,33.19,33.19,33.19,33.19,3000,0,0.0
2016-08-31,32.94,32.94,32.69,32.83,3300,0,0.0
2016-09-01,32.83,32.83,32.83,32.83,0,0,0.0
2016-09-02,32.83,32.83,32.83,32.83,0,0,0.0
2016-09-06,32.83,32.83,32.83,32.83,0,0,0.0
2016-09-07,33.58,33.7,33.58,33.7,200,0,0.0
2016-09-08,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-09,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-12,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-13,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-14,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-15,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-16,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-19,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-20,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-21,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-22,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-23,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-26,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-27,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-28,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-29,33.7,33.7,33.7,33.7,0,0,0.0
2016-09-30,33.7,33.7,33.7,33.7,0,0,0.0
2016-10-03,33.7,33.7,33.7,33.7,0,0,0.0
2016-10-04,33.7,33.7,33.7,33.7,0,0,0.0
2016-10-05,33.07,34.23,33.06,34.23,500,0,0.0
2016-10-06,34.23,34.23,34.23,34.23,0,0,0.0
2016-10-07,34.23,34.23,34.23,34.23,0,0,0.0
2016-10-10,34.23,34.23,34.23,34.23,0,0,0.0
