Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-18,27.57,33.38,27.57,29.53,6974800,0,0.0
2016-04-19,29.66,31.81,29.51,31.53,4763300,0,0.0
2016-04-20,31.51,32.08,31.24,31.37,1224400,0,0.0
2016-04-21,31.44,32.03,31.22,31.94,1238200,0,0.0
2016-04-22,31.81,32.42,31.73,31.99,781600,0,0.0
2016-04-25,31.86,32.14,31.67,32.13,1157900,0,0.0
2016-04-26,32.07,32.51,31.89,32.09,504100,0,0.0
2016-04-27,31.84,32.41,31.79,32.26,469200,0,0.0
2016-04-28,33.24,35.09,31.54,31.72,408800,0,0.0
2016-04-29,32.0,32.0,31.26,31.48,749800,0,0.0
2016-05-02,31.49,32.2,31.47,32.1,394300,0,0.0
2016-05-03,31.4,32.15,31.4,31.93,366500,0,0.0
2016-05-04,31.76,32.37,31.24,31.41,255900,0,0.0
2016-05-05,31.54,31.62,31.27,31.44,492500,0,0.0
2016-05-06,31.16,31.8,31.16,31.79,868700,0,0.0
2016-05-09,31.23,31.75,31.23,31.34,337000,0,0.0
2016-05-10,31.65,31.67,31.14,31.54,602100,0,0.0
2016-05-11,31.28,31.53,30.89,31.01,452900,0,0.0
2016-05-12,31.01,31.13,30.59,30.82,248300,0,0.0
2016-05-13,30.86,31.0,29.78,30.52,1866200,0,0.0
2016-05-16,30.3,30.96,30.28,30.61,651300,0,0.0
2016-05-17,30.34,30.89,29.51,30.37,1071000,0,0.0
2016-05-18,30.18,30.87,30.18,30.69,737200,0,0.0
2016-05-19,30.14,30.9,30.09,30.55,2177000,0,0.0
2016-05-20,30.59,31.1,30.5,30.79,775800,0,0.0
2016-05-23,30.72,30.88,30.46,30.5,286600,0,0.0
2016-05-24,30.39,31.14,30.39,30.98,670200,0,0.0
2016-05-25,30.99,31.25,30.77,31.09,557900,0,0.0
2016-05-26,31.02,31.41,30.85,30.88,441900,0,0.0
2016-05-27,30.85,31.21,30.75,31.01,454200,0,0.0
2016-05-31,31.25,31.25,30.78,30.92,1152900,0,0.0
2016-06-01,30.66,31.24,30.18,31.13,1637800,0,0.0
2016-06-02,31.02,31.32,30.98,31.08,503600,0,0.0
2016-06-03,30.99,31.07,28.01,30.94,900200,0,0.0
2016-06-06,30.88,31.35,30.77,30.79,571600,0,0.0
2016-06-07,30.68,31.01,30.6,30.82,453900,0,0.0
