Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,39.9,41.68,39.9,41.66,1761800,0.0,0
2015-11-17,41.56,41.98,41.37,41.77,1433000,0.0,0
2015-11-18,41.74,43.01,41.73,42.92,1671100,0.359,0
2015-11-19,43.01,43.47,42.42,43.11,1142000,0.0,0
2015-11-20,43.26,43.5,42.97,43.29,1086000,0.0,0
2015-11-23,43.39,43.39,42.42,42.58,1197600,0.0,0
2015-11-24,42.47,43.2,41.69,43.15,1579900,0.0,0
2015-11-25,43.12,43.33,42.83,43.08,1092000,0.0,0
2015-11-27,43.09,43.67,42.83,43.57,720900,0.0,0
2015-11-30,43.59,44.34,43.54,44.11,2167000,0.0,0
2015-12-01,44.36,44.48,43.78,44.3,1684600,0.0,0
2015-12-02,43.94,44.22,42.48,42.63,3008300,0.0,0
2015-12-03,42.99,43.33,42.09,42.42,1825600,0.0,0
2015-12-04,42.48,43.39,42.17,43.28,2850100,0.0,0
2015-12-07,43.16,43.38,42.53,42.65,1439200,0.0,0
2015-12-08,42.18,42.35,41.8,42.22,1677900,0.0,0
2015-12-09,42.04,42.28,41.4,41.58,1768100,0.0,0
2015-12-10,41.55,41.73,41.11,41.43,1520100,0.0,0
2015-12-11,41.0,41.5,40.73,40.79,2164100,0.0,0
2015-12-14,40.95,41.1,40.35,40.76,1680100,0.0,0
2015-12-15,41.02,42.3,41.02,42.09,3330600,0.0,0
2015-12-16,42.38,43.22,41.87,43.04,3240400,0.0,0
2015-12-17,43.44,43.76,42.43,42.43,2358100,0.0,0
2015-12-18,42.06,42.33,41.6,42.11,6160200,0.0,0
2015-12-21,42.21,42.83,42.21,42.8,1906600,0.0,0
2015-12-22,43.01,43.18,42.71,43.1,1145400,0.0,0
2015-12-23,43.25,43.45,43.01,43.23,914700,0.0,0
2015-12-24,43.08,43.49,43.08,43.18,371100,0.0,0
2015-12-28,43.05,43.45,42.51,43.43,1793000,0.0,0
2015-12-29,43.62,44.18,43.43,43.97,1042600,0.0,0
2015-12-30,43.86,44.02,43.49,43.62,996900,0.0,0
2015-12-31,43.54,43.72,42.52,42.52,1158100,0.0,0
2016-01-04,41.72,42.11,41.35,42.01,2470200,0.0,0
2016-01-05,42.01,42.31,41.52,41.7,1801400,0.0,0
2016-01-06,40.9,41.43,40.67,41.05,1827900,0.0,0
2016-01-07,40.19,40.85,38.73,38.98,3370500,0.0,0
2016-01-08,39.29,39.29,37.87,37.94,2815300,0.0,0
2016-01-11,38.28,38.51,37.51,37.92,2618800,0.0,0
2016-01-12,38.36,38.56,37.75,38.24,2091400,0.0,0
2016-01-13,38.48,40.08,37.7,37.74,5039100,0.0,0
2016-01-14,37.88,38.85,37.46,38.41,4195300,0.0,0
2016-01-15,37.43,37.74,36.22,37.02,4213400,0.0,0
2016-01-19,38.54,40.3,37.41,38.1,5098500,0.0,0
2016-01-20,39.13,39.83,37.95,39.15,8805300,0.0,0
2016-01-21,39.58,40.58,39.13,39.84,4516000,0.0,0
2016-01-22,40.47,40.7,38.71,39.42,4085300,0.0,0
2016-01-25,39.31,40.06,38.9,39.47,2710700,0.0,0
2016-01-26,39.39,40.92,39.39,40.43,3686300,0.0,0
2016-01-27,40.26,40.73,39.41,39.59,2908500,0.0,0
2016-01-28,39.91,40.08,38.97,39.43,2366800,0.0,0
2016-01-29,39.57,41.03,39.57,40.94,4028100,0.0,0
2016-02-01,40.62,41.12,40.13,40.59,2548800,0.0,0
2016-02-02,39.9,40.09,39.41,39.45,2399400,0.0,0
2016-02-03,38.43,39.49,38.17,38.67,5908000,0.0,0
2016-02-04,38.78,40.02,37.03,39.05,6018900,0.0,0
2016-02-05,38.96,39.93,38.43,38.57,3388400,0.0,0
2016-02-08,38.16,38.37,37.26,37.66,3525700,0.0,0
2016-02-09,37.41,38.42,37.3,37.7,2683300,0.0,0
2016-02-10,37.76,38.15,36.77,36.79,3097100,0.0,0
2016-02-11,36.25,36.54,35.64,36.23,2958100,0.0,0
2016-02-12,36.55,37.05,35.97,36.92,1747000,0.0,0
2016-02-16,37.49,38.44,37.29,38.04,3858600,0.0,0
2016-02-17,38.16,39.02,38.16,38.98,2267300,0.0,0
2016-02-18,39.09,39.38,38.61,38.68,2013100,0.359,0
2016-02-19,38.65,39.26,38.42,39.04,2032800,0.0,0
2016-02-22,39.33,40.0,39.23,39.69,2231200,0.0,0
2016-02-23,39.43,39.91,38.87,38.94,1584200,0.0,0
2016-02-24,38.28,40.55,38.27,40.25,3910100,0.0,0
2016-02-25,40.42,40.47,39.69,40.37,1775600,0.0,0
2016-02-26,40.58,41.42,40.41,41.35,2578200,0.0,0
2016-02-29,41.17,41.63,40.77,40.99,2891400,0.0,0
2016-03-01,41.09,41.71,40.62,41.67,2949200,0.0,0
2016-03-02,41.37,42.25,41.26,42.15,2500800,0.0,0
2016-03-03,42.19,42.53,41.91,42.5,1657300,0.0,0
2016-03-04,42.56,43.6,42.29,43.15,2921500,0.0,0
2016-03-07,43.18,44.13,43.13,43.97,2841800,0.0,0
2016-03-08,43.56,43.94,42.93,43.0,2317300,0.0,0
2016-03-09,43.33,43.78,43.07,43.78,2413400,0.0,0
2016-03-10,43.82,44.04,42.89,43.4,2040400,0.0,0
2016-03-11,43.86,44.88,43.61,44.79,2199000,0.0,0
2016-03-14,44.78,44.79,44.04,44.32,1646700,0.0,0
2016-03-15,43.97,44.31,43.57,44.31,1967500,0.0,0
2016-03-16,44.21,44.51,43.67,44.26,2252100,0.0,0
2016-03-17,44.23,44.68,43.81,44.62,2699300,0.0,0
2016-03-18,44.65,45.38,44.39,45.25,4880400,0.0,0
2016-03-21,45.05,45.14,44.42,44.92,2160800,0.0,0
2016-03-22,44.64,45.07,44.35,44.51,1829800,0.0,0
2016-03-23,44.57,44.73,44.13,44.19,1371600,0.0,0
2016-03-24,43.83,44.48,43.61,44.34,1183200,0.0,0
2016-03-28,44.55,44.6,44.18,44.24,1663800,0.0,0
2016-03-29,44.05,45.08,43.87,44.97,1741100,0.0,0
2016-03-30,45.19,45.59,44.93,45.0,1723200,0.0,0
2016-03-31,45.0,45.0,44.38,44.41,2788300,0.0,0
2016-04-01,44.14,44.53,43.8,44.49,2130100,0.0,0
2016-04-04,44.39,44.79,44.08,44.58,2298300,0.0,0
2016-04-05,44.23,45.42,44.13,44.83,3769100,0.0,0
2016-04-06,44.73,45.08,43.79,44.82,5008400,0.0,0
2016-04-07,44.68,44.68,44.04,44.12,2344700,0.0,0
2016-04-08,44.41,44.97,44.33,44.64,1887300,0.0,0
2016-04-11,44.95,45.26,44.57,44.6,2009500,0.0,0
2016-04-12,44.76,44.85,44.17,44.5,1467700,0.0,0
2016-04-13,44.58,45.38,44.52,45.35,1164900,0.0,0
2016-04-14,45.25,45.57,44.84,45.4,1699600,0.0,0
2016-04-15,45.31,45.33,44.8,44.93,2612100,0.0,0
2016-04-18,44.84,45.2,44.7,45.06,2242500,0.0,0
2016-04-19,45.22,45.42,44.61,44.71,2067800,0.0,0
2016-04-20,44.65,45.81,44.54,45.69,2264900,0.0,0
2016-04-21,45.58,46.07,45.48,45.55,1930900,0.0,0
2016-04-22,45.5,46.57,45.49,45.8,2096300,0.0,0
2016-04-25,45.78,45.97,45.61,45.67,1561300,0.0,0
2016-04-26,45.85,46.7,45.74,46.14,2693200,0.0,0
2016-04-27,45.75,46.55,45.44,46.38,2331400,0.0,0
2016-04-28,46.07,46.66,45.52,45.62,3001500,0.0,0
2016-04-29,45.46,45.46,44.35,44.77,2316600,0.0,0
2016-05-02,45.02,45.55,44.57,45.47,1713700,0.0,0
2016-05-03,45.21,45.27,44.75,44.96,2119200,0.0,0
2016-05-04,44.71,45.07,44.47,44.61,1965200,0.0,0
2016-05-05,44.99,44.99,43.49,44.06,2799300,0.0,0
2016-05-06,43.73,44.18,43.37,44.18,2492300,0.0,0
2016-05-09,44.12,44.4,43.77,43.83,1479000,0.0,0
2016-05-10,44.05,44.56,43.81,44.54,1546200,0.0,0
2016-05-11,44.28,44.99,44.14,44.52,1176900,0.0,0
2016-05-12,44.59,44.84,43.49,43.61,2311800,0.0,0
2016-05-13,43.63,44.04,43.29,43.45,2534100,0.0,0
2016-05-16,43.44,44.55,43.33,44.18,1670100,0.0,0
2016-05-17,44.25,44.42,43.88,44.02,1518100,0.0,0
