Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-13,1.0923,1.0923,1.0923,1.0923,0,0,0.0
2015-11-16,1.0923,1.0923,1.0923,1.0923,0,0,0.0
2015-11-17,1.1763,1.1763,1.1763,1.1763,8926,0,0.0
2015-11-18,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-11-19,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-11-20,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-11-23,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-11-24,1.0923,1.0923,1.0251,1.0251,11008,0,0.0
2015-11-25,1.0083,1.0083,1.0083,1.0083,355,0,0.0
2015-11-26,1.0251,1.0251,1.0251,1.0251,0,0,0.0
2015-11-27,1.0251,1.0251,1.0251,1.0251,0,0,0.0
2015-11-30,1.0251,1.0251,1.0251,1.0251,0,0,0.0
2015-12-01,1.0251,1.0251,1.0251,1.0251,0,0,0.0
2015-12-02,1.0251,1.0251,1.0251,1.0251,0,0,0.0
2015-12-03,1.0083,1.1763,1.0083,1.1763,14876,0,0.0
2015-12-04,1.0923,1.0923,1.0923,1.0923,1785,0,0.0
2015-12-07,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-08,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-09,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-10,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-11,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-14,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-15,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-16,1.1763,1.1763,1.1763,1.1763,0,0,0.0
2015-12-17,0.857,0.857,0.857,0.857,13032,0,0.0
2015-12-18,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-21,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-22,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-23,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-24,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-28,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-29,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-30,0.857,0.857,0.857,0.857,0,0,0.0
2015-12-31,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-05,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-06,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-07,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-08,0.8402,0.8402,0.8402,0.8402,595,0,0.0
2016-01-11,0.8402,0.8402,0.8402,0.8402,0,0,0.0
2016-01-12,0.8402,0.857,0.8402,0.857,24770,0,0.0
2016-01-13,0.8738,0.8738,0.8738,0.8738,714,0,0.0
2016-01-14,0.8402,0.8402,0.8402,0.8402,2380,0,0.0
2016-01-15,0.8402,0.8402,0.8402,0.8402,18447,0,0.0
2016-01-18,0.8402,0.8402,0.8402,0.8402,0,0,0.0
2016-01-19,0.8402,0.8402,0.8402,0.8402,9868,0,0.0
2016-01-20,0.8402,0.8402,0.8402,0.8402,0,0,0.0
2016-01-21,0.857,0.857,0.857,0.857,6436,0,0.0
2016-01-22,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-25,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-26,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-27,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-28,0.857,0.857,0.857,0.857,0,0,0.0
2016-01-29,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-01,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-02,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-03,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-04,0.8402,0.8402,0.8402,0.8402,5950,0,0.0
2016-02-05,0.773,0.773,0.773,0.773,209,0,0.0
2016-02-09,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-10,0.773,0.773,0.773,0.773,1278,0,0.0
2016-02-11,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-12,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-15,0.773,0.773,0.773,0.773,5355,0,0.0
2016-02-16,0.857,0.857,0.857,0.857,0,0,0.0
2016-02-17,0.857,0.857,0.857,0.857,0,0,0.0
