Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,31.44,32.68,30.77,32.45,282200,0,0
2015-11-17,32.35,33.58,31.96,33.02,210800,0,0
2015-11-18,33.19,34.25,32.85,34.1,373100,0,0
2015-11-19,34.2,34.86,31.67,32.5,260300,0,0
2015-11-20,32.87,33.81,32.27,33.59,146500,0,0
2015-11-23,33.66,35.37,33.39,34.7,286500,0,0
2015-11-24,34.64,35.12,33.54,34.24,192400,0,0
2015-11-25,34.34,35.73,34.16,35.3,194600,0,0
2015-11-27,35.36,35.9,35.11,35.5,50800,0,0
2015-11-30,35.56,36.11,34.22,34.58,247500,0,0
2015-12-01,34.81,35.06,33.86,34.38,270300,0,0
2015-12-02,34.41,35.15,33.87,34.73,192200,0,0
2015-12-03,34.83,34.91,32.43,33.12,169000,0,0
2015-12-04,33.13,34.63,32.8,34.46,262500,0,0
2015-12-07,34.46,34.9,32.29,32.59,223300,0,0
2015-12-08,31.94,33.89,31.47,33.13,186900,0,0
2015-12-09,33.04,33.04,31.46,31.72,139900,0,0
2015-12-10,31.87,32.22,30.64,31.25,255200,0,0
2015-12-11,30.4,31.17,29.5,29.56,439100,0,0
2015-12-14,29.67,30.43,29.04,29.46,353700,0,0
2015-12-15,29.81,30.36,28.69,30.06,367700,0,0
2015-12-16,30.4,31.49,30.2,31.36,273100,0,0
2015-12-17,31.23,31.87,30.1,31.27,220200,0,0
2015-12-18,31.07,31.98,30.63,31.43,2086800,0,0
2015-12-21,31.78,32.09,30.74,31.46,169500,0,0
2015-12-22,31.56,31.56,30.33,30.76,196700,0,0
2015-12-23,30.94,31.49,30.55,31.11,120200,0,0
2015-12-24,31.16,31.57,30.98,31.27,93000,0,0
2015-12-28,31.16,31.69,30.09,30.36,124000,0,0
2015-12-29,30.6,31.45,30.01,31.28,195500,0,0
2015-12-30,31.06,31.58,30.76,31.13,151100,0,0
2015-12-31,30.95,31.5,30.58,30.97,184400,0,0
2016-01-04,30.22,30.66,29.02,29.41,268800,0,0
2016-01-05,29.46,29.7,28.12,28.52,261000,0,0
2016-01-06,27.87,28.18,26.61,27.62,250300,0,0
2016-01-07,26.82,27.24,25.81,26.07,245500,0,0
2016-01-08,26.19,26.95,24.75,24.82,216400,0,0
2016-01-11,25.02,25.07,22.84,23.17,292700,0,0
2016-01-12,23.78,25.34,23.51,24.85,375900,0,0
2016-01-13,24.81,25.03,22.18,22.54,370400,0,0
2016-01-14,22.73,23.96,21.42,23.79,323200,0,0
2016-01-15,22.58,23.76,21.84,22.44,266100,0,0
2016-01-19,23.01,23.01,21.11,21.88,282400,0,0
2016-01-20,21.49,22.79,20.47,21.98,326700,0,0
2016-01-21,22.11,22.44,21.04,21.23,241500,0,0
2016-01-22,21.99,22.41,21.12,22.31,246300,0,0
2016-01-25,22.16,23.62,21.66,22.29,313100,0,0
2016-01-26,22.34,22.44,21.13,22.15,182000,0,0
2016-01-27,22.15,22.33,20.45,20.54,247300,0,0
2016-01-28,20.74,22.64,19.37,19.49,272400,0,0
2016-01-29,19.49,20.35,18.97,20.13,282200,0,0
2016-02-01,20.03,21.02,19.24,20.64,216600,0,0
2016-02-02,20.34,20.49,19.48,19.7,207600,0,0
2016-02-03,19.85,19.9,17.62,18.53,302600,0,0
2016-02-04,18.5,20.44,18.19,19.18,210500,0,0
2016-02-05,18.97,19.65,17.97,18.23,342000,0,0
2016-02-08,17.91,18.23,15.7,16.21,402900,0,0
2016-02-09,15.87,16.83,15.52,16.21,236300,0,0
2016-02-10,16.36,17.38,15.83,16.06,207400,0,0
2016-02-11,15.65,16.06,14.84,15.3,368600,0,0
2016-02-12,15.66,16.5,15.08,16.38,223200,0,0
2016-02-16,16.64,17.53,16.21,16.88,252700,0,0
2016-02-17,17.06,18.3,16.89,17.54,319600,0,0
2016-02-18,18.03,18.44,17.1,17.15,305900,0,0
2016-02-19,16.96,17.51,16.29,17.42,237500,0,0
2016-02-22,17.94,18.41,17.41,17.51,234900,0,0
2016-02-23,17.42,17.49,15.68,15.69,214800,0,0
2016-02-24,15.48,15.98,14.85,15.74,246100,0,0
2016-02-25,15.93,16.27,15.01,15.28,233900,0,0
2016-02-26,15.41,16.14,15.01,15.82,276900,0,0
2016-02-29,15.77,16.52,15.53,15.98,354900,0,0
2016-03-01,15.91,16.67,15.0,16.63,470300,0,0
2016-03-02,16.7,17.71,16.27,17.08,422300,0,0
2016-03-03,17.05,17.27,16.52,17.14,329100,0,0
2016-03-04,17.53,18.73,16.92,18.61,498400,0,0
2016-03-07,18.42,19.49,17.8,19.47,311600,0,0
2016-03-08,19.37,19.85,17.76,17.87,307300,0,0
2016-03-09,17.99,17.99,16.71,17.33,247200,0,0
2016-03-10,17.54,18.09,16.15,16.61,318700,0,0
2016-03-11,16.72,17.77,16.5,17.6,276800,0,0
2016-03-14,17.48,17.91,17.06,17.49,258300,0,0
2016-03-15,17.2,17.2,16.0,16.05,354000,0,0
2016-03-16,16.04,16.63,15.45,15.89,236800,0,0
2016-03-17,15.77,16.01,14.9,15.15,411100,0,0
2016-03-18,15.42,16.24,15.03,16.15,455400,0,0
2016-03-21,16.08,17.08,15.85,16.78,234100,0,0
2016-03-22,16.67,17.54,16.67,17.39,251800,0,0
2016-03-23,17.39,17.59,15.88,15.95,282200,0,0
