Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-24,18.94,19.04,18.51,18.8,1775300,0.0,0
2016-05-25,18.84,19.16,18.8,18.9,313300,0.0,0
2016-05-26,18.89,19.08,18.8,18.96,142600,0.0,0
2016-05-27,18.9,19.36,18.9,19.25,206700,0.0,0
2016-05-31,19.39,19.63,19.1,19.32,187400,0.0,0
2016-06-01,19.34,19.45,19.14,19.38,184500,0.0,0
2016-06-02,19.18,20.1,19.18,19.68,183600,0.0,0
2016-06-03,19.55,19.57,19.19,19.37,30400,0.0,0
2016-06-06,19.51,19.75,19.41,19.69,46100,0.0,0
2016-06-07,19.27,19.53,19.27,19.51,51600,0.0,0
2016-06-08,19.37,19.68,19.27,19.33,15200,0.0,0
2016-06-09,19.19,19.72,19.19,19.22,19200,0.0,0
2016-06-10,19.22,19.22,18.91,19.13,13400,0.0,0
2016-06-13,19.14,19.14,18.99,19.05,21300,0.0,0
2016-06-14,19.14,19.14,18.12,18.78,194400,0.0,0
2016-06-15,18.72,19.32,18.48,18.69,221700,0.0,0
2016-06-16,18.67,18.96,18.58,18.84,32700,0.0,0
2016-06-17,18.67,19.1,18.63,18.88,32900,0.0,0
2016-06-20,18.89,19.27,18.85,19.01,266200,0.0,0
2016-06-21,19.19,19.19,18.86,18.89,116600,0.0,0
2016-06-22,18.89,18.97,18.59,18.74,55200,0.0,0
2016-06-23,18.83,18.84,18.67,18.77,62700,0.0,0
2016-06-24,18.59,18.89,18.36,18.47,452900,0.0,0
2016-06-27,18.55,18.55,17.9,18.24,96400,0.0,0
2016-06-28,18.42,18.67,17.86,18.08,82500,0.0,0
2016-06-29,18.18,18.72,18.16,18.53,36400,0.0,0
2016-06-30,18.66,18.72,18.54,18.62,24800,0.0,0
2016-07-01,18.54,18.71,18.5,18.7,17200,0.0,0
2016-07-05,18.67,18.87,18.63,18.67,69400,0.0,0
2016-07-06,18.65,18.94,18.63,18.84,23700,0.0,0
2016-07-07,18.78,19.08,18.68,18.84,40000,0.0,0
2016-07-08,18.89,19.1,18.85,18.96,32900,0.0,0
2016-07-11,18.89,18.95,18.88,18.92,32300,0.0,0
2016-07-12,18.97,18.97,18.89,18.91,42600,0.0,0
2016-07-13,18.96,19.0,18.89,18.91,40200,0.0,0
2016-07-14,19.03,19.24,18.89,18.93,51500,0.0,0
2016-07-15,19.03,19.03,18.91,18.98,25000,0.0,0
2016-07-18,18.94,19.02,18.93,19.02,17700,0.0,0
2016-07-19,19.02,19.27,18.92,19.18,56300,0.0,0
2016-07-20,19.18,19.18,18.85,18.93,20000,0.0,0
2016-07-21,18.97,19.01,18.89,18.96,24900,0.0,0
2016-07-22,19.02,19.22,19.02,19.19,23000,0.0,0
2016-07-25,19.26,19.27,18.89,19.0,10800,0.0,0
2016-07-26,19.09,19.18,18.89,19.1,18700,0.0,0
2016-07-27,19.1,19.23,19.01,19.1,12200,0.0,0
2016-07-28,18.96,19.19,18.9,18.99,8800,0.0,0
2016-07-29,18.93,19.69,18.93,19.54,48500,0.0,0
2016-08-01,19.31,19.59,19.31,19.51,10000,0.0,0
2016-08-02,19.47,19.58,19.36,19.42,27300,0.0,0
2016-08-03,19.39,19.53,19.36,19.47,12300,0.0,0
2016-08-04,19.45,19.47,19.08,19.28,65800,0.0,0
2016-08-05,19.53,19.53,19.27,19.34,32600,0.0,0
2016-08-08,19.32,19.46,19.32,19.37,16300,0.0,0
2016-08-09,19.39,19.49,19.37,19.41,21900,0.0,0
2016-08-10,19.5,19.71,19.44,19.44,50400,0.18,0
2016-08-11,19.63,20.08,19.45,19.93,129100,0.0,0
2016-08-12,19.9,19.9,19.71,19.86,17900,0.0,0
2016-08-15,19.99,19.99,19.47,19.85,30900,0.0,0
2016-08-16,19.64,20.24,19.64,20.09,32000,0.0,0
2016-08-17,19.9,20.2,19.9,20.13,19500,0.0,0
2016-08-18,20.11,20.63,20.11,20.58,29400,0.0,0
2016-08-19,20.5,20.56,20.32,20.39,43200,0.0,0
2016-08-22,20.38,20.82,20.35,20.69,39200,0.0,0
2016-08-23,20.81,20.92,20.59,20.69,35800,0.0,0
2016-08-24,20.68,20.77,20.47,20.73,42400,0.0,0
2016-08-25,20.6,21.06,20.54,20.84,41300,0.0,0
2016-08-26,20.9,21.02,20.67,21.02,24000,0.0,0
2016-08-29,21.02,21.19,20.93,20.99,29700,0.0,0
2016-08-30,21.03,21.18,20.99,21.12,34800,0.0,0
2016-08-31,20.9,21.18,20.89,21.06,24700,0.0,0
2016-09-01,20.87,21.19,20.87,21.17,46300,0.0,0
2016-09-02,21.2,21.5,20.94,21.44,44400,0.0,0
2016-09-06,21.38,21.55,21.35,21.4,53100,0.0,0
2016-09-07,21.05,21.54,21.03,21.35,25200,0.0,0
2016-09-08,21.41,21.41,21.2,21.28,38800,0.0,0
2016-09-09,21.22,21.85,21.03,21.72,126400,0.0,0
2016-09-12,21.7,22.06,21.58,21.63,97500,0.0,0
2016-09-13,21.61,21.63,21.4,21.48,36700,0.0,0
2016-09-14,21.5,21.5,21.2,21.35,61700,0.0,0
2016-09-15,21.48,21.5,21.11,21.5,27300,0.0,0
