Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,26.8,27.25,25.98,26.91,6851500,0.0,0.0
2015-11-17,27.09,27.95,27.09,27.81,5978000,0.0,0.0
2015-11-18,27.94,28.55,27.68,28.47,6149500,0.0,0.0
2015-11-19,28.86,29.67,28.79,29.38,5622500,0.0,0.0
2015-11-20,29.52,30.4,29.4,30.2,6489500,0.0,0.0
2015-11-23,30.45,31.06,30.3,30.42,5630000,0.0,0.0
2015-11-24,30.38,30.64,30.09,30.55,4907000,0.112,0.0
2015-11-25,31.47,31.54,30.97,31.37,6490000,0.0,0.0
2015-11-27,31.06,31.08,29.36,30.37,7101000,0.0,0.0
2015-11-30,30.55,30.86,29.86,30.86,35911000,0.0,0.0
2015-12-01,30.46,30.61,29.86,30.45,9401500,0.0,0.0
2015-12-02,30.64,31.85,30.33,31.65,8437500,0.0,0.0
2015-12-03,31.76,32.6,31.37,31.53,9527500,0.0,0.0
2015-12-04,31.49,33.31,31.48,33.17,8250000,0.0,0.0
2015-12-07,32.97,33.13,32.33,32.95,6627000,0.0,0.0
2015-12-08,32.07,33.57,31.77,33.42,6127000,0.0,0.0
2015-12-09,33.3,33.63,32.61,32.68,6530000,0.0,0.0
2015-12-10,32.76,33.32,32.31,32.8,5158000,0.0,0.0
2015-12-11,32.41,32.66,31.37,31.94,8015500,0.0,0.0
2015-12-14,32.0,32.9,31.85,32.88,5034500,0.0,0.0
2015-12-15,32.96,34.05,32.95,33.45,6367000,0.0,0.0
2015-12-16,33.94,34.24,33.48,34.13,3668500,0.0,0.0
2015-12-17,34.25,34.41,33.53,33.76,3733000,0.0,0.0
2015-12-18,33.71,33.88,32.84,33.66,4965500,0.0,0.0
2015-12-21,33.79,34.3,33.01,33.33,3408000,0.0,0.0
2015-12-22,33.51,33.61,32.91,33.59,4908500,0.0,0.0
2015-12-23,33.98,33.98,33.52,33.72,2653500,0.0,0.0
2015-12-24,33.66,34.44,33.6,34.04,1690500,0.0,0.0
