Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,29.44,29.66,29.2,29.64,8607000,0.0,0
2015-11-17,29.72,29.89,29.51,29.64,6426200,0.0,0
2015-11-18,29.76,30.41,29.44,30.37,8755400,0.115,0
2015-11-19,30.48,30.76,30.23,30.46,6351800,0.0,0
2015-11-20,30.68,30.9,30.5,30.72,5993600,0.0,0
2015-11-23,30.98,30.98,30.15,30.26,6063800,0.0,0
2015-11-24,30.26,30.77,30.13,30.51,4885700,0.0,0
2015-11-25,30.45,30.81,30.36,30.47,3457500,0.0,0
2015-11-27,30.53,30.82,30.37,30.72,2174900,0.0,0
2015-11-30,30.75,31.18,30.72,31.05,8181100,0.0,0
2015-12-01,31.32,32.08,31.29,32.05,10237400,0.0,0
2015-12-02,32.1,32.44,31.74,31.81,7356000,0.0,0
2015-12-03,32.06,32.4,31.58,31.74,6166400,0.0,0
2015-12-04,31.74,33.09,31.74,33.03,11468900,0.0,0
2015-12-07,33.02,33.02,32.31,32.41,8339700,0.0,0
2015-12-08,32.0,32.98,31.8,32.85,7862200,0.0,0
2015-12-09,32.84,33.03,31.68,32.01,9316900,0.0,0
2015-12-10,32.11,32.45,32.0,32.28,5914900,0.0,0
2015-12-11,31.96,32.18,31.73,31.8,5683000,0.0,0
2015-12-14,31.83,32.05,31.5,31.88,6897300,0.0,0
2015-12-15,32.24,32.49,32.06,32.27,7682400,0.0,0
2015-12-16,32.34,32.57,32.05,32.46,5908900,0.0,0
2015-12-17,32.51,32.85,31.96,31.98,6354000,0.0,0
2015-12-18,31.75,32.07,31.42,31.46,9897400,0.0,0
2015-12-21,31.8,32.23,31.52,32.2,7105400,0.0,0
2015-12-22,32.3,32.55,32.03,32.23,3250300,0.0,0
2015-12-23,32.28,32.48,32.22,32.36,3063100,0.0,0
2015-12-24,32.26,32.54,32.21,32.46,1311200,0.0,0
2015-12-28,32.12,32.44,31.67,32.44,3550600,0.0,0
2015-12-29,32.45,33.06,32.37,32.96,5091500,0.0,0
2015-12-30,32.93,33.22,32.67,32.68,4508600,0.0,0
2015-12-31,32.63,32.78,32.26,32.26,3713200,0.0,0
2016-01-04,31.6,31.89,31.36,31.68,8951900,0.0,0
2016-01-05,32.28,32.73,31.81,32.19,12256800,0.0,0
2016-01-06,31.66,31.81,30.5,30.86,11233600,0.0,0
2016-01-07,30.09,30.29,29.24,29.64,16132600,0.0,0
2016-01-08,30.02,30.05,28.94,29.0,9961800,0.0,0
2016-01-11,29.03,29.25,28.53,29.05,10234300,0.0,0
2016-01-12,29.57,29.97,29.33,29.54,11733900,0.0,0
2016-01-13,29.76,29.96,28.61,28.64,12041800,0.0,0
2016-01-14,28.05,28.38,27.23,28.06,15005900,0.0,0
2016-01-15,26.93,27.26,26.07,26.53,21036300,0.0,0
2016-01-19,27.08,27.85,26.64,26.75,11428500,0.0,0
2016-01-20,26.24,27.24,25.89,26.9,12029500,0.0,0
2016-01-21,27.19,27.63,26.63,27.21,12036400,0.0,0
2016-01-22,27.73,28.03,27.67,27.85,6449900,0.0,0
2016-01-25,27.84,28.16,27.76,27.82,6768200,0.0,0
2016-01-26,27.87,28.21,27.59,28.09,5698600,0.0,0
2016-01-27,28.05,28.14,27.23,27.76,5792500,0.0,0
2016-01-28,27.98,28.08,26.92,27.45,6919400,0.0,0
2016-01-29,27.69,28.73,27.58,28.67,7762600,0.0,0
2016-02-01,28.64,28.82,28.39,28.68,7247100,0.0,0
2016-02-02,28.38,28.53,27.27,27.46,8547700,0.0,0
2016-02-03,27.68,27.85,26.96,27.6,8169300,0.0,0
2016-02-04,27.64,28.24,27.34,27.61,8703500,0.0,0
2016-02-05,27.42,27.73,25.79,25.87,15010700,0.0,0
2016-02-08,25.48,25.6,24.32,24.68,15221300,0.0,0
2016-02-09,24.39,25.99,24.27,24.95,10634300,0.0,0
2016-02-10,25.1,25.83,24.75,24.89,8395000,0.0,0
2016-02-11,24.25,25.02,24.25,24.76,8503600,0.0,0
2016-02-12,25.15,25.23,24.22,25.18,8520400,0.0,0
2016-02-16,25.55,26.46,25.47,26.42,12133800,0.0,0
2016-02-17,26.75,27.33,26.64,27.07,19286700,0.0,0
2016-02-18,29.29,30.32,29.26,29.4,26716500,0.0,0
2016-02-19,29.24,30.06,29.02,29.79,13140700,0.0,0
2016-02-22,30.22,31.19,30.16,30.85,11241700,0.0,0
2016-02-23,30.61,31.22,30.46,30.93,9234500,0.0,0
2016-02-24,30.8,31.19,29.95,31.14,8421300,0.0,0
2016-02-25,31.26,31.37,30.65,31.21,8740400,0.0,0
2016-02-26,31.36,31.44,30.69,31.01,9049100,0.0,0
2016-02-29,31.05,31.45,30.79,30.8,8083600,0.115,0
2016-03-01,30.88,32.17,30.83,32.17,8717500,0.0,0
2016-03-02,31.99,32.47,31.93,32.36,5845300,0.0,0
2016-03-03,32.32,32.46,31.64,32.07,7550100,0.0,0
2016-03-04,32.32,32.35,31.73,31.97,4382600,0.0,0
2016-03-07,31.8,32.01,31.36,31.77,5999200,0.0,0
2016-03-08,31.44,31.63,31.09,31.19,6873500,0.0,0
2016-03-09,31.46,31.51,30.77,31.17,5569700,0.0,0
2016-03-10,31.36,31.53,30.49,31.12,7152100,0.0,0
2016-03-11,31.58,31.66,31.21,31.65,6935000,0.0,0
2016-03-14,31.5,31.86,31.36,31.73,4757800,0.0,0
2016-03-15,31.56,31.77,31.01,31.57,5655400,0.0,0
2016-03-16,31.34,32.62,31.19,32.51,9091100,0.0,0
2016-03-17,32.4,32.55,31.8,32.24,8842000,0.0,0
2016-03-18,32.62,33.64,32.42,33.21,13637800,0.0,0
2016-03-21,32.92,33.32,32.56,33.31,8444500,0.0,0
2016-03-22,33.2,33.49,32.84,33.25,6050300,0.0,0
2016-03-23,33.4,34.07,33.25,33.82,10725200,0.0,0
2016-03-24,33.52,33.93,33.41,33.87,6123900,0.0,0
2016-03-28,33.81,34.36,33.77,34.21,6634700,0.0,0
2016-03-29,34.07,34.84,33.99,34.76,6545300,0.0,0
2016-03-30,34.89,35.61,34.87,35.13,9417500,0.0,0
2016-03-31,35.28,35.36,34.72,35.0,9497100,0.0,0
2016-04-01,34.78,35.53,34.52,35.51,8707300,0.0,0
2016-04-04,35.8,35.99,35.03,35.17,9848500,0.0,0
2016-04-05,34.85,35.44,34.71,35.12,8489200,0.0,0
2016-04-06,34.68,35.19,34.02,35.17,11334400,0.0,0
2016-04-07,34.94,35.25,34.66,34.8,9452600,0.0,0
2016-04-08,35.09,35.31,34.69,35.03,6398400,0.0,0
2016-04-11,35.24,35.82,35.13,35.24,9688100,0.0,0
2016-04-12,35.36,35.41,34.52,35.21,7319100,0.0,0
