Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,50.39,51.32,50.24,51.27,205200,0.0,0
2015-11-17,51.45,52.18,51.06,51.12,127100,0.0,0
2015-11-18,51.17,51.73,50.58,51.67,148900,0.0,0
2015-11-19,51.56,51.71,50.78,51.07,128200,0.0,0
2015-11-20,51.29,51.48,50.95,51.43,111400,0.0,0
2015-11-23,51.33,51.85,50.65,51.58,82800,0.0,0
2015-11-24,51.18,51.77,50.85,51.6,110900,0.0,0
2015-11-25,51.68,51.88,51.31,51.69,89500,0.0,0
2015-11-27,51.74,52.06,51.31,51.99,57100,0.0,0
2015-11-30,51.93,51.99,51.36,51.44,124400,0.0,0
2015-12-01,51.73,51.98,50.89,51.49,114700,0.0,0
2015-12-02,51.51,51.73,50.41,50.65,237700,0.0,0
2015-12-03,51.02,51.56,50.23,50.62,213800,0.0,0
2015-12-04,50.7,52.1,50.25,52.03,222600,0.0,0
2015-12-07,51.83,52.4,50.57,50.94,210200,0.0,0
2015-12-08,50.41,50.76,49.54,50.17,167800,0.0,0
2015-12-09,49.87,50.98,48.06,49.34,224800,0.0,0
2015-12-10,49.14,49.8,48.32,49.2,206600,0.0,0
2015-12-11,48.19,48.97,47.35,48.12,335800,0.0,0
2015-12-14,48.08,48.61,47.06,48.33,260200,0.0,0
2015-12-15,48.74,49.77,48.26,49.25,231200,0.0,0
2015-12-16,49.66,50.45,48.49,50.3,207400,0.0,0
2015-12-17,50.52,50.72,49.07,49.48,172700,0.0,0
2015-12-18,49.16,49.26,47.82,48.31,898300,0.0,0
2015-12-21,48.78,49.13,48.11,48.8,139400,0.0,0
2015-12-22,48.94,49.18,47.88,49.17,196000,0.0,0
2015-12-23,49.34,49.37,48.87,49.34,105100,0.0,0
2015-12-24,49.39,50.29,49.24,49.98,77000,0.0,0
2015-12-28,49.68,50.21,48.78,49.34,125900,0.0,0
2015-12-29,49.56,50.27,49.52,50.09,94700,0.0,0
2015-12-30,50.05,50.4,49.34,49.48,72400,0.0,0
2015-12-31,49.23,49.58,48.59,48.63,122700,0.0,0
2016-01-04,47.63,48.29,47.16,47.51,233700,0.0,0
2016-01-05,47.7,48.21,47.21,47.54,207600,0.0,0
2016-01-06,46.7,47.53,46.58,47.35,293500,0.0,0
2016-01-07,46.25,47.11,45.78,46.1,263200,0.0,0
2016-01-08,46.57,46.57,44.71,44.81,206000,0.0,0
2016-01-11,45.18,45.59,44.18,45.05,285300,0.0,0
2016-01-12,45.6,45.65,44.49,45.25,227300,0.0,0
2016-01-13,45.42,45.42,43.72,44.39,253300,0.0,0
2016-01-14,44.79,45.35,44.31,44.95,155500,0.0,0
2016-01-15,43.7,44.94,43.11,44.34,343300,0.0,0
2016-01-19,44.61,45.16,43.73,44.02,210100,0.0,0
2016-01-20,43.97,44.72,42.34,44.5,375900,0.0,0
2016-01-21,44.46,45.57,44.09,44.9,325900,0.0,0
2016-01-22,45.2,46.23,45.06,45.83,284800,0.0,0
2016-01-25,46.08,46.17,43.6,43.76,268200,0.0,0
2016-01-26,44.08,46.48,44.08,46.43,438600,0.0,0
2016-01-27,46.16,48.08,45.86,47.42,475100,0.0,0
2016-01-28,48.09,49.78,48.03,48.59,329100,0.0,0
2016-01-29,49.16,50.01,46.34,47.2,1022700,0.0,0
2016-02-01,47.01,47.55,46.51,47.14,384800,0.0,0
2016-02-02,46.63,46.63,45.26,45.55,174700,0.0,0
2016-02-03,46.12,46.26,44.12,45.24,254300,0.14,0
2016-02-04,45.31,46.13,44.56,45.22,208100,0.0,0
2016-02-05,45.33,45.61,44.44,44.45,250900,0.0,0
2016-02-08,43.83,44.07,42.48,42.71,323800,0.0,0
2016-02-09,41.97,42.95,41.13,42.31,393400,0.0,0
2016-02-10,42.82,43.46,42.52,42.92,289800,0.0,0
2016-02-11,42.49,42.63,41.48,42.46,390800,0.0,0
2016-02-12,43.32,44.6,43.2,44.35,241500,0.0,0
2016-02-16,45.03,45.62,44.51,45.48,251000,0.0,0
2016-02-17,45.91,45.91,44.9,45.15,232800,0.0,0
2016-02-18,45.23,45.23,43.49,43.64,137700,0.0,0
2016-02-19,43.55,44.43,43.55,44.0,136500,0.0,0
2016-02-22,44.5,44.5,44.03,44.1,177100,0.0,0
2016-02-23,44.06,44.06,42.67,42.68,225400,0.0,0
2016-02-24,42.03,43.22,41.67,43.21,175100,0.0,0
2016-02-25,43.3,43.66,42.69,43.44,127700,0.0,0
2016-02-26,43.94,45.19,43.04,44.82,232600,0.0,0
2016-02-29,44.72,44.81,43.93,44.03,295000,0.0,0
2016-03-01,44.29,45.94,43.57,45.49,161200,0.0,0
2016-03-02,45.62,45.79,44.94,45.67,180800,0.0,0
