Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,3.4341,3.5242,3.4235,3.503,604900,0.0,0
2015-11-17,3.4765,3.556,3.4447,3.5136,419000,0.0,0
2015-11-18,3.5136,3.5878,3.5136,3.5772,461800,0.0,0
2015-11-19,3.5613,3.662,3.5454,3.6567,537500,0.0,0
2015-11-20,3.6249,3.6779,3.5878,3.6408,481900,0.0,0
2015-11-23,3.6514,3.6832,3.609,3.6514,481300,0.0,0
2015-11-24,3.6302,3.7256,3.6196,3.7203,511400,0.0,0
2015-11-25,3.6938,3.7839,3.6938,3.7627,411100,0.0,0
2015-11-27,3.7627,3.7839,3.7415,3.7415,210100,0.0,0
2015-11-30,3.7627,3.8528,3.7362,3.8475,1159700,0.0,0
2015-12-01,3.8528,3.8899,3.8422,3.874,962000,0.0,0
2015-12-02,3.8687,3.9058,3.8528,3.874,536100,0.0,0
2015-12-03,3.8846,3.9217,3.8051,3.8051,502300,0.0,0
2015-12-04,3.7945,3.8687,3.7945,3.8369,439300,0.0,0
2015-12-07,3.8369,3.8369,3.6302,3.6885,726700,0.0,0
2015-12-08,3.6461,3.6461,3.5295,3.5507,585700,0.0,0
2015-12-09,3.5295,3.5719,3.4288,3.4553,535400,0.0,0
2015-12-10,3.4553,3.4977,3.4288,3.4712,370500,0.0,0
2015-12-11,3.4341,3.4341,3.3122,3.3228,698100,0.0,0
2015-12-14,3.3387,3.3599,3.1055,3.1797,1201300,0.0,0
2015-12-15,3.1797,3.397,3.1532,3.3652,699000,0.0,0
2015-12-16,3.3758,3.5295,3.3758,3.5136,664100,0.0,0
2015-12-17,3.5136,3.5507,3.45,3.4924,618800,0.0,0
2015-12-18,3.4765,3.5931,3.4341,3.5772,2086300,0.0,0
2015-12-21,3.5772,3.5931,3.4023,3.4288,745300,0.0,0
2015-12-22,3.379,3.4676,3.3568,3.462,628200,0.28,0
2015-12-23,3.4897,3.595,3.451,3.5728,609300,0.0,0
2015-12-24,3.5174,3.6005,3.5174,3.5562,196800,0.0,0
2015-12-28,3.4787,3.5562,3.3014,3.3734,773900,0.0,0
2015-12-29,3.3679,3.4897,3.3679,3.4399,784600,0.0,0
2015-12-30,3.379,3.4454,3.3125,3.3457,506000,0.0,0
2015-12-31,3.3125,3.4676,3.3069,3.4233,712100,0.0,0
2016-01-04,3.4011,3.4676,3.3346,3.4454,525200,0.0,0
2016-01-05,3.4676,3.5451,3.4122,3.4842,505400,0.0,0
2016-01-06,3.4565,3.5894,3.4288,3.5618,741800,0.0,0
2016-01-07,3.4953,3.5507,3.4122,3.4122,735800,0.0,0
2016-01-08,3.4454,3.4565,3.3734,3.4122,469300,0.0,0
2016-01-11,3.3679,3.4399,3.2294,3.2959,486600,0.0,0
2016-01-12,3.3236,3.3291,3.0632,3.1685,611800,0.0,0
2016-01-13,3.174,3.2017,3.0244,3.0411,388700,0.0,0
2016-01-14,3.0189,3.1962,2.9967,3.1574,651300,0.0,0
2016-01-15,3.0688,3.1297,2.9746,3.03,381800,0.0,0
2016-01-19,3.0411,3.0909,2.7973,2.8306,684500,0.0,0
2016-01-20,2.7973,2.7973,2.5758,2.7419,937100,0.0,0
2016-01-21,2.7419,2.8804,2.7253,2.7641,398800,0.0,0
2016-01-22,2.825,2.897,2.8195,2.8638,499900,0.0,0
2016-01-25,2.8527,2.958,2.8084,2.814,341500,0.0,0
2016-01-26,2.8472,2.9303,2.8306,2.9137,268100,0.0,0
2016-01-27,2.9137,3.0411,2.886,2.9469,261100,0.0,0
2016-01-28,3.0023,3.0189,2.9081,2.9414,297800,0.0,0
2016-01-29,2.9303,2.9801,2.9192,2.9414,304000,0.0,0
2016-02-01,2.9303,2.9746,2.8915,2.969,203100,0.0,0
2016-02-02,2.9303,2.9746,2.8306,2.8361,280900,0.0,0
2016-02-03,2.8416,2.9137,2.7752,2.9026,300300,0.0,0
2016-02-04,2.7807,3.0688,2.7807,2.9967,486700,0.0,0
2016-02-05,2.9635,3.0521,2.9635,3.0134,311300,0.0,0
2016-02-08,2.9912,2.9912,2.886,2.9635,580800,0.0,0
2016-02-09,2.9358,2.9358,2.8084,2.8583,315800,0.0,0
2016-02-10,2.8583,2.8583,2.7696,2.8195,554700,0.0,0
2016-02-11,2.8029,2.8472,2.7142,2.8084,515800,0.0,0
2016-02-12,2.8084,2.9192,2.7918,2.9026,425500,0.0,0
2016-02-16,2.9303,2.9635,2.8804,2.9414,424500,0.0,0
2016-02-17,2.9414,3.0798,2.9303,3.0688,400500,0.0,0
2016-02-18,3.0743,3.1242,3.0411,3.1242,236600,0.0,0
2016-02-19,3.1131,3.1131,3.0078,3.0743,198600,0.0,0
2016-02-22,3.0743,3.0909,2.9358,2.9967,407900,0.0,0
2016-02-23,2.9912,3.03,2.9469,2.9967,303700,0.0,0
2016-02-24,2.9414,2.9801,2.825,2.9801,282300,0.0,0
2016-02-25,2.9801,3.0355,2.9414,3.0189,201100,0.0,0
2016-02-26,3.0355,3.1463,2.969,3.102,234100,0.0,0
2016-02-29,3.0909,3.2516,3.0909,3.2017,254600,0.0,0
2016-03-01,3.2405,3.3236,3.2017,3.2959,335200,0.0,0
2016-03-02,3.2682,3.3679,3.246,3.3291,457200,0.0,0
2016-03-03,3.3402,3.4343,3.318,3.3623,437200,0.0,0
2016-03-04,3.3679,3.5839,3.3679,3.4787,400300,0.0,0
2016-03-07,3.4787,3.595,3.462,3.5562,264600,0.0,0
2016-03-08,3.5174,3.5673,3.3513,3.4177,267800,0.0,0
2016-03-09,3.4343,3.4787,3.3346,3.3679,373400,0.0,0
2016-03-10,3.3845,3.4011,3.3069,3.3402,461200,0.0,0
2016-03-11,3.3568,3.5064,3.3568,3.451,465400,0.0,0
2016-03-14,3.451,3.5451,3.4288,3.5174,425700,0.0,0
2016-03-15,3.5064,3.5285,3.3845,3.4787,365600,0.0,0
2016-03-16,3.4497,3.5482,3.4323,3.5135,302200,0.28,0
2016-03-17,3.5077,3.5946,3.4787,3.554,242100,0.0,0
2016-03-18,3.5482,3.6236,3.5134,3.5946,841800,0.0,0
2016-03-21,3.6004,3.6526,3.5019,3.5366,311500,0.0,0
2016-03-22,3.5308,3.5714,3.4787,3.5598,247600,0.0,0
2016-03-23,3.5598,3.5772,3.4671,3.4787,285200,0.0,0
2016-03-24,3.4497,3.5598,3.3975,3.5424,210600,0.0,0
2016-03-28,3.5366,3.5424,3.4323,3.4439,271900,0.0,0
2016-03-29,3.4265,3.5192,3.3801,3.5019,455600,0.0,0
2016-03-30,3.5019,3.5308,3.4555,3.4729,320500,0.0,0
2016-03-31,3.4671,3.5308,3.4671,3.5135,383100,0.0,0
2016-04-01,3.4961,3.5598,3.4787,3.5598,497000,0.0,0
2016-04-04,3.5772,3.6004,3.5077,3.5772,409300,0.0,0
2016-04-05,3.5714,3.6294,3.5308,3.612,223800,0.0,0
2016-04-06,3.6236,3.6932,3.6178,3.6816,258600,0.0,0
2016-04-07,3.6584,3.6758,3.6004,3.6294,146300,0.0,0
2016-04-08,3.6526,3.7222,3.6352,3.6352,290900,0.0,0
2016-04-11,3.641,3.6932,3.6004,3.641,230800,0.0,0
2016-04-12,3.6584,3.7859,3.6468,3.7743,319500,0.0,0
2016-04-13,3.7859,3.8555,3.7686,3.8207,217500,0.0,0
2016-04-14,3.8149,3.8439,3.7743,3.7743,208000,0.0,0
2016-04-15,3.7686,3.7744,3.6932,3.728,230300,0.0,0
2016-04-18,3.7106,3.8207,3.7106,3.7686,228700,0.0,0
2016-04-19,3.7917,3.8497,3.7686,3.8033,166400,0.0,0
2016-04-20,3.7917,3.8381,3.7454,3.7917,183700,0.0,0
2016-04-21,3.8033,3.8149,3.6642,3.6642,408500,0.0,0
2016-04-22,3.641,3.7917,3.641,3.757,147700,0.0,0
2016-04-25,3.7628,3.7628,3.7164,3.728,142800,0.0,0
2016-04-26,3.728,3.8381,3.728,3.8091,189400,0.0,0
2016-04-27,3.8149,3.8613,3.7338,3.8323,301100,0.0,0
