Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,33.45,34.03,33.45,33.72,1917500,0.0,0.0
2015-11-17,33.86,33.88,33.18,33.33,1691200,0.0,0.0
2015-11-18,33.57,34.22,33.49,34.15,2642600,0.0,0.0
2015-11-19,34.19,34.57,33.98,34.47,1089900,0.0,0.0
2015-11-20,34.67,34.87,34.29,34.41,1040900,0.0,0.0
2015-11-23,34.42,34.86,34.19,34.27,985100,0.0,0.0
2015-11-24,34.17,34.48,34.03,34.33,1039600,0.0,0.0
2015-11-25,34.33,34.55,34.1,34.11,1047500,0.0,0.0
2015-11-27,33.96,34.38,33.84,34.23,745200,0.0,0.0
2015-11-30,34.18,34.56,33.97,34.42,2004700,0.0,0.0
2015-12-01,34.58,35.04,34.25,34.65,2520800,0.0,0.0
2015-12-02,34.49,34.62,33.87,34.0,2609600,0.0,0.0
2015-12-03,33.8,34.16,33.63,33.89,3320100,0.0,0.0
2015-12-04,33.94,34.27,33.63,33.89,3499100,0.0,0.0
2015-12-07,33.72,33.85,33.26,33.38,1452500,0.0,0.0
2015-12-08,32.92,33.15,31.81,31.95,2446700,0.0,0.0
2015-12-09,31.76,32.35,31.61,31.87,1216600,0.0,0.0
2015-12-10,32.0,32.64,31.81,32.34,1777500,0.0,0.0
2015-12-11,31.87,31.9,31.27,31.41,2211100,0.0,0.0
2015-12-14,31.34,31.75,31.05,31.72,2450400,0.0,0.0
2015-12-15,31.94,32.03,30.83,30.87,2370100,0.0,0.0
2015-12-16,31.18,31.61,30.97,31.44,1969600,0.0,0.0
2015-12-17,31.45,31.74,30.1,30.1,3321600,0.0,0.0
2015-12-18,29.85,30.08,29.23,29.27,4565800,0.0,0.0
2015-12-21,29.46,29.94,29.27,29.53,4887700,0.0,0.0
2015-12-22,29.62,29.97,29.36,29.91,2698200,0.0,0.0
2015-12-23,30.09,30.67,30.01,30.59,2996400,0.0,0.0
2015-12-24,30.57,30.76,30.43,30.53,590800,0.0,0.0
2015-12-28,30.37,30.48,30.0,30.11,873500,0.0,0.0
2015-12-29,30.36,30.74,30.15,30.65,1989600,0.0,0.0
2015-12-30,30.45,30.76,30.27,30.36,1206300,0.0,0.0
2015-12-31,30.19,30.38,30.04,30.07,1077400,0.0,0.0
2016-01-04,29.52,29.96,29.25,29.92,2719300,0.0,0.0
2016-01-05,29.86,30.09,29.28,29.66,1172700,0.0,0.0
2016-01-06,29.06,29.46,28.65,28.98,1673300,0.0,0.0
2016-01-07,28.33,28.69,28.09,28.22,2444900,0.0,0.0
2016-01-08,28.39,28.53,27.67,27.71,3628000,0.0,0.0
2016-01-11,28.03,28.1,27.22,27.62,2844800,0.0,0.0
2016-01-12,28.01,28.08,27.37,28.0,2524800,0.0,0.0
2016-01-13,28.13,28.53,27.3,27.36,2408900,0.0,0.0
2016-01-14,27.5,27.93,27.02,27.63,2500100,0.0,0.0
2016-01-15,26.88,27.35,26.71,27.09,3035100,0.0,0.0
2016-01-19,27.52,27.78,26.43,26.76,1621600,0.0,0.0
2016-01-20,26.26,26.42,25.5,26.1,3358700,0.0,0.0
2016-01-21,26.24,26.52,25.81,26.34,3495100,0.0,0.0
2016-01-22,26.87,27.48,26.32,26.77,2983200,0.0,0.0
2016-01-25,26.71,26.96,26.42,26.46,2894600,0.0,0.0
