Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,33.25,34.0,33.09,34.0,388700,0,0
2015-11-17,33.95,35.0,33.28,34.7,500400,0,0
2015-11-18,34.73,35.0,33.98,35.0,478500,0,0
2015-11-19,35.0,35.0,34.63,34.65,309400,0,0
2015-11-20,34.88,35.03,34.42,34.84,379600,0,0
2015-11-23,34.72,35.25,34.61,34.77,524700,0,0
2015-11-24,34.62,35.61,34.58,35.28,944200,0,0
2015-11-25,35.42,36.4,34.84,36.19,231800,0,0
2015-11-27,36.32,36.88,36.05,36.58,86600,0,0
2015-11-30,36.63,37.08,36.03,36.59,489600,0,0
2015-12-01,36.82,37.37,36.53,37.27,840700,0,0
2015-12-02,37.39,37.44,34.12,36.9,402300,0,0
2015-12-03,36.94,37.05,36.1,36.75,458800,0,0
2015-12-04,36.74,37.22,36.36,36.44,538000,0,0
2015-12-07,36.46,36.66,35.62,36.28,419200,0,0
2015-12-08,36.04,37.29,35.88,36.92,456100,0,0
2015-12-09,36.73,37.43,36.31,36.64,301900,0,0
2015-12-10,36.69,37.64,36.64,37.44,334700,0,0
2015-12-11,36.61,37.27,36.01,36.29,238700,0,0
2015-12-14,36.44,37.17,36.08,36.71,301600,0,0
2015-12-15,36.94,37.44,36.1,36.78,519200,0,0
2015-12-16,36.89,37.22,36.18,36.56,587100,0,0
2015-12-17,36.53,36.82,36.12,36.21,228700,0,0
2015-12-18,36.08,36.71,36.08,36.17,439700,0,0
2015-12-21,36.34,36.61,35.83,36.54,243200,0,0
2015-12-22,36.6,36.87,36.24,36.65,428700,0,0
2015-12-23,36.82,38.35,36.67,38.11,359300,0,0
2015-12-24,38.02,38.28,37.76,37.78,106900,0,0
2015-12-28,37.73,38.66,37.56,38.61,247600,0,0
2015-12-29,38.8,39.46,38.02,39.32,319200,0,0
2015-12-30,39.28,39.52,38.92,39.01,207500,0,0
2015-12-31,38.85,39.05,37.04,37.81,354400,0,0
2016-01-04,37.2,37.53,35.94,37.06,792800,0,0
