Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,28.27,28.85,27.72,28.45,36300,0.26,0
2015-11-17,28.48,28.6,27.87,28.28,66000,0.0,0
2015-11-18,28.44,28.54,27.73,28.37,82300,0.0,0
2015-11-19,28.16,28.43,28.16,28.3,44700,0.0,0
2015-11-20,28.47,28.59,28.32,28.4,47500,0.0,0
2015-11-23,28.27,29.61,28.22,29.56,45200,0.0,0
2015-11-24,29.56,30.09,29.39,30.0,47100,0.0,0
2015-11-25,29.97,30.42,29.71,30.28,42400,0.0,0
2015-11-27,30.12,30.49,29.9,30.06,16700,0.0,0
2015-11-30,30.06,30.67,29.89,30.18,42300,0.0,0
2015-12-01,30.22,30.86,29.66,30.09,58600,0.0,0
2015-12-02,26.43,27.79,24.48,24.67,149400,0.0,0
2015-12-03,24.54,24.93,24.11,24.24,140100,0.0,0
2015-12-04,24.13,24.46,23.3,23.38,98200,0.0,0
2015-12-07,23.36,23.36,22.46,22.58,97400,0.0,0
2015-12-08,22.44,23.04,22.35,22.53,84900,0.0,0
2015-12-09,22.4,23.12,22.4,22.79,56100,0.0,0
2015-12-10,22.78,23.32,22.55,23.09,66100,0.0,0
2015-12-11,23.02,23.18,22.65,22.7,54500,0.0,0
2015-12-14,22.79,23.6,22.51,23.25,86000,0.0,0
2015-12-15,23.39,23.56,22.54,22.58,81700,0.0,0
2015-12-16,22.67,23.05,22.37,22.61,71600,0.0,0
2015-12-17,22.78,22.87,22.34,22.37,98100,0.0,0
2015-12-18,22.35,22.77,22.35,22.71,156100,0.0,0
2015-12-21,22.73,22.98,22.34,22.53,40700,0.0,0
2015-12-22,22.49,23.11,22.35,23.03,73000,0.0,0
2015-12-23,23.22,23.75,23.22,23.7,33400,0.0,0
2015-12-24,23.63,24.14,23.59,23.78,18600,0.0,0
2015-12-28,23.64,24.07,23.42,23.91,24200,0.0,0
2015-12-29,23.99,24.22,23.26,23.7,23700,0.0,0
2015-12-30,23.46,23.64,23.37,23.38,26400,0.0,0
2015-12-31,23.25,23.33,22.37,22.38,38300,0.0,0
2016-01-04,22.29,22.76,21.6,22.43,51800,0.0,0
2016-01-05,22.36,22.92,21.92,22.38,38500,0.0,0
2016-01-06,22.1,23.03,22.09,22.63,47700,0.0,0
2016-01-07,22.3,22.52,22.01,22.14,57500,0.0,0
2016-01-08,22.23,22.47,21.64,21.69,102900,0.0,0
2016-01-11,21.69,22.23,21.45,21.95,53500,0.0,0
2016-01-12,22.1,22.84,21.17,21.3,62200,0.0,0
2016-01-13,21.71,21.71,20.8,20.93,32500,0.0,0
2016-01-14,20.96,21.37,20.69,20.69,105800,0.0,0
2016-01-15,20.13,20.87,19.98,20.56,55300,0.0,0
2016-01-19,20.69,21.03,19.83,19.93,53500,0.0,0
2016-01-20,19.77,20.38,19.77,20.13,124800,0.0,0
2016-01-21,20.13,20.62,19.86,19.92,273100,0.0,0
2016-01-22,20.3,20.62,20.13,20.54,113600,0.0,0
2016-01-25,20.41,20.57,20.01,20.09,58300,0.0,0
2016-01-26,20.07,20.7,20.07,20.63,91000,0.0,0
2016-01-27,20.52,20.85,20.45,20.5,70100,0.0,0
2016-01-28,20.61,21.04,20.61,20.87,125600,0.0,0
2016-01-29,20.81,21.81,20.81,21.53,126000,0.0,0
2016-02-01,21.27,22.38,20.78,21.69,42400,0.0,0
2016-02-02,21.38,23.63,21.38,21.74,63500,0.0,0
2016-02-03,19.77,20.35,19.77,19.79,278300,0.0,0
2016-02-04,19.77,22.12,19.77,21.32,126700,0.0,0
2016-02-05,21.38,22.79,21.38,22.34,163800,0.0,0
2016-02-08,22.1,22.76,21.23,22.18,128700,0.0,0
2016-02-09,21.88,22.42,21.59,22.2,43500,0.0,0
2016-02-10,22.36,22.9,21.58,22.8,174800,0.0,0
2016-02-11,22.49,23.09,21.98,22.34,63500,0.0,0
2016-02-12,22.47,22.75,22.06,22.72,108500,0.26,0
2016-02-16,22.7,23.25,22.06,22.62,91900,0.0,0
2016-02-17,22.82,23.39,22.56,22.87,82000,0.0,0
2016-02-18,23.0,23.12,22.19,22.73,84600,0.0,0
2016-02-19,22.53,23.2,22.39,22.74,38600,0.0,0
2016-02-22,22.93,23.62,21.79,22.88,23600,0.0,0
2016-02-23,22.7,23.13,22.26,22.33,41700,0.0,0
2016-02-24,22.08,22.6,21.91,22.56,33200,0.0,0
2016-02-25,22.91,22.91,22.11,22.39,28900,0.0,0
2016-02-26,22.47,23.06,22.13,22.47,31300,0.0,0
2016-02-29,22.46,23.42,22.46,22.99,55200,0.0,0
2016-03-01,23.04,23.91,22.92,23.69,77300,0.0,0
2016-03-02,23.68,24.25,23.68,24.21,29700,0.0,0
2016-03-03,24.3,24.87,24.18,24.31,59800,0.0,0
2016-03-04,22.66,24.88,22.66,24.27,54300,0.0,0
2016-03-07,24.01,25.29,23.87,25.27,53700,0.0,0
2016-03-08,24.41,25.19,24.41,24.67,56400,0.0,0
2016-03-09,24.76,25.29,24.5,24.74,53500,0.0,0
2016-03-10,24.52,24.72,23.9,24.25,52400,0.0,0
2016-03-11,24.49,25.13,24.25,25.1,44400,0.0,0
2016-03-14,25.05,25.58,24.83,25.05,29500,0.0,0
2016-03-15,24.43,25.53,24.43,24.84,32000,0.0,0
2016-03-16,24.62,24.88,24.62,24.81,22700,0.0,0
2016-03-17,24.79,25.97,24.64,25.57,52600,0.0,0
2016-03-18,25.78,25.78,24.87,25.35,91300,0.0,0
