Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,56.99,57.58,56.96,57.48,30700,0.0,0
2015-11-17,57.76,58.48,57.76,57.97,16200,0.0,0
2015-11-18,58.28,59.06,58.19,59.02,38900,0.0,0
2015-11-19,59.02,59.2,58.7,58.87,9700,0.0,0
2015-11-20,59.12,59.47,59.12,59.24,13600,0.0,0
2015-11-23,59.1,59.32,58.6,58.76,302100,0.0,0
2015-11-24,58.31,58.8,58.27,58.75,108800,0.0,0
2015-11-25,58.81,59.25,58.81,59.1,16500,0.0,0
2015-11-27,59.21,59.32,59.15,59.15,16200,0.0,0
2015-11-30,59.2,59.2,58.66,58.71,46800,0.0,0
2015-12-01,59.1,59.84,58.9,59.81,160000,0.0,0
2015-12-02,59.89,60.15,58.97,59.1,491000,0.0,0
2015-12-03,59.39,59.39,57.94,58.18,289500,0.0,0
2015-12-04,58.43,59.41,58.36,59.34,188600,0.0,0
2015-12-07,59.53,59.55,58.83,59.1,104500,0.0,0
2015-12-08,58.61,59.07,58.6,58.89,263800,0.0,0
2015-12-09,58.75,59.1,58.03,58.31,138500,0.0,0
2015-12-10,58.44,58.99,58.35,58.7,106800,0.0,0
2015-12-11,58.28,58.29,57.74,57.85,65800,0.0,0
2015-12-14,57.88,58.07,57.24,58.07,72800,0.0,0
2015-12-15,58.67,59.2,58.67,58.93,32400,0.0,0
2015-12-16,59.41,59.99,59.05,59.9,72700,0.0,0
2015-12-17,59.89,59.89,59.08,59.08,52100,0.0,0
2015-12-18,58.82,58.97,58.47,58.47,52600,0.0,0
2015-12-21,58.97,59.08,58.42,58.74,58800,0.0,0
2015-12-22,58.91,59.31,58.79,59.27,22200,0.0,0
2015-12-23,59.63,60.13,59.63,60.08,38300,0.0,0
2015-12-24,60.03,60.13,59.97,60.01,7200,0.0,0
2015-12-28,59.71,59.78,59.47,59.61,22800,0.0,0
2015-12-29,60.04,60.29,59.93,60.21,43700,0.204,0
2015-12-30,60.19,60.45,60.05,60.11,1036200,0.0,0
2015-12-31,59.78,59.88,59.41,59.43,58500,0.0,0
2016-01-04,57.97,58.52,57.83,58.38,217700,0.0,0
2016-01-05,58.52,58.95,58.28,58.83,24400,0.0,0
2016-01-06,57.91,58.63,57.54,58.22,25700,0.0,0
2016-01-07,57.19,57.72,56.92,57.06,29600,0.0,0
2016-01-08,57.45,57.45,55.84,55.97,44900,0.0,0
2016-01-11,56.05,56.05,54.27,55.04,422700,0.0,0
2016-01-12,55.64,55.83,54.81,55.61,124500,0.0,0
2016-01-13,55.92,55.99,54.26,54.36,77900,0.0,0
2016-01-14,54.56,55.96,54.13,55.76,100200,0.0,0
2016-01-15,54.27,54.92,54.04,54.85,30400,0.0,0
2016-01-19,55.71,55.81,54.58,55.11,58900,0.0,0
2016-01-20,54.28,55.58,53.5,55.06,133700,0.0,0
2016-01-21,55.08,55.57,54.44,55.14,89900,0.0,0
2016-01-22,55.99,56.21,55.75,55.94,61100,0.0,0
2016-01-25,55.79,56.4,55.69,55.75,77200,0.0,0
2016-01-26,55.98,56.47,55.64,56.39,26500,0.0,0
2016-01-27,56.16,56.49,55.15,55.46,29500,0.0,0
2016-01-28,55.68,55.68,53.69,54.02,102300,0.0,0
2016-01-29,54.17,54.96,54.17,54.81,36600,0.0,0
2016-02-01,55.07,55.29,54.19,55.1,37500,0.0,0
2016-02-02,54.6,54.97,54.01,54.25,249000,0.0,0
2016-02-03,54.37,54.48,53.25,54.3,76500,0.0,0
2016-02-04,53.79,54.26,53.23,53.62,160300,0.0,0
2016-02-05,53.36,53.38,52.8,52.94,69300,0.0,0
2016-02-08,52.14,52.22,51.32,51.94,50900,0.0,0
2016-02-09,51.32,52.37,51.32,51.94,80700,0.0,0
2016-02-10,52.33,52.94,51.92,52.06,116200,0.0,0
2016-02-11,51.44,51.49,50.68,51.16,204200,0.0,0
2016-02-12,51.45,51.93,51.12,51.93,33800,0.0,0
2016-02-16,52.52,52.75,52.16,52.75,53400,0.0,0
2016-02-17,53.04,53.78,53.04,53.72,109000,0.0,0
2016-02-18,53.66,53.7,53.07,53.16,1660900,0.0,0
2016-02-19,52.87,53.11,52.68,52.95,137000,0.0,0
2016-02-22,53.28,53.38,52.9,53.17,33100,0.0,0
2016-02-23,53.12,53.47,52.89,52.9,39500,0.0,0
2016-02-24,52.39,53.16,51.95,53.1,68400,0.0,0
2016-02-25,53.34,54.0,53.29,54.0,16700,0.0,0
2016-02-26,54.16,54.29,53.63,53.63,17000,0.0,0
2016-02-29,53.29,53.29,52.19,52.25,46500,0.0,0
2016-03-01,52.68,53.22,52.33,53.17,38700,0.0,0
2016-03-02,53.1,53.44,53.04,53.4,36300,0.0,0
2016-03-03,53.02,53.06,52.6,53.01,77700,0.0,0
2016-03-04,53.12,53.35,52.88,53.02,36400,0.0,0
2016-03-07,52.91,53.79,52.65,53.55,42200,0.0,0
2016-03-08,53.31,53.43,53.01,53.05,63600,0.0,0
2016-03-09,53.4,53.53,53.15,53.53,96600,0.0,0
2016-03-10,53.86,54.29,53.19,53.55,93300,0.0,0
2016-03-11,53.89,54.73,53.89,54.72,24900,0.0,0
2016-03-14,54.68,54.68,54.25,54.47,218700,0.0,0
2016-03-15,53.74,53.74,52.19,52.26,137500,0.0,0
2016-03-16,52.17,52.24,51.63,51.96,142500,0.0,0
2016-03-17,51.86,51.87,51.05,51.33,349700,0.0,0
2016-03-18,51.23,51.71,51.13,51.71,145800,0.0,0
2016-03-21,51.69,52.14,51.69,52.03,14800,0.0,0
2016-03-22,51.73,52.71,51.73,52.64,34800,0.0,0
2016-03-23,52.72,52.72,52.23,52.28,65400,0.0,0
2016-03-24,52.06,52.25,51.78,52.07,94600,0.0,0
2016-03-28,52.16,52.22,51.61,51.74,58400,0.0,0
2016-03-29,51.74,52.54,51.51,52.51,30500,0.0,0
2016-03-30,52.74,52.89,52.42,52.47,39000,0.0,0
2016-03-31,52.53,52.72,52.25,52.33,28400,0.0,0
2016-04-01,51.91,52.93,51.86,52.85,14800,0.627,0
2016-04-04,53.23,53.7,53.23,53.46,59600,0.0,0
2016-04-05,52.83,52.92,52.57,52.74,222500,0.0,0
2016-04-06,52.84,54.7,52.84,54.7,66200,0.0,0
2016-04-07,54.57,54.76,54.11,54.43,181000,0.0,0
2016-04-08,54.67,54.67,53.86,54.04,18900,0.0,0
2016-04-11,54.32,54.32,53.48,53.56,122200,0.0,0
2016-04-12,53.47,53.94,53.45,53.83,14200,0.0,0
2016-04-13,53.88,54.42,53.64,54.37,34300,0.0,0
2016-04-14,54.39,54.62,54.25,54.53,57400,0.0,0
2016-04-15,54.6,54.6,54.31,54.57,8600,0.0,0
2016-04-18,54.47,55.2,54.39,55.13,119400,0.0,0
2016-04-19,55.33,55.9,55.26,55.56,246500,0.0,0
2016-04-20,55.56,55.83,55.33,55.62,181300,0.0,0
2016-04-21,55.54,56.11,55.54,55.91,236100,0.0,0
2016-04-22,55.79,56.23,55.65,56.0,32900,0.0,0
2016-04-25,55.65,55.66,55.03,55.04,20000,0.0,0
2016-04-26,54.99,54.99,54.61,54.85,21700,0.0,0
2016-04-27,54.75,54.88,54.56,54.73,44000,0.0,0
2016-04-28,54.39,54.53,53.97,54.07,107200,0.0,0
2016-04-29,54.24,54.25,53.23,53.58,73800,0.0,0
2016-05-02,53.6,53.7,53.34,53.69,20200,0.0,0
2016-05-03,53.61,54.27,53.5,53.85,134700,0.0,0
2016-05-04,53.51,53.51,52.83,52.99,47600,0.0,0
2016-05-05,52.8,53.03,52.58,52.95,399000,0.0,0
2016-05-06,52.31,52.43,51.48,51.86,142900,0.0,0
2016-05-09,52.21,52.85,52.21,52.65,31000,0.0,0
2016-05-10,52.75,53.01,52.72,52.92,118100,0.0,0
2016-05-11,52.92,53.05,52.37,52.39,41000,0.0,0
2016-05-12,52.63,52.63,51.7,51.96,53300,0.0,0
2016-05-13,51.86,52.21,51.82,51.95,12100,0.0,0
2016-05-16,52.08,52.76,51.92,52.74,24800,0.0,0
2016-05-17,52.66,52.75,52.31,52.57,23700,0.0,0
2016-05-18,52.61,53.13,52.46,52.89,40200,0.0,0
2016-05-19,52.74,52.74,51.86,52.31,18200,0.0,0
2016-05-20,52.54,53.05,52.54,52.95,10000,0.0,0
2016-05-23,53.07,53.07,52.54,52.59,136000,0.0,0
2016-05-24,52.87,53.47,52.87,53.46,38300,0.0,0
2016-05-25,53.77,54.01,53.68,53.87,133300,0.0,0
2016-05-26,53.91,54.03,53.7,53.91,38900,0.0,0
2016-05-27,53.93,54.24,53.93,54.03,26100,0.0,0
2016-05-31,54.09,54.3,53.9,54.16,31500,0.0,0
2016-06-01,53.84,54.62,53.84,54.44,52100,0.0,0
2016-06-02,54.39,55.12,54.39,55.08,119000,0.0,0
2016-06-03,55.07,55.13,54.5,54.97,29000,0.0,0
2016-06-06,54.9,55.31,54.9,55.2,32500,0.0,0
2016-06-07,55.08,55.15,54.81,55.02,23400,0.0,0
2016-06-08,55.04,55.04,54.81,54.94,104200,0.0,0
2016-06-09,54.54,54.95,54.44,54.49,37900,0.0,0
2016-06-10,53.52,53.81,53.38,53.58,67000,0.0,0
2016-06-13,53.27,53.7,53.09,53.16,36300,0.0,0
2016-06-14,52.66,53.07,52.43,53.03,44600,0.0,0
2016-06-15,53.17,53.41,52.65,52.65,32700,0.0,0
2016-06-16,52.41,52.78,52.04,52.73,33000,0.0,0
2016-06-17,52.93,52.93,52.1,52.31,33800,0.0,0
2016-06-20,53.23,53.31,52.76,52.81,35600,0.0,0
