Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,25.85,26.57,25.84,26.56,4382300,0.0,0
2015-11-17,26.47,26.67,25.95,26.05,3353300,0.0,0
2015-11-18,26.07,26.31,25.76,26.24,3662900,0.0,0
2015-11-19,26.33,26.67,26.33,26.62,4281100,0.0,0
2015-11-20,26.8,27.16,26.68,26.93,6515100,0.0,0
2015-11-23,27.26,27.32,26.42,26.51,4436600,0.0,0
2015-11-24,26.37,26.52,26.13,26.48,4136200,0.0,0
2015-11-25,26.47,26.48,26.09,26.26,3172800,0.0,0
2015-11-27,26.26,26.37,26.21,26.26,2026400,0.0,0
2015-11-30,26.32,26.78,26.26,26.57,6453100,0.0,0
2015-12-01,26.69,26.8,26.4,26.69,7239000,0.0,0
2015-12-02,26.57,26.65,25.83,25.9,5805800,0.0,0
2015-12-03,25.77,25.9,25.64,25.77,5776500,0.0,0
2015-12-04,25.87,26.38,25.87,26.33,5228700,0.0,0
2015-12-07,26.24,26.38,25.97,26.2,6527100,0.0,0
2015-12-08,26.15,26.22,26.01,26.14,4660100,0.378,0
2015-12-09,26.03,26.59,26.0,26.39,4937000,0.0,0
2015-12-10,26.33,26.37,25.95,26.0,3079900,0.0,0
2015-12-11,25.84,26.07,25.71,25.82,3855300,0.0,0
2015-12-14,25.77,25.96,25.55,25.87,4005900,0.0,0
2015-12-15,25.95,26.33,25.9,26.26,3952700,0.0,0
2015-12-16,26.36,26.77,26.33,26.71,5380100,0.0,0
2015-12-17,26.69,26.92,26.48,26.78,3339300,0.0,0
2015-12-18,26.71,26.73,26.24,26.56,6779600,0.0,0
2015-12-21,26.63,26.71,26.26,26.35,3737400,0.0,0
2015-12-22,26.43,26.77,26.17,26.69,4702900,0.0,0
2015-12-23,26.82,27.16,26.8,27.03,3840100,0.0,0
2015-12-24,26.97,27.17,26.92,27.05,1269100,0.0,0
2015-12-28,26.93,27.08,26.86,26.95,2733700,0.0,0
2015-12-29,27.11,27.22,27.03,27.19,2857900,0.0,0
2015-12-30,27.2,27.21,26.97,27.11,2568000,0.0,0
2015-12-31,27.15,27.15,26.64,26.94,3044700,0.0,0
2016-01-04,26.76,26.78,26.34,26.59,5092500,0.0,0
2016-01-05,26.6,26.92,26.23,26.87,5068800,0.0,0
2016-01-06,26.66,26.94,26.56,26.78,4119100,0.0,0
2016-01-07,26.58,26.71,26.38,26.48,3897700,0.0,0
2016-01-08,26.5,26.7,26.31,26.36,5717700,0.0,0
2016-01-11,26.52,26.85,26.41,26.75,5937800,0.0,0
2016-01-12,26.83,26.83,26.26,26.48,5806400,0.0,0
2016-01-13,26.54,26.72,26.37,26.45,4977500,0.0,0
2016-01-14,26.48,27.16,26.23,26.97,6294400,0.0,0
2016-01-15,26.53,26.83,26.03,26.28,6194400,0.0,0
2016-01-19,26.48,26.65,26.26,26.55,6161400,0.0,0
2016-01-20,26.37,26.48,25.4,25.89,8371500,0.0,0
2016-01-21,25.97,26.3,25.75,26.23,5108800,0.0,0
2016-01-22,26.41,26.92,26.24,26.85,4789700,0.0,0
2016-01-25,26.82,26.97,26.61,26.65,4359600,0.0,0
2016-01-26,26.68,27.07,26.57,26.71,4058200,0.0,0
2016-01-27,26.61,26.93,26.48,26.71,3901000,0.0,0
2016-01-28,26.71,27.27,26.52,27.09,3880700,0.0,0
2016-01-29,27.38,27.75,27.23,27.68,5248900,0.0,0
2016-02-01,27.75,28.5,27.69,28.36,10278200,0.0,0
2016-02-02,28.08,28.87,28.04,28.71,8670800,0.0,0
2016-02-03,28.79,29.25,28.7,28.96,7882000,0.0,0
2016-02-04,28.71,29.39,28.34,28.94,8225200,0.0,0
2016-02-05,28.67,28.85,28.3,28.55,7619500,0.0,0
2016-02-08,28.24,28.74,28.12,28.41,5847800,0.0,0
2016-02-09,28.4,28.85,28.22,28.52,5172200,0.0,0
2016-02-10,28.43,28.79,28.11,28.63,4498000,0.0,0
2016-02-11,28.5,28.7,28.27,28.34,4446700,0.0,0
2016-02-12,28.38,28.46,28.05,28.21,4590800,0.0,0
2016-02-16,28.35,28.62,28.1,28.44,4805500,0.0,0
2016-02-17,28.5,28.58,28.25,28.41,3542300,0.0,0
2016-02-18,28.47,28.93,28.36,28.83,3729100,0.0,0
2016-02-19,28.82,28.84,28.47,28.62,5287300,0.0,0
2016-02-22,28.64,28.7,28.02,28.42,6808600,0.0,0
2016-02-23,28.42,28.7,28.34,28.47,3031300,0.0,0
2016-02-24,28.42,28.55,27.96,28.36,6767300,0.0,0
2016-02-25,28.47,28.71,28.23,28.7,5827700,0.0,0
2016-02-26,28.55,28.66,27.43,27.49,9262600,0.0,0
2016-02-29,27.49,28.1,27.35,27.62,6843900,0.0,0
2016-03-01,27.8,27.88,27.32,27.5,6173700,0.0,0
2016-03-02,27.39,27.58,26.84,27.57,5463700,0.0,0
2016-03-03,27.65,27.84,27.29,27.83,4235600,0.0,0
2016-03-04,27.64,28.35,27.49,28.16,4531900,0.0,0
2016-03-07,28.16,28.56,28.03,28.47,5442600,0.0,0
2016-03-08,28.46,28.78,28.33,28.69,3934100,0.38,0
2016-03-09,28.72,29.2,28.72,29.09,4374100,0.0,0
2016-03-10,29.08,29.19,28.83,29.16,4777500,0.0,0
2016-03-11,29.18,29.34,29.03,29.17,3440600,0.0,0
2016-03-14,29.08,29.26,28.87,29.01,2698800,0.0,0
2016-03-15,28.9,29.22,28.87,29.13,2629900,0.0,0
2016-03-16,29.13,29.5,28.83,29.46,3361600,0.0,0
2016-03-17,29.44,30.06,29.34,29.97,5114600,0.0,0
2016-03-18,29.87,30.05,29.54,29.57,7565900,0.0,0
2016-03-21,29.65,29.86,29.36,29.67,3285500,0.0,0
2016-03-22,29.72,29.81,29.49,29.53,4799700,0.0,0
2016-03-23,29.5,29.71,29.3,29.57,4762900,0.0,0
2016-03-24,29.57,29.77,29.42,29.67,2370600,0.0,0
2016-03-28,29.73,29.87,29.49,29.65,1648700,0.0,0
2016-03-29,29.74,30.01,29.61,30.0,3051900,0.0,0
2016-03-30,30.1,30.2,29.89,30.08,2157500,0.0,0
2016-03-31,30.05,30.39,29.97,30.37,4788900,0.0,0
2016-04-01,30.4,30.5,30.02,30.47,3563900,0.0,0
2016-04-04,30.51,30.56,30.14,30.34,2377100,0.0,0
2016-04-05,30.25,30.31,29.68,29.78,4191700,0.0,0
2016-04-06,29.74,30.01,29.46,29.97,3917600,0.0,0
2016-04-07,29.94,30.09,29.71,29.81,2960600,0.0,0
2016-04-08,29.95,30.1,29.75,29.84,2644900,0.0,0
2016-04-11,29.79,30.06,29.65,29.67,2136400,0.0,0
2016-04-12,29.69,29.95,29.6,29.89,2252800,0.0,0
2016-04-13,29.89,29.89,29.4,29.61,3345400,0.0,0
2016-04-14,29.5,29.72,29.48,29.56,1763500,0.0,0
2016-04-15,29.58,29.99,29.5,29.95,3350000,0.0,0
2016-04-18,30.03,30.15,29.79,30.1,2540500,0.0,0
2016-04-19,30.16,30.25,29.91,30.16,3349000,0.0,0
2016-04-20,30.13,30.2,29.53,29.56,4406800,0.0,0
2016-04-21,29.54,29.56,28.83,28.94,6576100,0.0,0
2016-04-22,28.94,29.18,28.94,29.13,2863100,0.0,0
2016-04-25,29.12,29.22,29.0,29.16,3261200,0.0,0
2016-04-26,29.18,29.24,28.94,29.09,6044600,0.0,0
2016-04-27,29.22,29.64,29.09,29.41,5312300,0.0,0
2016-04-28,29.18,29.75,29.06,29.73,4012300,0.0,0
2016-04-29,29.75,30.12,29.5,30.03,5431000,0.0,0
2016-05-02,30.03,30.78,30.03,30.6,6228200,0.0,0
2016-05-03,30.53,30.68,30.24,30.38,4723400,0.0,0
2016-05-04,30.33,30.8,30.2,30.61,3740800,0.0,0
2016-05-05,30.54,30.94,30.45,30.57,4598200,0.0,0
2016-05-06,30.56,30.6,30.21,30.56,3081600,0.0,0
2016-05-09,30.6,30.78,30.54,30.67,3210100,0.0,0
2016-05-10,30.84,30.88,30.58,30.69,4010000,0.0,0
2016-05-11,30.77,30.92,30.57,30.88,3430300,0.0,0
2016-05-12,30.84,31.18,30.72,31.04,3079600,0.0,0
2016-05-13,30.96,31.11,30.8,31.03,4388300,0.0,0
2016-05-16,30.92,31.0,30.74,30.96,5012500,0.0,0
2016-05-17,30.91,30.94,30.37,30.56,3958400,0.0,0
2016-05-18,30.38,30.48,29.69,29.9,6571100,0.0,0
2016-05-19,29.74,30.26,29.6,30.24,3854200,0.0,0
2016-05-20,30.35,30.38,30.13,30.29,3891300,0.0,0
2016-05-23,30.3,30.36,29.86,29.88,4228700,0.0,0
2016-05-24,30.02,30.44,29.93,30.37,4609200,0.0,0
2016-05-25,30.18,30.4,30.05,30.32,2796300,0.0,0
2016-05-26,30.35,30.78,30.25,30.76,3537200,0.0,0
2016-05-27,30.8,30.88,30.58,30.86,3183000,0.0,0
2016-05-31,30.79,30.97,30.56,30.75,5127000,0.0,0
2016-06-01,30.69,30.92,30.67,30.83,4451200,0.0,0
2016-06-02,30.75,30.8,30.49,30.77,2738300,0.0,0
2016-06-03,31.07,31.45,31.03,31.35,5485300,0.0,0
2016-06-06,31.35,31.53,31.15,31.29,4101400,0.0,0
2016-06-07,31.27,31.51,31.23,31.31,4206300,0.0,0
2016-06-08,31.2,31.35,31.18,31.31,3729600,0.38,0
2016-06-09,31.32,31.66,31.31,31.62,3420800,0.0,0
2016-06-10,31.56,31.77,31.52,31.68,4889900,0.0,0
2016-06-13,31.64,31.81,31.19,31.24,7121800,0.0,0
2016-06-14,31.31,31.44,31.01,31.42,4726600,0.0,0
2016-06-15,31.48,31.5,31.2,31.28,6038900,0.0,0
2016-06-16,31.4,31.46,31.11,31.42,5758400,0.0,0
2016-06-17,31.37,31.56,31.3,31.45,10131400,0.0,0
2016-06-20,31.55,32.08,31.48,31.97,7514700,0.0,0
2016-06-21,31.93,32.16,31.77,31.96,3633100,0.0,0
2016-06-22,31.96,32.13,31.64,31.67,3676900,0.0,0
2016-06-23,31.8,31.83,31.56,31.77,5231500,0.0,0
2016-06-24,30.47,31.02,29.78,29.95,16873500,0.0,0
2016-06-27,29.65,29.84,29.28,29.46,8933500,0.0,0
2016-06-28,29.61,29.74,29.27,29.53,8182100,0.0,0
2016-06-29,29.69,29.86,29.51,29.85,5886700,0.0,0
2016-06-30,29.94,30.46,29.86,30.41,7844300,0.0,0
2016-07-01,30.45,30.52,30.03,30.29,4513300,0.0,0
2016-07-05,30.29,30.4,30.19,30.31,5298300,0.0,0
2016-07-06,30.3,30.36,29.69,30.05,6336100,0.0,0
2016-07-07,30.07,30.15,29.74,29.78,5092400,0.0,0
2016-07-08,29.86,30.19,29.53,30.18,3948300,0.0,0
2016-07-11,30.09,30.35,29.94,30.32,3770100,0.0,0
2016-07-12,30.12,30.35,30.01,30.05,4980100,0.0,0
2016-07-13,30.2,30.26,29.98,30.23,4166500,0.0,0
2016-07-14,30.02,30.11,29.86,29.88,6094300,0.0,0
2016-07-15,29.93,30.01,29.78,29.93,3766200,0.0,0
2016-07-18,30.0,30.16,29.94,30.07,3456800,0.0,0
2016-07-19,30.07,30.15,29.86,29.94,3619200,0.0,0
2016-07-20,29.98,30.05,29.73,29.77,3804400,0.0,0
2016-07-21,29.65,29.94,29.56,29.91,3015500,0.0,0
2016-07-22,29.93,30.4,29.9,30.37,4067400,0.0,0
2016-07-25,30.33,30.36,30.01,30.24,3406200,0.0,0
2016-07-26,30.22,30.33,29.78,30.07,4495300,0.0,0
2016-07-27,30.01,30.07,29.62,29.82,3738600,0.0,0
2016-07-28,29.76,30.06,29.71,30.0,2564000,0.0,0
2016-07-29,29.99,30.4,29.99,30.38,3644700,0.0,0
2016-08-01,30.34,30.42,30.16,30.29,2768400,0.0,0
2016-08-02,30.17,30.26,29.81,29.94,3725700,0.0,0
2016-08-03,29.94,29.99,29.72,29.89,3503800,0.0,0
2016-08-04,29.94,30.02,29.7,29.78,3035300,0.0,0
2016-08-05,29.65,29.75,29.45,29.61,4534800,0.0,0
2016-08-08,29.72,29.86,29.49,29.52,4379100,0.0,0
2016-08-09,29.3,29.49,28.85,29.2,5184400,0.0,0
2016-08-10,29.07,29.16,28.83,29.03,4498600,0.0,0
2016-08-11,29.03,29.33,28.92,29.32,4333000,0.0,0
2016-08-12,29.45,29.61,29.2,29.21,3372400,0.0,0
2016-08-15,29.21,29.32,28.5,28.54,5366500,0.0,0
2016-08-16,28.45,28.46,28.15,28.17,4913200,0.0,0
2016-08-17,28.14,28.58,27.84,28.49,6565000,0.0,0
2016-08-18,28.41,28.68,28.41,28.66,4370200,0.0,0
2016-08-19,28.5,28.58,28.16,28.32,4016700,0.0,0
2016-08-22,28.42,28.55,28.25,28.54,4191400,0.0,0
2016-08-23,28.59,28.81,28.41,28.41,3456600,0.0,0
2016-08-24,28.41,28.52,28.14,28.41,4336800,0.0,0
2016-08-25,28.47,28.53,28.36,28.45,2701200,0.0,0
2016-08-26,28.45,28.69,27.89,27.92,3505300,0.0,0
2016-08-29,28.08,28.25,27.87,28.18,3079000,0.0,0
2016-08-30,28.16,28.33,27.73,27.8,5063400,0.0,0
2016-08-31,27.8,28.03,27.67,28.02,6481300,0.0,0
2016-09-01,28.0,28.07,27.7,27.75,4781500,0.0,0
2016-09-02,27.88,28.25,27.87,28.22,4873000,0.0,0
2016-09-06,28.33,28.59,28.29,28.45,4180000,0.0,0
2016-09-07,28.45,28.46,28.14,28.27,3798300,0.38,0
2016-09-08,28.23,28.5,28.23,28.45,4375200,0.0,0
2016-09-09,28.27,28.27,27.37,27.39,5697000,0.0,0
2016-09-12,27.31,27.89,27.3,27.86,6921600,0.0,0
2016-09-13,27.85,27.86,27.4,27.49,4794400,0.0,0
2016-09-14,27.65,28.07,27.59,27.8,5171900,0.0,0
2016-09-15,27.78,28.29,27.67,28.24,4838600,0.0,0
2016-09-16,28.18,28.6,28.03,28.58,7192400,0.0,0
2016-09-19,28.63,28.67,28.41,28.59,3970200,0.0,0
2016-09-20,28.66,28.71,28.3,28.32,4428400,0.0,0
2016-09-21,28.32,28.9,28.3,28.87,4460000,0.0,0
2016-09-22,29.01,29.23,28.97,29.17,3435500,0.0,0
2016-09-23,28.91,29.16,28.83,29.07,4155500,0.0,0
2016-09-26,29.05,29.16,28.89,29.12,4682300,0.0,0
2016-09-27,29.24,29.27,28.62,28.7,4739100,0.0,0
2016-09-28,28.81,28.89,28.36,28.59,4123000,0.0,0
2016-09-29,28.52,28.54,28.28,28.36,4647400,0.0,0
2016-09-30,28.4,28.56,28.01,28.15,4998500,0.0,0
2016-10-03,28.08,28.15,27.45,27.65,5283400,0.0,0
2016-10-04,27.65,27.69,26.67,26.79,9571700,0.0,0
2016-10-05,26.83,26.87,26.35,26.59,10898300,0.0,0
2016-10-06,26.52,26.64,26.38,26.47,8117100,0.0,0
2016-10-07,26.49,27.07,26.13,26.26,8085400,0.0,0
2016-10-10,26.32,26.52,26.27,26.48,3945700,0.0,0
2016-10-11,26.43,26.55,26.16,26.22,4339800,0.0,0
2016-10-12,26.42,26.64,26.35,26.48,5738200,0.0,0
2016-10-13,26.43,27.2,26.36,26.87,12995500,0.0,0
2016-10-14,26.84,27.01,26.71,26.81,5691600,0.0,0
2016-10-17,26.83,27.0,26.76,26.92,3411400,0.0,0
2016-10-18,27.1,27.26,26.89,27.21,3877400,0.0,0
2016-10-19,27.14,27.31,27.06,27.17,3401800,0.0,0
2016-10-20,27.22,27.43,27.11,27.35,5049800,0.0,0
2016-10-21,27.22,27.35,26.99,27.14,3454500,0.0,0
2016-10-24,27.22,27.36,27.06,27.31,2485000,0.0,0
2016-10-25,27.22,27.48,27.2,27.44,2796200,0.0,0
2016-10-26,27.38,27.62,27.22,27.56,2950500,0.0,0
2016-10-27,27.42,27.55,27.31,27.43,3847000,0.0,0
2016-10-28,27.44,27.65,27.39,27.53,3562300,0.0,0
2016-10-31,27.66,28.15,27.57,27.97,5208600,0.0,0
2016-11-01,28.49,28.49,27.58,27.69,6690100,0.0,0
2016-11-02,27.63,27.78,27.3,27.62,4624500,0.0,0
2016-11-03,27.62,28.05,27.53,27.77,4768900,0.0,0
2016-11-04,27.91,28.06,27.7,27.71,3861500,0.0,0
2016-11-07,27.83,28.14,27.56,28.14,4026800,0.0,0
2016-11-08,28.19,28.45,28.09,28.29,3378400,0.0,0
2016-11-09,27.73,27.8,27.24,27.35,5569600,0.0,0
2016-11-10,27.21,27.42,26.43,26.96,6914600,0.0,0
2016-11-11,26.96,27.33,26.85,27.0,4951100,0.0,0
2016-11-14,26.87,26.95,26.55,26.76,7600700,0.0,0
2016-11-15,26.87,27.09,26.77,27.07,5239100,0.0,0
2016-11-16,27.15,27.22,26.61,26.77,3562000,0.0,0
2016-11-17,26.71,26.93,26.68,26.74,2987600,0.0,0
2016-11-18,26.79,26.96,26.61,26.74,2901100,0.0,0
2016-11-21,26.86,27.17,26.75,27.15,4023900,0.0,0
2016-11-22,27.07,27.26,26.93,27.14,3352100,0.0,0
2016-11-23,26.89,27.07,26.63,26.72,3219200,0.0,0
2016-11-25,26.79,27.25,26.79,27.14,1783900,0.0,0
2016-11-28,27.21,27.94,27.21,27.81,4966600,0.0,0
2016-11-29,27.75,28.0,27.71,27.84,4035500,0.0,0
2016-11-30,27.49,27.79,27.25,27.25,6759900,0.0,0
2016-12-01,27.1,27.15,26.7,26.96,4619000,0.0,0
2016-12-02,27.14,27.34,26.93,27.15,3488700,0.0,0
2016-12-05,27.01,27.09,26.77,27.08,5499000,0.0,0
2016-12-06,27.12,27.18,26.83,26.94,4690100,0.0,0
2016-12-07,27.02,27.28,26.93,27.27,4298400,0.38,0
2016-12-08,27.1,27.38,26.95,27.28,4636800,0.0,0
2016-12-09,27.33,27.64,27.29,27.61,4871100,0.0,0
2016-12-12,27.54,28.06,27.51,27.96,3808900,0.0,0
2016-12-13,27.99,28.22,27.9,28.18,3751900,0.0,0
2016-12-14,28.35,28.52,27.75,27.83,4936900,0.0,0
2016-12-15,27.65,28.21,27.62,28.13,4126300,0.0,0
2016-12-16,28.18,28.75,28.07,28.53,9949700,0.0,0
2016-12-19,28.65,28.7,28.13,28.49,3911600,0.0,0
2016-12-20,28.48,28.59,28.34,28.42,3195300,0.0,0
2016-12-21,28.39,28.68,28.35,28.37,2770100,0.0,0
2016-12-22,28.34,28.41,28.17,28.39,2621100,0.0,0
2016-12-23,28.43,28.43,28.09,28.25,1730600,0.0,0
2016-12-27,28.25,28.31,28.07,28.18,2290400,0.0,0
2016-12-28,28.24,28.26,27.83,27.9,3203200,0.0,0
2016-12-29,28.0,28.28,27.91,28.23,2885700,0.0,0
2016-12-30,28.27,28.31,27.97,28.05,2751700,0.0,0
2017-01-03,28.05,28.18,27.83,28.04,3367000,0.0,0
2017-01-04,28.05,28.43,28.01,28.09,3187400,0.0,0
2017-01-05,28.15,28.27,27.84,28.26,3497000,0.0,0
2017-01-06,28.15,28.5,28.08,28.47,3542700,0.0,0
2017-01-09,28.46,28.56,28.14,28.19,5474700,0.0,0
2017-01-10,28.13,28.18,27.78,27.96,3255400,0.0,0
2017-01-11,27.98,28.27,27.95,28.21,2423100,0.0,0
2017-01-12,28.2,28.52,28.17,28.42,3872000,0.0,0
2017-01-13,28.35,28.43,28.16,28.31,2692900,0.0,0
2017-01-17,28.19,28.65,28.19,28.58,6164700,0.0,0
2017-01-18,28.53,28.62,28.41,28.46,2218800,0.0,0
2017-01-19,28.27,28.47,28.12,28.2,2359900,0.0,0
2017-01-20,28.25,28.35,28.09,28.34,2596500,0.0,0
2017-01-23,28.4,28.53,28.24,28.31,2403100,0.0,0
2017-01-24,28.31,28.56,28.23,28.51,2801300,0.0,0
2017-01-25,28.41,28.55,28.33,28.44,2582700,0.0,0
2017-01-26,28.42,28.62,28.23,28.35,2140400,0.0,0
2017-01-27,28.42,28.46,28.13,28.23,2556100,0.0,0
2017-01-30,28.29,28.33,28.08,28.32,3147600,0.0,0
2017-01-31,28.34,28.77,28.3,28.7,5204300,0.0,0
2017-02-01,28.55,29.16,28.49,28.79,4932300,0.0,0
2017-02-02,28.91,29.13,28.74,29.07,3231900,0.0,0
2017-02-03,29.11,29.31,29.08,29.21,3200200,0.0,0
2017-02-06,29.3,29.35,29.02,29.03,4001900,0.0,0
2017-02-07,29.11,29.24,29.02,29.16,2206000,0.0,0
2017-02-08,29.09,29.39,29.08,29.37,2601200,0.0,0
2017-02-09,29.37,29.41,29.09,29.18,3444300,0.0,0
2017-02-10,29.12,29.35,29.11,29.25,3707000,0.0,0
2017-02-13,29.28,29.44,29.13,29.44,2261500,0.0,0
2017-02-14,29.35,29.39,29.09,29.22,2663700,0.0,0
2017-02-15,29.02,29.3,28.9,29.23,2317200,0.0,0
2017-02-16,29.15,29.43,29.12,29.43,2694700,0.0,0
2017-02-17,29.45,29.49,29.11,29.35,3438400,0.0,0
2017-02-21,29.34,29.75,29.23,29.68,2632500,0.0,0
2017-02-22,29.71,29.88,29.62,29.82,2367800,0.0,0
2017-02-23,29.95,30.19,29.85,30.09,2609600,0.0,0
2017-02-24,30.14,30.34,30.01,30.34,3255900,0.0,0
2017-02-27,30.34,30.37,30.1,30.13,3023800,0.0,0
2017-02-28,30.13,30.49,30.13,30.38,4154300,0.0,0
2017-03-01,30.07,30.44,29.93,30.26,3614900,0.0,0
2017-03-02,30.13,30.51,30.11,30.35,2655700,0.0,0
2017-03-03,30.37,30.38,29.99,30.22,3151500,0.0,0
2017-03-06,30.2,30.32,30.02,30.3,2999400,0.0,0
2017-03-07,30.28,30.39,30.14,30.31,3334600,0.0,0
2017-03-08,30.05,30.1,29.83,30.01,4177400,0.395,0
2017-03-09,29.99,30.18,29.94,30.01,3192900,0.0,0
2017-03-10,30.16,30.29,30.03,30.25,2789200,0.0,0
2017-03-13,30.21,30.36,30.14,30.36,3234200,0.0,0
2017-03-14,30.3,30.36,30.18,30.34,1976300,0.0,0
2017-03-15,30.39,30.88,30.38,30.73,3548400,0.0,0
2017-03-16,30.68,30.69,30.47,30.6,2841500,0.0,0
2017-03-17,30.68,30.98,30.62,30.8,5653700,0.0,0
2017-03-20,30.83,30.92,30.53,30.65,2548900,0.0,0
2017-03-21,30.64,31.33,30.64,31.2,3871400,0.0,0
2017-03-22,31.33,31.55,31.21,31.35,3597500,0.0,0
2017-03-23,31.31,31.6,31.25,31.35,2901900,0.0,0
2017-03-24,31.34,31.5,31.22,31.31,2269000,0.0,0
2017-03-27,31.47,31.57,31.13,31.28,3220200,0.0,0
2017-03-28,31.15,31.43,31.1,31.4,4009700,0.0,0
2017-03-29,31.32,31.32,30.94,31.18,4513200,0.0,0
2017-03-30,31.08,31.12,30.89,31.01,2969000,0.0,0
2017-03-31,31.05,31.31,30.99,31.14,3518700,0.0,0
2017-04-03,31.13,31.13,30.74,30.9,6326900,0.0,0
2017-04-04,30.95,31.22,30.89,31.12,3121100,0.0,0
2017-04-05,31.06,31.28,30.99,31.24,3362500,0.0,0
2017-04-06,31.21,31.23,31.03,31.15,3097100,0.0,0
2017-04-07,31.21,31.31,31.02,31.04,2586900,0.0,0
2017-04-10,31.02,31.1,30.82,31.05,2472900,0.0,0
2017-04-11,31.03,31.19,30.9,31.1,2573900,0.0,0
2017-04-12,31.1,31.46,31.0,31.46,3258500,0.0,0
2017-04-13,31.42,31.48,31.2,31.3,2756900,0.0,0
2017-04-17,31.35,31.59,31.34,31.59,3341700,0.0,0
2017-04-18,31.55,31.89,31.55,31.73,4097900,0.0,0
2017-04-19,31.65,31.68,31.32,31.45,3175100,0.0,0
2017-04-20,31.45,31.53,31.16,31.48,2644900,0.0,0
2017-04-21,31.47,31.75,31.44,31.59,3919900,0.0,0
2017-04-24,31.63,31.7,31.41,31.65,3471300,0.0,0
2017-04-25,31.59,31.78,31.53,31.78,2756200,0.0,0
2017-04-26,31.68,31.86,31.59,31.6,2802800,0.0,0
2017-04-27,31.59,31.91,31.57,31.71,2067400,0.0,0
2017-04-28,31.73,31.83,31.64,31.74,3254000,0.0,0
