Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,23.52,23.57,23.48,23.48,5900,0.0,0
2015-11-17,23.81,23.81,23.81,23.81,5600,0.0,0
2015-11-18,23.92,24.04,23.87,24.04,20300,0.0,0
2015-11-19,24.14,24.14,24.14,24.14,100,0.0,0
2015-11-20,24.36,24.36,24.36,24.36,100,0.0,0
2015-11-23,24.26,24.28,24.26,24.28,500,0.0,0
2015-11-24,24.15,24.15,24.08,24.08,200,0.0,0
2015-11-25,24.08,24.08,24.08,24.08,0,0.0,0
2015-11-27,23.92,23.92,23.92,23.92,0,0.0,0
2015-11-30,23.92,23.92,23.92,23.92,0,0.0,0
2015-12-01,23.92,23.92,23.92,23.92,0,0.0,0
2015-12-02,23.92,23.92,23.92,23.92,0,0.0,0
2015-12-03,23.9,23.93,23.69,23.69,50100,0.0,0
2015-12-04,24.1,24.38,24.1,24.35,21100,0.0,0
2015-12-07,24.04,24.04,24.02,24.02,400,0.0,0
2015-12-08,23.81,23.81,23.81,23.81,100,0.0,0
2015-12-09,24.05,24.81,23.58,24.18,570300,0.0,0
2015-12-10,23.86,24.01,23.8,23.84,59600,0.0,0
2015-12-11,23.52,23.52,23.28,23.28,6200,0.0,0
2015-12-14,23.27,23.33,23.04,23.22,7400,0.0,0
2015-12-15,23.79,23.85,23.66,23.76,54400,0.0,0
2015-12-16,23.79,24.18,23.79,24.13,27400,0.0,0
2015-12-17,24.21,24.21,23.79,23.89,24200,0.0,0
2015-12-18,23.29,23.29,23.29,23.29,1900,0.0,0
2015-12-21,23.29,23.33,23.24,23.32,42700,0.0,0
2015-12-22,23.47,23.7,23.46,23.63,15900,0.0,0
2015-12-23,23.93,23.95,23.93,23.94,20000,0.0,0
2015-12-24,24.0,24.03,23.99,24.01,900,0.0,0
2015-12-28,23.79,23.79,23.79,23.79,100,0.0,0
2015-12-29,24.26,24.26,24.21,24.21,1100,0.0,0
2015-12-30,24.16,24.16,24.02,24.02,1300,0.0,0
2015-12-31,23.85,23.91,23.81,23.83,2700,0.0,0
2016-01-04,23.04,23.04,23.04,23.04,300,0.0,0
2016-01-05,23.32,23.38,23.21,23.38,2600,0.0,0
2016-01-06,23.0,23.0,22.95,22.95,200,0.0,0
2016-01-07,22.51,22.51,22.36,22.36,900,0.0,0
2016-01-08,22.45,22.45,22.2,22.2,3400,0.0,0
2016-01-11,21.97,21.97,21.89,21.89,1300,0.0,0
2016-01-12,22.31,22.31,22.04,22.17,10200,0.0,0
2016-01-13,21.86,21.86,21.59,21.59,1000,0.0,0
2016-01-14,21.52,22.13,21.52,22.12,1000,0.0,0
2016-01-15,21.33,21.44,21.17,21.25,800,0.0,0
2016-01-19,21.68,21.68,21.48,21.48,500,0.0,0
2016-01-20,20.94,21.31,20.66,21.1,4300,0.0,0
2016-01-21,21.11,21.51,21.11,21.34,44900,0.0,0
2016-01-22,21.66,21.75,21.59,21.73,2900,0.0,0
2016-01-25,21.59,21.59,21.41,21.41,400,0.0,0
2016-01-26,21.44,21.63,21.44,21.63,400,0.0,0
2016-01-27,21.66,21.66,21.66,21.66,900,0.0,0
2016-01-28,21.63,21.65,21.56,21.65,300,0.0,0
2016-01-29,21.78,22.11,21.78,22.11,23200,0.0,0
2016-02-01,22.05,22.05,22.02,22.02,2400,0.0,0
2016-02-02,21.94,21.94,21.94,21.94,100,0.0,0
2016-02-03,21.62,21.8,21.62,21.8,300,0.0,0
2016-02-04,21.78,22.03,21.78,22.03,500,0.0,0
2016-02-05,21.81,21.81,21.33,21.34,700,0.0,0
2016-02-08,20.98,20.98,20.74,20.98,7100,0.0,0
2016-02-09,20.73,20.89,20.73,20.89,500,0.0,0
2016-02-10,21.15,21.38,20.98,20.98,900,0.0,0
2016-02-11,20.98,20.98,20.98,20.98,0,0.0,0
2016-02-12,21.03,21.03,21.03,21.03,300,0.0,0
