Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,12.85,13.26,12.6,12.74,24400,0,0
2015-11-17,12.78,13.1,12.78,13.05,40300,0,0
2015-11-18,13.025,13.16,12.87,13.05,7300,0,0
2015-11-19,13.0,13.2,12.66,13.14,16400,0,0
2015-11-20,12.84,13.33,12.78,13.09,9200,0,0
2015-11-23,8.7,11.03,8.47,9.85,402700,0,0
2015-11-24,9.85,9.87,9.105,9.25,87400,0,0
2015-11-25,8.7,9.19,8.7,9.0,278900,0,0
2015-11-27,8.9,9.64,8.89,9.47,45200,0,0
2015-11-30,9.52,11.01,9.115,10.42,114000,0,0
2015-12-01,10.54,10.54,9.5,9.5,80900,0,0
2015-12-02,9.5,9.64,9.11,9.13,100700,0,0
2015-12-03,9.13,9.55,8.87,9.12,72700,0,0
2015-12-04,9.1,9.1,8.323,8.38,69100,0,0
2015-12-07,8.54,9.085,7.83,7.88,45000,0,0
2015-12-08,7.63,8.45,7.58,8.36,187700,0,0
2015-12-09,8.1,9.43,8.1,9.21,128300,0,0
2015-12-10,9.13,9.13,8.02,8.53,163800,0,0
2015-12-11,8.82,9.16,7.02,7.4,132300,0,0
2015-12-14,7.31,7.66,7.13,7.41,50900,0,0
2015-12-15,7.15,7.55,6.95,6.97,41400,0,0
2015-12-16,7.0,7.5,7.0,7.37,65200,0,0
2015-12-17,7.46,7.53,7.1,7.18,76600,0,0
2015-12-18,7.2,7.55,7.12,7.32,36900,0,0
2015-12-21,7.39,7.67,7.33,7.55,26200,0,0
2015-12-22,7.58,8.0,7.58,7.78,130700,0,0
2015-12-23,7.75,8.12,7.74,7.84,42200,0,0
2015-12-24,7.74,7.97,7.74,7.96,2400,0,0
2015-12-28,7.98,8.08,7.51,7.54,20700,0,0
2015-12-29,7.62,7.7,7.12,7.6,46800,0,0
2015-12-30,7.61,8.04,7.47,7.93,49900,0,0
2015-12-31,7.87,8.82,7.809,8.68,97800,0,0
2016-01-04,8.53,8.96,7.503,7.73,45200,0,0
2016-01-05,7.73,7.8,7.5,7.66,34500,0,0
2016-01-06,7.52,7.629,6.99,7.03,37500,0,0
2016-01-07,6.99,7.126,6.85,7.02,31000,0,0
2016-01-08,7.11,7.18,6.69,6.73,48300,0,0
2016-01-11,7.26,7.54,6.774,7.23,105300,0,0
2016-01-12,7.28,7.61,7.17,7.23,48500,0,0
2016-01-13,7.25,7.53,6.19,6.3,82200,0,0
2016-01-14,6.38,6.45,5.86,6.29,25000,0,0
2016-01-15,6.12,6.17,5.83,6.11,21100,0,0
2016-01-19,6.2,7.77,5.57,5.61,27200,0,0
2016-01-20,5.51,5.9,5.29,5.49,344000,0,0
2016-01-21,5.54,6.3,5.08,5.97,64500,0,0
2016-01-22,6.13,6.63,5.72,6.6,79600,0,0
2016-01-25,6.5,6.8,6.3,6.35,44000,0,0
2016-01-26,6.43,6.56,6.16,6.5,10600,0,0
2016-01-27,6.51,6.53,6.085,6.11,9300,0,0
2016-01-28,6.33,6.41,4.94,5.2,397300,0,0
2016-01-29,5.19,5.42,5.005,5.27,55500,0,0
2016-02-01,5.18,5.61,4.98,5.53,43600,0,0
2016-02-02,5.44,5.61,4.92,4.99,45100,0,0
2016-02-03,5.08,5.24,4.74,4.77,51400,0,0
2016-02-04,4.8,5.47,4.8,5.47,23000,0,0
2016-02-05,5.38,5.38,4.89,5.24,24200,0,0
2016-02-08,5.23,5.23,3.7,3.71,126700,0,0
2016-02-09,3.67,4.15,3.48,3.94,41000,0,0
2016-02-10,4.093,4.43,4.09,4.11,30800,0,0
2016-02-11,4.07,4.08,3.813,3.91,28200,0,0
2016-02-12,3.85,3.97,3.78,3.89,17900,0,0
2016-02-16,3.97,4.41,3.81,4.27,35500,0,0
2016-02-17,4.51,4.93,4.4,4.62,50100,0,0
2016-02-18,4.681,4.73,4.6,4.65,14900,0,0
2016-02-19,4.8,5.3,4.63,4.69,26000,0,0
2016-02-22,4.76,4.85,4.62,4.69,12300,0,0
2016-02-23,4.73,4.73,4.6,4.6,1900,0,0
2016-02-24,4.79,4.79,4.5,4.67,9200,0,0
2016-02-25,4.64,4.76,4.64,4.69,9100,0,0
2016-02-26,4.78,4.78,4.66,4.7,7400,0,0
2016-02-29,4.73,4.749,4.29,4.34,23600,0,0
2016-03-01,4.7,4.85,4.32,4.49,9500,0,0
2016-03-02,4.67,4.92,4.12,4.38,45700,0,0
2016-03-03,4.46,4.91,4.22,4.4,34400,0,0
2016-03-04,4.54,4.6,4.21,4.54,11300,0,0
2016-03-07,4.58,4.95,4.55,4.88,44600,0,0
2016-03-08,4.4,5.01,4.12,4.29,15900,0,0
2016-03-09,4.99,4.99,4.23,4.36,8800,0,0
2016-03-10,4.41,4.52,4.23,4.28,5300,0,0
2016-03-11,4.533,4.61,4.21,4.46,35500,0,0
2016-03-14,4.61,4.98,4.31,4.69,35100,0,0
2016-03-15,4.89,4.89,4.57,4.685,16800,0,0
2016-03-16,4.86,4.86,4.37,4.38,6100,0,0
2016-03-17,4.58,4.93,4.11,4.11,17000,0,0
2016-03-18,4.05,4.86,3.99,4.27,29500,0,0
2016-03-21,4.3,5.0,4.3,4.35,26400,0,0
2016-03-22,4.37,4.61,4.3,4.45,13100,0,0
2016-03-23,4.543,4.67,4.35,4.35,13400,0,0
2016-03-24,4.38,4.52,4.2,4.28,168900,0,0
2016-03-28,4.35,4.43,4.22,4.295,21200,0,0
2016-03-29,4.3,4.3,3.7,3.73,149200,0,0
2016-03-30,3.85,3.95,3.6,3.64,543300,0,0
2016-03-31,3.58,5.09,3.58,4.88,2089600,0,0
2016-04-01,4.39,5.09,4.25,4.98,92500,0,0
2016-04-04,5.14,5.31,5.03,5.11,72700,0,0
2016-04-05,5.21,5.37,5.01,5.15,59200,0,0
2016-04-06,5.3,5.53,5.17,5.5,66000,0,0
2016-04-07,5.57,5.78,5.47,5.57,39800,0,0
2016-04-08,5.6,6.29,5.5,5.87,83900,0,0
2016-04-11,5.98,6.2,5.92,6.18,43300,0,0
2016-04-12,6.25,6.4,6.15,6.35,30300,0,0
2016-04-13,6.35,6.71,6.35,6.63,40300,0,0
