Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,19.89,19.89,19.89,19.89,0,0.0,0
2015-11-17,19.89,19.89,19.89,19.89,0,0.0,0
2015-11-18,19.89,19.89,19.89,19.89,0,0.0,0
2015-11-19,19.89,19.89,19.89,19.89,0,0.0,0
2015-11-20,20.46,20.46,20.46,20.46,200,0.0,0
2015-11-23,19.55,19.55,19.55,19.55,100,0.0,0
2015-11-24,19.55,19.55,19.55,19.55,0,0.0,0
2015-11-25,19.71,19.71,19.71,19.71,600,0.0,0
2015-11-27,19.71,19.71,19.71,19.71,0,0.0,0
2015-11-30,19.71,19.71,19.71,19.71,0,0.0,0
2015-12-01,19.71,19.71,19.71,19.71,0,0.0,0
2015-12-02,19.71,19.71,19.71,19.71,0,0.0,0
2015-12-03,19.71,19.71,19.71,19.71,0,0.0,0
2015-12-04,19.71,19.71,19.71,19.71,0,0.0,0
2015-12-07,20.05,20.14,19.93,20.01,900,0.0,0
2015-12-08,20.14,20.14,20.14,20.14,200,0.0,0
2015-12-09,20.14,20.14,20.14,20.14,0,0.0,0
2015-12-10,20.14,20.14,20.14,20.14,0,0.0,0
2015-12-11,20.14,20.14,20.14,20.14,0,0.0,0
2015-12-14,20.14,20.14,20.14,20.14,0,0.0,0
2015-12-15,20.04,20.04,20.04,20.04,500,0.0,0
2015-12-16,20.04,20.04,20.04,20.04,0,0.0,0
2015-12-17,20.04,20.04,20.04,20.04,0,0.0,0
2015-12-18,19.58,19.58,19.58,19.58,300,0.0,0
2015-12-21,19.43,19.49,19.43,19.45,800,0.0,0
2015-12-22,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-23,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-24,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-28,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-29,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-30,19.45,19.45,19.45,19.45,0,0.0,0
2015-12-31,20.26,20.28,20.26,20.28,1900,0.0,0
2016-01-04,19.94,19.94,19.94,19.94,700,0.0,0
2016-01-05,19.71,19.71,19.71,19.71,700,0.0,0
2016-01-06,19.71,19.71,19.71,19.71,0,0.0,0
2016-01-07,19.71,19.71,19.71,19.71,0,0.0,0
2016-01-08,18.92,18.92,18.84,18.86,400,0.0,0
2016-01-11,22.86,22.86,18.78,18.78,300,0.0,0
2016-01-12,18.78,18.78,18.78,18.78,0,0.0,0
2016-01-13,18.78,18.78,18.78,18.78,0,0.0,0
2016-01-14,19.02,19.02,18.95,18.95,400,0.0,0
2016-01-15,18.95,18.95,18.95,18.95,0,0.0,0
2016-01-19,18.95,18.95,18.95,18.95,0,0.0,0
2016-01-20,18.22,18.22,18.22,18.22,100,0.0,0
2016-01-21,18.22,18.22,18.22,18.22,0,0.0,0
2016-01-22,18.61,18.64,18.59,18.59,1700,0.0,0
2016-01-25,18.64,18.64,18.63,18.63,200,0.0,0
2016-01-26,18.63,18.63,18.63,18.63,0,0.0,0
2016-01-27,18.63,18.63,18.63,18.63,0,0.0,0
2016-01-28,18.52,18.52,18.52,18.52,100,0.0,0
2016-01-29,18.52,18.52,18.52,18.52,0,0.0,0
2016-02-01,18.52,18.52,18.52,18.52,0,0.0,0
2016-02-02,20.52,20.52,19.04,19.04,400,0.0,0
2016-02-03,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-04,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-05,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-08,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-09,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-10,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-11,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-12,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-16,19.04,19.04,19.04,19.04,0,0.0,0
2016-02-17,18.43,18.43,18.43,18.43,500,0.0,0
2016-02-18,18.43,18.43,18.43,18.43,0,0.0,0
2016-02-19,18.43,18.43,18.43,18.43,0,0.0,0
2016-02-22,18.43,18.43,18.43,18.43,0,0.0,0
2016-02-23,18.43,18.43,18.43,18.43,0,0.0,0
2016-02-24,18.67,18.67,18.67,18.67,2500,0.0,0
2016-02-25,18.67,18.67,18.67,18.67,0,0.0,0
2016-02-26,18.67,18.67,18.67,18.67,0,0.0,0
2016-02-29,18.67,18.67,18.67,18.67,0,0.0,0
2016-03-01,18.67,18.67,18.67,18.67,0,0.0,0
2016-03-02,18.67,18.67,18.67,18.67,0,0.0,0
2016-03-03,20.51,20.51,20.51,20.51,100,0.0,0
2016-03-04,20.51,20.51,20.51,20.51,0,0.0,0
2016-03-07,20.51,20.51,20.51,20.51,0,0.0,0
2016-03-08,20.51,20.51,20.51,20.51,0,0.0,0
2016-03-09,20.51,20.51,20.51,20.51,0,0.0,0
2016-03-10,18.63,18.63,18.63,18.63,200,0.0,0
2016-03-11,18.96,18.96,18.77,18.77,6400,0.0,0
2016-03-14,18.77,18.77,18.77,18.77,0,0.0,0
2016-03-15,18.63,18.63,18.61,18.61,700,0.0,0
2016-03-16,18.61,18.61,18.61,18.61,0,0.0,0
2016-03-17,18.61,18.61,18.61,18.61,0,0.0,0
2016-03-18,18.91,18.91,18.91,18.91,500,0.0,0
2016-03-21,18.46,18.46,18.39,18.39,800,0.0,0
2016-03-22,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-23,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-24,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-28,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-29,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-30,18.39,18.39,18.39,18.39,0,0.0,0
2016-03-31,18.39,18.39,18.39,18.39,0,0.0,0
2016-04-01,18.9,19.02,18.9,19.02,1200,0.0,0
2016-04-04,19.12,19.12,19.12,19.12,400,0.0,0
2016-04-05,19.12,19.12,19.12,19.12,0,0.0,0
2016-04-06,19.12,19.12,19.12,19.12,0,0.0,0
2016-04-07,19.12,19.12,19.12,19.12,0,0.0,0
2016-04-08,19.12,19.12,19.12,19.12,0,0.0,0
2016-04-11,19.17,19.17,19.17,19.17,500,0.0,0
2016-04-12,19.16,19.24,19.16,19.24,600,0.0,0
2016-04-13,19.24,19.24,19.24,19.24,0,0.0,0
2016-04-14,19.24,19.24,19.24,19.24,0,0.0,0
2016-04-15,19.46,19.46,19.46,19.46,200,0.0,0
2016-04-18,19.46,19.46,19.46,19.46,0,0.0,0
2016-04-19,19.46,19.46,19.46,19.46,0,0.0,0
2016-04-20,19.46,19.46,19.46,19.46,0,0.0,0
2016-04-21,20.09,20.09,20.0,20.0,400,0.0,0
2016-04-22,20.0,20.0,20.0,20.0,0,0.0,0
2016-04-25,20.0,20.0,20.0,20.0,0,0.0,0
2016-04-26,20.0,20.0,20.0,20.0,0,0.0,0
2016-04-27,19.78,19.97,19.78,19.8,800,0.0,0
2016-04-28,19.8,19.8,19.8,19.8,0,0.0,0
2016-04-29,19.8,19.8,19.8,19.8,0,0.0,0
2016-05-02,19.8,19.8,19.8,19.8,0,0.0,0
2016-05-03,19.8,19.8,19.8,19.8,0,0.0,0
2016-05-04,19.52,19.53,19.27,19.32,1800,0.0,0
2016-05-05,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-06,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-09,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-10,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-11,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-12,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-13,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-16,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-17,19.32,19.32,19.32,19.32,0,0.0,0
2016-05-18,18.9,18.9,18.9,18.9,300,0.0,0
2016-05-19,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-20,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-23,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-24,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-25,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-26,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-27,18.9,18.9,18.9,18.9,0,0.0,0
2016-05-31,18.9,18.9,18.9,18.9,0,0.0,0
2016-06-01,20.11,20.14,20.11,20.14,500,0.0,0
2016-06-02,20.14,20.14,20.14,20.14,0,0.0,0
2016-06-03,20.14,20.14,20.14,20.14,0,0.0,0
2016-06-06,20.14,20.14,20.14,20.14,0,0.0,0
2016-06-07,19.72,19.73,19.68,19.68,400,0.0,0
2016-06-08,19.68,19.68,19.68,19.68,0,0.0,0
2016-06-09,19.68,19.68,19.68,19.68,0,0.0,0
2016-06-10,18.96,19.02,18.96,19.02,300,0.0,0
2016-06-13,19.02,19.02,19.02,19.02,0,0.0,0
2016-06-14,19.02,19.02,19.02,19.02,0,0.0,0
2016-06-15,19.02,19.02,19.02,19.02,0,0.0,0
2016-06-16,19.02,19.02,19.02,19.02,0,0.0,0
2016-06-17,19.02,19.02,19.02,19.02,0,0.0,0
