Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-07,16.3,17.73,15.56,17.47,2346200,0,0
2017-12-08,17.5,18.75,17.35,18.18,268500,0,0
2017-12-11,18.25,19.34,18.14,19.08,134800,0,0
2017-12-12,19.85,19.85,18.9,19.0,216700,0,0
2017-12-13,18.96,19.22,18.01,18.68,186100,0,0
2017-12-14,18.75,18.9,18.33,18.7,111900,0,0
2017-12-15,18.62,19.28,17.0,17.75,130200,0,0
2017-12-18,18.23,19.68,17.04,18.64,189000,0,0
2017-12-19,18.44,19.79,17.9,19.36,137300,0,0
2017-12-20,19.59,19.8,18.92,19.33,135800,0,0
2017-12-21,19.37,20.36,19.07,19.68,261300,0,0
2017-12-22,20.4,21.31,20.38,21.0,252000,0,0
2017-12-26,21.3,21.3,20.37,20.9,81100,0,0
2017-12-27,21.16,22.65,20.39,20.89,61800,0,0
2017-12-28,20.96,22.66,20.74,22.18,118500,0,0
2017-12-29,21.83,23.7,21.36,21.47,93500,0,0
2018-01-02,21.53,21.53,19.06,19.55,255400,0,0
2018-01-03,19.76,20.6,18.72,19.08,205800,0,0
2018-01-04,19.11,19.69,19.03,19.49,72500,0,0
2018-01-05,19.42,20.5,19.31,19.48,105400,0,0
2018-01-08,19.54,20.4,19.5,19.75,136800,0,0
2018-01-09,19.76,20.39,19.76,20.16,80500,0,0
2018-01-10,20.2,20.49,19.49,20.07,69500,0,0
2018-01-11,19.9,20.57,19.55,20.11,140900,0,0
2018-01-12,20.26,21.5,20.15,20.57,290000,0,0
2018-01-16,20.75,21.96,20.75,20.91,151900,0,0
2018-01-17,20.85,21.14,20.25,20.69,125700,0,0
2018-01-18,20.54,21.4,20.45,21.06,97300,0,0
2018-01-19,20.88,21.38,20.66,20.94,94000,0,0
2018-01-22,20.9,21.5,20.83,21.38,77500,0,0
2018-01-23,21.57,23.49,21.57,23.1,71300,0,0
2018-01-24,23.03,24.81,23.03,23.2,130000,0,0
2018-01-25,23.12,24.6,23.02,24.28,96300,0,0
2018-01-26,24.61,24.61,22.71,22.85,123800,0,0
2018-01-29,22.85,22.85,20.85,21.06,238200,0,0
2018-01-30,21.08,21.96,20.6,21.0,59100,0,0
2018-01-31,21.15,21.82,20.28,20.81,95800,0,0
2018-02-01,20.16,20.6,19.75,19.9,77100,0,0
2018-02-02,20.02,21.35,20.02,20.23,62000,0,0
2018-02-05,20.16,21.04,18.73,19.03,175000,0,0
2018-02-06,18.82,19.01,17.45,18.56,167400,0,0
2018-02-07,19.02,19.68,18.46,19.12,72000,0,0
2018-02-08,19.6,20.2,18.57,19.39,108700,0,0
2018-02-09,19.21,19.95,19.11,19.49,39200,0,0
2018-02-12,19.49,20.29,19.03,20.11,149300,0,0
2018-02-13,20.01,21.24,19.24,20.67,83300,0,0
2018-02-14,20.22,21.24,20.14,20.73,61600,0,0
2018-02-15,20.97,23.3,20.97,21.42,82000,0,0
2018-02-16,21.19,23.99,21.19,23.39,142400,0,0
2018-02-20,23.52,23.7,22.23,22.43,110500,0,0
2018-02-21,22.0,23.05,21.5,22.2,130200,0,0
2018-02-22,22.22,23.48,22.22,22.86,82500,0,0
2018-02-23,23.07,23.14,21.92,22.12,114400,0,0
2018-02-26,22.41,23.22,21.81,22.64,137800,0,0
2018-02-27,22.49,23.0,21.53,21.95,116200,0,0
2018-02-28,21.93,22.02,20.71,20.89,147800,0,0
2018-03-01,20.59,21.4,20.02,20.56,109100,0,0
2018-03-02,20.86,20.86,19.54,19.91,123100,0,0
2018-03-05,19.46,20.78,19.45,20.1,118000,0,0
2018-03-06,20.18,20.18,18.55,19.42,165800,0,0
2018-03-07,20.25,20.25,18.82,18.9,91700,0,0
2018-03-08,19.02,19.67,18.44,18.52,85200,0,0
2018-03-09,18.68,19.7,18.51,18.67,87400,0,0
2018-03-12,18.81,19.99,18.61,19.85,82100,0,0
2018-03-13,19.99,21.24,19.23,20.82,112400,0,0
2018-03-14,20.91,21.09,20.19,20.63,194800,0,0
2018-03-15,20.65,22.0,18.15,18.22,268400,0,0
2018-03-16,18.22,18.58,17.5,17.7,869900,0,0
2018-03-19,17.8,18.84,16.86,17.14,170300,0,0
2018-03-20,17.26,18.17,17.15,17.49,125000,0,0
2018-03-21,17.54,17.54,17.02,17.04,83800,0,0
2018-03-22,17.0,17.49,16.72,16.91,192200,0,0
2018-03-23,16.93,16.93,16.03,16.18,102600,0,0
2018-03-26,16.45,17.68,16.45,17.63,151200,0,0
2018-03-27,17.65,17.65,16.37,16.46,96400,0,0
2018-03-28,16.46,17.35,16.11,16.73,85300,0,0
2018-03-29,16.85,17.61,16.65,17.04,61400,0,0
2018-04-02,16.97,17.43,16.57,16.68,68900,0,0
2018-04-03,16.82,16.82,16.11,16.59,78500,0,0
2018-04-04,16.36,17.01,15.7,16.09,141700,0,0
2018-04-05,16.32,16.89,15.94,16.64,117100,0,0
2018-04-06,16.52,16.52,15.95,16.11,84700,0,0
2018-04-09,16.27,16.6,16.16,16.24,66300,0,0
2018-04-10,16.44,16.54,16.05,16.3,90900,0,0
2018-04-11,15.71,16.67,15.71,16.61,57900,0,0
2018-04-12,16.64,16.77,16.07,16.09,22100,0,0
2018-04-13,16.16,16.22,15.5,15.57,92200,0,0
2018-04-16,15.67,16.17,15.3,16.08,47900,0,0
2018-04-17,16.22,17.1,16.08,17.09,70500,0,0
2018-04-18,17.09,17.51,16.89,17.4,37400,0,0
2018-04-19,17.32,17.86,16.51,16.88,71000,0,0
2018-04-20,16.86,17.69,16.72,17.53,47300,0,0
2018-04-23,17.59,17.59,16.34,16.77,37900,0,0
2018-04-24,16.83,17.29,16.45,17.15,84100,0,0
2018-04-25,17.14,17.14,16.56,16.81,74200,0,0
2018-04-26,16.88,17.48,16.81,16.9,76500,0,0
2018-04-27,16.94,17.29,16.51,17.27,50100,0,0
2018-04-30,17.19,17.27,16.61,16.95,56300,0,0
2018-05-01,16.83,16.96,16.18,16.81,75200,0,0
2018-05-02,16.83,17.09,16.49,16.8,36900,0,0
2018-05-03,16.69,16.87,16.23,16.64,72000,0,0
2018-05-04,16.62,18.43,16.62,18.3,71200,0,0
2018-05-07,18.31,18.58,17.85,18.3,72700,0,0
2018-05-08,18.31,18.51,18.07,18.38,35000,0,0
2018-05-09,18.43,19.04,18.33,18.98,23800,0,0
2018-05-10,19.03,19.29,18.62,19.12,41100,0,0
2018-05-11,19.15,19.96,18.8,19.27,110800,0,0
2018-05-14,19.26,19.62,18.06,19.02,100200,0,0
2018-05-15,19.0,19.18,18.6,18.96,45200,0,0
2018-05-16,18.92,19.66,18.85,19.18,74500,0,0
2018-05-17,19.2,19.99,19.2,19.65,35700,0,0
2018-05-18,19.68,20.5,19.26,20.08,67200,0,0
2018-05-21,20.26,20.26,19.9,20.06,22800,0,0
2018-05-22,20.24,20.71,19.9,20.03,42300,0,0
2018-05-23,20.0,20.8,20.0,20.45,27100,0,0
2018-05-24,20.48,20.83,19.91,20.18,44200,0,0
2018-05-25,20.0,20.44,17.77,18.99,74800,0,0
2018-05-29,18.86,19.64,18.54,19.17,97500,0,0
2018-05-30,19.19,19.82,18.86,19.06,50800,0,0
2018-05-31,19.09,19.62,18.22,18.4,85000,0,0
2018-06-01,18.46,19.12,18.23,18.38,65400,0,0
2018-06-04,18.48,18.86,17.78,18.76,87100,0,0
2018-06-05,18.63,18.63,16.86,17.43,234700,0,0
2018-06-06,17.4,18.22,17.05,17.72,136000,0,0
2018-06-07,17.79,17.79,17.04,17.09,105900,0,0
2018-06-08,17.0,17.25,16.04,17.02,235700,0,0
2018-06-11,17.0,17.0,16.38,16.79,82500,0,0
2018-06-12,16.82,16.87,16.18,16.28,98600,0,0
2018-06-13,16.29,16.62,16.01,16.53,116700,0,0
2018-06-14,16.63,16.87,16.46,16.55,68100,0,0
2018-06-15,16.42,16.68,16.27,16.49,48400,0,0
2018-06-18,16.38,16.6,16.26,16.39,125700,0,0
2018-06-19,16.2,16.5,15.51,15.7,762100,0,0
2018-06-20,15.92,16.5,15.59,16.13,146600,0,0
2018-06-21,16.11,16.6,15.79,15.89,166400,0,0
2018-06-22,16.15,16.16,15.52,15.76,157800,0,0
2018-06-25,15.64,16.27,15.07,15.27,69200,0,0
2018-06-26,15.3,15.53,14.14,15.42,66700,0,0
2018-06-27,15.41,15.69,14.36,14.43,62300,0,0
2018-06-28,14.46,14.75,14.0,14.08,146400,0,0
2018-06-29,14.16,14.57,13.52,14.36,159900,0,0
2018-07-02,14.47,14.6,13.88,14.02,98100,0,0
2018-07-03,14.12,14.85,14.0,14.37,51100,0,0
2018-07-05,14.48,14.79,14.27,14.75,30000,0,0
2018-07-06,14.78,15.43,14.58,15.13,46100,0,0
2018-07-09,15.15,15.46,14.87,15.07,64700,0,0
2018-07-10,15.1,15.38,14.71,15.06,36300,0,0
2018-07-11,14.83,15.37,14.53,14.96,84100,0,0
2018-07-12,15.04,15.51,14.81,15.04,71900,0,0
2018-07-13,14.93,15.17,14.62,15.02,52900,0,0
2018-07-16,15.04,15.05,14.67,14.77,40300,0,0
2018-07-17,14.8,14.96,14.66,14.86,29500,0,0
2018-07-18,14.89,14.92,14.75,14.76,40300,0,0
2018-07-19,14.8,15.91,14.77,15.75,74700,0,0
2018-07-20,15.76,16.58,15.66,16.3,67600,0,0
2018-07-23,16.34,16.67,15.78,15.84,162900,0,0
2018-07-24,16.12,16.12,15.44,15.58,29800,0,0
2018-07-25,15.54,15.85,15.3,15.7,29900,0,0
2018-07-26,15.7,16.17,15.61,15.79,30800,0,0
2018-07-27,15.61,15.7,14.84,15.15,58400,0,0
2018-07-30,15.13,15.13,14.79,14.82,20800,0,0
2018-07-31,14.87,15.3,14.81,14.99,43100,0,0
2018-08-01,15.0,15.07,14.75,14.99,18400,0,0
2018-08-02,15.19,15.81,14.94,15.0,91900,0,0
2018-08-03,15.02,15.03,13.99,14.49,34000,0,0
2018-08-06,14.5,14.96,13.62,14.66,108200,0,0
2018-08-07,14.5,15.25,14.5,14.8,58500,0,0
2018-08-08,14.79,15.72,14.55,14.93,32000,0,0
2018-08-09,15.0,15.11,13.84,14.61,360500,0,0
2018-08-10,14.39,15.08,14.39,14.71,34400,0,0
2018-08-13,14.71,15.09,14.61,14.73,29100,0,0
2018-08-14,14.73,14.99,14.06,14.27,36500,0,0
2018-08-15,14.1,15.06,13.0,13.39,127800,0,0
2018-08-16,13.5,14.49,13.42,14.36,53500,0,0
2018-08-17,14.29,14.85,14.02,14.65,19700,0,0
2018-08-20,14.73,15.27,14.36,14.61,19300,0,0
2018-08-21,14.58,15.03,14.55,14.83,20900,0,0
2018-08-22,14.85,15.22,14.69,14.83,14700,0,0
2018-08-23,14.85,15.1,14.72,14.98,19800,0,0
2018-08-24,14.97,15.16,14.69,14.99,35300,0,0
2018-08-27,15.04,15.16,14.32,14.95,48400,0,0
2018-08-28,14.91,15.12,14.68,15.0,65200,0,0
2018-08-29,15.18,15.25,14.77,14.99,160900,0,0
2018-08-30,15.03,15.36,14.94,15.35,81600,0,0
2018-08-31,15.34,17.0,15.34,16.73,134200,0,0
2018-09-04,16.72,16.75,15.16,15.5,47500,0,0
2018-09-05,15.49,15.61,14.02,14.82,60200,0,0
2018-09-06,14.89,15.32,14.38,14.57,48600,0,0
2018-09-07,14.48,15.11,14.48,14.66,24100,0,0
2018-09-10,14.85,16.02,14.75,15.52,134900,0,0
2018-09-11,15.5,15.96,15.21,15.85,111000,0,0
2018-09-12,15.9,15.9,15.31,15.75,70700,0,0
2018-09-13,15.76,16.06,15.25,15.94,92000,0,0
2018-09-14,16.01,16.86,15.69,16.43,63300,0,0
2018-09-17,16.31,16.79,16.12,16.53,73200,0,0
2018-09-18,17.0,19.31,16.92,18.57,404500,0,0
2018-09-19,18.6,19.32,18.48,18.65,172500,0,0
2018-09-20,18.82,20.83,18.76,20.15,344000,0,0
2018-09-21,19.69,20.13,19.18,19.32,564100,0,0
2018-09-24,19.15,19.95,18.77,19.51,90100,0,0
2018-09-25,19.74,20.8,19.74,20.18,94100,0,0
2018-09-26,20.43,21.99,20.43,21.64,89900,0,0
2018-09-27,21.95,22.61,21.07,22.35,77900,0,0
2018-09-28,22.32,22.46,21.12,21.42,123500,0,0
2018-10-01,21.64,22.06,20.73,20.8,88700,0,0
2018-10-02,20.79,21.23,20.15,20.24,52300,0,0
2018-10-03,20.36,22.23,19.87,20.0,78000,0,0
2018-10-04,20.04,20.15,18.2,18.38,121600,0,0
2018-10-05,18.47,18.61,17.6,18.17,64100,0,0
2018-10-08,18.12,18.42,17.61,17.99,54900,0,0
2018-10-09,18.49,18.62,17.58,18.37,74600,0,0
2018-10-10,18.88,19.39,18.13,18.34,118600,0,0
2018-10-11,18.35,18.8,17.76,17.89,110600,0,0
2018-10-12,18.23,18.28,17.26,17.58,39900,0,0
2018-10-15,17.55,18.5,17.49,17.9,91900,0,0
2018-10-16,18.5,18.55,17.83,18.03,67500,0,0
2018-10-17,17.94,19.14,17.75,19.07,83000,0,0
2018-10-18,18.97,18.97,18.0,18.48,47100,0,0
2018-10-19,18.51,19.19,17.99,18.02,53100,0,0
2018-10-22,18.06,18.6,17.75,18.33,38200,0,0
2018-10-23,18.14,18.24,17.16,17.31,78200,0,0
2018-10-24,17.35,17.75,16.28,16.35,68500,0,0
2018-10-25,16.48,17.45,16.32,16.54,90200,0,0
2018-10-26,16.25,17.33,16.13,16.84,51700,0,0
2018-10-29,17.18,18.44,16.51,16.67,63300,0,0
2018-10-30,16.58,17.43,16.52,16.92,28500,0,0
2018-10-31,17.25,18.48,17.03,17.51,50900,0,0
2018-11-01,17.62,18.62,17.33,17.57,108200,0,0
2018-11-02,18.25,18.5,17.15,17.49,101800,0,0
2018-11-05,17.3,18.98,16.6,16.65,63700,0,0
2018-11-06,16.68,16.84,16.38,16.7,49800,0,0
2018-11-07,16.87,17.47,16.36,17.38,81600,0,0
2018-11-08,17.16,18.32,16.78,16.87,65900,0,0
2018-11-09,16.67,17.15,16.5,16.76,71000,0,0
2018-11-12,16.85,17.18,16.3,16.33,59600,0,0
2018-11-13,16.35,16.93,16.06,16.17,83900,0,0
2018-11-14,16.4,16.52,16.0,16.26,48700,0,0
2018-11-15,16.26,17.48,16.14,17.13,72200,0,0
2018-11-16,17.09,17.21,16.03,16.92,100600,0,0
2018-11-19,16.75,17.28,16.2,16.95,126200,0,0
2018-11-20,16.6,17.3,16.6,16.65,123500,0,0
2018-11-21,16.68,17.08,16.68,16.84,53000,0,0
2018-11-23,16.75,18.32,16.75,17.14,61400,0,0
2018-11-26,17.4,17.6,16.59,16.63,72400,0,0
2018-11-27,16.63,17.5,16.5,17.19,73800,0,0
2018-11-28,17.15,18.43,17.15,17.93,87900,0,0
2018-11-29,17.99,18.27,17.2,18.21,86600,0,0
2018-11-30,18.26,18.94,18.26,18.74,52800,0,0
2018-12-03,19.04,19.04,17.81,18.6,81900,0,0
2018-12-04,18.58,19.06,17.96,18.39,67100,0,0
2018-12-06,17.85,19.27,17.63,19.19,63500,0,0
2018-12-07,19.16,21.01,19.01,19.5,106500,0,0
2018-12-10,19.93,20.08,19.0,19.96,71900,0,0
2018-12-11,20.37,20.78,18.58,19.34,77900,0,0
2018-12-12,19.53,20.73,19.21,19.73,42700,0,0
2018-12-13,19.9,20.57,18.75,19.92,100700,0,0
2018-12-14,19.5,20.99,18.3,18.44,154100,0,0
2018-12-17,18.24,19.3,18.1,18.43,117500,0,0
2018-12-18,18.66,18.66,17.55,18.3,107600,0,0
2018-12-19,18.42,19.3,17.94,18.7,80000,0,0
2018-12-20,18.83,19.29,18.18,18.82,133300,0,0
2018-12-21,18.84,20.88,18.01,18.38,408200,0,0
2018-12-24,18.31,18.49,17.5,17.57,21900,0,0
2018-12-26,17.42,18.7,17.42,18.01,67600,0,0
2018-12-27,17.86,18.37,17.34,18.3,37300,0,0
2018-12-28,18.44,19.38,18.19,18.36,68200,0,0
2018-12-31,18.47,18.82,17.95,18.31,51000,0,0
2019-01-02,18.21,18.84,17.75,18.24,48800,0,0
2019-01-03,18.12,18.12,17.08,17.28,75500,0,0
2019-01-04,17.5,19.04,17.18,17.87,89900,0,0
2019-01-07,18.18,19.95,17.91,19.02,95500,0,0
2019-01-08,19.21,20.14,17.15,19.91,55600,0,0
2019-01-09,19.86,20.87,19.86,20.73,41000,0,0
2019-01-10,20.66,23.2,20.54,22.66,158100,0,0
2019-01-11,22.6,23.49,22.08,23.48,53100,0,0
2019-01-14,23.25,23.25,21.59,21.97,112700,0,0
2019-01-15,21.7,22.2,19.54,21.5,94700,0,0
2019-01-16,21.36,22.06,21.17,21.5,57300,0,0
2019-01-17,21.4,21.68,20.9,21.11,58500,0,0
2019-01-18,21.19,21.44,20.58,21.03,130900,0,0
2019-01-22,20.9,21.31,19.95,20.22,63700,0,0
2019-01-23,20.25,21.09,19.84,20.0,100500,0,0
2019-01-24,19.97,20.34,19.79,20.02,76800,0,0
2019-01-25,20.15,20.84,20.15,20.5,60600,0,0
2019-01-28,20.4,20.5,20.06,20.19,48200,0,0
2019-01-29,20.1,20.36,19.56,19.69,41700,0,0
2019-01-30,19.94,20.76,19.8,20.69,29900,0,0
2019-01-31,20.84,22.26,20.84,21.06,110400,0,0
2019-02-01,21.16,21.16,20.32,20.56,49700,0,0
2019-02-04,20.52,20.68,20.12,20.2,49400,0,0
2019-02-05,20.21,20.37,19.62,20.1,98900,0,0
2019-02-06,20.1,21.07,19.88,20.99,41500,0,0
2019-02-07,20.86,21.28,20.74,21.01,30800,0,0
2019-02-08,20.93,21.39,20.82,21.33,20300,0,0
2019-02-11,21.34,22.19,21.31,22.08,47000,0,0
2019-02-12,22.2,23.09,22.2,22.84,52200,0,0
2019-02-13,22.8,22.8,21.74,22.09,26300,0,0
2019-02-14,21.99,22.4,21.92,22.13,20800,0,0
2019-02-15,22.34,23.0,22.34,22.75,75100,0,0
2019-02-19,22.74,23.37,22.65,22.75,62900,0,0
2019-02-20,22.75,23.5,22.67,23.32,43700,0,0
2019-02-21,23.42,23.42,22.56,22.83,42600,0,0
2019-02-22,22.84,23.82,22.84,23.65,31500,0,0
2019-02-25,23.88,24.43,23.53,24.3,44500,0,0
2019-02-26,24.58,24.58,23.61,24.08,58400,0,0
2019-02-27,24.18,25.26,24.03,24.91,155800,0,0
2019-02-28,25.25,25.25,24.15,24.71,50000,0,0
2019-03-01,24.85,25.44,24.73,25.13,161200,0,0
2019-03-04,25.02,25.23,24.25,24.76,85000,0,0
2019-03-05,24.93,24.97,24.56,24.82,25700,0,0
2019-03-06,24.48,24.62,22.89,23.33,85600,0,0
2019-03-07,23.53,24.83,22.46,23.82,177100,0,0
2019-03-08,24.23,25.0,22.55,23.08,167000,0,0
2019-03-11,23.08,23.67,21.64,21.8,160700,0,0
2019-03-12,21.75,23.32,21.4,22.69,69900,0,0
2019-03-13,22.77,24.87,22.65,23.92,80500,0,0
2019-03-14,24.71,25.27,24.0,24.81,153100,0,0
2019-03-15,24.94,25.05,24.26,24.87,115900,0,0
2019-03-18,24.77,24.97,24.14,24.6,55300,0,0
2019-03-19,24.7,24.79,24.35,24.5,58600,0,0
2019-03-20,23.83,24.99,23.12,24.27,63900,0,0
2019-03-21,23.25,24.78,23.25,24.55,65600,0,0
2019-03-22,24.38,24.67,23.0,23.06,59300,0,0
2019-03-25,23.03,23.75,22.39,23.65,58500,0,0
2019-03-26,23.79,24.57,23.5,23.99,29100,0,0
2019-03-27,24.17,24.43,23.28,24.27,67700,0,0
2019-03-28,24.29,25.29,24.14,24.79,86100,0,0
2019-03-29,24.9,26.06,24.67,25.83,163100,0,0
2019-04-01,25.83,26.48,23.05,23.4,118300,0,0
2019-04-02,23.27,24.55,22.98,24.35,72200,0,0
2019-04-03,24.44,25.41,23.41,24.8,90700,0,0
2019-04-04,24.81,25.45,24.3,25.34,96300,0,0
2019-04-05,25.41,25.97,24.87,25.73,143500,0,0
2019-04-08,25.88,25.88,25.0,25.77,122900,0,0
2019-04-09,25.66,25.75,24.91,25.01,88500,0,0
2019-04-10,25.05,25.3,24.46,24.73,61900,0,0
2019-04-11,24.67,24.67,23.77,23.99,50600,0,0
2019-04-12,24.12,24.12,22.31,22.7,120300,0,0
2019-04-15,22.72,22.75,21.78,22.12,45800,0,0
2019-04-16,22.21,22.77,21.97,22.06,61600,0,0
2019-04-17,22.19,22.19,20.87,21.29,66500,0,0
2019-04-18,21.22,22.32,20.93,21.92,81500,0,0
2019-04-22,21.83,21.97,21.45,21.91,24400,0,0
2019-04-23,21.81,23.38,21.81,22.93,71100,0,0
2019-04-24,22.96,22.96,22.2,22.27,64900,0,0
2019-04-25,22.22,22.24,21.52,21.91,75800,0,0
2019-04-26,21.95,22.91,21.69,22.75,59400,0,0
2019-04-29,22.74,22.84,22.24,22.63,33200,0,0
2019-04-30,22.64,22.82,22.32,22.72,40100,0,0
2019-05-01,22.94,22.95,22.05,22.25,48200,0,0
2019-05-02,22.19,22.57,21.59,22.26,49300,0,0
2019-05-03,22.39,23.4,22.35,23.32,40400,0,0
2019-05-06,22.81,23.53,22.81,23.05,73500,0,0
2019-05-07,22.93,23.18,22.64,22.89,86800,0,0
2019-05-08,22.86,23.2,22.7,23.05,122900,0,0
2019-05-09,22.84,23.42,22.51,23.24,75600,0,0
2019-05-10,24.49,25.17,21.99,22.13,330500,0,0
2019-05-13,21.86,22.16,19.54,20.59,176300,0,0
2019-05-14,20.87,21.42,20.21,21.08,425600,0,0
2019-05-15,21.09,21.93,20.71,21.92,138700,0,0
2019-05-16,21.78,22.95,21.75,22.32,56500,0,0
2019-05-17,22.13,22.78,21.88,22.06,58000,0,0
2019-05-20,21.79,22.33,21.5,22.13,45300,0,0
2019-05-21,22.31,23.02,22.25,22.72,96000,0,0
2019-05-22,22.5,23.24,22.21,22.9,41900,0,0
2019-05-23,22.64,22.8,21.81,22.22,81900,0,0
2019-05-24,22.37,23.0,21.84,22.33,64700,0,0
2019-05-28,22.33,22.55,21.76,21.83,126400,0,0
2019-05-29,21.52,22.37,21.52,22.23,62200,0,0
2019-05-30,22.29,23.43,22.29,23.4,2062100,0,0
2019-05-31,23.07,25.89,23.07,25.61,638600,0,0
2019-06-03,25.46,26.0,25.0,25.94,234800,0,0
2019-06-04,25.81,26.53,25.75,26.1,197900,0,0
2019-06-05,26.25,29.46,26.16,28.32,283900,0,0
2019-06-06,27.86,29.75,27.32,29.51,154900,0,0
2019-06-07,29.61,32.06,29.36,29.5,293400,0,0
2019-06-10,29.54,31.94,28.65,31.74,303800,0,0
