Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,18.54,18.84,17.14,17.45,374900,0,0
2015-11-17,18.54,18.54,17.18,17.67,142300,0,0
2015-11-18,17.79,18.39,17.4,18.12,253100,0,0
2015-11-19,18.2,18.31,17.72,18.14,177600,0,0
2015-11-20,18.2,18.94,17.87,18.41,221800,0,0
2015-11-23,18.64,19.37,18.12,19.26,340200,0,0
2015-11-24,19.34,20.44,19.09,20.27,378400,0,0
2015-11-25,20.4,22.49,20.4,21.57,436100,0,0
2015-11-27,21.75,22.79,21.57,22.5,201800,0,0
2015-11-30,21.22,22.0,18.46,18.78,1553200,0,0
2015-12-01,19.93,20.0,19.33,19.8,646200,0,0
2015-12-02,20.0,20.22,19.37,19.91,273800,0,0
2015-12-03,19.78,19.88,18.89,19.05,296700,0,0
2015-12-04,19.15,19.38,18.55,18.69,215300,0,0
2015-12-07,18.05,18.15,17.61,17.84,471900,0,0
2015-12-08,17.5,18.22,17.5,17.92,293500,0,0
2015-12-09,17.81,18.26,17.8,18.0,272700,0,0
2015-12-10,18.0,18.05,17.53,17.94,216500,0,0
2015-12-11,17.82,18.0,17.5,17.56,198500,0,0
2015-12-14,17.54,17.78,15.59,15.97,447500,0,0
2015-12-15,16.41,18.0,16.3,17.62,443500,0,0
2015-12-16,17.78,17.78,16.6,17.33,416800,0,0
2015-12-17,17.31,18.2,17.0,17.4,387000,0,0
2015-12-18,16.0,17.1,15.86,16.0,1344800,0,0
2015-12-21,16.42,17.45,16.09,17.09,453900,0,0
2015-12-22,17.07,17.18,16.34,16.55,322500,0,0
2015-12-23,16.69,16.99,16.49,16.93,329200,0,0
2015-12-24,16.9,17.33,16.43,16.56,233600,0,0
2015-12-28,16.51,16.57,15.05,15.53,672500,0,0
2015-12-29,15.75,15.79,15.26,15.48,264900,0,0
2015-12-30,15.42,16.21,15.34,16.12,386400,0,0
2015-12-31,15.9,16.73,15.45,16.54,337300,0,0
2016-01-04,16.34,16.34,15.25,15.81,500300,0,0
2016-01-05,15.99,16.61,15.71,16.17,314000,0,0
2016-01-06,15.82,16.17,14.52,14.91,469000,0,0
2016-01-07,16.74,17.77,15.88,17.28,2395400,0,0
2016-01-08,18.05,19.4,17.83,18.19,931400,0,0
2016-01-11,17.94,18.24,16.14,16.58,873200,0,0
2016-01-12,17.0,17.45,15.53,16.35,456000,0,0
2016-01-13,16.5,16.61,14.44,14.66,620000,0,0
2016-01-14,14.52,15.83,13.27,15.83,598600,0,0
2016-01-15,14.36,15.93,14.36,15.9,446200,0,0
