Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,42.91,44.04,42.53,43.77,4936100,0.0,0
2015-11-17,45.06,45.25,43.46,44.29,4961000,0.0,0
2015-11-18,44.33,44.62,43.63,44.39,4260500,0.0,0
2015-11-19,43.04,44.59,43.04,44.18,5138400,0.0,0
2015-11-20,48.2,48.77,46.91,48.62,8054000,0.0,0
2015-11-23,48.74,49.01,48.36,48.89,2787600,0.0,0
2015-11-24,48.51,50.25,48.39,50.13,4884300,0.0,0
2015-11-25,50.04,50.73,49.86,50.43,3259300,0.0,0
2015-11-27,50.55,50.71,49.97,50.36,1071200,0.0,0
2015-11-30,50.52,50.52,49.48,49.74,3423400,0.0,0
2015-12-01,50.23,50.87,49.95,50.77,4127500,0.0,0
2015-12-02,50.82,51.62,50.82,51.18,3703100,0.0,0
2015-12-03,51.1,51.27,49.64,50.21,3971900,0.0,0
2015-12-04,50.48,51.91,50.27,51.79,2970600,0.0,0
2015-12-07,51.52,51.82,50.92,51.58,2429600,0.118,0
2015-12-08,51.23,52.42,50.8,52.21,2585000,0.0,0
2015-12-09,51.75,52.81,51.24,51.79,2959500,0.0,0
2015-12-10,51.99,52.5,51.38,51.9,2360500,0.0,0
2015-12-11,51.12,51.78,51.07,51.33,2341000,0.0,0
2015-12-14,51.62,52.49,51.38,52.14,3123400,0.0,0
2015-12-15,52.67,53.03,51.67,51.83,2886400,0.0,0
2015-12-16,52.46,52.7,51.71,52.64,2623000,0.0,0
2015-12-17,53.06,53.18,51.49,51.62,2523500,0.0,0
2015-12-18,51.23,51.51,50.7,50.75,5095400,0.0,0
2015-12-21,51.46,51.85,51.07,51.57,2221500,0.0,0
2015-12-22,52.02,52.28,51.56,52.05,2574100,0.0,0
2015-12-23,52.23,52.45,51.47,52.08,2010100,0.0,0
2015-12-24,52.14,52.31,51.76,52.07,597300,0.0,0
2015-12-28,51.82,52.33,51.67,52.13,1226700,0.0,0
2015-12-29,50.98,53.32,50.98,52.65,1298200,0.0,0
2015-12-30,52.67,52.99,52.27,52.28,1205000,0.0,0
2015-12-31,52.17,52.27,51.56,51.57,1471700,0.0,0
2016-01-04,50.79,52.11,50.31,52.11,4145700,0.0,0
2016-01-05,52.11,52.87,51.92,52.45,3029200,0.0,0
2016-01-06,51.78,52.26,51.08,51.65,2533700,0.0,0
2016-01-07,50.76,52.82,50.31,51.52,3774700,0.0,0
2016-01-08,51.6,51.6,49.8,49.93,2830900,0.0,0
2016-01-11,50.33,50.67,49.72,50.4,2261900,0.0,0
2016-01-12,51.29,52.58,51.19,52.18,3878800,0.0,0
2016-01-13,52.0,52.01,49.9,50.02,3565100,0.0,0
2016-01-14,50.24,51.15,49.57,50.62,3212600,0.0,0
2016-01-15,49.08,50.53,49.08,50.11,3656500,0.0,0
2016-01-19,50.69,50.94,49.91,50.39,3279000,0.0,0
2016-01-20,49.83,50.63,48.32,50.01,4108700,0.0,0
2016-01-21,50.14,50.49,49.75,50.06,3216200,0.0,0
2016-01-22,50.75,52.01,50.54,51.89,2638200,0.0,0
2016-01-25,51.83,52.09,51.18,51.39,2208400,0.0,0
2016-01-26,51.29,52.21,50.98,52.07,2145000,0.0,0
2016-01-27,52.11,52.54,51.19,51.54,2477000,0.0,0
2016-01-28,52.0,52.16,51.01,51.7,2176800,0.0,0
2016-01-29,52.01,53.98,51.75,53.92,3492100,0.0,0
2016-02-01,53.92,54.81,53.52,54.4,4299200,0.0,0
2016-02-02,53.95,54.81,53.37,54.17,3145800,0.0,0
2016-02-03,54.42,54.55,52.17,52.81,3431400,0.0,0
2016-02-04,52.17,52.51,51.13,52.21,4135900,0.0,0
2016-02-05,51.95,51.99,50.8,51.1,4347200,0.0,0
2016-02-08,50.48,51.37,49.94,51.11,3809900,0.0,0
2016-02-09,50.74,52.58,50.58,52.26,3878400,0.0,0
2016-02-10,52.2,53.32,51.57,51.6,3474200,0.0,0
2016-02-11,51.0,51.38,49.99,50.37,3467900,0.0,0
2016-02-12,51.04,51.81,50.13,51.51,2643100,0.0,0
2016-02-16,52.07,53.77,51.98,52.71,4148200,0.0,0
2016-02-17,53.21,53.53,52.61,52.78,4409600,0.0,0
2016-02-18,52.49,52.82,52.03,52.54,3221000,0.0,0
2016-02-19,52.22,52.45,51.37,52.41,3180700,0.0,0
2016-02-22,53.02,53.47,52.73,53.12,3040400,0.0,0
2016-02-23,52.82,53.67,52.74,53.05,3101300,0.0,0
2016-02-24,52.95,54.03,52.56,53.91,3838800,0.0,0
2016-02-25,54.2,54.41,53.39,54.19,2804700,0.0,0
2016-02-26,54.41,54.45,53.32,53.95,2443600,0.0,0
2016-02-29,53.76,54.21,52.63,52.69,6074900,0.0,0
2016-03-01,53.14,54.18,53.06,53.89,5119700,0.0,0
2016-03-02,55.44,56.47,54.39,55.34,8993600,0.0,0
2016-03-03,55.84,56.0,53.74,55.44,4220300,0.0,0
2016-03-04,55.33,55.4,54.72,55.03,3673400,0.0,0
2016-03-07,55.22,56.97,54.87,55.13,3128300,0.0,0
2016-03-08,55.02,55.68,54.85,54.99,2346700,0.0,0
2016-03-09,54.09,55.08,53.91,54.22,3208400,0.0,0
2016-03-10,54.07,55.3,53.95,54.96,3016500,0.135,0
2016-03-11,55.66,55.81,54.96,55.68,2369700,0.0,0
2016-03-14,55.65,56.01,55.48,55.88,1551000,0.0,0
2016-03-15,55.57,56.2,55.57,55.84,1784100,0.0,0
2016-03-16,55.57,56.01,55.17,55.8,2502300,0.0,0
2016-03-17,55.71,56.27,55.39,56.23,2112100,0.0,0
2016-03-18,56.49,57.33,56.2,56.97,4666700,0.0,0
2016-03-21,56.53,56.78,55.92,56.13,2361100,0.0,0
2016-03-22,56.54,56.58,55.77,55.83,2242200,0.0,0
2016-03-23,55.76,56.11,55.35,55.89,1281200,0.0,0
2016-03-24,56.05,56.2,54.64,55.15,2527400,0.0,0
2016-03-28,55.28,55.71,55.05,55.32,2035400,0.0,0
2016-03-29,55.43,55.85,55.24,55.8,2081200,0.0,0
2016-03-30,55.98,56.28,55.37,56.04,1830100,0.0,0
2016-03-31,56.04,56.46,55.57,55.62,1977700,0.0,0
2016-04-01,55.61,56.48,55.35,56.33,2307600,0.0,0
2016-04-04,56.55,56.69,56.11,56.34,2941100,0.0,0
2016-04-05,55.41,56.22,55.25,55.62,2314400,0.0,0
2016-04-06,55.78,56.48,55.44,56.19,1797600,0.0,0
2016-04-07,55.8,56.23,54.18,54.47,2996700,0.0,0
2016-04-08,54.44,54.57,53.97,54.31,1937400,0.0,0
2016-04-11,54.31,54.68,53.81,53.84,1966400,0.0,0
2016-04-12,53.95,54.27,53.26,54.19,1554000,0.0,0
2016-04-13,54.45,54.79,53.9,54.71,1751200,0.0,0
2016-04-14,54.24,54.82,53.82,54.74,2681200,0.0,0
2016-04-15,54.91,55.08,54.48,54.71,1945600,0.0,0
2016-04-18,54.69,55.62,54.52,55.5,2095300,0.0,0
2016-04-19,55.67,55.77,54.96,55.27,1506600,0.0,0
2016-04-20,55.25,55.4,54.81,55.13,2033300,0.0,0
2016-04-21,55.36,55.81,54.95,55.0,2286500,0.0,0
2016-04-22,54.92,55.13,54.28,54.44,2286300,0.0,0
2016-04-25,54.46,54.87,53.93,54.76,2073600,0.0,0
2016-04-26,54.88,55.56,54.63,55.33,1577900,0.0,0
2016-04-27,55.32,56.02,54.88,55.92,1918200,0.0,0
2016-04-28,55.71,55.94,55.06,55.18,2032500,0.0,0
2016-04-29,54.7,54.85,53.86,54.55,2940500,0.0,0
2016-05-02,54.82,55.51,54.45,55.32,1267900,0.0,0
2016-05-03,55.03,55.42,54.43,55.05,1499300,0.0,0
2016-05-04,54.71,55.53,54.46,55.37,1661000,0.0,0
2016-05-05,55.25,55.62,54.22,54.25,1897000,0.0,0
2016-05-06,53.33,54.84,53.33,54.82,2074900,0.0,0
2016-05-09,55.55,56.06,54.68,55.87,2305200,0.0,0
2016-05-10,55.95,56.2,54.98,55.3,2393700,0.0,0
2016-05-11,53.22,53.63,52.29,52.3,5519400,0.0,0
2016-05-12,52.39,53.17,51.75,52.92,3635400,0.0,0
2016-05-13,52.92,53.45,52.14,52.18,3385100,0.0,0
2016-05-16,52.04,53.73,51.88,53.55,3181800,0.0,0
2016-05-17,54.46,54.96,52.01,52.37,4934200,0.0,0
2016-05-18,51.99,52.55,51.24,52.17,3216600,0.0,0
2016-05-19,52.48,53.66,52.47,53.34,5564900,0.0,0
2016-05-20,50.0,51.83,49.95,50.42,11595400,0.0,0
2016-05-23,50.46,50.96,50.12,50.34,4340400,0.0,0
2016-05-24,50.57,51.44,50.45,51.26,3007700,0.0,0
2016-05-25,51.19,51.76,50.74,51.31,2900800,0.0,0
2016-05-26,51.6,52.3,51.43,51.76,2568400,0.0,0
2016-05-27,51.94,52.1,51.48,51.8,2254700,0.0,0
2016-05-31,52.27,52.3,50.97,51.3,3004400,0.0,0
2016-06-01,51.37,51.75,51.16,51.2,2197100,0.0,0
