Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-24,12.0,14.0,11.5,13.45,1415200,0,0
2017-05-25,13.85,14.32,13.35,13.5,237900,0,0
2017-05-26,13.36,13.62,12.46,13.23,56200,0,0
2017-05-30,13.2,13.26,12.28,12.98,71200,0,0
2017-05-31,13.02,13.5,12.93,13.1,55700,0,0
2017-06-01,13.08,14.0,13.08,13.45,128100,0,0
2017-06-02,13.52,14.1,13.23,14.09,35900,0,0
2017-06-05,14.06,17.25,14.06,16.0,158500,0,0
2017-06-06,15.93,17.2,15.12,15.7,45500,0,0
2017-06-07,15.8,16.55,15.8,15.94,51800,0,0
2017-06-08,16.35,16.35,15.52,15.98,15300,0,0
2017-06-09,15.81,16.21,15.13,15.74,21600,0,0
2017-06-12,15.8,15.8,13.91,14.05,33900,0,0
2017-06-13,14.2,14.61,13.65,14.52,45600,0,0
2017-06-14,14.59,15.71,14.32,15.04,57500,0,0
2017-06-15,15.22,15.98,14.58,15.15,11300,0,0
2017-06-16,15.01,15.45,14.87,15.3,18400,0,0
2017-06-19,15.95,16.31,15.15,15.3,182200,0,0
2017-06-20,15.4,15.8,15.06,15.28,62200,0,0
2017-06-21,15.4,15.95,15.19,15.75,91900,0,0
2017-06-22,15.81,17.07,15.46,16.2,370800,0,0
2017-06-23,17.3,17.69,16.2,17.21,594800,0,0
2017-06-26,17.36,17.65,16.5,16.82,118200,0,0
2017-06-27,16.68,17.0,15.83,16.44,160800,0,0
2017-06-28,16.46,16.97,16.02,16.45,85800,0,0
2017-06-29,16.41,16.5,15.69,16.29,82900,0,0
2017-06-30,16.29,16.52,15.37,16.19,61100,0,0
2017-07-03,16.18,16.78,15.59,15.71,85700,0,0
2017-07-05,15.98,16.5,15.75,16.09,172800,0,0
2017-07-06,15.99,16.18,15.4,16.02,145000,0,0
2017-07-07,15.99,16.28,15.49,15.99,118000,0,0
2017-07-10,15.85,15.9,15.63,15.76,44100,0,0
2017-07-11,15.64,15.75,15.15,15.36,99700,0,0
2017-07-12,15.33,15.98,15.25,15.4,88300,0,0
2017-07-13,15.21,15.7,15.04,15.5,69000,0,0
2017-07-14,15.29,15.75,15.18,15.63,109000,0,0
2017-07-17,15.62,17.12,15.43,16.8,235300,0,0
2017-07-18,16.85,17.2,16.12,17.12,88800,0,0
2017-07-19,16.98,17.2,16.57,16.82,115300,0,0
2017-07-20,16.75,16.95,16.13,16.26,57000,0,0
2017-07-21,16.15,16.56,15.85,16.12,36000,0,0
2017-07-24,16.12,16.34,15.85,15.86,36900,0,0
2017-07-25,15.71,16.41,14.81,16.23,251900,0,0
2017-07-26,16.46,19.27,16.42,19.0,246900,0,0
2017-07-27,18.75,19.09,17.77,18.0,186600,0,0
2017-07-28,17.79,19.0,17.79,18.4,70400,0,0
2017-07-31,18.4,18.89,17.8,18.09,231900,0,0
2017-08-01,18.13,18.56,18.01,18.4,213400,0,0
2017-08-02,18.57,18.57,17.78,18.27,115600,0,0
2017-08-03,18.27,19.5,17.77,18.79,288200,0,0
2017-08-04,18.79,19.47,17.85,18.75,163000,0,0
2017-08-07,18.57,19.35,18.15,18.25,114700,0,0
2017-08-08,18.43,18.58,17.92,18.1,76700,0,0
2017-08-09,18.11,18.68,17.9,18.42,47500,0,0
2017-08-10,17.96,18.5,16.1,18.1,258200,0,0
2017-08-11,18.1,18.39,17.75,18.33,32300,0,0
2017-08-14,18.5,19.0,18.0,18.61,92500,0,0
2017-08-15,18.37,19.22,18.17,19.2,64500,0,0
2017-08-16,19.25,20.6,19.03,19.39,172800,0,0
2017-08-17,19.1,19.39,17.14,18.0,168400,0,0
2017-08-18,18.03,18.69,17.76,18.42,40600,0,0
2017-08-21,18.45,18.48,17.52,18.23,65700,0,0
2017-08-22,18.22,18.53,18.03,18.4,28500,0,0
2017-08-23,18.17,18.91,17.94,18.58,57900,0,0
2017-08-24,18.47,18.94,18.18,18.48,60400,0,0
2017-08-25,18.84,18.85,18.16,18.4,56900,0,0
2017-08-28,18.4,18.45,18.0,18.38,25800,0,0
2017-08-29,18.18,18.54,18.17,18.47,73000,0,0
2017-08-30,18.6,18.84,18.22,18.46,114500,0,0
2017-08-31,18.84,20.08,18.65,19.87,468400,0,0
2017-09-01,20.35,21.74,20.2,20.88,368600,0,0
2017-09-05,21.28,21.5,20.05,20.7,629900,0,0
2017-09-06,20.95,22.76,20.18,22.19,524400,0,0
2017-09-07,22.59,24.01,22.32,22.7,391300,0,0
2017-09-08,23.12,23.39,22.1,22.45,275600,0,0
2017-09-11,22.89,23.29,22.53,22.87,215700,0,0
2017-09-12,22.9,23.93,22.4,23.5,263300,0,0
2017-09-13,23.6,24.15,22.61,23.5,293000,0,0
2017-09-14,23.5,23.55,22.7,22.95,458400,0,0
2017-09-15,23.1,23.18,21.26,21.56,2261900,0,0
2017-09-18,21.41,22.41,21.33,21.75,298900,0,0
2017-09-19,22.02,22.06,21.59,21.99,188600,0,0
2017-09-20,22.0,22.09,21.55,22.01,116500,0,0
2017-09-21,21.84,22.09,21.23,21.84,92100,0,0
2017-09-22,21.74,22.15,21.71,22.01,69900,0,0
2017-09-25,22.01,22.34,21.25,21.72,112700,0,0
2017-09-26,21.82,22.03,20.72,20.85,381400,0,0
2017-09-27,20.7,21.53,20.29,21.45,297200,0,0
2017-09-28,21.44,22.86,21.44,22.5,564000,0,0
2017-09-29,26.17,27.08,24.7,26.78,1273700,0,0
2017-10-02,26.75,28.34,26.58,28.07,475200,0,0
2017-10-03,27.91,30.12,26.94,29.85,509000,0,0
2017-10-04,30.3,31.6,29.81,30.6,359900,0,0
2017-10-05,31.27,32.49,31.1,31.76,308200,0,0
2017-10-06,31.4,32.84,30.42,32.81,233900,0,0
2017-10-09,33.3,33.43,32.2,33.0,280000,0,0
2017-10-10,33.6,33.62,31.88,33.11,271300,0,0
2017-10-11,34.0,37.11,33.5,36.93,522600,0,0
2017-10-12,37.36,38.24,34.61,34.78,474400,0,0
2017-10-13,33.59,34.11,31.12,33.7,548400,0,0
2017-10-16,33.14,33.14,29.19,30.16,716000,0,0
2017-10-17,29.71,32.0,29.26,30.55,287200,0,0
2017-10-18,30.81,31.9,30.05,31.76,241400,0,0
2017-10-19,31.41,32.21,30.8,31.78,161500,0,0
2017-10-20,32.12,33.24,31.0,31.04,218300,0,0
2017-10-23,31.28,31.97,30.32,30.61,184900,0,0
2017-10-24,30.91,31.82,30.67,31.48,165300,0,0
2017-10-25,31.39,31.71,28.86,30.18,285400,0,0
2017-10-26,30.34,30.85,29.13,29.24,167900,0,0
2017-10-27,29.21,30.81,28.06,30.39,253100,0,0
2017-10-30,30.98,31.89,29.51,30.02,288700,0,0
2017-10-31,30.49,32.16,30.24,31.37,220000,0,0
2017-11-01,32.1,32.16,29.88,29.96,207100,0,0
2017-11-02,30.08,30.83,29.75,30.65,108800,0,0
2017-11-03,31.03,31.25,30.04,30.55,122000,0,0
2017-11-06,30.14,31.39,29.78,30.96,233700,0,0
2017-11-07,31.24,31.4,30.28,30.55,119100,0,0
2017-11-08,30.31,30.92,29.65,30.76,154500,0,0
2017-11-09,30.43,30.43,29.05,29.82,124200,0,0
2017-11-10,29.86,30.47,29.35,29.55,95300,0,0
2017-11-13,29.55,29.99,29.05,29.51,141700,0,0
2017-11-14,29.48,29.48,28.38,28.98,197600,0,0
2017-11-15,28.64,28.88,27.35,28.7,213200,0,0
2017-11-16,35.49,37.6,33.45,35.98,740400,0,0
