Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,5.19,5.25,5.11,5.21,1316900,0,0
2015-11-17,5.17,5.22,4.81,4.87,1615100,0,0
2015-11-18,4.88,5.02,4.78,5.01,1407400,0,0
2015-11-19,5.04,5.28,5.03,5.2,1111400,0,0
2015-11-20,5.23,5.3,4.95,4.96,1333800,0,0
2015-11-23,4.95,5.05,4.9,5.03,1066400,0,0
2015-11-24,5.14,5.29,5.07,5.24,1317400,0,0
2015-11-25,5.14,5.41,5.08,5.32,1436300,0,0
2015-11-27,5.18,5.4,5.12,5.21,817000,0,0
2015-11-30,5.23,5.42,5.21,5.25,1163500,0,0
2015-12-01,5.33,5.51,5.21,5.48,1269100,0,0
2015-12-02,5.4,5.61,5.32,5.5,1164800,0,0
2015-12-03,5.56,5.64,5.44,5.54,977500,0,0
2015-12-04,5.59,5.92,5.57,5.83,1570500,0,0
2015-12-07,5.77,5.81,5.42,5.47,1141100,0,0
2015-12-08,5.46,5.49,5.23,5.45,1118100,0,0
2015-12-09,5.54,5.75,5.45,5.57,1425900,0,0
2015-12-10,5.54,5.65,5.45,5.46,802600,0,0
2015-12-11,5.33,5.54,5.25,5.35,1362400,0,0
2015-12-14,5.31,5.39,5.08,5.11,1776700,0,0
2015-12-15,5.17,5.2,5.04,5.09,1150000,0,0
2015-12-16,5.25,5.35,5.14,5.3,1398300,0,0
2015-12-17,5.13,5.22,4.99,5.03,1583400,0,0
2015-12-18,5.13,5.28,5.06,5.12,1491500,0,0
2015-12-21,5.25,5.32,5.15,5.18,840100,0,0
2015-12-22,5.13,5.27,5.0,5.07,1079600,0,0
2015-12-23,5.08,5.22,5.05,5.12,800900,0,0
2015-12-24,5.18,5.47,5.16,5.41,703400,0,0
2015-12-28,5.31,5.31,5.07,5.1,901100,0,0
2015-12-29,5.24,5.25,5.08,5.18,625900,0,0
2015-12-30,5.15,5.15,5.01,5.09,653800,0,0
2015-12-31,5.1,5.18,5.01,5.18,744700,0,0
2016-01-04,5.27,5.39,5.05,5.18,1257000,0,0
2016-01-05,5.21,5.21,5.01,5.11,1141000,0,0
2016-01-06,5.19,5.26,5.12,5.2,898800,0,0
2016-01-07,5.28,5.36,5.07,5.24,1583600,0,0
2016-01-08,5.14,5.32,5.09,5.21,1189800,0,0
2016-01-11,5.22,5.28,4.92,5.02,1561400,0,0
2016-01-12,4.96,5.02,4.56,4.64,2233500,0,0
2016-01-13,4.64,4.84,4.54,4.68,1375100,0,0
2016-01-14,4.59,4.65,4.4,4.51,1211400,0,0
2016-01-15,4.65,4.75,4.38,4.4,1375800,0,0
2016-01-19,4.49,4.51,3.79,3.85,2619500,0,0
2016-01-20,3.97,3.97,3.66,3.8,2088100,0,0
2016-01-21,3.76,3.93,3.66,3.88,1121000,0,0
2016-01-22,3.86,4.08,3.8,3.93,1329300,0,0
2016-01-25,4.0,4.18,3.95,3.95,920000,0,0
2016-01-26,4.03,4.14,3.99,4.11,1108500,0,0
2016-01-27,4.11,4.14,4.01,4.13,987700,0,0
2016-01-28,4.08,4.21,3.92,4.1,1026700,0,0
2016-01-29,4.07,4.4,4.07,4.36,1186500,0,0
2016-02-01,4.42,4.59,4.4,4.51,1005400,0,0
2016-02-02,4.48,4.51,4.29,4.43,1184500,0,0
2016-02-03,4.49,4.77,4.47,4.76,1430100,0,0
2016-02-04,4.93,5.28,4.87,4.89,2035300,0,0
2016-02-05,4.77,5.44,4.72,5.41,1981300,0,0
2016-02-08,5.68,5.86,5.53,5.6,2202200,0,0
2016-02-09,5.68,5.9,5.54,5.59,2707800,0,0
2016-02-10,5.51,5.65,5.26,5.58,1488500,0,0
2016-02-11,6.03,6.18,5.77,5.87,2121500,0,0
2016-02-12,5.74,6.09,5.74,6.04,1463200,0,0
2016-02-16,5.78,5.95,5.48,5.58,1705900,0,0
2016-02-17,5.67,5.75,5.39,5.51,2066100,0,0
2016-02-18,5.45,5.97,5.42,5.91,1747200,0,0
2016-02-19,5.85,5.98,5.73,5.77,1034400,0,0
2016-02-22,5.59,5.86,5.58,5.8,1541000,0,0
2016-02-23,5.89,6.03,5.73,5.75,952700,0,0
2016-02-24,5.95,6.1,5.72,5.82,1830000,0,0
2016-02-25,5.76,6.02,5.75,5.99,1360200,0,0
2016-02-26,5.61,5.83,5.46,5.54,2480200,0,0
2016-02-29,5.57,5.86,5.56,5.8,1821700,0,0
2016-03-01,5.86,5.93,5.53,5.7,1784600,0,0
2016-03-02,5.68,6.07,5.63,6.03,1653200,0,0
2016-03-03,6.06,6.55,6.03,6.48,1995200,0,0
2016-03-04,6.67,7.25,6.63,6.69,3289900,0,0
2016-03-07,6.53,6.63,5.88,5.95,4932900,0,0
2016-03-08,6.07,6.1,5.74,5.83,2258800,0,0
2016-03-09,5.74,5.95,5.61,5.86,2283400,0,0
2016-03-10,5.95,6.03,5.7,5.8,3420100,0,0
