Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,29.4,29.4,29.4,29.4,0,0,0
2015-11-17,29.4,29.4,29.4,29.4,0,0,0
2015-11-18,29.4,29.4,29.4,29.4,0,0,0
2015-11-19,29.4,29.4,29.4,29.4,0,0,0
2015-11-20,29.4,29.4,29.4,29.4,0,0,0
2015-11-23,29.4,29.4,29.4,29.4,0,0,0
2015-11-24,29.4,29.4,29.4,29.4,0,0,0
2015-11-25,29.4,29.4,29.4,29.4,0,0,0
2015-11-27,29.4,29.4,29.4,29.4,0,0,0
2015-11-30,29.4,29.4,29.4,29.4,0,0,0
2015-12-01,29.4,29.4,29.4,29.4,0,0,0
2015-12-02,29.4,29.4,29.4,29.4,0,0,0
2015-12-03,29.4,29.4,29.4,29.4,0,0,0
2015-12-04,29.4,29.4,29.4,29.4,0,0,0
2015-12-07,29.4,29.4,29.4,29.4,0,0,0
2015-12-08,29.4,29.4,29.4,29.4,0,0,0
2015-12-09,29.4,29.4,29.4,29.4,0,0,0
2015-12-10,29.4,29.4,29.4,29.4,0,0,0
2015-12-11,29.4,29.4,29.4,29.4,0,0,0
2015-12-14,29.4,29.4,29.4,29.4,0,0,0
2015-12-15,29.4,29.4,29.4,29.4,0,0,0
2015-12-16,29.4,29.4,29.4,29.4,0,0,0
2015-12-17,29.4,29.4,29.4,29.4,0,0,0
2015-12-18,29.4,29.4,29.4,29.4,0,0,0
2015-12-21,29.4,29.4,29.4,29.4,0,0,0
2015-12-22,29.4,29.4,29.4,29.4,0,0,0
2015-12-23,29.4,29.4,29.4,29.4,0,0,0
2015-12-24,29.4,29.4,29.4,29.4,0,0,0
2015-12-28,29.4,29.4,29.4,29.4,0,0,0
2015-12-29,29.4,29.4,29.4,29.4,0,0,0
2015-12-30,29.4,29.4,29.4,29.4,0,0,0
2015-12-31,29.4,29.4,29.4,29.4,0,0,0
2016-01-04,29.4,29.4,29.4,29.4,0,0,0
2016-01-05,29.4,29.4,29.4,29.4,0,0,0
2016-01-06,29.4,29.4,29.4,29.4,0,0,0
2016-01-07,29.4,29.4,29.4,29.4,0,0,0
2016-01-08,29.4,29.4,29.4,29.4,0,0,0
2016-01-11,29.4,29.4,29.4,29.4,0,0,0
2016-01-12,29.4,29.4,29.4,29.4,0,0,0
2016-01-13,29.4,29.4,29.4,29.4,0,0,0
2016-01-14,29.4,29.4,29.4,29.4,0,0,0
2016-01-15,29.4,29.4,29.4,29.4,0,0,0
2016-01-19,29.4,29.4,29.4,29.4,0,0,0
2016-01-20,29.4,29.4,29.4,29.4,0,0,0
2016-01-21,29.4,29.4,29.4,29.4,0,0,0
2016-01-22,29.4,29.4,29.4,29.4,0,0,0
2016-01-25,29.4,29.4,29.4,29.4,0,0,0
2016-01-26,29.4,29.4,29.4,29.4,0,0,0
2016-01-27,29.4,29.4,29.4,29.4,0,0,0
2016-01-28,29.4,29.4,29.4,29.4,0,0,0
2016-01-29,29.4,29.4,29.4,29.4,0,0,0
2016-02-01,29.4,29.4,29.4,29.4,0,0,0
2016-02-02,29.4,29.4,29.4,29.4,0,0,0
2016-02-03,29.4,29.4,29.4,29.4,0,0,0
2016-02-04,29.4,29.4,29.4,29.4,0,0,0
2016-02-05,29.4,29.4,29.4,29.4,0,0,0
2016-02-08,29.4,29.4,29.4,29.4,0,0,0
2016-02-09,29.4,29.4,29.4,29.4,0,0,0
2016-02-10,29.4,29.4,29.4,29.4,0,0,0
2016-02-11,29.4,29.4,29.4,29.4,0,0,0
2016-02-12,29.4,29.4,29.4,29.4,0,0,0
2016-02-16,29.4,29.4,29.4,29.4,0,0,0
2016-02-17,29.4,29.4,29.4,29.4,0,0,0
2016-02-18,29.4,29.4,29.4,29.4,0,0,0
2016-02-19,29.4,29.4,29.4,29.4,0,0,0
2016-02-22,29.4,29.4,29.4,29.4,0,0,0
2016-02-23,29.4,29.4,29.4,29.4,0,0,0
2016-02-24,29.4,29.4,29.4,29.4,0,0,0
2016-02-25,29.4,29.4,29.4,29.4,0,0,0
2016-02-26,29.4,29.4,29.4,29.4,0,0,0
2016-02-29,29.4,29.4,29.4,29.4,0,0,0
2016-03-01,29.4,29.4,29.4,29.4,0,0,0
2016-03-02,29.4,29.4,29.4,29.4,0,0,0
2016-03-03,29.4,29.4,29.4,29.4,0,0,0
2016-03-04,29.4,29.4,29.4,29.4,0,0,0
2016-03-07,29.4,29.4,29.4,29.4,0,0,0
2016-03-08,29.4,29.4,29.4,29.4,0,0,0
2016-03-09,29.4,29.4,29.4,29.4,0,0,0
2016-03-10,29.4,29.4,29.4,29.4,0,0,0
2016-03-11,29.4,29.4,29.4,29.4,0,0,0
2016-03-14,29.4,29.4,29.4,29.4,0,0,0
2016-03-15,29.4,29.4,29.4,29.4,0,0,0
2016-03-16,29.4,29.4,29.4,29.4,0,0,0
2016-03-17,29.4,29.4,29.4,29.4,0,0,0
2016-03-18,29.4,29.4,29.4,29.4,0,0,0
2016-03-21,29.4,29.4,29.4,29.4,0,0,0
2016-03-22,29.4,29.4,29.4,29.4,0,0,0
2016-03-23,29.4,29.4,29.4,29.4,0,0,0
2016-03-24,29.4,29.4,29.4,29.4,0,0,0
2016-03-28,29.4,29.4,29.4,29.4,0,0,0
2016-03-29,29.4,29.4,29.4,29.4,0,0,0
2016-03-30,29.4,29.4,29.4,29.4,0,0,0
2016-03-31,29.4,29.4,29.4,29.4,0,0,0
2016-04-01,29.4,29.4,29.4,29.4,0,0,0
2016-04-04,29.4,29.4,29.4,29.4,0,0,0
2016-04-05,29.4,29.4,29.4,29.4,0,0,0
2016-04-06,29.4,29.4,29.4,29.4,0,0,0
2016-04-07,29.4,29.4,29.4,29.4,0,0,0
2016-04-08,29.4,29.4,29.4,29.4,0,0,0
2016-04-11,29.4,29.4,29.4,29.4,0,0,0
2016-04-12,29.4,29.4,29.4,29.4,0,0,0
2016-04-13,29.4,29.4,29.4,29.4,0,0,0
2016-04-14,29.4,29.4,29.4,29.4,0,0,0
2016-04-15,29.4,29.4,29.4,29.4,0,0,0
2016-04-18,29.4,29.4,29.4,29.4,0,0,0
2016-04-19,29.4,29.4,29.4,29.4,0,0,0
2016-04-20,29.4,29.4,29.4,29.4,0,0,0
2016-04-21,29.4,29.4,29.4,29.4,0,0,0
2016-04-22,29.4,29.4,29.4,29.4,0,0,0
2016-04-25,29.4,29.4,29.4,29.4,0,0,0
2016-04-26,29.4,29.4,29.4,29.4,0,0,0
2016-04-27,29.4,29.4,29.4,29.4,0,0,0
2016-04-28,29.4,29.4,29.4,29.4,0,0,0
2016-04-29,29.4,29.4,29.4,29.4,0,0,0
2016-05-02,29.4,29.4,29.4,29.4,0,0,0
2016-05-03,29.4,29.4,29.4,29.4,0,0,0
2016-05-04,29.4,29.4,29.4,29.4,0,0,0
2016-05-05,29.4,29.4,29.4,29.4,0,0,0
2016-05-06,29.4,29.4,29.4,29.4,0,0,0
2016-05-09,29.4,29.4,29.4,29.4,0,0,0
2016-05-10,29.4,29.4,29.4,29.4,0,0,0
2016-05-11,29.4,29.4,29.4,29.4,0,0,0
2016-05-12,29.4,29.4,29.4,29.4,0,0,0
2016-05-13,29.4,29.4,29.4,29.4,0,0,0
2016-05-16,29.4,29.4,29.4,29.4,0,0,0
2016-05-17,29.4,29.4,29.4,29.4,0,0,0
2016-05-18,29.4,29.4,29.4,29.4,0,0,0
2016-05-19,29.4,29.4,29.4,29.4,0,0,0
2016-05-20,29.4,29.4,29.4,29.4,0,0,0
2016-05-23,29.4,29.4,29.4,29.4,0,0,0
2016-05-24,29.4,29.4,29.4,29.4,0,0,0
2016-05-25,29.4,29.4,29.4,29.4,0,0,0
2016-05-26,29.4,29.4,29.4,29.4,0,0,0
2016-05-27,29.4,29.4,29.4,29.4,0,0,0
2016-05-31,29.4,29.4,29.4,29.4,0,0,0
2016-06-01,29.4,29.4,29.4,29.4,0,0,0
2016-06-02,29.4,29.4,29.4,29.4,0,0,0
2016-06-03,29.4,29.4,29.4,29.4,0,0,0
2016-06-06,29.4,29.4,29.4,29.4,0,0,0
2016-06-07,29.4,29.4,29.4,29.4,0,0,0
2016-06-08,29.4,29.4,29.4,29.4,0,0,0
2016-06-09,29.4,29.4,29.4,29.4,0,0,0
2016-06-10,29.4,29.4,29.4,29.4,0,0,0
2016-06-13,29.4,29.4,29.4,29.4,0,0,0
2016-06-14,29.4,29.4,29.4,29.4,0,0,0
2016-06-15,29.4,29.4,29.4,29.4,0,0,0
2016-06-16,29.4,29.4,29.4,29.4,0,0,0
2016-06-17,29.4,29.4,29.4,29.4,0,0,0
2016-06-20,29.4,29.4,29.4,29.4,0,0,0
2016-06-21,29.4,29.4,29.4,29.4,0,0,0
2016-06-22,29.4,29.4,29.4,29.4,0,0,0
2016-06-23,29.4,29.4,29.4,29.4,0,0,0
2016-06-24,29.4,29.4,29.4,29.4,0,0,0
2016-06-27,29.4,29.4,29.4,29.4,0,0,0
2016-06-28,29.4,29.4,29.4,29.4,0,0,0
2016-06-29,29.4,29.4,29.4,29.4,0,0,0
2016-06-30,29.4,29.4,29.4,29.4,0,0,0
2016-07-01,29.4,29.4,29.4,29.4,0,0,0
2016-07-05,29.4,29.4,29.4,29.4,0,0,0
2016-07-06,29.4,29.4,29.4,29.4,0,0,0
2016-07-07,29.4,29.4,29.4,29.4,0,0,0
2016-07-08,29.4,29.4,29.4,29.4,0,0,0
2016-07-11,29.4,29.4,29.4,29.4,0,0,0
2016-07-12,29.4,29.4,29.4,29.4,0,0,0
2016-07-13,29.4,29.4,29.4,29.4,0,0,0
2016-07-14,29.4,29.4,29.4,29.4,0,0,0
2016-07-15,29.4,29.4,29.4,29.4,0,0,0
2016-07-18,29.4,29.4,29.4,29.4,0,0,0
2016-07-19,29.4,29.4,29.4,29.4,0,0,0
2016-07-20,29.4,29.4,29.4,29.4,0,0,0
2016-07-21,29.4,29.4,29.4,29.4,0,0,0
2016-07-22,29.4,29.4,29.4,29.4,0,0,0
2016-07-25,29.4,29.4,29.4,29.4,0,0,0
2016-07-26,29.4,29.4,29.4,29.4,0,0,0
2016-07-27,29.4,29.4,29.4,29.4,0,0,0
2016-07-28,29.4,29.4,29.4,29.4,0,0,0
2016-07-29,29.4,29.4,29.4,29.4,0,0,0
2016-08-01,29.4,29.4,29.4,29.4,0,0,0
2016-08-02,29.4,29.4,29.4,29.4,0,0,0
2016-08-03,29.4,29.4,29.4,29.4,0,0,0
2016-08-04,29.4,29.4,29.4,29.4,0,0,0
2016-08-05,29.4,29.4,29.4,29.4,0,0,0
2016-08-08,29.4,29.4,29.4,29.4,0,0,0
2016-08-09,29.4,29.4,29.4,29.4,0,0,0
2016-08-10,29.4,29.4,29.4,29.4,0,0,0
2016-08-11,29.4,29.4,29.4,29.4,0,0,0
2016-08-12,29.4,29.4,29.4,29.4,0,0,0
2016-08-15,29.4,29.4,29.4,29.4,0,0,0
2016-08-16,29.4,29.4,29.4,29.4,0,0,0
2016-08-17,29.4,29.4,29.4,29.4,0,0,0
2016-08-18,29.4,29.4,29.4,29.4,0,0,0
2016-08-19,29.4,29.4,29.4,29.4,0,0,0
2016-08-22,29.4,29.4,29.4,29.4,0,0,0
2016-08-23,29.4,29.4,29.4,29.4,0,0,0
2016-08-24,29.4,29.4,29.4,29.4,0,0,0
2016-08-25,29.4,29.4,29.4,29.4,0,0,0
2016-08-26,29.4,29.4,29.4,29.4,0,0,0
2016-08-29,29.4,29.4,29.4,29.4,0,0,0
2016-08-30,29.4,29.4,29.4,29.4,0,0,0
2016-08-31,29.4,29.4,29.4,29.4,0,0,0
2016-09-01,29.4,29.4,29.4,29.4,0,0,0
2016-09-02,29.4,29.4,29.4,29.4,0,0,0
2016-09-06,29.4,29.4,29.4,29.4,0,0,0
2016-09-07,29.4,29.4,29.4,29.4,0,0,0
2016-09-08,29.4,29.4,29.4,29.4,0,0,0
2016-09-09,29.4,29.4,29.4,29.4,0,0,0
2016-09-12,29.4,29.4,29.4,29.4,0,0,0
2016-09-13,29.4,29.4,29.4,29.4,0,0,0
2016-09-14,29.4,29.4,29.4,29.4,0,0,0
2016-09-15,29.4,29.4,29.4,29.4,0,0,0
2016-09-16,29.4,29.4,29.4,29.4,0,0,0
2016-09-19,29.4,29.4,29.4,29.4,0,0,0
2016-09-20,29.4,29.4,29.4,29.4,0,0,0
2016-09-21,29.4,29.4,29.4,29.4,0,0,0
2016-09-22,29.4,29.4,29.4,29.4,0,0,0
2016-09-23,29.4,29.4,29.4,29.4,0,0,0
2016-09-26,29.4,29.4,29.4,29.4,0,0,0
2016-09-27,29.4,29.4,29.4,29.4,0,0,0
2016-09-28,29.4,29.4,29.4,29.4,0,0,0
2016-09-29,29.4,29.4,29.4,29.4,0,0,0
2016-09-30,29.4,29.4,29.4,29.4,0,0,0
2016-10-03,29.4,29.4,29.4,29.4,0,0,0
2016-10-04,29.4,29.4,29.4,29.4,0,0,0
2016-10-05,29.4,29.4,29.4,29.4,0,0,0
2016-10-06,29.4,29.4,29.4,29.4,0,0,0
2016-10-07,29.4,29.4,29.4,29.4,0,0,0
2016-10-10,29.4,29.4,29.4,29.4,0,0,0
2016-10-11,29.4,29.4,29.4,29.4,0,0,0
2016-10-12,29.4,29.4,29.4,29.4,0,0,0
2016-10-13,29.4,29.4,29.4,29.4,0,0,0
2016-10-14,29.4,29.4,29.4,29.4,0,0,0
2016-10-17,29.4,29.4,29.4,29.4,0,0,0
2016-10-18,29.4,29.4,29.4,29.4,0,0,0
2016-10-19,29.4,29.4,29.4,29.4,0,0,0
2016-10-20,29.4,29.4,29.4,29.4,0,0,0
2016-10-21,29.4,29.4,29.4,29.4,0,0,0
2016-10-24,29.4,29.4,29.4,29.4,0,0,0
2016-10-25,29.4,29.4,29.4,29.4,0,0,0
2016-10-26,29.4,29.4,29.4,29.4,0,0,0
2016-10-27,29.4,29.4,29.4,29.4,0,0,0
2016-10-28,29.4,29.4,29.4,29.4,0,0,0
2016-10-31,29.4,29.4,29.4,29.4,0,0,0
2016-11-01,29.4,29.4,29.4,29.4,0,0,0
2016-11-02,29.4,29.4,29.4,29.4,0,0,0
2016-11-03,29.4,29.4,29.4,29.4,0,0,0
2016-11-04,29.4,29.4,29.4,29.4,0,0,0
2016-11-07,29.4,29.4,29.4,29.4,0,0,0
2016-11-08,29.4,29.4,29.4,29.4,0,0,0
2016-11-09,29.4,29.4,29.4,29.4,0,0,0
2016-11-10,29.4,29.4,29.4,29.4,0,0,0
2016-11-11,29.4,29.4,29.4,29.4,0,0,0
2016-11-14,29.4,29.4,29.4,29.4,0,0,0
2016-11-15,29.4,29.4,29.4,29.4,0,0,0
2016-11-16,29.4,29.4,29.4,29.4,0,0,0
2016-11-17,29.4,29.4,29.4,29.4,0,0,0
2016-11-18,29.4,29.4,29.4,29.4,0,0,0
2016-11-21,29.4,29.4,29.4,29.4,0,0,0
2016-11-22,29.4,29.4,29.4,29.4,0,0,0
2016-11-23,29.4,29.4,29.4,29.4,0,0,0
2016-11-25,29.4,29.4,29.4,29.4,0,0,0
2016-11-28,29.4,29.4,29.4,29.4,0,0,0
2016-11-29,29.4,29.4,29.4,29.4,0,0,0
2016-11-30,29.4,29.4,29.4,29.4,0,0,0
2016-12-01,29.4,29.4,29.4,29.4,0,0,0
2016-12-02,29.4,29.4,29.4,29.4,0,0,0
2016-12-05,29.4,29.4,29.4,29.4,0,0,0
2016-12-06,29.4,29.4,29.4,29.4,0,0,0
2016-12-07,29.4,29.4,29.4,29.4,0,0,0
2016-12-08,29.4,29.4,29.4,29.4,0,0,0
2016-12-09,29.4,29.4,29.4,29.4,0,0,0
2016-12-12,29.4,29.4,29.4,29.4,0,0,0
2016-12-13,29.4,29.4,29.4,29.4,0,0,0
2016-12-14,29.4,29.4,29.4,29.4,0,0,0
2016-12-15,29.4,29.4,29.4,29.4,0,0,0
2016-12-16,29.4,29.4,29.4,29.4,0,0,0
2016-12-19,29.4,29.4,29.4,29.4,0,0,0
2016-12-20,29.4,29.4,29.4,29.4,0,0,0
2016-12-21,29.4,29.4,29.4,29.4,0,0,0
2016-12-22,29.4,29.4,29.4,29.4,0,0,0
2016-12-23,29.4,29.4,29.4,29.4,0,0,0
2016-12-27,29.4,29.4,29.4,29.4,0,0,0
2016-12-28,29.4,29.4,29.4,29.4,0,0,0
2016-12-29,29.4,29.4,29.4,29.4,0,0,0
2016-12-30,29.4,29.4,29.4,29.4,0,0,0
2017-01-03,29.4,29.4,29.4,29.4,0,0,0
2017-01-04,29.4,29.4,29.4,29.4,0,0,0
2017-01-05,29.4,29.4,29.4,29.4,0,0,0
2017-01-06,29.4,29.4,29.4,29.4,0,0,0
2017-01-09,29.4,29.4,29.4,29.4,0,0,0
2017-01-10,29.4,29.4,29.4,29.4,0,0,0
2017-01-11,29.4,29.4,29.4,29.4,0,0,0
2017-01-12,29.4,29.4,29.4,29.4,0,0,0
2017-01-13,29.4,29.4,29.4,29.4,0,0,0
2017-01-17,29.4,29.4,29.4,29.4,0,0,0
2017-01-18,29.4,29.4,29.4,29.4,0,0,0
2017-01-19,29.4,29.4,29.4,29.4,0,0,0
